exp,T,V,E,CF_LA,CF_K,CA_LA,CB_K,dNLA,dNK,dVF,dVA,dVB
1,24.81666667,20,0.25,0.5,1,0,0,-0.008343466,0.012353376,0.02,-0.01,-0.02
1,24.81666667,20,0.25,0.498169315,0.999236864,0.000835182,-0.001237813,-0.008343466,0.012353376,0.02,-0.01,-0.02
1,24.81666667,20,0.25,0.496345923,0.998476768,0.001672037,-0.002480598,-0.008343466,0.012353376,0.02,-0.01,-0.02
1,24.81666667,20,0.25,0.494529781,0.997719695,0.002510572,-0.003728383,-0.008343466,0.012353376,0.02,-0.01,-0.02
1,24.81666667,20,0.25,0.492720847,0.996965626,0.00335079,-0.0049812,-0.008343466,0.012353376,0.02,-0.01,-0.02
1,24.81666667,20,0.25,0.490919076,0.996214543,0.004192697,-0.006239079,-0.008343466,0.012353376,0.02,-0.01,-0.02
1,24.81666667,20,0.25,0.489124427,0.995466429,0.005036298,-0.00750205,-0.008343466,0.012353376,0.02,-0.01,-0.02
1,24.81666667,20,0.25,0.487336857,0.994721266,0.005881598,-0.008770145,-0.008343466,0.012353376,0.02,-0.01,-0.02
1,24.81666667,20,0.25,0.485556326,0.993979037,0.006728602,-0.010043395,-0.008343466,0.012353376,0.02,-0.01,-0.02
1,24.81666667,20,0.25,0.48378279,0.993239724,0.007577316,-0.011321832,-0.008343466,0.012353376,0.02,-0.01,-0.02
1,24.81666667,20,0.25,0.482016209,0.99250331,0.008427744,-0.012605486,-0.028292095,-0.185547506,0,0,0
1,24.81666667,20,0.25,0.479242475,0.974312378,0.011285531,0.006327933,-0.028292095,-0.185547506,0,0,0
1,24.81666667,20,0.25,0.47646874,0.956121446,0.014143319,0.025261352,-0.028292095,-0.185547506,0,0,0
1,24.81666667,20,0.25,0.473695005,0.937930514,0.017001106,0.044194771,-0.028292095,-0.185547506,0,0,0
1,24.81666667,20,0.25,0.47092127,0.919739582,0.019858893,0.06312819,-0.028292095,-0.185547506,0,0,0
1,24.81666667,20,0.25,0.468147535,0.90154865,0.022716681,0.082061609,-0.028292095,-0.185547506,0,0,0
1,24.81666667,20,0.25,0.465373801,0.883357718,0.025574468,0.100995028,-0.028292095,-0.185547506,0,0,0
1,24.81666667,20,0.25,0.462600066,0.865166786,0.028432255,0.119928447,-0.028292095,-0.185547506,0,0,0
1,24.81666667,20,0.25,0.459826331,0.846975854,0.031290043,0.138861866,-0.028292095,-0.185547506,0,0,0
1,24.81666667,20,0.25,0.457052596,0.828784922,0.03414783,0.157795285,-0.028292095,-0.185547506,0,0,0
1,24.81666667,20,0.25,0.454278861,0.81059399,0.037005618,0.176728704,-0.067583816,-0.246291232,-0.04,0.01,0.03
1,24.81666667,20,0.25,0.44941541,0.789544042,0.043788035,0.201244408,-0.067583816,-0.246291232,-0.04,0.01,0.03
1,24.81666667,20,0.25,0.444513513,0.768327691,0.050556779,0.225610929,-0.067583816,-0.246291232,-0.04,0.01,0.03
1,24.81666667,20,0.25,0.439572712,0.746942957,0.057311889,0.249829626,-0.067583816,-0.246291232,-0.04,0.01,0.03
1,24.81666667,20,0.25,0.434592542,0.725387826,0.064053408,0.273901838,-0.067583816,-0.246291232,-0.04,0.01,0.03
1,24.81666667,20,0.25,0.429572531,0.703660254,0.070781376,0.297828891,-0.067583816,-0.246291232,-0.04,0.01,0.03
1,24.81666667,20,0.25,0.424512198,0.681758163,0.077495834,0.321612094,-0.067583816,-0.246291232,-0.04,0.01,0.03
1,24.81666667,20,0.25,0.419411056,0.659679443,0.084196823,0.34525274,-0.067583816,-0.246291232,-0.04,0.01,0.03
1,24.81666667,20,0.25,0.414268609,0.637421948,0.090884383,0.368752107,-0.067583816,-0.246291232,-0.04,0.01,0.03
1,24.81666667,20,0.25,0.409084354,0.614983497,0.097558554,0.392111459,-0.067583816,-0.246291232,-0.04,0.01,0.03
1,24.81666667,20,0.25,0.403857778,0.592361875,0.104219377,0.415332042,-0.118698645,-0.231246531,-0.05,0.01,0.01
1,24.81666667,20,0.25,0.393754624,0.571682035,0.115973269,0.437794278,-0.118698645,-0.231246531,-0.05,0.01,0.01
1,24.81666667,20,0.25,0.383547313,0.550789002,0.127703699,0.460212123,-0.118698645,-0.231246531,-0.05,0.01,0.01
1,24.81666667,20,0.25,0.373234227,0.529679459,0.139410739,0.482585707,-0.118698645,-0.231246531,-0.05,0.01,0.01
1,24.81666667,20,0.25,0.362813713,0.508350026,0.151094458,0.504915162,-0.118698645,-0.231246531,-0.05,0.01,0.01
1,24.81666667,20,0.25,0.352284084,0.486797248,0.162754926,0.527200619,-0.118698645,-0.231246531,-0.05,0.01,0.01
1,24.81666667,20,0.25,0.341643616,0.465017599,0.174392211,0.549442206,-0.118698645,-0.231246531,-0.05,0.01,0.01
1,24.81666667,20,0.25,0.330890551,0.443007477,0.186006385,0.571640053,-0.118698645,-0.231246531,-0.05,0.01,0.01
1,24.81666667,20,0.25,0.320023092,0.420763205,0.197597514,0.59379429,-0.118698645,-0.231246531,-0.05,0.01,0.01
