exp,T,V,E,Ci,Ki,t,SEC,JLA,CF_LA,CA_LA,CB_LA,CF_K,CA_K,CB_K,VF,VA,VB,,,,,
1,22.6,20,0.25,0.5,1,0,,,0.48894725,-0.00568186,-0.006195,1.08756,0.004422275,0.015311638,1,1,1,,,,,
1,24,20,0.25,0.5,1,1,2.651417937,14.89578423,0.471361,0.00344751,-0.005183415,1.0794069,0.006910843,0.624144311,1.02,0.99,0.98,,,,,
1,25.2,20,0.25,0.5,1,2,1.979124291,36.90755778,0.4442368,0.02620972,-0.003147275,0.8815696,0.009375576,0.787778897,1.02,0.99,0.98,,,,,
1,26.1,20,0.25,0.5,1,3,1.253582411,98.55362448,0.3949303,0.08612135,-0.001619665,0.644229081,0.012481917,0.96318147,0.98,1,1.01,,,,,
1,26.3,20,0.25,0.5,1,4,0.860944942,189.5326692,0.29135155,0.19984555,0.00112956,0.408440884,0.016443128,1.081267,0.93,1.01,1.02,,,,,
1,24.7,20,0.25,0.5,1,5.1,0.729377224,193.8472979,0.10937225,0.338813,0.01047539,0.240781504,0.017037018,1.14772923,0.91,0.98,1.12,,,,,
2,23,10,0.25,0.5,1,0,,,0.42815735,-0.006195,-0.006195,1.0223856,0.003691356,0.012162391,1,1,1,,,,,
2,23.1,10,0.25,0.5,1,1,2.878938216,1.578864916,0.4142726,-0.00533775,-0.00451501,0.979,0.004603265,0.027117401,1.04,0.98,0.97,,,,,
2,23.2,10,0.25,0.5,1,2,3.118862594,1.821753189,0.40225745,-0.004202745,-0.003163275,1.0196725,0.00598478,0.593382032,1.09,0.98,0.96,,,,,
2,23.4,10,0.25,0.5,1,3,3.022607963,2.364020458,0.39052,-0.002758035,-0.002158705,0.9302524,0.007075959,0.634723952,1.09,0.97,0.94,,,,,
2,23.5,10,0.25,0.5,1,4,3.356210546,3.03857987,0.37917455,-0.000845395,-0.001408045,0.8356509,0.007939445,0.680278291,1.14,0.97,0.92,,,,,
2,23.8,10,0.25,0.5,1,20,0.605461194,22.52470902,0.16756175,0.26357535,0.027605015,0.302962324,0.025402298,1.02461075,1.01,0.83,1.09,,,,,
2,23.2,10,0.25,0.5,1,21.4,0.605803807,10.26908936,0.1394667,0.2810494,0.030824345,0.282754836,0.026823978,1.03755427,0.99,0.81,1.09,,,,,
2,23.1,10,0.25,0.5,1,23.5,0.603770188,10.65713826,0.1139679,0.3015076,0.037962195,0.266544025,0.029181152,1.0327,0.94,0.8,1.21,,,,,
3,23.8,20,0.25,0.5,1,0,,,0.4185546,-0.00586945,-0.006195,1.0712556,0.009765807,0.014768284,1,1,1,,,,,
3,23,20,0.25,0.5,1,1,3.341403787,10.45952455,0.40242465,0.000516805,-0.004449905,1.0495276,0.006633962,0.625747119,1.02,1,0.96,,,,,
3,23.6,20,0.25,0.5,1,3,1.416009573,56.04643135,0.3067429,0.0696537,-0.00204625,0.611484769,0.012159948,0.93895692,1.01,0.99,0.97,,,,,
3,24,20,0.25,0.5,1,4,0.754058129,236.0460152,0.30595355,0.2109697,-6.21E-06,0.378576756,0.0157958,1.05697675,0.94,1.01,1,,,,,
3,23.8,20,0.25,0.5,1,5,0.531752002,330.7561371,0.09830205,0.39153645,0.007126285,0.229101616,0.018821592,1.19804812,0.87,1.06,1.06,,,,,
3,23.3,20,0.25,0.5,1,6,0.51,309.5,-0.005370785,0.4639632,0.01362819,0.004459955,0.019363232,1.23054252,0.8,1.1,1.11,,,,,
4,22.7,30,0.25,1,2,0,,,0.9865815,-0.00499074,-0.006195,1.93975,0.005995418,0.018520854,1,1,1,,,,,
4,21.1,30,0.25,1,2,1,2.905315409,50.01282472,0.9369805,0.025803545,-0.0037942,1.6103461,0.009225956,0.774266321,1,0.99,0.97,,,,,
4,21.6,30,0.25,1,2,1.7,2.241246873,122.5169104,0.902022,0.07617725,-0.002156175,1.3494096,0.011881024,0.99873523,1,0.99,0.97,,,,,
4,23.3,30,0.25,1,2,4,1.006619666,390.4728241,0.4620494,0.5640235,0.01061682,0.009108418,0.02147945,1.66500032,0.74,1.12,1.14,,,,,
4,21.9,30,0.25,1,2,5,0.838444824,587.7500205,-0.004290175,0.83241,0.021000355,0.005006813,0.020556248,1.79649472,0.58,1.19,1.18,,,,,
5,20.7,30,0.25,1,2,0,,,0.914509,-0.006195,-0.006195,1.8897424,0.003605107,0.013034419,1,1,2,,,,,
5,19.8,30,0.25,1,2,1,5.484457959,15.71935127,0.93251,0.00343711,-0.00403515,1.5965676,0.006256087,0.659099128,1.04,0.99,1.98,,,,,
