exp,V,E,t,VF,VA,VB,CFLA,CALA,CFK,CBK,I
1,20,0.25,0.0,1.0,1.0,1.0,0.46657664,0.0001795649999999,1.0324541,0.007973731,0.0
1,20,0.25,0.25,1.0016985,0.9988944179461842,0.9991747767857143,0.4655636991388426,0.0001955494661887254,1.0301827138259834,0.008799216063643886,0.025000000000000005
1,20,0.25,0.5,1.006196,0.9966197856491336,0.9969660714285714,0.4632862090980612,0.0002379915849126844,1.0237019773198373,0.011220360546424637,0.05
1,20,0.25,0.75,1.0125955,0.993535260527516,0.9937743303571428,0.4601461945937274,0.0002986244364080012,1.013512023505418,0.015154198386115895,0.075
1,20,0.25,1.0,1.02,0.99,0.99,0.4565456803419132,0.0003691811009109,1.000112985406582,0.0205177635204913,0.1
1,20,0.25,1.25,1.0331618870774306,0.9842766787922428,0.9825773121762116,0.4506481434825635,0.0004635217735162481,0.9387836125576721,0.07434944012617999,0.125
1,20,0.25,1.5,1.0527913688842965,0.9761462777319845,0.9710697467874639,0.44217237004442594,0.0006001477859809555,0.8214227815347218,0.1866070382719035,0.15000000000000002
1,20,0.25,1.75,1.071928176282459,0.9682454133910182,0.9598216223862553,0.43385334807677645,0.0007777539235343101,0.7034608159241237,0.301586730733574,0.17500000000000004
1,20,0.25,2.0,1.0836120401337792,0.963210702341137,0.9531772575250834,0.428426065628891,0.0009950349714056,0.6403280393122702,0.3635846902871035,0.2
1,20,0.25,2.25,1.08838009433034,0.9606112011873198,0.9508587316477892,0.42593720809751445,0.0012785033593140295,0.6270976749424839,0.376494817232648,0.225
1,20,0.25,2.5,1.091831498635075,0.9584318895267853,0.9493165230348809,0.42420432978624323,0.0016761709161785664,0.6191103021397178,0.3842050782885056,0.25
1,20,0.25,2.75,1.0945990227161198,0.9569332684196858,0.9479875484938566,0.42261872210463,0.002218981526028145,0.6121972786128108,0.3910027458578026,0.275
1,20,0.25,3.0,1.0973154362416109,0.9563758389261744,0.9463087248322148,0.4205716764622277,0.0029378790728917,0.6021899620706009,0.4011750923436649,0.3
1,20,0.25,3.25,1.1000059504030175,0.9563758389261744,0.9435874267815925,0.4179715641563367,0.004279190712257292,0.5864163199549112,0.4184995220316539,0.32410239361702126
1,20,0.25,3.5,1.1024272853760986,0.9563758389261744,0.9402544464755095,0.41499624524708933,0.0065557263471632075,0.5663544996510195,0.44164460785945064,0.3476063829787234
1,20,0.25,3.75,1.1048094743054262,0.9563758389261744,0.9374318268242894,0.4114412442882868,0.009598153982963719,0.5440611287829484,0.46723437520836064,0.37230718085106385
1,20,0.25,4.0,1.1073825503355708,0.9563758389261744,0.9362416107382552,0.40710208583373,0.0132371416250131,0.5215928349747196,0.4918928494596896,0.4
1,20,0.25,4.25,1.1101605752459989,0.9553061522834929,0.9367568822797909,0.4016046602344015,0.018053308254785586,0.49947991816072257,0.5150031098316556,0.4307633738601824
1,20,0.25,4.5,1.1130064623935503,0.9521943365956921,0.9383130535488834,0.394742086660688,0.02468481167013302,0.4768645451323267,0.5382038178651215,0.4634990881458967
1,20,0.25,4.75,1.115923522288856,0.9471862582231376,0.94092565951226,0.3865607328954965,0.033048628100976044,0.45372114379902484,0.56150237242536,0.4982372340425532
1,20,0.25,5.0,1.1189150654425473,0.9404277835261953,0.9446102351366489,0.37710696672173377,0.04306173377723531,0.43002414207031,0.5849061723776436,0.5350079027355624
1,20,0.25,5.25,1.121984402365255,0.9320647788652306,0.9493823153887777,0.3664271559223068,0.054641104928831494,0.40574796785567496,0.6084226165872453,0.5738411854103344
1,20,0.25,5.5,1.1251348435676107,0.9222431106006094,0.9552574352353741,0.3545676682801226,0.06770371778568524,0.3808670490646127,0.6320591039194373,0.6147671732522796
1,20,0.25,5.75,1.1283696995602457,0.9111086450926972,0.9622511296431656,0.3415748715780881,0.08216654857771717,0.35535581360661617,0.6558230332394925,0.6578159574468087
1,20,0.25,6.0,1.131692280853791,0.8988072487018597,0.9703789335788804,0.32749513359911014,0.09794657353484801,0.32918868939117824,0.6797218034126836,0.7030176291793313
1,20,0.25,6.25,1.1351058979588784,0.8854847877884625,0.9796563820092459,0.3123748221260957,0.11496076888699835,0.30234010432779174,0.7037628133042831,0.7504022796352584
1,20,0.25,6.5,1.1386138613861383,0.8712871287128714,0.99009900990099,0.2962603049419517,0.13312611086408888,0.27478448632594965,0.7279534617795638,0.8
2,20,0.25,0.0,1.0,1.0,1.0,0.49514725,0.0005181399999999,1.08406,0.011811638,0.0
2,20,0.25,0.25,1.0085963628762542,0.9975438963210702,0.9938597408026756,0.4901545143797455,0.0016335266330206764,0.9549372135570839,0.1366787022101634,0.12031250000000002
2,20,0.25,0.5,1.0160953177257528,0.9954013377926421,0.9885033444816054,0.4849705812812573,0.0037003259836078627,0.8410203555074217,0.2469971834878305,0.22916666666666669
2,20,0.25,0.75,1.0213994565217392,0.9938858695652173,0.9847146739130435,0.47960484680994736,0.006440727240318643,0.7496521756838673,0.3360146666632844,0.3234375000000001
2,20,0.25,1.0,1.0234113712374584,0.9933110367892976,0.9832775919732442,0.4740667070712277,0.0095769195917102,0.6881754239192751,0.3969787365668084,0.4
2,20,0.25,1.25,1.0234113712374584,0.9933110367892976,0.9832775919732442,0.4686185495838106,0.013408938800319513,0.6515047420577696,0.4343450785906219,0.459375
2,20,0.25,1.5,1.0234113712374584,0.9933110367892976,0.9832775919732442,0.4631520316072097,0.018454130304062732,0.6250180276338557,0.46163383131446706,0.5083333333333333
2,20,0.25,1.75,1.0234113712374584,0.9933110367892976,0.9832775919732442,0.45712045385803934,0.024760647804565813,0.6017529140159573,0.48568925934991053,0.553125
2,20,0.25,2.0,1.0234113712374584,0.9933110367892976,0.9832775919732442,0.4499771170529135,0.0323766450034547,0.5747470345724992,0.5133556273085194,0.6
2,20,0.25,2.25,1.0190351486085696,0.9942492199323629,0.98684064330767,0.44143077381058243,0.042835226273132875,0.5421025692794952,0.5467400658987033,0.653125
2,20,0.25,2.5,1.008396962621737,0.9966489789054763,0.995287423402393,0.4312680710988087,0.05703701413264587,0.5073357931310504,0.5822766125713098,0.7083333333333334
2,20,0.25,2.75,0.9952325361267116,0.9998881280245137,1.0052543713945816,0.4190591511577252,0.07408143950358266,0.4716054820227263,0.6182998920515629,0.759375
2,20,0.25,3.0,0.983277591973244,1.0033444816053512,1.013377926421405,0.4043741562274647,0.0930679333075323,0.4360704118500839,0.6531445290646858,0.8
2,20,0.25,3.25,0.973154397655942,1.00721315765184,1.0192574091464113,0.38491948667304293,0.11513998588922084,0.40092078542662457,0.686562499678679,0.83203125
2,20,0.25,3.5,0.962994867126071,1.0119954043992332,1.02467636354509,0.3594960989448438,0.1415710723640261,0.36557535248484235,0.7194052888306186,0.8604166666666667
2,20,0.25,3.75,0.9527991929183671,1.0175282315105099,1.0295475637225209,0.3293159694110528,0.1716556008095147,0.3300357092987875,0.7516567845493437,0.88359375
2,20,0.25,4.0,0.9425675675675677,1.023648648648649,1.0337837837837838,0.2955910744398552,0.20468797930325316,0.2943034521425104,0.7833008748636925,0.9
3,10,0.25,0.0,1.0,1.0,1.0,0.43435735,4.999999999999796e-06,1.0188856,0.008662391,0.0
3,10,0.25,0.25,1.0116137625400066,0.9954575519663268,0.9929278028832935,0.4287991509853249,0.00019290952635573938,1.0145664979974978,0.009633187701109611,0.03671875000000001
3,10,0.25,0.5,1.0227550815100415,0.9911416039675577,0.9861009608947383,0.42352188650557476,0.0003972214135033302,1.0026412633391861,0.012470528697026296,0.06875
3,10,0.25,0.75,1.0333884249424468,0.9870742519783208,0.9795346752481118,0.41855345918086795,0.0006163766992256809,0.9846580030488573,0.017061840326631834,0.09140625000000001
3,10,0.25,1.0,1.0434782608695652,0.983277591973244,0.9732441471571908,0.4139217716313227,0.0008488164213057,0.9621648241503036,0.023294548928808,0.1
3,10,0.25,1.25,1.0537999785376877,0.9792212565682084,0.9669048796418137,0.4093613743522204,0.001095904869811079,0.8995983574261531,0.07743420956329093,0.1
3,10,0.25,1.5,1.0641740747928459,0.9750329327254135,0.9605912578869745,0.40489874468931536,0.0013606516418683465,0.7918081705256286,0.18914840826688345,0.1
3,10,0.25,1.75,1.0731326790669924,0.9717217979389653,0.9549168063541835,0.4009996755384357,0.0016439657358486657,0.6859617757724132,0.30342761784406735,0.1
3,10,0.25,2.0,1.0792079207920793,0.9702970297029702,0.9504950495049505,0.3981299597954092,0.0019467561501232,0.6292266854901899,0.3652623110993244,0.1
