V,E,time,CFLA,CALA,CBLA,CFK,CAK,CBK,VF,VA,VB,I,exp
20,0.25,0.0,0.46657664,0.00017956499999999959,0.00013374499999999935,1.0324541,0.0,0.007973731,1.0,1.0,1.0,0.0,1
20,0.25,1.0,0.45654568034191323,0.0003691811009109562,0.0008564310720672859,1.000112985406582,0.0,0.020517763520491325,1.02,0.9899999999999999,0.9899999999999999,0.1,1
20,0.25,2.0,0.428426065628891,0.0009950349714056724,0.0017665954893841694,0.6403280393122702,0.0,0.3635846902871035,1.0836120401337792,0.963210702341137,0.9531772575250834,0.2,1
20,0.25,3.0,0.42057167646222776,0.0029378790728917235,0.002726848798146599,0.6021899620706009,0.0,0.4011750923436649,1.0973154362416109,0.9563758389261744,0.9463087248322147,0.3,1
20,0.25,4.0,0.40710208583373,0.013237141625013183,0.003644915454266411,0.5215928349747196,0.0023991336739968908,0.49189284945968964,1.1073825503355708,0.9563758389261745,0.9362416107382552,0.4,1
20,0.25,6.5,0.2962603049419517,0.13312611086408893,0.013708521256357247,0.2747844863259497,0.007814191199539001,0.7279534617795638,1.1386138613861385,0.8712871287128714,0.99009900990099,0.8,1
20,0.25,0.0,0.49514725,0.0005181399999999994,4.999999999999796e-06,1.08406,0.0009222749999999996,0.011811638000000001,1.0,1.0,1.0,0.0,2
20,0.25,1.0,0.4740667070712277,0.009576919591710255,0.0010091466920623834,0.6881754239192751,0.002181655612996898,0.3969787365668084,1.0234113712374584,0.9933110367892977,0.9832775919732442,0.4,2
20,0.25,2.0,0.44997711705291354,0.03237664500345477,0.003049609611504556,0.5747470345724992,0.003845902286567428,0.5133556273085194,1.0234113712374584,0.9933110367892977,0.9832775919732442,0.6,2
20,0.25,3.0,0.40437415622746475,0.09306793330753237,0.0046173752041771075,0.4360704118500839,0.006112955321585083,0.6531445290646858,0.983277591973244,1.0033444816053512,1.0133779264214047,0.8,2
20,0.25,4.0,0.2955910744398552,0.20468797930325322,0.007281267785603486,0.2943034521425104,0.00940682307574156,0.7833008748636925,0.9425675675675675,1.0236486486486487,1.0337837837837838,0.9,2
10,0.25,0.0,0.43435735,4.999999999999796e-06,4.999999999999796e-06,1.0188856,0.00019135599999999973,0.008662391,1.0,1.0,1.0,0.0,3
10,0.25,1.0,0.41392177163132277,0.0008488164213057121,0.0016587383957505496,0.9621648241503037,0.0010881832647013678,0.023294548928808,1.0434782608695652,0.983277591973244,0.9732441471571907,0.1,3
10,0.25,2.0,0.3981299597954092,0.001946756150123299,0.002959944058211483,0.6292266854901899,0.001538606765654763,0.36526231109932444,1.0792079207920793,0.9702970297029702,0.9504950495049503,0.1,3
10,0.25,3.0,0.39203135923637616,0.003401286089418314,0.003993532899589562,0.5927020340721024,0.0022869950733965627,0.40369760068107846,1.09,0.9700000000000001,0.94,0.2,3
10,0.25,4.0,0.37660265923389397,0.005232723546863966,0.004682880579242076,0.5482290437144236,0.002924749209515701,0.4458680694590511,1.1287128712871288,0.9603960396039605,0.9108910891089109,0.2,3
20,0.25,0.0,0.4247546,0.00033054999999999977,4.999999999999796e-06,1.0677556,0.006265807,0.011268284,1.0,1.0,1.0,0.0,4
20,0.25,1.0,0.40580131053049856,0.006670396099642557,0.001738002943662045,0.6762912759015,0.0020262095948585072,0.4023032451864009,1.0268456375838926,1.0067114093959733,0.9664429530201342,0.4,4
20,0.25,3.0,0.33324842629866264,0.0807755221605311,0.0044232690715720665,0.42694633653172404,0.006081292265325204,0.6569077472683367,1.0202020202020203,1.0,0.9797979797979799,0.7,4
20,0.25,4.0,0.25142971022146665,0.17492325408403286,0.004988899933614779,0.28219359478426903,0.009250895842632313,0.7925961455850616,0.9559322033898304,1.0271186440677966,1.0169491525423728,0.8,4
20,0.25,5.0,0.08406964941720524,0.31997041122106007,0.010720709383057662,0.16502410155380712,0.01120750816862056,0.8737935204586005,0.8729096989966556,1.0635451505016722,1.0635451505016722,0.8,4
20,0.25,6.0,0.000655116549240422,0.37144973639386,0.015665147652277698,0.0007573364277259031,0.012514965238023906,0.9680495427020956,0.7973421926910299,1.0963455149501662,1.106312292358804,0.2,4
30,0.25,0.0,0.5042800000000001,4.999999999999796e-06,4.999999999999796e-06,1.0188856,8.480499999999986e-05,0.007717628000000001,1.0,1.0,1.0,0.0,5
30,0.25,1.0,0.4821562626114537,0.01823704587815336,0.0022381059027539595,0.6098865001959155,0.0025336997363532925,0.4149954945700987,1.0033444816053512,1.0033444816053512,0.9933110367892976,0.8,5
30,0.25,2.0,0.39680534893378805,0.11299935767792103,0.004184613768863377,0.38626769386122267,0.006201052843051434,0.6393411031917442,0.9696969696969697,1.02020202020202,1.01010101010101,1.5,5
30,0.25,4.0,0.00019009118221438925,0.4393266875630476,0.01440124860940253,0.00032138041948712745,0.011887262430251637,0.9119070009761072,0.7777777777777778,1.1111111111111112,1.1111111111111112,0.2,5
