Date,exp,Voltage [V],Temp_F [C],Temp_A [C],Temp_B [C],Electrolyte [M],Ci_LA [M],Ci_K [M],Time [hr],CF_LA [M],CA_LA [M],CB_LA [M],CF_K [M],CA_K [M],CB_K [M],pH_F,pH_A,pH_B,VF_Tank [L],VA_Tank [L],VB_Tank [L],VF_Line [L],VA_Line [L],VB_Line [L],SEC [kWh/kg],Current [A]
220516,1,20,20.2,19.8,19.6,0.25,0.5,1,0,0.46037664,-0.006020435,-0.006066255,1.0359541,0.0035,0.011473731,13.49,9.23,10.93,0.8,0.8,0.78,0.2,0.2,0.22,0,0
220516,1,20,21.1,20.1,20.5,0.25,0.5,1,1,0.44715996,-0.005833395,-0.005349545,1.0848421,0.0035,0.025684215,13.45,9.79,12.24,0.82,0.79,0.77,0.2,0.2,0.22,28.90470248,0.1
220516,1,20,21.9,21.4,21.1,0.25,0.5,1,2,0.43424742,-0.005177045,-0.004383835,1.0305261,0.0035,0.586655732,13.45,8.91,12.57,0.88,0.76,0.73,0.2,0.2,0.22,16.38018953,0.2
220516,1,20,22.3,21.7,21.6,0.25,0.5,1,3,0.42352871,-0.003198155,-0.00341378,0.9546181,0.0035,0.637128781,13.38,4.25,12.82,0.89,0.75,0.72,0.2,0.2,0.22,10.87802067,0.3
220516,1,20,22.6,22.2,21.9,0.25,0.5,1,4,0.409354765,0.007311985,-0.002479405,0.7763125,0.007054651,0.732307831,13.25,3.52,13.04,0.9,0.75,0.71,0.2,0.2,0.22,4.37100317,0.4
220516,1,20,21.4,20.9,20.7,0.25,0.5,1,6.5,0.27290461,0.11921711,0.006714695,0.401772609,0.014825888,1.05859568,12.54,2.64,13.49,0.95,0.68,0.78,0.2,0.2,0.22,1.547795198,0.8
220516,1,20,,,,0.25,0.5,1,,,,,,,,,,,,,,0.2,0.2,0.22,,
220516,1,20,,,,0.25,0.5,1,,,,,,,,,,,,,,0.2,0.2,0.22,,
220516,1,20,,,,0.25,0.5,1,,,,,,,,,,,,,,0.2,0.2,0.22,,
220516,1,20,,,,0.25,0.5,1,,,,,,,,,,,,,,0.2,0.2,0.22,,
220524,2,20,22.6,22.7,23.2,0.25,0.5,1,0,0.48894725,-0.00568186,-0.006195,1.08756,0.004422275,0.015311638,13.48,10.81,11.74,0.81,0.8,0.78,0.19,0.2,0.22,0,0.1
