number,value,datetime_start,datetime_complete,duration,params_batch_size,params_current_dropout,params_current_hidden_size,params_current_n_layers,params_decoder_dropout,params_decoder_hidden_size,params_decoder_n_layers,params_lstm_dropout,params_lstm_hidden_size,params_lstm_n_layers,params_noam_factor,params_warmup_ratio,state
0,0.017789726285263895,2025-08-14 23:58:40.357200,2025-08-15 00:02:38.055267,0 days 00:03:57.698067,16,0.4,96,3,0.2,128,6,0.1,48,2,0.7,0.1,COMPLETE
1,0.013271523903434477,2025-08-15 00:02:38.068925,2025-08-15 00:08:09.261234,0 days 00:05:31.192309,8,0.2,96,5,0.30000000000000004,48,5,0.1,128,2,1.3,0.2,COMPLETE
2,0.10026909930941959,2025-08-15 00:08:09.272234,2025-08-15 00:11:06.266274,0 days 00:02:56.994040,8,0.1,96,2,0.4,96,3,0.1,32,2,1.8,0.25,COMPLETE
3,0.09721790387760847,2025-08-15 00:11:06.278271,2025-08-15 00:18:57.347012,0 days 00:07:51.068741,4,0.1,64,4,0.5,96,2,0.2,64,2,0.6,0.05,COMPLETE
4,0.016138640870340167,2025-08-15 00:18:57.368849,2025-08-15 00:25:46.734547,0 days 00:06:49.365698,4,0.2,96,2,0.2,48,6,0.2,32,2,1.1,0.25,COMPLETE
5,0.022286783251911402,2025-08-15 00:25:46.758441,2025-08-15 00:32:36.814251,0 days 00:06:50.055810,8,0.6,64,3,0.2,64,4,0.30000000000000004,128,3,0.8,0.05,COMPLETE
6,0.019290258269757034,2025-08-15 00:32:36.835223,2025-08-15 00:44:06.451333,0 days 00:11:29.616110,8,0.5,32,2,0.4,64,2,0.4,48,5,1.1,0.3,COMPLETE
7,0.015517079108394682,2025-08-15 00:44:06.473997,2025-08-15 00:48:43.690467,0 days 00:04:37.216470,16,0.1,48,2,0.30000000000000004,96,3,0.30000000000000004,32,4,1.9000000000000001,0.2,COMPLETE
8,0.01808680420120557,2025-08-15 00:48:43.712814,2025-08-15 00:55:24.761843,0 days 00:06:41.049029,8,0.6,128,3,0.4,128,5,0.4,96,3,1.5,0.25,COMPLETE
9,0.019159222443122417,2025-08-15 00:55:24.772984,2025-08-15 01:00:54.545035,0 days 00:05:29.772051,4,0.2,32,3,0.6,32,4,0.5,48,2,1.3,0.3,COMPLETE
