Trial Number,Recovery Ratio,Flux,Energy Efficiency,Voltage,Electrolyte,LA conc,Feed Flow rate,Acid Flow rate,Base Flow rate
68,95.38662434,25.78300456,2.501613939,27.5,0.7,1,5,5,13.5
65,94.42128241,30.62648716,2.796488798,10,0.65,1,6,10,5.5
89,93.48011679,45.48181602,2.348145708,22.5,0.5,1.5,6,11,15
11,91.16666516,49.28469918,2.399432722,20,0.6,2,5,12,7.5
12,91.15587672,49.27886695,2.550881681,20,0.65,2,5,13,6.5
21,89.01923895,40.90523049,3.581434472,27.5,0.7,1,8.5,15,10.5
15,89.01801179,40.9046666,1.939173721,22.5,0.55,1,8.5,5,8.5
60,88.1783002,42.90227018,1.777237913,10,0.8,1,9,7,6.5
57,88.17738957,42.90182712,1.843912469,17.5,0.95,1,9,6,9
16,88.17651757,42.90140286,2.346366415,22.5,0.55,1,9,5.5,5
40,86.54338121,46.78535188,1.797229736,12.5,0.65,1,10,8,7.5
56,86.54253682,46.7848954,1.661037558,15,1,1,10,6.5,10
35,86.54231826,46.78477725,1.604284381,15,0.65,1,10,6,7.5
66,85.7455106,48.67172418,3.176710371,35,0.9,1,10.5,5.5,8.5
6,83.44712357,27.066909,3.402879391,32.5,0.45,0.5,12,9,13
19,82.87114627,49.28015584,2.52107274,25,0.6,2,5.5,11,9
70,82.86306352,49.27534935,2.561060789,20,0.65,2,5.5,12.5,5.5
39,82.70749251,27.94479403,3.068843387,15,0.8,0.5,12.5,6.5,5
36,81.26722442,29.65481653,2.917150257,15,0.7,0.5,13.5,8.5,7
13,81.03764499,49.28506974,2.842844134,17.5,0.5,1.5,7.5,15,8
61,81.02178574,49.27542454,1.694746421,12.5,0.8,1.5,7.5,7,6
64,75.95897549,49.27610658,1.832820704,15,0.75,1.5,8,7.5,7
0,72.93739319,49.28744345,2.361727932,25,1,2.5,5,11,10
14,70.120058,49.27897436,2.412524651,17.5,0.75,2,6.5,12,7.5
2,69.2336143,39.29907649,1.890295737,10,0.8,1.5,7,7,8.5
22,66.28835563,49.27379194,2.436083062,25,0.5,2.5,5.5,10.5,9.5
59,63.96450494,49.27537621,1.742849236,12.5,0.85,1.5,9.5,7,6.5
18,62.8585377,49.27292194,2.524352757,22.5,0.6,1,14.5,8.5,6.5
41,60.767591,49.27643954,1.59620618,12.5,1,1.5,10,6,10
69,60.76143185,49.27144509,2.729479058,30,0.6,2.5,6,10,8.5
58,55.240483,49.27395843,1.921489594,17.5,0.95,1.5,11,6,9
23,52.83895322,49.27417324,1.994051311,20,0.55,1.5,11.5,6.5,8
67,50.63851123,49.2753225,3.148371578,22.5,0.45,2,9,14,7.5
24,50.63578486,49.27266954,1.808153428,20,0.55,1.5,12,5,8
90,47.50484039,26.96517255,2.424295791,12.5,0.45,1.5,7,7,14.5
10,46.7349678,49.26660101,3.270559995,35,0.85,3,6.5,13.5,5.5
17,44.94663255,10.32671356,5.413303161,15,0.35,0.5,8.5,7.5,11
55,35.58067436,10.57920191,4.30736816,12.5,0.35,0.5,11,6,12
25,35.05546695,49.27256213,1.700293427,17.5,0.35,2,13,5,6
62,34.83689494,28.2492381,2.830216958,10,0.75,2,7.5,9.5,6
63,34.56768623,30.36684816,3.050487359,10,0.8,2.5,6.5,11.5,6
5,31.9780906,49.26896397,2.468178441,27.5,0.7,3,9.5,10,15
9,28.92797902,49.26116619,3.368456266,30,0.25,3,10.5,14,14
3,28.90416649,35.15758291,2.661833802,10,0.9,1.5,15,11.5,9.5
20,27.00577253,49.27270713,2.765471902,20,0.25,2.5,13.5,12.5,7
4,25.52383807,10.34864015,6.372631823,12.5,0.4,1,7.5,9.5,11.5
8,15.83835317,25.68664117,2.487491826,10,0.95,2.5,12,7.5,12.5
1,12.77991467,22.79911217,2.277551331,10,0.85,3,11,5.5,14.5
