number,value,datetime_start,datetime_complete,duration,params_current_dropout,params_current_hidden_size,params_current_n_layers,params_decoder_dropout,params_decoder_hidden_size,params_decoder_n_layers,params_lstm_dropout,params_lstm_hidden_size,params_lstm_n_layers,state
0,0.21854656408540904,2025-09-15 18:14:23.660418,2025-09-15 18:17:22.257219,0 days 00:02:58.596801,0.30000000000000004,72,2,0.2,64,2,0.5,32,2,COMPLETE
1,0.2433407579548657,2025-09-15 18:17:22.271913,2025-09-15 18:21:38.903587,0 days 00:04:16.631674,0.4,64,2,0.30000000000000004,48,4,0.1,32,3,COMPLETE
2,0.2801084850449115,2025-09-15 18:21:38.927870,2025-09-15 18:26:07.371055,0 days 00:04:28.443185,0.2,96,4,0.30000000000000004,72,4,0.5,48,3,COMPLETE
3,0.03110158401541412,2025-09-15 18:26:07.384126,2025-09-15 18:31:44.726147,0 days 00:05:37.342021,0.30000000000000004,16,4,0.4,16,4,0.1,32,3,COMPLETE
4,0.07354127024300397,2025-09-15 18:31:44.740369,2025-09-15 18:35:33.943214,0 days 00:03:49.202845,0.4,16,4,0.1,16,2,0.30000000000000004,96,2,COMPLETE
5,0.21878719195956364,2025-09-15 18:35:33.956849,2025-09-15 18:42:04.017724,0 days 00:06:30.060875,0.2,64,3,0.2,32,4,0.5,32,4,COMPLETE
6,0.28023850414901974,2025-09-15 18:42:04.030819,2025-09-15 18:48:00.297871,0 days 00:05:56.267052,0.2,96,2,0.5,48,2,0.2,48,4,COMPLETE
7,0.18077494280878453,2025-09-15 18:48:00.321218,2025-09-15 18:52:21.188451,0 days 00:04:20.867233,0.6,48,2,0.6,48,4,0.1,48,3,COMPLETE
8,0.2806692714802921,2025-09-15 18:52:21.216545,2025-09-15 18:58:11.653710,0 days 00:05:50.437165,0.2,64,4,0.4,64,2,0.4,16,4,COMPLETE
9,0.22051065715495496,2025-09-15 18:58:11.677490,2025-09-15 19:01:11.265914,0 days 00:02:59.588424,0.2,64,3,0.4,48,4,0.2,64,2,COMPLETE
10,0.13367882557213306,2025-09-15 19:01:11.276778,2025-09-15 19:05:33.833033,0 days 00:04:22.556255,0.6,16,4,0.6,16,3,0.2,72,3,COMPLETE
11,0.04119063629768789,2025-09-15 19:05:33.856984,2025-09-15 19:08:32.307160,0 days 00:02:58.450176,0.4,16,4,0.1,16,3,0.30000000000000004,96,2,COMPLETE
12,0.04231322221457958,2025-09-15 19:08:32.331952,2025-09-15 19:11:32.661284,0 days 00:03:00.329332,0.5,16,3,0.1,16,3,0.30000000000000004,96,2,COMPLETE
13,0.1763703356962651,2025-09-15 19:11:32.681485,2025-09-15 19:14:36.011815,0 days 00:03:03.330330,0.30000000000000004,32,4,0.5,96,3,0.4,96,2,COMPLETE
14,0.09372580433264374,2025-09-15 19:14:36.034094,2025-09-15 19:18:56.192927,0 days 00:04:20.158833,0.5,16,3,0.2,16,3,0.4,16,3,COMPLETE
15,0.01886024314444512,2025-09-15 19:18:56.215049,2025-09-15 19:23:18.054146,0 days 00:04:21.839097,0.1,16,4,0.4,16,3,0.2,72,3,COMPLETE
16,0.11635289921541699,2025-09-15 19:23:18.069276,2025-09-15 19:27:41.922611,0 days 00:04:23.853335,0.1,32,3,0.5,96,3,0.1,72,3,COMPLETE
17,0.219181149546057,2025-09-15 19:27:41.935620,2025-09-15 19:33:32.912232,0 days 00:05:50.976612,0.1,48,4,0.4,32,4,0.2,72,4,COMPLETE
18,0.27944833948276937,2025-09-15 19:33:32.935207,2025-09-15 19:37:58.349558,0 days 00:04:25.414351,0.1,72,4,0.30000000000000004,72,3,0.1,64,3,COMPLETE
19,0.030172579805366695,2025-09-15 19:37:58.373062,2025-09-15 19:42:31.012809,0 days 00:04:32.639747,0.30000000000000004,16,4,0.5,16,3,0.2,72,3,COMPLETE
20,0.013945179595611989,2025-09-15 19:42:31.025772,2025-09-15 19:48:26.944790,0 days 00:05:55.919018,0.1,16,3,0.5,16,3,0.2,72,4,COMPLETE
21,0.07730836336268113,2025-09-15 19:48:26.961148,2025-09-15 19:54:35.462014,0 days 00:06:08.500866,0.1,16,3,0.5,16,3,0.2,72,4,COMPLETE
22,0.016959596332162617,2025-09-15 19:54:35.476165,2025-09-15 20:00:34.383095,0 days 00:05:58.906930,0.1,16,3,0.6,16,3,0.2,72,4,COMPLETE
23,0.014279206830542535,2025-09-15 20:00:34.409446,2025-09-15 20:06:33.406451,0 days 00:05:58.997005,0.1,16,3,0.6,16,3,0.30000000000000004,72,4,COMPLETE
24,0.016309923061635347,2025-09-15 20:06:33.419485,2025-09-15 20:12:18.755329,0 days 00:05:45.335844,0.1,16,3,0.6,16,3,0.30000000000000004,72,4,COMPLETE
25,0.01840445175766945,2025-09-15 20:12:18.779704,2025-09-15 20:18:15.268483,0 days 00:05:56.488779,0.2,16,3,0.6,16,2,0.30000000000000004,72,4,COMPLETE
26,,2025-09-15 20:18:15.284497,2025-09-15 20:19:16.458689,0 days 00:01:01.174192,0.1,72,3,0.6,64,3,0.4,72,4,FAIL
