Stage 1 Voltage,Stage 2 Voltage,Stage 1 E Conc,Stage 2 E Conc,Feed LA Conc,Feed Flow Rate,Recovery Rate (%),Productivity (g/hr),Total Energy Consumption (kWh/kg)
10.0,18.0,0.16999999999999998,0.18,3.0,18.0,42.656008844022395,124.52312725782394,2.1137297617315416
10.0,19.0,0.15,0.15,3.0,13.5,48.88813682053805,107.03715339899064,1.9357447191205153
10.0,17.0,0.15,0.15,3.0,10.5,54.941511658764384,93.55935078859329,1.7570571638068977
10.0,15.0,0.15,0.15,3.0,13.0,49.76314866644705,104.91763685941696,1.8211535184729146
10.0,19.0,0.15,0.15,3.0,18.5,42.106639873516094,126.33381481170653,2.158778347228565
10.0,14.0,0.15,0.15,3.0,12.5,50.686730278862846,102.7546739578247,1.7793219362624058
10.0,14.0,0.22,0.15,3.0,11.5,52.69056357047408,98.2715893983841,1.7336364635794421
10.0,14.0,0.21,0.15,3.0,12.0,51.660361113371664,100.53932838439941,1.7564121623487545
10.0,14.0,0.22,0.15,3.0,11.5,52.69056357047408,98.2715893983841,1.7336364635794421
10.0,14.0,0.22,0.15,3.0,12.0,51.65995271117598,100.53853356838226,1.7564013981913225
10.0,13.0,0.15,0.15,3.0,10.0,56.17292722066244,91.10125336647033,1.6449578784408325
10.0,13.0,0.15,0.24,3.0,13.5,48.88771002184706,107.03621895313262,1.8028735170418073
10.0,13.0,0.22,0.24,3.0,10.5,54.93973298047585,93.55632189512252,1.6638145600462133
10.0,14.0,0.22,0.24,3.0,17.5,43.229197698926164,122.6909474492073,2.00977108333294
10.0,14.0,0.22,0.24,3.0,15.5,45.793428215929254,115.1150619149208,1.9159348030436978
10.0,12.0,0.22,0.24,3.0,16.5,44.45328856959488,118.95566661357879,1.9261029795318323
10.0,12.0,0.22,0.24,3.0,17.5,43.2282251025003,122.68818707466124,1.9735663171210636
10.0,12.0,0.22,0.24,3.0,11.5,52.69052901705682,98.27152495384216,1.6902116378419318
10.0,12.0,0.22,0.24,3.0,17.5,43.2282251025003,122.68818707466124,1.9735663171210636
10.0,11.0,0.22,0.24,3.0,11.0,53.78201152339126,95.94603291749954,1.6484751119013827
10.0,11.0,0.22,0.24,3.0,11.0,53.78201152339126,95.94603291749954,1.6484751119013827
10.0,11.0,0.22,0.22999999999999998,3.0,11.0,53.78229449493717,95.946537733078,1.6493031612105606
10.0,11.0,0.22,0.22999999999999998,3.0,16.0,45.1082984606425,117.05062150955199,1.8821530606204857
11.0,10.0,0.22999999999999998,0.22999999999999998,3.0,16.0,45.10326104031669,117.03755000829696,1.881435700126962
10.0,11.0,0.22999999999999998,0.25,3.0,12.0,51.65976506692391,100.53816838264464,1.6925352161945306
27.0,11.0,0.22999999999999998,0.25,3.0,17.0,43.70766137939653,120.50464488267899,2.279489907635302
10.0,11.0,0.22999999999999998,0.25,3.0,12.5,50.685204399956596,102.751580619812,1.715546337499812
10.0,11.0,0.22999999999999998,0.25,3.0,12.5,50.685204399956596,102.751580619812,1.715546337499812
10.0,10.0,0.22999999999999998,0.25,3.0,19.5,41.0644383172364,129.86669682264326,2.0325950487234397
10.0,10.0,0.22999999999999998,0.25,3.0,19.5,41.0644383172364,129.86669682264326,2.0325950487234397
10.0,10.0,0.22999999999999998,0.25,3.0,20.0,40.57801100942824,131.6188365101814,2.057113899883395
10.0,10.0,0.22999999999999998,0.25,3.0,20.0,40.57801100942824,131.6188365101814,2.057113899883395
10.0,11.0,0.22999999999999998,0.25,3.0,12.5,50.685204399956596,102.751580619812,1.715546337499812
10.0,11.0,0.22999999999999998,0.22999999999999998,3.0,10.0,56.17028474807739,91.09696780443191,1.6045303531074528
10.0,11.0,0.22999999999999998,0.22999999999999998,3.0,13.0,49.76166619194879,104.9145112991333,1.7403338092094731
10.0,11.0,0.22999999999999998,0.22999999999999998,3.0,13.5,48.886449248702434,107.03345857858659,1.7637930476466717
10.0,11.0,0.22999999999999998,0.22999999999999998,3.0,13.5,48.886449248702434,107.03345857858659,1.7637930476466717
10.0,11.0,0.22999999999999998,0.22999999999999998,3.0,14.0,48.05474054245722,109.10924949645997,1.7874380563699512
10.0,11.0,0.22999999999999998,0.22999999999999998,3.0,13.0,49.76166619194879,104.9145112991333,1.7403338092094731
10.0,11.0,0.24,0.22999999999999998,3.0,20.0,40.5803124109904,131.62630133628844,2.0745288375797686
10.0,11.0,0.22999999999999998,0.22,3.0,13.5,48.88662094932524,107.03383450508117,1.764549751699984
10.0,11.0,0.22999999999999998,0.22999999999999998,3.0,13.0,49.76166619194879,104.9145112991333,1.7403338092094731
10.0,10.0,0.24,0.22999999999999998,3.0,10.5,54.939108550863914,93.55525856018065,1.6045942305644332
10.0,10.0,0.22999999999999998,0.24,3.0,18.0,42.65303597038175,124.5144487261772,1.959688613602672
11.0,10.0,0.25,0.24,3.0,15.0,46.50506266841182,113.13286595344543,1.8325970394857176
11.0,10.0,0.25,0.24,3.0,15.0,46.50506266841182,113.13286595344543,1.8325970394857176
11.0,10.0,0.22999999999999998,0.24,3.0,14.5,47.25820716770216,111.13287255764007,1.8086189098260221
11.0,10.0,0.25,0.24,3.0,12.0,51.65041596801192,100.51997354030607,1.6921092046363024
11.0,10.0,0.25,0.24,3.0,18.5,42.098996875522374,126.31088329553603,2.000686910893277
