exp,T,V,E,Ci,Ki,t,CF_LA,CA_LA,CF_K,CB_K,NF_LA,NA_LA,NF_K,NB_K,VF,VA,VB
1,24.81666667,20,0.25,0.5,1,0,0.5,0,1,0,0.5,0,1,0,1,1,1
1,24.81666667,20,0.25,0.5,1,1,0.48201621,0.008427743,0.99250331,-0.012605486,0.491656534,0.008343466,1.012353376,-0.012353376,1.02,0.99,0.98
1,24.81666667,20,0.25,0.5,1,2,0.454278862,0.037005617,0.81059399,0.176728704,0.463364439,0.036635561,0.82680587,0.17319413,1.02,0.99,0.98
1,24.81666667,20,0.25,0.5,1,3,0.403857779,0.104219377,0.592361876,0.415332042,0.395780623,0.104219377,0.580514638,0.419485362,0.98,1,1.01
1,24.81666667,20,0.25,0.5,1,4,0.29793761,0.220710914,0.375557104,0.637972444,0.277081977,0.222918023,0.349268107,0.650731893,0.93,1.01,1.02
1,24.81666667,20,0.25,0.5,1,5.1,0.111844632,0.406348352,0.221396065,0.71297284,0.101778615,0.398221385,0.201470419,0.798529581,0.91,0.98,1.12
2,23.2875,10,0.25,0.5,1,0,0.5,0,1,0,0.5,0,1,0,1,1,1
2,23.2875,10,0.25,0.5,1,1,0.483785459,-0.003200895,0.957564347,0.004260906,0.503136877,-0.003136877,0.995866921,0.004133079,1.04,0.98,0.97
2,23.2875,10,0.25,0.5,1,2,0.469754227,-0.01227766,0.997346305,-0.09073695,0.512032107,-0.012032107,1.087107472,-0.087107472,1.09,0.98,0.96
2,23.2875,10,0.25,0.5,1,3,0.456047292,0.002998404,0.909884098,0.008751418,0.497091548,0.002908452,0.991773667,0.008226333,1.09,0.97,0.94
2,23.2875,10,0.25,0.5,1,4,0.442798132,-0.004938011,0.817353941,0.074148377,0.504789871,-0.004789871,0.931783493,0.068216507,1.14,0.97,0.92
2,23.2875,10,0.25,0.5,1,20,0.195677769,0.364295727,0.296328826,0.642851272,0.197634547,0.302365453,0.299292114,0.700707886,1.01,0.83,1.09
2,23.2875,10,0.25,0.5,1,21.4,0.162868511,0.418222437,0.27656379,0.666240228,0.161239826,0.338760174,0.273798152,0.726201848,0.99,0.81,1.09
2,23.2875,10,0.25,0.5,1,23.5,0.13309114,0.46861791,0.260707921,0.623912855,0.125105672,0.374894328,0.245065446,0.754934554,0.94,0.8,1.21
3,23.58333333,20,0.25,0.5,1,0,0.5,0,1,0,0.5,0,1,0,1,1,1
3,23.58333333,20,0.25,0.5,1,1,0.480731367,0.009654006,0.979717259,0.000717079,0.490345994,0.009654006,0.999311604,0.000688396,1.02,1,0.96
3,23.58333333,20,0.25,0.5,1,3,0.366431165,0.13121669,0.570811269,0.436577957,0.370095477,0.129904523,0.576519382,0.423480618,1.01,0.99,0.97
3,23.58333333,20,0.25,0.5,1,4,0.365488218,0.154892153,0.353395357,0.667808364,0.343558925,0.156441075,0.332191636,0.667808364,0.94,1.01,1
