exp,T,V,E,Ci,Ki,t,CF_LA,CA_LA,CF_K,CB_K,VF,VA,VB
1,24.81666667,20,0.25,0.5,1,0,0.5,0,1,0,1,1,1
1,24.81666667,20,0.25,0.5,1,1,0.48201621,0.008427743,0.99250331,-0.012605486,1.02,0.99,0.98
1,24.81666667,20,0.25,0.5,1,2,0.454278862,0.037005617,0.81059399,0.176728704,1.02,0.99,0.98
1,24.81666667,20,0.25,0.5,1,3,0.403857779,0.104219377,0.592361876,0.415332042,0.98,1,1.01
1,24.81666667,20,0.25,0.5,1,4,0.29793761,0.220710914,0.375557104,0.637972444,0.93,1.01,1.02
1,24.81666667,20,0.25,0.5,1,5.1,0.111844632,0.406348352,0.221396065,0.71297284,0.91,0.98,1.12
2,23.2875,10,0.25,0.5,1,0,0.5,0,1,0,1,1,1
2,23.2875,10,0.25,0.5,1,1,0.483785459,-0.003200895,0.957564347,0.004260906,1.04,0.98,0.97
2,23.2875,10,0.25,0.5,1,2,0.469754227,-0.01227766,0.997346305,-0.09073695,1.09,0.98,0.96
2,23.2875,10,0.25,0.5,1,3,0.456047292,0.002998404,0.909884098,0.008751418,1.09,0.97,0.94
2,23.2875,10,0.25,0.5,1,4,0.442798132,-0.004938011,0.817353941,0.074148377,1.14,0.97,0.92
2,23.2875,10,0.25,0.5,1,20,0.195677769,0.364295727,0.296328826,0.642851272,1.01,0.83,1.09
2,23.2875,10,0.25,0.5,1,21.4,0.162868511,0.418222437,0.27656379,0.666240228,0.99,0.81,1.09
2,23.2875,10,0.25,0.5,1,23.5,0.13309114,0.46861791,0.260707921,0.623912855,0.94,0.8,1.21
3,23.58333333,20,0.25,0.5,1,0,0.5,0,1,0,1,1,1
3,23.58333333,20,0.25,0.5,1,1,0.480731367,0.009654006,0.979717259,0.000717079,1.02,1,0.96
3,23.58333333,20,0.25,0.5,1,3,0.366431165,0.13121669,0.570811269,0.436577957,1.01,0.99,0.97
3,23.58333333,20,0.25,0.5,1,4,0.365488218,0.154892153,0.353395357,0.667808364,0.94,1.01,1
3,23.58333333,20,0.25,0.5,1,5,0.117430378,0.375316576,0.213862701,0.767867406,0.87,1.06,1.06
3,23.58333333,20,0.25,0.5,1,6,-0.006415871,0.459211543,0.004163298,0.897900326,0.8,1.1,1.11
4,22.12,30,0.25,1,2,0,1,0,2,0,1,1,1
4,22.12,30,0.25,1,2,1,0.949724377,0.050783458,1.660364583,0.350139605,1,0.99,0.97
4,22.12,30,0.25,1,2,1.7,0.914290406,0.086575347,1.391323212,0.627501843,1,0.99,0.97
4,22.12,30,0.25,1,2,4,0.468333736,0.583422353,0.009391332,1.748289837,0.74,1.12,1.14
4,22.12,30,0.25,1,2,5,-0.004348526,0.842455584,0.005162328,1.692377839,0.58,1.19,1.18
5,21.45,30,0.25,1,2,0,1,0,2,0,1,1,2
5,21.45,30,0.25,1,2,1,1.019683787,-0.061081958,1.689719826,0.122571405,1.04,0.99,1.98
5,21.45,30,0.25,1,2,2,0.975244092,-0.034447692,1.51804701,0.198411253,1.06,0.98,1.97
5,21.45,30,0.25,1,2,3,0.898938119,0.093002525,1.13088313,0.433236383,1.01,0.99,1.98
5,21.45,30,0.25,1,2,4,0.737685468,0.319132256,0.727598004,0.662319711,0.91,1.03,2.02
5,21.45,30,0.25,1,2,6,-0.006522057,0.772391458,0.004670184,0.868285993,0.63,1.3,2.3
6,23.075,30,0.25,1,2,0,1,0,2,0,1,1,2
6,23.075,30,0.25,1,2,1,0.948327549,0.014164277,1.714027221,0.112067881,1.04,0.97,1.94
6,23.075,30,0.25,1,2,2,0.887630943,0.115844389,1.336946665,0.340027351,1,0.97,1.95
6,23.075,30,0.25,1,2,3,0.781363308,0.289840987,0.944649317,0.568302828,0.92,0.97,1.99
6,23.075,30,0.25,1,2,3.5,0.663890734,0.42668188,0.655838748,0.704147926,0.87,0.99,2.03
6,23.075,30,0.25,1,2,4,0.456625452,0.608824918,0.451292376,0.810502789,0.75,1.08,2.05
6,23.075,30,0.25,1,2,4.5,0.181709621,0.789583295,0.288866904,0.858843098,0.68,1.11,2.1
6,23.075,30,0.25,1,2,5,-0.004998238,0.895534771,0.00448528,0.933321884,0.6,1.12,2.14
7,20.74,30,0.25,0.5,1,0,0.5,0,1,0,1,1,2
7,20.74,30,0.25,0.5,1,1,0.482291191,0.022991552,0.982552616,0.013501441,0.99,0.98,2.02
7,20.74,30,0.25,0.5,1,2,0.447994667,0.057638041,0.684852424,0.161807085,0.99,0.98,1.99
7,20.74,30,0.25,0.5,1,3,0.334787204,0.15516918,0.356275898,0.329706159,1.03,1,1.92
7,20.74,30,0.25,0.5,1,4,0.007326955,0.451321422,0.006944591,0.551311639,1.1,1.09,1.8
8,22.45,30,0.25,1,2,0,1,0,2,0,1,1,2
8,22.45,30,0.25,1,2,1,0.948863306,0.013315315,1.746489162,0.097686847,1.04,0.99,1.88
8,22.45,30,0.25,1,2,2,0.890375415,0.092744522,1.332286086,0.335637797,1.02,0.99,1.91
8,22.45,30,0.25,1,2,3,0.794507391,0.229327831,1.015343459,0.517916758,0.97,1,1.96
8,22.45,30,0.25,1,2,4,0.556765919,0.499108733,0.545935004,0.771184479,0.81,1.1,2.02
8,22.45,30,0.25,1,2,5,0.038907057,0.748280815,0.218590811,0.914349719,0.7,1.3,2.02
9,20.7375,30,0.25,1.5,1.5,0,1.5,0,1.5,0,1,1,2
9,20.7375,30,0.25,1.5,1.5,1,1.437503045,-0.053033625,1.406686874,-0.009807053,1.08,0.99,1.96
9,20.7375,30,0.25,1.5,1.5,2,1.31822991,-0.016983401,1.098447137,0.124624101,1.15,0.94,1.9
9,20.7375,30,0.25,1.5,1.5,3,1.258561574,0.056015096,0.940194618,0.222753292,1.15,0.94,1.88
9,20.7375,30,0.25,1.5,1.5,4,1.175138669,0.212604432,0.821005442,0.316496752,1.11,0.92,1.86
9,20.7375,30,0.25,1.5,1.5,5,1.072937648,0.348191163,0.605171565,0.440840995,1.08,0.98,1.92
9,20.7375,30,0.25,1.5,1.5,6,0.887184747,0.63692823,0.431371723,0.58546506,0.98,0.99,1.84
9,20.7375,30,0.25,1.5,1.5,7,0.597264147,0.962462268,0.315334589,0.620509628,0.9,1,1.96
10,20.08571429,30,0.25,1,2,0,1,0,2,0,1,1,2
10,20.08571429,30,0.25,1,2,1,0.949478483,-0.025693699,1.89420732,-0.023338728,1.08,0.99,1.96
10,20.08571429,30,0.25,1,2,3,0.885520998,-0.01952037,1.444751021,0.178177014,1.15,0.94,1.9
10,20.08571429,30,0.25,1,2,5,0.830900915,0.047302072,1.230566781,0.311089469,1.15,0.94,1.88
10,20.08571429,30,0.25,1,2,7,0.788302239,0.135852734,1.008931745,0.473164389,1.11,0.92,1.86
10,20.08571429,30,0.25,1,2,24,0.417902646,0.55986239,0.473926404,0.775083065,1.08,0.98,1.92
10,20.08571429,30,0.25,1,2,27,0.371469948,0.642383284,0.455816012,0.84418495,0.98,0.99,1.84
11,25.33333333,30,0.25,3,6,0,3,0,6,0,1,1,2
11,25.33333333,30,0.25,3,6,1,2.724377024,0.086649576,5.307871115,0.152656146,1.07,0.98,2.1
11,25.33333333,30,0.25,3,6,3,2.430761955,0.471263102,3.581204654,1.136921377,1.05,0.95,1.97
11,25.33333333,30,0.25,3,6,4,2.305732425,0.578980954,2.964465078,1.394836555,1.05,1,2.07
11,25.33333333,30,0.25,3,6,5,2.172027036,1.067270792,2.35208949,1.898628623,0.88,1.02,2.07
11,25.33333333,30,0.25,3,6,6,1.976344057,1.319775615,1.80655774,2.150500785,0.75,1.15,2.16
12,23.7,30,0.25,1,2,0,1,0,2,0,1,1,2
12,23.7,30,0.25,1,2,1,0.954562072,-0.021817772,1.646144357,0.120517948,1.07,0.98,1.98
12,23.7,30,0.25,1,2,3,0.884312288,0.081954306,1.165524238,0.397906461,1.04,0.98,1.98
12,23.7,30,0.25,1,2,4,0.78380153,0.264010363,0.609907401,0.717234648,0.939,1,1.99
12,23.7,30,0.25,1,2,5,0.477645064,0.54374288,0.20943142,1.739211353,0.83,1.11,1.05
12,23.7,30,0.25,1,2,6,0.011028587,0.769465773,0.014696976,0.92565257,0.67,1.29,2.15
13,20.54285714,10,0.25,1,2,0,1,0,2,0,1,1,2
13,20.54285714,10,0.25,1,2,1,0.950143766,-0.026964193,1.857354554,-0.00309527,1.08,0.97,1.92
13,20.54285714,10,0.25,1,2,2,0.905567551,-0.034411711,1.695693666,0.035590011,1.14,0.94,1.88
13,20.54285714,10,0.25,1,2,3,0.868288037,-0.036155178,1.52768058,0.097358348,1.19,0.92,1.87
13,20.54285714,10,0.25,1,2,4,0.875567856,-0.007756218,1.356132344,0.229399898,1.15,0.89,1.92
13,20.54285714,10,0.25,1,2,20,0.497535056,0.439322566,0.283350994,0.896764187,1.33,0.77,1.81
13,20.54285714,10,0.25,1,2,21,0.471181005,0.484843199,0.263890083,0.911064193,1.33,0.77,1.81
14,25.75,30,0.25,3,6,0,3,0,6,0,1,1,2
14,25.75,30,0.25,3,6,1,2.849088023,-0.020442147,4.923759555,0.400417883,1.06,0.98,1.95
14,25.75,30,0.25,3,6,2,2.689378871,0.069976562,4.177433417,0.753436237,1.09,0.98,1.92
14,25.75,30,0.25,3,6,3,2.553989247,0.321526557,3.317337743,1.310830922,1.05,0.99,1.92
14,25.75,30,0.25,3,6,4,2.294271646,0.789603188,2.568502864,1.794029061,0.96,1.01,1.97
14,25.75,30,0.25,3,6,5,2.296079215,0.93215625,1.929576322,2.000260075,0.86,1.1,2.17
15,24.48571429,20,0.25,3,6,0,3,0,6,0,1,1,2
15,24.48571429,20,0.25,3,6,3,2.460320608,0.108788407,4.14246391,0.601023019,1.18,0.89,1.85
15,24.48571429,20,0.25,3,6,4,2.414921277,0.158986537,3.650312587,0.914961521,1.185,0.87,1.83
15,24.48571429,20,0.25,3,6,5,2.287427208,0.367852463,3.110836136,1.296880066,1.17,0.88,1.82
15,24.48571429,20,0.25,3,6,6,2.151427134,0.639199257,2.686913753,1.568141513,1.13,0.89,1.89
