exp,T,V,E,Ki,t,CF_LA,CA_LA,VF,VA
1,25.06 ,20,0.25,1,0,0.5000 ,0.0000 ,1,1
1,25.06 ,20,0.25,1,1,0.4726 ,0.0182 ,1.02,0.99
1,25.06 ,20,0.25,1,2,0.4454 ,0.0462 ,1.02,0.99
1,25.06 ,20,0.25,1,3,0.4121 ,0.0961 ,0.98,1
1,25.06 ,20,0.25,1,4,0.3204 ,0.2001 ,0.93,1.01
1,25.06 ,20,0.25,1,5.1,0.1229 ,0.3961 ,0.91,0.98
2,23.54 ,20,0.25,1,0,0.5000 ,0.0000 ,1,1
2,23.54 ,20,0.25,1,1,0.4713 ,0.0193 ,1.02,1
2,23.54 ,20,0.25,1,3,0.3628 ,0.1349 ,1.01,0.99
2,23.54 ,20,0.25,1,4,0.3888 ,0.1332 ,0.94,1.01
2,23.54 ,20,0.25,1,5,0.1350 ,0.3609 ,0.87,1.06
2,23.54 ,20,0.25,1,6,0.0000 ,0.4545 ,0.8,1.1
3,22.22 ,30,0.25,2,0,1.0000 ,0.0000 ,1,1
3,22.22 ,30,0.25,2,1,0.9497 ,0.0508 ,1,0.99
3,22.22 ,30,0.25,2,1.7,0.9143 ,0.0866 ,1,0.99
3,22.22 ,30,0.25,2,4,0.6329 ,0.4747 ,0.74,1.12
3,22.22 ,30,0.25,2,5,0.0000 ,0.8403 ,0.58,1.19
4,21.67 ,30,0.25,2,0,1.0000 ,0.0000 ,1,1
4,21.67 ,30,0.25,2,1,0.9805 ,-0.0199 ,1.04,0.99
4,21.67 ,30,0.25,2,2,0.9200 ,0.0253 ,1.06,0.98
4,21.67 ,30,0.25,2,3,0.8900 ,0.1021 ,1.01,0.99
4,21.67 ,30,0.25,2,4,0.8106 ,0.2547 ,0.91,1.03
4,21.67 ,30,0.25,2,6,0.0000 ,0.7692 ,0.63,1.3
5,22.86 ,30,0.25,2,0,1.0000 ,0.0000 ,1,1
5,22.86 ,30,0.25,2,1,0.9119 ,0.0533 ,1.04,0.97
5,22.86 ,30,0.25,2,2,0.8876 ,0.1158 ,1,0.97
5,22.86 ,30,0.25,2,3,0.8493 ,0.2254 ,0.92,0.97
5,22.86 ,30,0.25,2,3.5,0.7631 ,0.3395 ,0.87,0.99
5,22.86 ,30,0.25,2,4,0.6088 ,0.5031 ,0.75,1.08
5,22.86 ,30,0.25,2,4.5,0.2672 ,0.7372 ,0.68,1.11
5,22.86 ,30,0.25,2,5,0.0000 ,0.8929 ,0.6,1.12
5,20.59 ,30,0.25,1,0,0.5000 ,0.0000 ,1,1
6,20.59 ,30,0.25,1,1,0.4872 ,0.0181 ,0.99,0.98
6,20.59 ,30,0.25,1,2,0.4525 ,0.0531 ,0.99,0.98
6,20.59 ,30,0.25,1,3,0.3250 ,0.1652 ,1.03,1
6,20.59 ,30,0.25,1,4,0.0067 ,0.4520 ,1.1,1.09
7,22.35 ,30,0.25,2,0,1.0000 ,0.0000 ,1,1
