exp,t,T,V,E,CF_LA,CA_LA,CF_K,CB_K,VF,VA,VB
1,0,25.06 ,20,0.25,0.500 ,0.000 ,1.000 ,0.000 ,1.000 ,1.000 ,1.000 
1,1,25.06 ,20,0.25,0.471 ,0.018 ,0.970 ,0.008 ,1.023 ,0.993 ,0.983 
1,2,25.06 ,20,0.25,0.444 ,0.046 ,0.792 ,0.193 ,1.023 ,0.993 ,0.983 
1,3,25.06 ,20,0.25,0.411 ,0.096 ,0.602 ,0.402 ,0.983 ,1.003 ,1.013 
1,4,25.06 ,20,0.25,0.316 ,0.197 ,0.398 ,0.604 ,0.943 ,1.024 ,1.034 
1,5.1,25.06 ,20,0.25,0.123 ,0.397 ,0.244 ,0.697 ,0.907 ,0.977 ,1.116 
2,0,23.54 ,20,0.25,0.500 ,0.000 ,1.000 ,0.000 ,1.000 ,1.000 ,1.000 
2,1,23.54 ,20,0.25,0.468 ,0.019 ,0.954 ,0.021 ,1.027 ,1.007 ,0.966 
2,3,23.54 ,20,0.25,0.359 ,0.134 ,0.560 ,0.438 ,1.020 ,1.000 ,0.980 
2,4,23.54 ,20,0.25,0.382 ,0.131 ,0.370 ,0.636 ,0.956 ,1.027 ,1.017 
2,5,23.54 ,20,0.25,0.135 ,0.360 ,0.245 ,0.739 ,0.873 ,1.064 ,1.064 
2,6,23.54 ,20,0.25,0.000 ,0.456 ,0.005 ,0.900 ,0.797 ,1.096 ,1.106 
3,0,22.22 ,30,0.25,1.000 ,0.000 ,2.000 ,0.000 ,1.000 ,1.000 ,1.000 
3,1,22.22 ,30,0.25,0.937 ,0.050 ,1.638 ,0.345 ,1.014 ,1.003 ,0.983 
3,1.7,22.22 ,30,0.25,0.902 ,0.085 ,1.373 ,0.619 ,1.014 ,1.003 ,0.983 
3,4,22.22 ,30,0.25,0.633 ,0.475 ,0.013 ,1.746 ,0.740 ,1.120 ,1.140 
3,5,22.22 ,30,0.25,0.000 ,0.826 ,0.009 ,1.662 ,0.590 ,1.210 ,1.200 
4,0,21.67 ,30,0.25,1.000 ,0.000 ,2.000 ,0.000 ,1.000 ,1.000 ,2.000 
4,1,21.67 ,30,0.25,0.983 ,-0.020 ,1.629 ,0.157 ,1.037 ,0.988 ,1.975 
4,2,21.67 ,30,0.25,0.922 ,0.025 ,1.436 ,0.245 ,1.057 ,0.978 ,1.965 
4,3,21.67 ,30,0.25,0.886 ,0.102 ,1.114 ,0.437 ,1.015 ,0.995 ,1.990 
4,4,21.67 ,30,0.25,0.803 ,0.252 ,0.792 ,0.624 ,0.919 ,1.040 ,2.040 
4,6,21.67 ,30,0.25,0.000 ,0.813 ,0.008 ,0.917 ,0.596 ,1.229 ,2.175 
5,0,22.86 ,30,0.25,1.000 ,0.000 ,2.000 ,0.000 ,1.000 ,1.000 ,2.000 
5,1,22.86 ,30,0.25,0.900 ,0.053 ,1.628 ,0.146 ,1.053 ,0.982 ,1.965 
5,2,22.86 ,30,0.25,0.870 ,0.114 ,1.310 ,0.333 ,1.020 ,0.990 ,1.990 
5,3,22.86 ,30,0.25,0.824 ,0.219 ,0.996 ,0.514 ,0.948 ,1.000 ,2.052 
5,3.5,22.86 ,30,0.25,0.742 ,0.330 ,0.733 ,0.644 ,0.895 ,1.018 ,2.087 
5,4,22.86 ,30,0.25,0.591 ,0.488 ,0.584 ,0.733 ,0.773 ,1.113 ,2.113 
5,4.5,22.86 ,30,0.25,0.260 ,0.717 ,0.413 ,0.792 ,0.699 ,1.141 ,2.159 
5,5,22.86 ,30,0.25,0.000 ,0.862 ,0.007 ,0.900 ,0.622 ,1.161 ,2.218 
5,0,20.59 ,30,0.25,0.500 ,0.000 ,1.000 ,0.000 ,1.000 ,1.000 ,2.000 
6,1,20.59 ,30,0.25,0.486 ,0.018 ,0.990 ,0.009 ,0.992 ,0.982 ,2.025 
6,2,20.59 ,30,0.25,0.448 ,0.053 ,0.685 ,0.157 ,1.000 ,0.990 ,2.010 
6,3,20.59 ,30,0.25,0.321 ,0.163 ,0.342 ,0.331 ,1.043 ,1.013 ,1.944 
6,4,20.59 ,30,0.25,0.007 ,0.451 ,0.006 ,0.550 ,1.103 ,1.093 ,1.805 
7,0,22.35 ,30,0.25,1.000 ,0.000 ,2.000 ,0.000 ,1.000 ,1.000 ,2.000 
7,1,22.35 ,30,0.25,0.892 ,0.050 ,1.642 ,0.132 ,1.064 ,1.013 ,1.923 
7,2,22.35 ,30,0.25,0.855 ,0.109 ,1.280 ,0.343 ,1.041 ,1.010 ,1.949 
7,3,22.35 ,30,0.25,0.805 ,0.202 ,1.028 ,0.494 ,0.987 ,1.018 ,1.995 
7,4,22.35 ,30,0.25,0.675 ,0.396 ,0.662 ,0.707 ,0.824 ,1.120 ,2.056 
7,5,22.35 ,30,0.25,0.056 ,0.743 ,0.314 ,0.886 ,0.697 ,1.294 ,2.010 
8,0,19.51 ,30,0.25,1.000 ,0.000 ,2.000 ,0.000 ,1.000 ,1.000 ,2.000 
8,1,19.51 ,30,0.25,0.886 ,0.051 ,1.767 ,0.054 ,1.072 ,0.983 ,1.945 
8,3,19.51 ,30,0.25,0.768 ,0.121 ,1.253 ,0.292 ,1.153 ,0.942 ,1.905 
8,5,19.51 ,30,0.25,0.717 ,0.179 ,1.062 ,0.406 ,1.159 ,0.947 ,1.894 
8,7,19.51 ,30,0.25,0.691 ,0.224 ,0.884 ,0.518 ,1.141 ,0.946 ,1.913 
9,0,25.17 ,30,0.25,3.000 ,0.000 ,6.000 ,0.000 ,1.000 ,1.000 ,2.000 
9,1,25.17 ,30,0.25,2.642 ,0.292 ,5.147 ,0.342 ,1.031 ,0.945 ,2.024 
9,3,25.17 ,30,0.25,2.298 ,0.595 ,3.385 ,1.219 ,1.058 ,0.957 ,1.985 
9,4,25.17 ,30,0.25,2.262 ,0.715 ,2.908 ,1.510 ,1.019 ,0.971 ,2.010 
9,5,25.17 ,30,0.25,2.450 ,0.806 ,2.653 ,1.749 ,0.887 ,1.028 ,2.086 
9,6,25.17 ,30,0.25,2.675 ,0.903 ,2.445 ,1.971 ,0.739 ,1.133 ,2.128 
10,0,23.45 ,30,0.25,1.000 ,0.000 ,2.000 ,0.000 ,1.000 ,1.000 ,2.000 
10,1,23.45 ,30,0.25,0.899 ,0.047 ,1.550 ,0.180 ,1.062 ,0.973 ,1.965 
10,3,23.45 ,30,0.25,0.850 ,0.118 ,1.121 ,0.421 ,1.040 ,0.980 ,1.980 
10,4,23.45 ,30,0.25,0.820 ,0.212 ,0.638 ,0.686 ,0.956 ,1.018 ,2.026 
10,5,23.45 ,30,0.25,0.430 ,0.352 ,0.189 ,1.275 ,1.110 ,1.485 ,1.405 
10,6,23.45 ,30,0.25,0.017 ,0.788 ,0.023 ,0.949 ,0.652 ,1.255 ,2.092 
11,0,20.01 ,10,0.25,1.000 ,0.000 ,2.000 ,0.000 ,1.000 ,1.000 ,2.000 
11,1,20.01 ,10,0.25,0.873 ,0.051 ,1.707 ,0.074 ,1.088 ,0.977 ,1.935 
11,2,20.01 ,10,0.25,0.786 ,0.099 ,1.473 ,0.160 ,1.152 ,0.949 ,1.899 
11,3,20.01 ,10,0.25,0.726 ,0.142 ,1.277 ,0.251 ,1.196 ,0.925 ,1.879 
11,4,20.01 ,10,0.25,0.754 ,0.138 ,1.167 ,0.332 ,1.162 ,0.899 ,1.939 
12,0,25.60 ,30,0.25,3.000 ,0.000 ,6.000 ,0.000 ,1.000 ,1.000 ,2.000 
12,1,25.60 ,30,0.25,2.681 ,0.154 ,4.633 ,0.551 ,1.063 ,0.982 ,1.955 
12,2,25.60 ,30,0.25,2.461 ,0.316 ,3.823 ,0.947 ,1.093 ,0.982 ,1.925 
12,3,25.60 ,30,0.25,2.408 ,0.446 ,3.128 ,1.383 ,1.061 ,1.000 ,1.939 
12,4,25.60 ,30,0.25,2.354 ,0.688 ,2.635 ,1.716 ,0.975 ,1.025 ,2.000 
12,5,25.60 ,30,0.25,2.757 ,0.661 ,2.317 ,1.937 ,0.833 ,1.065 ,2.102 
13,0,26.51 ,30,0.25,3.000 ,0.000 ,6.000 ,0.000 ,1.000 ,1.000 ,3.000 
13,1,26.51 ,30,0.25,2.479 ,0.318 ,4.662 ,0.316 ,1.087 ,0.958 ,2.955 
13,3,26.51 ,30,0.25,2.201 ,0.682 ,3.082 ,0.909 ,1.068 ,0.951 ,2.981 
13,4,26.51 ,30,0.25,2.257 ,0.778 ,2.514 ,1.163 ,0.988 ,0.988 ,3.023 
13,5,26.51 ,30,0.25,2.256 ,0.887 ,1.976 ,1.406 ,0.898 ,1.098 ,3.004 
13,6,26.51 ,30,0.25,2.556 ,0.836 ,1.581 ,1.576 ,0.783 ,1.195 ,3.022 
13,7,26.51 ,30,0.25,2.370 ,1.315 ,1.432 ,1.618 ,0.586 ,1.224 ,3.189 
14,0,20.25 ,10,0.25,1.000 ,0.000 ,2.000 ,0.000 ,1.000 ,1.000 ,2.000 
14,1,20.25 ,10,0.25,0.873 ,0.035 ,1.530 ,0.156 ,1.108 ,0.931 ,1.961 
14,3,20.25 ,10,0.25,0.716 ,0.150 ,1.116 ,0.345 ,1.207 ,0.904 ,1.888 
