time,NF_LA,dNF_LA/dt,NA_LA,dNA_LA/dt,NF_K,dNF_K/dt,NB_K,dNB_K/dt,VF,dVF/dt,VA,dVA/dt,VB,dVB/dt
0.0,0.49900222,-0.09977811,0.000902539,0.090253904,0.99884945,-0.11505286,0.00045473088,0.045473088,1.000138,0.013802227,1.0003296,0.032959606,1.0005226,0.05225831
0.01,0.49795315,-0.104906574,0.0018574602,0.09549213,0.9974902,-0.13592526,0.0012520095,0.079727866,1.0001903,0.0052161813,1.0003842,0.005463347,1.0009212,0.039864026
0.02,0.4969155,-0.103767045,0.002800018,0.094255775,0.99602866,-0.14615843,0.0022968822,0.10448727,1.0002284,0.0038161315,1.0003133,-0.0070894137,1.0011933,0.027204726
0.03,0.49591485,-0.10006518,0.003708958,0.09089399,0.994523,-0.15056735,0.0035010185,0.120413646,1.0002599,0.003150884,1.0001845,-0.012877792,1.0013663,0.01729967
0.04,0.49495563,-0.09592304,0.0045838007,0.087484285,0.993001,-0.15219854,0.0048025376,0.13015191,1.0002819,0.0022044666,1.0000302,-0.015433945,1.0014682,0.010187719
0.05,0.49403325,-0.09223742,0.0054306686,0.084686816,0.9914751,-0.1525873,0.0061620222,0.13594848,1.0002931,0.0011187941,0.99986637,-0.016379029,1.001521,0.005285207
0.06,0.4931406,-0.08926323,0.0062562907,0.082562216,0.98995054,-0.15245807,0.0075554587,0.13934363,1.000294,8.7849796e-05,0.99970126,-0.016511917,1.001541,0.0020041205
0.07,0.49227092,-0.086969055,0.007066101,0.080980994,0.9884291,-0.15213889,0.008968574,0.14131157,1.000286,-0.0007985234,0.99953884,-0.01624035,1.0015397,-0.00012734905
0.08,0.49141866,-0.08522425,0.007863996,0.07978945,0.9869114,-0.15176943,0.010393016,0.14244421,1.0002707,-0.0015256777,0.99938107,-0.015775189,1.001525,-0.0014615543
0.09,0.49057978,-0.08388612,0.008652615,0.07886195,0.9853974,-0.15140323,0.011823946,0.14309296,1.0002496,-0.0021136291,0.99922884,-0.015225947,1.0015025,-0.0022523515
0.1,0.48975146,-0.08283362,0.009433704,0.07810889,0.98388684,-0.15105712,0.013258579,0.14346339,1.0002238,-0.0025921166,0.9990823,-0.014649212,1.0014757,-0.0026785322
0.11,0.48893172,-0.081975214,0.0102084065,0.07747023,0.9823795,-0.1507339,0.014695326,0.1436747,1.0001938,-0.002989255,0.9989416,-0.014074013,1.0014471,-0.0028636493
0.12,0.48811924,-0.08124611,0.010977477,0.07690707,0.9808752,-0.15043215,0.01613328,0.14379543,1.0001606,-0.0033278093,0.9988065,-0.013514996,1.0014181,-0.002891764
0.13,0.4873132,-0.080602415,0.011741423,0.076394625,0.9793737,-0.15014997,0.017571928,0.14386474,1.0001243,-0.0036248416,0.99867666,-0.0129791275,1.00139,-0.0028192364
0.14,0.48651305,-0.08001514,0.012500594,0.07591712,0.9778748,-0.1498859,0.019010976,0.14390486,1.0000854,-0.003892485,0.99855196,-0.012469366,1.0013632,-0.0026834868
0.15,0.4857184,-0.07946554,0.013255239,0.0754645,0.97637844,-0.14963892,0.020450259,0.1439283,1.000044,-0.0041392595,0.9984321,-0.0119865835,1.0013381,-0.0025089793
0.16,0.484929,-0.07894161,0.014005543,0.075030364,0.97488433,-0.14940849,0.02188968,0.14394198,1.0000002,-0.0043710247,0.9983168,-0.011530377,1.001315,-0.002311673
0.17,0.48414463,-0.07843578,0.0147516485,0.07461058,0.97339237,-0.14919406,0.023329176,0.14394967,0.99995434,-0.004591793,0.99820584,-0.011099793,1.001294,-0.0021017268
0.18,0.4833652,-0.077943265,0.015493674,0.07420254,0.97190243,-0.14899525,0.02476871,0.14395343,0.9999063,-0.004804328,0.9980989,-0.01069355,1.0012752,-0.0018855594
0.19,0.4825906,-0.07746111,0.01623172,0.073804505,0.97041434,-0.1488114,0.026208254,0.14395429,0.9998562,-0.005010359,0.9979958,-0.010310143,1.0012585,-0.0016673468
0.2,0.4818207,-0.07698743,0.016965874,0.07341538,0.9689279,-0.14864197,0.027647782,0.14395285,0.9998041,-0.005211167,0.9978963,-0.009948127,1.001244,-0.0014495216
