exp,V,E,t,VF,VA,VB,CF_LA,CA_LA,CF_K,CB_K,I
0,20,0.25,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0
0,20,0.25,1.0,1.02,0.99,0.99,0.48678332,0.0035161753535353246,1.0488879999999998,-0.07057147474747463,0.1
0,20,0.25,2.0,1.0836120401337794,0.963210702341137,0.9531772575250835,0.47387078,-0.014007405277777822,0.9945719999999998,-0.0815485192982456,0.2
0,20,0.25,3.0,1.0973154362416109,0.9563758389261745,0.9463087248322148,0.46315206999999997,-0.008599041719298308,0.9186639999999999,-0.00852173049645399,0.3
0,20,0.25,4.0,1.1073825503355708,0.9563758389261745,0.9362416107382551,0.448978125,0.002937609649122651,0.7403583999999999,0.19240762724014335,0.4
0,20,0.25,6.5,1.1386138613861383,0.8712871287128713,0.99009900990099,0.31252797,0.16544640284090922,0.3658185089999999,0.5893087146500002,0.8
1,20,0.25,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.1
1,20,0.25,1.0,1.0234113712374582,0.9933110367892977,0.9832775919732442,0.48241375,0.006334654882154917,0.9918468999999999,-0.015323644217686876,0.4
1,20,0.25,2.0,1.0234113712374582,0.9933110367892977,0.9832775919732442,0.45528955,0.03428080033670038,0.7940095999999999,0.19058864761904773,0.6
1,20,0.25,3.0,0.9832775919732442,1.0033444816053512,1.0133779264214047,0.40598305,0.10046994433333331,0.5566690809999998,0.44666432404620476,0.8
1,20,0.25,4.0,0.9425675675675675,1.0236486486486487,1.033783783783784,0.3024043,0.20999736072607258,0.3208808839999999,0.674752396614379,0.9
2,20,0.25,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.0
2,20,0.25,1.0,1.0268456375838928,1.0067114093959733,0.9664429530201343,0.48387005,0.0031192156666665642,0.9782720000000001,-0.004691777777778106,0.4
2,20,0.25,3.0,1.0202020202020203,1.0,0.9797979797979798,0.3881883,0.10396951212121208,0.5402291690000001,0.4581118961958761,0.7
2,20,0.25,4.0,0.9559322033898304,1.0271186440677966,1.0169491525423728,0.38739895,0.12624916204620465,0.30732115600000004,0.6944514466933335,0.8
2,20,0.25,5.0,0.8729096989966556,1.0635451505016722,1.0635451505016722,0.17974745,0.3225972187106918,0.15784601600000003,0.8106987101383647,0.8
2,20,0.25,6.0,0.7973421926910299,1.0963455149501662,1.106312292358804,0.076074615,0.40073361333333335,0.0,0.9039039039039038,0.2
3,30,0.25,0.0,1.0,1.0,1.0,0.5,0.0,1.0,0.0,0.1
3,30,0.25,1.0,1.0033444816053512,1.0033444816053512,0.9933110367892977,0.47616555,0.022167783333333333,0.945776,0.051404713804713904,0.8
3,30,0.25,2.0,0.9696969696969696,1.02020202020202,1.01010101010101,0.394916,0.11473330693069311,0.557992841,0.45432687264000005,1.5
3,30,0.25,4.0,0.7777777777777777,1.111111111111111,1.111111111111111,0.0,0.45000000000000007,0.0,0.9000000000000001,0.2
3,30,0.25,5.0,0.7203947368421053,1.0855263157894737,1.194078947368421,0.0,0.46060606060606063,0.0,0.837465564738292,0.2
4,30,0.25,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.1
4,30,0.25,1.0,1.0135135135135136,1.0033783783783785,0.9831081081081081,0.950399,0.03663400673400662,1.6705960999999998,0.3121002405498281,1.1
