exp,Voltage [V],Electrolyte [M],Ci_LA [M],Ci_K [M],Time [hr],CF_LA [M],CA_LA [M],CB_LA [M],CF_K [M],CA_K [M],CB_K [M],pH_F,pH_A,pH_B,VF_Tank [L],VA_Tank [L],VB_Tank [L],VF_Line [L],VA_Line [L],VB_Line [L],SEC [kWh/kg],Current [A]
1,20,0.25,0.5,1,0,0.46037664,-0.006020435,-0.006066255,1.0359541,0.0035,0.011473731,13.49,9.23,10.93,0.8,0.8,0.78,0.2,0.2,0.22,0,0
1,20,0.25,0.5,1,1,0.44715996,-0.005833395,-0.005349545,1.0848421,0.0035,0.025684215,13.45,9.79,12.24,0.82,0.79,0.77,0.2,0.2,0.22,28.90470248,0.1
1,20,0.25,0.5,1,2,0.43424742,-0.005177045,-0.004383835,1.0305261,0.0035,0.586655732,13.45,8.91,12.57,0.88,0.76,0.73,0.2,0.2,0.22,16.38018953,0.2
1,20,0.25,0.5,1,3,0.42352871,-0.003198155,-0.00341378,0.9546181,0.0035,0.637128781,13.38,4.25,12.82,0.89,0.75,0.72,0.2,0.2,0.22,10.87802067,0.3
1,20,0.25,0.5,1,4,0.409354765,0.007311985,-0.002479405,0.7763125,0.007054651,0.732307831,13.25,3.52,13.04,0.9,0.75,0.71,0.2,0.2,0.22,4.37100317,0.4
1,20,0.25,0.5,1,6.5,0.27290461,0.11921711,0.006714695,0.401772609,0.014825888,1.05859568,12.54,2.64,13.49,0.95,0.68,0.78,0.2,0.2,0.22,1.547795198,0.8
2,20,0.25,0.5,1,0,0.48894725,-0.00568186,-0.006195,1.08756,0.004422275,0.015311638,13.48,10.81,11.74,0.81,0.8,0.78,0.19,0.2,0.22,0,0.1
2,20,0.25,0.5,1,1,0.471361,0.00344751,-0.005183415,1.0794069,0.006910843,0.624144311,13.41,3.97,12.87,0.83,0.79,0.76,0.19,0.2,0.22,2.651417937,0.4
2,20,0.25,0.5,1,2,0.4442368,0.02620972,-0.003147275,0.8815696,0.009375576,0.787778897,13.29,3.3,13.14,0.83,0.79,0.76,0.19,0.2,0.22,1.979124291,0.6
2,20,0.25,0.5,1,3,0.3949303,0.08612135,-0.001619665,0.644229081,0.012481917,0.96318147,13.01,2.83,13.33,0.79,0.8,0.79,0.19,0.2,0.22,1.253582411,0.8
2,20,0.25,0.5,1,4,0.29135155,0.19984555,0.00112956,0.408440884,0.016443128,1.081267,12.41,2.52,13.51,0.74,0.81,0.8,0.19,0.2,0.22,0.860944942,0.9
2,20,0.25,0.5,1,5.1,0.10937225,0.338813,0.01047539,0.240781504,0.017037018,1.14772923,11.62,2.39,13.65,0.72,0.78,0.9,0.19,0.2,0.22,0,
4,20,0.25,0.5,1,0,0.4185546,-0.00586945,-0.006195,1.0712556,0.009765807,0.014768284,13.49,10.54,11.6,0.81,0.8,0.81,0.19,0.2,0.19,0,0
4,20,0.25,0.5,1,1,0.40242465,0.000516805,-0.004449905,1.0495276,0.006633962,0.625747119,13.4,3.86,12.81,0.83,0.8,0.77,0.19,0.2,0.19,3.341403787,0.4
4,20,0.25,0.5,1,3,0.3067429,0.0696537,-0.00204625,0.611484769,0.012159948,0.93895692,13.05,2.78,13.4,0.82,0.79,0.78,0.19,0.2,0.19,1.416009573,0.7
4,20,0.25,0.5,1,4,0.30595355,0.2109697,-6.21E-06,0.378576756,0.0157958,1.05697675,12.28,2.45,13.5,0.75,0.81,0.81,0.19,0.2,0.19,0.754058129,0.8
4,20,0.25,0.5,1,5,0.09830205,0.39153645,0.007126285,0.229101616,0.018821592,1.19804812,11.26,2.29,13.57,0.68,0.86,0.87,0.19,0.2,0.19,0.531752002,0.8
4,20,0.25,0.5,1,6,-0.005370785,0.4639632,0.01362819,0.004459955,0.019363232,1.23054252,10.7,2.3,13.61,0.61,0.9,0.92,0.19,0.2,0.19,0.508700778,0.2
5,30,0.25,0.5,1,0,0.49808,-0.006195,-0.006195,1.0223856,0.003584805,0.011217628,13.51,8.63,10.4,0.83,0.8,0.79,0.17,0.2,0.21,0,0.1
5,30,0.25,0.5,1,1,0.47424555,0.01197234,-0.003969835,0.9681616,0.00750757,0.659901179,13.4,3.31,12.96,0.83,0.8,0.78,0.17,0.2,0.21,2.963616589,0.8
5,30,0.25,0.5,1,2,0.392996,0.10748015,-0.001990175,0.580378441,0.012761074,0.95833548,12.97,2.64,13.41,0.79,0.81,0.79,0.17,0.2,0.21,1.584165024,1.5
5,30,0.25,0.5,1,4,-0.00600336,0.4482619,0.008697385,0.003934734,0.01958,1.23704428,10.72,2.25,13.71,0.6,0.9,0.89,0.17,0.2,0.21,0.798954912,0.2
5,30,0.25,0.5,1,5,-0.006195,0.44310055,0.01506601,0.00387428,0.019254872,1.19967227,11.01,2.94,13.67,0.56,0.9,1,0.17,0.2,0.21,0.852749926,0.2
6,30,0.25,1,2,0,0.9865815,-0.00499074,-0.006195,1.93975,0.005995418,0.018520854,13.83,11.12,11.93,0.82,0.81,0.82,0.18,0.19,0.18,0,0.1
6,30,0.25,1,2,1,0.9369805,0.025803545,-0.0037942,1.6103461,0.009225956,0.774266321,13.74,3.37,13.25,0.82,0.8,0.79,0.18,0.19,0.18,2.905315409,1.1
6,30,0.25,1,2,1.666666667,0.902022,0.07617725,-0.002156175,1.3494096,0.011881024,0.99873523,13.67,2.99,13.56,0.82,0.8,0.79,0.18,0.19,0.18,2.241246873,1.4
6,30,0.25,1,2,4,0.4620494,0.5640235,0.01061682,0.009108418,0.02147945,1.66500032,12.12,2.23,13.89,0.56,0.93,0.96,0.18,0.19,0.18,1.006619666,1.9
6,30,0.25,1,2,5,-0.004290175,0.83241,0.021000355,0.005006813,0.020556248,1.79649472,10.91,2.11,13.93,0.4,1,1,0.18,0.19,0.18,0.838444824,1
7,30,0.25,1,2,0,0.914509,-0.006195,-0.006195,1.8897424,0.003605107,0.013034419,13.97,6.55,11.48,0.82,0.8,1.8,0.18,0.2,-0.8,0,0.1
7,30,0.25,1,2,1,0.93251,0.00343711,-0.00403515,1.5965676,0.006256087,0.659099128,13.95,3.95,12.97,0.86,0.79,1.78,0.18,0.2,-0.8,5.484457959,0.7
7,30,0.25,1,2,2,0.8918695,0.04111564,-0.00250665,1.4343589,0.009584029,0.86314075,13.76,3.17,13.44,0.88,0.78,1.77,0.18,0.2,-0.8,3.390908319,1.2
7,30,0.25,1,2,3,0.822087,0.1348432,-0.0002144,1.0685389,0.013389572,1.05050163,13.6,2.77,13.69,0.83,0.79,1.78,0.18,0.2,-0.8,2.269550678,1.7
7,30,0.25,1,2,4,0.67462,0.33685705,0.00429807,0.6874864,0.01768545,1.34772108,13.04,2.45,13.85,0.73,0.83,1.82,0.18,0.2,-0.8,1.473741621,2
7,30,0.25,1,2,6,-0.00596448,0.8274965,0.020059005,0.004412722,0.020284938,1.619068,10.92,2.13,13.97,0.45,1.1,2.1,0.18,0.2,-0.8,0.796727348,0.3
8,30,0.25,1,2,0,0.965021,-0.006195,-0.006195,1.9981741,0.003595459,0.013451511,13.91,5.74,11.56,0.81,0.81,1.86,0.19,0.19,-0.86,0,0.1
8,30,0.25,1,2,1,0.915156,0.012955675,-0.003057245,1.7124624,0.008142143,0.710621201,13.85,3.63,13.13,0.85,0.78,1.8,0.19,0.19,-0.86,2.805584808,0.7
8,30,0.25,1,2,2,0.8565825,0.09022505,-0.001025155,1.3357261,0.0128631,1.00843675,13.6,2.94,13.43,0.81,0.78,1.81,0.19,0.19,-0.86,1.682126848,1.2
8,30,0.25,1,2,3,0.754032,0.2444703,0.00190062,0.9437869,0.017469242,1.20616947,13.21,2.57,13.61,0.73,0.78,1.85,0.19,0.19,-0.86,1.302886845,1.7
8,30,0.25,1,2,3.5,0.6406685,0.38285115,0.004782185,0.65524,0.019905272,1.33631507,12.77,2.39,13.73,0.68,0.8,1.89,0.19,0.19,-0.86,1.076356317,1.8
8,30,0.25,1,2,4,0.44065315,0.559966,0.008459675,0.450880369,0.01958,1.44887408,11.89,2.27,13.83,0.56,0.89,1.91,0.19,0.19,-0.86,0.851880249,2
8,30,0.25,1,2,4.5,0.1753536,0.73623,0.013488785,0.288603184,0.020990552,1.53552643,11.39,2.15,13.78,0.49,0.92,1.96,0.19,0.19,-0.86,0.763532366,1.9
8,30,0.25,1,2,5,-0.004823405,0.821043,0.01965593,0.004481185,0.020501978,1.56499387,11.16,2.18,13.79,0.41,0.93,2,0.19,0.19,-0.86,0.79303461,1.9
9,30,0.25,0.5,1,0,0.48327375,-0.005766865,-0.00596829,1.0902781,0.00376505,0.013965134,13.57,5.26,11.54,0.8,0.81,0.82,0.2,0.19,1.18,0,0.1
9,30,0.25,0.5,1,1,0.466157345,0.00237826,-0.00355676,1.0712556,0.00613372,0.630395601,13.56,3.74,12.98,0.79,0.79,0.84,0.2,0.19,1.18,5.232409079,0.6
9,30,0.25,0.5,1,2,0.433008125,0.04099819,-0.00060569,0.7466796,0.009161842,0.822383943,13.33,3.08,13.36,0.79,0.79,0.81,0.2,0.19,1.18,2.905477988,1
9,30,0.25,0.5,1,3,0.323587735,0.168370135,0.00037209,0.388439809,0.01416924,1.05373907,12.15,2.63,13.63,0.83,0.81,0.74,0.2,0.19,1.18,1.568251355,1.4
9,30,0.25,0.5,1,4,0.00708185,0.433770235,0.004461995,0.007571535,0.018550922,1.25005068,10.73,2.31,13.74,0.9,0.9,0.62,0.2,0.19,1.18,0.870637683,0.8
11,30,0.25,1,2,0,0.9885465,-0.006195,-0.006195,1.9230736,0.003626151,0.01261753,13.88,9.05,11.43,0.8,0.8,1.9,0.2,0.2,0.1,0,0.1
11,30,0.25,1,2,1,0.9379955,0.009873,-0.004644535,1.6793136,0.007576866,0.788422459,13.85,3.6,12.86,0.84,0.79,1.78,0.2,0.2,0.1,4.084081778,0.9
11,30,0.25,1,2,2,0.8801775,0.0714568,-0.00333441,1.2810421,0.011419964,1.15097387,13.68,2.97,13.28,0.82,0.79,1.81,0.2,0.2,0.1,2.48057891,1.4
11,30,0.25,1,2,3,0.7854075,0.1989927,0.00063691,0.9762901,0.015149048,1.53879963,13.27,2.58,13.61,0.77,0.8,1.86,0.2,0.2,0.1,1.792157549,1.8
