cat no,cat,Temp,X,CO,CH4
1,12Ni|HSA-Al2O3 (SIM),880.5667,81.8,96.8,0
1,12Ni|HSA-Al2O3 (SIM),787.4667,78.8,96.9,0
1,12Ni|HSA-Al2O3 (SIM),689.4333,74.5,96.6,0
1,12Ni|HSA-Al2O3 (SIM),590.9,67.9,92.6,4.5
1,12Ni|HSA-Al2O3 (SIM),485.0333,57.6,73.9,24.5
1,12Ni|HSA-Al2O3 (SIM),368.4667,39.2,84.8,13.7
2,12Ni2Ce|HSA-Al2O3 (SIM),878.1,81.7,96.9,0
2,12Ni2Ce|HSA-Al2O3 (SIM),783.2667,78.6,96.9,0
2,12Ni2Ce|HSA-Al2O3 (SIM),681.2,74.2,96.5,0
2,12Ni2Ce|HSA-Al2O3 (SIM),583.9,67.6,91.9,5.1
2,12Ni2Ce|HSA-Al2O3 (SIM),485.3333,57.4,66.9,31.9
2,12Ni2Ce|HSA-Al2O3 (SIM),369.4333,44.3,67.2,31.5
3,12Ni5Ce|HSA-Al2O3 (SIM),901.7667,81.6,96.8,0
3,12Ni5Ce|HSA-Al2O3 (SIM),807.3333,78.5,96.9,0
3,12Ni5Ce|HSA-Al2O3 (SIM),707.2,74,96.5,0
3,12Ni5Ce|HSA-Al2O3 (SIM),606.5,67.1,91.5,5.8
3,12Ni5Ce|HSA-Al2O3 (SIM),508.4,57.1,68.3,30.1
3,12Ni5Ce|HSA-Al2O3 (SIM),380.2667,42.2,72.8,25.7
4,12Ni10Ce|HSA-Al2O3 (SIM),875.1,81.5,97,0
4,12Ni10Ce|HSA-Al2O3 (SIM),778.8333,78.5,97.1,0
4,12Ni10Ce|HSA-Al2O3 (SIM),680.2667,74.3,96,0
4,12Ni10Ce|HSA-Al2O3 (SIM),582.3667,67.4,92.2,5.2
4,12Ni10Ce|HSA-Al2O3 (SIM),479.7333,56.9,69.6,29.2
4,12Ni10Ce|HSA-Al2O3 (SIM),363.7,41.4,78.4,20.5
5,12Ni15Ce|HSA-Al2O3 (SIM),856.5333,81.8,96.8,0
5,12Ni15Ce|HSA-Al2O3 (SIM),764.3,78.8,96.9,0
5,12Ni15Ce|HSA-Al2O3 (SIM),663.1667,74.4,96.7,0
5,12Ni15Ce|HSA-Al2O3 (SIM),563.4,67.7,92.4,4.9
5,12Ni15Ce|HSA-Al2O3 (SIM),465.1,57.4,69.3,29.3
5,12Ni15Ce|HSA-Al2O3 (SIM),357.3667,43.8,64.9,33.5
