Date,Hour, Min., Sec., Elapse[min.],MFC-1[sccm],MFC-2[sccm],MFC-3[sccm],MFC-4[sccm],MFC-5[sccm],MFC-6[sccm],Pre-HT['C],HJ['C],HB-1['C],HB-2['C],HB-3['C],HB-4['C],HB-5['C],TI-1['C],TI-2['C],TI-3['C],TI-4['C],TI-5['C],TI-6['C],TI-7['C],TI-8['C],TI-9['C],TI-10['C],TI-11['C],TI-12['C],TI-13['C],TI-14['C],TI-15['C],TI-16['C],TI-SP1['C],TI-SP2['C],PT-1[bar],Volt[V],Curr[A],
2025-10-31-,17,3,32,0.27,-1.74,-1.58,-1.52,-1,-0.08,-0.3,200,99.9,0,101.5,100.1,0,90.3,50.2,50.6,55.5,58.3,60.6,62.5,61.1,57.2,62.4,67,58.3,59.2,51.2,49.8,54.4,44.6,1448.5,1448.5,0,2.62,50,131
2025-10-31-,17,3,33,0.28,70.34,-1.59,-1.53,-0.99,-0.08,-0.3,200,99.9,0,101.5,100.1,0,90.3,50.2,50.6,55.5,58.3,60.6,62.5,62.1,57.8,63.6,68.5,59.4,60.6,52.1,50.8,55.8,45.3,1448.5,1448.5,0,2.62,50,131
2025-10-31-,17,3,34,0.3,45.7,-1.57,-1.52,-1,-0.08,-0.3,200,99.8,0,101.5,100.1,0,90.3,50.2,50.6,55.5,58.3,60.6,62.5,62.1,57.8,63.6,68.5,59.4,60.6,52.1,50.8,55.8,45.3,1448.5,1448.5,0.002,2.62,50,131
2025-10-31-,17,3,35,0.32,46.3,-1.57,-1.53,-1,-0.08,-0.3,200,99.8,0,101.5,100.1,0,90.3,51.1,51.5,56.5,59.3,61.8,63.6,63.2,57.8,64.8,68.5,60.5,60.6,52.1,50.8,55.8,45.3,1448.5,1448.5,0.002,2.62,50,131
2025-10-31-,17,3,36,0.33,47.46,-1.57,-1.53,-0.99,-0.08,-0.3,200,99.8,0,101.5,100.1,0,90.3,51.1,51.5,56.5,59.3,61.8,63.6,63.2,58.5,64.8,70,60.5,61.8,53,51.8,57.1,46.1,1448.5,1448.5,0.002,2.62,50,131
2025-10-31-,17,3,37,0.35,47.78,-1.58,-1.53,-1.01,-0.08,-0.3,200,99.9,0,101.5,100.1,0,90.3,51.1,51.5,56.5,59.3,61.8,63.6,63.2,58.5,64.8,70,60.5,61.8,53,51.8,57.1,46.1,1448.5,1448.5,0.004,2.62,50,131
2025-10-31-,17,3,38,0.37,48.05,-1.57,-1.53,-1,-0.08,-0.3,200,99.9,0,101.5,100.2,0,90.3,52.2,52.5,57.5,60.4,63,64.8,64.2,58.5,66,70,61.8,61.8,53,51.8,57.1,46.1,1448.5,1448.5,0.004,2.62,50,131
2025-10-31-,17,3,39,0.38,48.25,-1.58,-1.53,-1.02,-0.08,-0.3,200,99.9,0,101.5,100.2,0,90.3,52.2,52.5,57.5,60.4,63,64.8,64.2,59.3,66,71.7,61.8,63.1,54,52.8,58.5,46.9,1448.5,1448.5,0.005,2.62,50,131
2025-10-31-,17,3,40,0.4,48.63,-1.56,-1.53,-1.02,-0.08,-0.3,200,99.9,0,101.6,100.2,0,90.3,52.2,52.5,57.5,60.4,63,64.8,64.2,59.3,66,71.7,61.8,63.1,54,52.8,58.5,46.9,1448.5,1448.5,0.005,2.62,50,131
2025-10-31-,17,3,41,0.42,48.67,-1.57,-1.53,-1.02,-0.08,-0.3,200,99.9,0,101.6,100.2,0,90.3,53.2,53.5,58.7,61.5,64.2,66,65.2,60,67.2,73.3,63,64.5,54,52.8,58.5,46.9,1448.5,1448.5,0.005,2.62,50,131
2025-10-31-,17,3,42,0.43,48.75,-1.57,-1.52,-1.02,-0.08,-0.3,200,99.9,0,101.6,100.2,0,90.3,53.2,53.5,58.7,61.5,64.2,66,65.2,60,67.2,73.3,63,64.5,54.9,53.9,59.8,47.7,1448.5,1448.5,0.005,2.62,50,131
2025-10-31-,17,3,43,0.45,48.85,-1.57,-1.53,-1.02,-0.08,-0.3,200,99.9,0,101.5,100.1,0,90.3,53.2,53.5,58.7,61.5,64.2,66,65.2,60,67.2,73.3,63,64.5,54.9,53.9,59.8,47.7,1448.5,1448.5,0.005,2.62,50,131
2025-10-31-,17,3,44,0.47,48.93,-1.57,-1.53,-1,-0.08,-0.3,200,99.9,0,101.5,100.1,0,90.3,54.2,54.4,59.7,62.6,65.4,67.1,66.4,60.8,68.5,75,64.3,65.9,55.8,53.9,61.2,47.7,1448.5,1448.5,0.005,2.62,50,131
2025-10-31-,17,3,45,0.48,48.97,-1.58,-1.53,-1.01,-0.08,-0.3,200,99.9,0,101.5,100.1,0,90.3,54.2,54.4,59.7,62.6,65.4,67.1,66.4,60.8,68.5,75,64.3,65.9,55.8,55,61.2,48.6,1448.5,1448.5,0.005,2.62,50,131
2025-10-31-,17,3,46,0.5,49.07,-1.59,-1.52,-1,-0.08,-0.3,200,99.9,0,101.5,100.2,0,90.3,55.3,54.4,60.9,62.6,66.6,67.1,66.4,60.8,68.5,75,64.3,65.9,55.8,55,61.2,48.6,1448.5,1448.5,0.005,2.62,50,131
2025-10-31-,17,3,47,0.52,49.09,-1.58,-1.53,-1.01,-0.08,-0.3,200,99.9,0,101.5,100.2,0,90.3,55.3,55.4,60.9,63.7,66.6,68.4,67.5,61.7,69.8,76.7,65.5,67.2,56.9,56.1,62.7,49.4,1448.5,1448.5,0.005,2.62,50,131
2025-10-31-,17,3,48,0.53,49.08,-1.57,-1.53,-1.02,-0.08,-0.3,200,99.9,0,101.5,100.2,0,90.3,55.3,55.4,60.9,63.7,66.6,68.4,67.5,61.7,69.8,76.7,65.5,67.2,56.9,56.1,62.7,49.4,1448.5,1448.5,0.005,2.62,50,131
2025-10-31-,17,3,49,0.55,49.1,-1.59,-1.54,-1.02,-0.08,-0.3,200,99.9,0,101.5,100.2,0,90.3,56.3,56.5,62,64.8,68,69.6,67.5,61.7,69.8,76.7,65.5,67.2,56.9,56.1,62.7,49.4,1448.5,1448.5,0.005,2.63,50,131.5
2025-10-31-,17,3,50,0.57,49.14,-1.58,-1.53,-1.01,-0.08,-0.3,200,99.9,0,101.5,100.2,0,90.3,56.3,56.5,62,64.8,68,69.6,68.7,62.5,71.1,78.3,66.8,68.7,57.8,57.2,64.1,50.4,1448.5,1448.5,0.005,2.63,50,131.5
2025-10-31-,17,3,51,0.58,49.16,-1.57,-1.52,-1,-0.08,-0.3,200,99.9,0,101.4,100.2,0,90.3,56.3,56.5,62,64.8,68,69.6,68.7,62.5,71.1,78.3,66.8,68.7,57.8,57.2,64.1,50.4,1448.5,1448.5,0.005,2.63,50,131.5
2025-10-31-,17,3,52,0.6,49.21,-1.58,-1.53,-1,-0.08,-0.3,200,99.9,0,101.4,100.2,0,90.3,57.5,57.5,63.2,66,69.3,70.9,68.7,62.5,71.1,78.3,66.8,68.7,57.8,57.2,64.1,50.4,1448.5,1448.5,0.005,2.63,50,131.5
2025-10-31-,17,3,53,0.62,49.26,-1.58,-1.53,-1,-0.08,-0.3,200,99.9,0,101.4,100.2,0,90.3,57.5,57.5,63.2,66,69.3,70.9,69.8,63.4,72.5,80.1,68.2,70.1,58.8,58.3,65.6,51.3,1448.5,1448.5,0.005,2.63,50,131.5
2025-10-31-,17,3,54,0.63,49.28,-1.57,-1.54,-1,-0.08,-0.3,200,99.9,0,101.4,100.2,0,90.3,57.5,57.5,63.2,66,69.3,70.9,69.8,63.4,72.5,80.1,68.2,70.1,58.8,58.3,65.6,51.3,1448.5,1448.5,0.005,2.63,50,131.5
2025-10-31-,17,3,55,0.65,49.24,-1.59,-1.53,-1.01,-0.08,-0.3,200,99.9,0,101.4,100.2,0,90.3,58.5,58.6,64.4,67.2,70.5,72.2,70.9,63.4,73.9,80.1,69.5,70.1,58.8,58.3,65.6,51.3,1448.5,1448.5,0.005,2.63,50,131.5
