Date,Hour, Min., Sec., Elapse[min.],MFC-1[sccm],MFC-2[sccm],MFC-3[sccm],MFC-4[sccm],MFC-5[sccm],MFC-6[sccm],Pre-HT['C],HJ['C],HB-1['C],HB-2['C],HB-3['C],HB-4['C],HB-5['C],TI-1['C],TI-2['C],TI-3['C],TI-4['C],TI-5['C],TI-6['C],TI-7['C],TI-8['C],TI-9['C],TI-10['C],TI-11['C],TI-12['C],TI-13['C],TI-14['C],TI-15['C],TI-16['C],TI-SP1['C],TI-SP2['C],PT-1[bar],Volt[V],Curr[A]
2025-11-04-,22,31,22,0.13,45.01,-1.35,-1.36,-0.85,-0.08,-0.40,200.00,100.00,0.00,100.50,99.90,0.00,89.60,63.90,64.40,67.30,77.20,88.00,91.40,93.00,84.40,78.10,77.40,71.10,83.90,58.60,66.10,69.90,56.70,1448.50,1448.50,-0.001,4.500,87.000
2025-11-04-,22,31,23,0.15,45.64,-1.35,-1.36,-0.87,-0.08,-0.40,200.00,100.00,0.00,100.50,99.90,0.00,89.60,63.90,64.40,67.30,77.20,88.00,91.40,93.00,84.40,78.10,77.40,71.10,83.90,58.60,66.10,69.90,56.70,1448.50,1448.50,0.002,4.500,87.000
2025-11-04-,22,31,24,0.17,46.59,-1.35,-1.35,-0.85,-0.08,-0.40,200.00,100.00,0.00,100.40,99.90,0.00,89.60,64.90,65.50,68.70,78.70,90.00,93.60,93.00,84.40,78.10,77.40,71.10,83.90,58.60,66.10,69.90,56.70,1448.50,1448.50,0.002,4.500,87.000
2025-11-04-,22,31,25,0.18,47.62,-1.35,-1.35,-0.87,-0.08,-0.40,200.00,100.00,0.00,100.40,99.90,0.00,89.60,64.90,65.50,68.70,78.70,90.00,93.60,95.30,86.60,79.70,79.30,72.70,86.00,59.70,67.60,71.60,58.00,1448.50,1448.50,0.002,4.510,87.000
2025-11-04-,22,31,26,0.20,47.91,-1.36,-1.35,-0.87,-0.08,-0.40,200.00,100.00,0.00,100.40,99.90,0.00,89.60,64.90,65.50,68.70,78.70,90.00,93.60,95.30,86.60,79.70,79.30,72.70,86.00,59.70,67.60,71.60,58.00,1448.50,1448.50,0.005,4.510,87.000
2025-11-04-,22,31,27,0.22,48.31,-1.36,-1.36,-0.87,-0.08,-0.40,200.00,100.00,0.00,100.40,99.90,0.00,89.60,65.90,66.70,70.20,80.50,92.00,96.20,95.30,86.60,79.70,79.30,72.70,86.00,59.70,67.60,71.60,58.00,1448.50,1448.50,0.005,4.510,87.000
2025-11-04-,22,31,28,0.23,48.53,-1.35,-1.36,-0.87,-0.08,-0.40,200.00,100.00,0.00,100.40,99.90,0.00,89.60,65.90,66.70,70.20,80.50,92.00,96.20,97.60,88.50,81.60,81.30,74.20,88.20,60.90,69.20,73.70,59.50,1448.50,1448.50,0.005,4.510,87.000
2025-11-04-,22,31,29,0.25,48.63,-1.35,-1.37,-0.86,-0.08,-0.40,200.00,100.00,0.00,100.40,99.90,0.00,89.60,65.90,66.70,70.20,80.50,92.00,96.20,97.60,88.50,81.60,81.30,74.20,88.20,60.90,69.20,73.70,59.50,1448.50,1448.50,0.005,4.520,87.000
2025-11-04-,22,31,30,0.27,48.72,-1.35,-1.35,-0.87,-0.08,-0.40,200.00,100.00,0.00,100.40,99.90,0.00,89.60,67.10,68.00,71.90,82.10,94.40,98.70,100.30,88.50,83.40,81.30,75.80,88.20,60.90,69.20,73.70,59.50,1448.50,1448.50,0.005,4.520,87.000
2025-11-04-,22,31,31,0.28,48.78,-1.35,-1.35,-0.87,-0.08,-0.40,200.00,100.00,0.00,100.40,99.90,0.00,89.60,67.10,68.00,71.90,82.10,94.40,98.70,100.30,90.60,83.40,83.30,75.80,90.90,62.30,71.10,75.80,61.00,1448.50,1448.50,0.005,4.520,87.000
