         Time_s                                                                                                                         1                                                                                                                         2                                                                                                                         3
   0.000000E+00   1.0000E+00   2.5000E+19   1.0000E+00
   1.000000E-08   6.1610E+00   2.5000E+19   6.1610E+00
   2.000000E-08   3.7954E+01   2.5000E+19   3.7954E+01
   3.000000E-08   2.3381E+02   2.5000E+19   2.3381E+02
   4.000000E-08   1.4404E+03   2.5000E+19   1.4404E+03
   5.000000E-08   8.8732E+03   2.5000E+19   8.8732E+03
   6.000000E-08   5.4662E+04   2.5000E+19   5.4662E+04
   7.000000E-08   3.3674E+05   2.5000E+19   3.3674E+05
   8.000000E-08   2.0744E+06   2.5000E+19   2.0744E+06
   9.000000E-08   1.2779E+07   2.5000E+19   1.2779E+07
   1.000000E-07   7.8725E+07   2.5000E+19   7.8725E+07
   1.100000E-07   4.8497E+08   2.5000E+19   4.8497E+08
   1.200000E-07   2.9875E+09   2.5000E+19   2.9875E+09
   1.300000E-07   1.8400E+10   2.5000E+19   1.8400E+10
   1.400000E-07   1.1320E+11   2.5000E+19   1.1320E+11
   1.500000E-07   6.9182E+11   2.5000E+19   6.9182E+11
   1.600000E-07   4.0624E+12   2.5000E+19   4.0624E+12
   1.700000E-07   1.9425E+13   2.5000E+19   1.9425E+13
   1.800000E-07   5.0316E+13   2.5000E+19   5.0316E+13
   1.900000E-07   6.7821E+13   2.5000E+19   6.7821E+13
   2.000000E-07   7.1882E+13   2.5000E+19   7.1882E+13
   2.200000E-07   7.2704E+13   2.5000E+19   7.2704E+13
