Time	120	200	320	400	480	640	800	960	1080	1200	1280	1400
Fv	30	50	70	90	30	50	70	90	30	50	70	90
H2	9.804	6.437	4.774	3.774	9.126	5.923	4.369	3.344	7.898	5.082	3.657	2.854
CH4	84.304	89.628	92.291	93.898	85.328	90.434	92.933	94.588	87.296	91.798	94.085	95.379
C2H6	2.551	1.836	1.399	1.122	2.52	1.719	1.296	1.001	2.168	1.465	1.086	0.86
C2H4	0.174	0.149	0.133	0.121	0.173	0.142	0.124	0.111	0.159	0.133	0.116	0.105
C2H2	0.142	0.119	0.101	0.088	0.133	0.104	0.089	0.078	0.109	0.095	0.08	0.07
C3H8	0.768	0.525	0.382	0.295	0.754	0.476	0.342	0.255	0.633	0.401	0.284	0.216
C3H6	0.043	0.031	0.025	0.02	0.042	0.028	0.022	0.018	0.035	0.025	0.019	0.016
C4H10	0.124	0.078	0.053	0.039	0.121	0.07	0.047	0.033	0.096	0.056	0.037	0.026
C5H12	0.131	0.087	0.062	0.047	0.128	0.077	0.055	0.04	0.107	0.065	0.046	0.034
C	1.96	1.108	0.781	0.597	1.676	1.026	0.723	0.532	1.498	0.881	0.59	0.439
												
Time	120	200	320	400	480	640	800	960	1080	1200	1280	1400
Fv	30	50	70	90	30	50	70	90	30	50	70	90
H2	2.711304341	2.941620768	3.009402969	3.019034767	2.531560131	2.694212868	2.739210461	2.65864478	2.163420895	2.290085423	2.281893083	2.264095101
CH4	23.31450223	40.96136858	58.18282095	75.12335472	23.67069584	41.13389821	58.27043437	75.20229305	23.91145961	41.36828871	58.70031801	75.65086177
C2H6	0.705509697	0.839207757	0.881942132	0.897942392	0.699102319	0.781901572	0.812803674	0.795611706	0.59380679	0.66031456	0.677350122	0.681919928
C2H4	0.048128454	0.06792304	0.083642128	0.096574934	0.04801223	0.064627826	0.077952066	0.088585664	0.04364565	0.059760879	0.072380125	0.083322608
C2H2	0.039144073	0.054592403	0.063772247	0.0700514	0.036975973	0.0473177	0.056037726	0.061929765	0.029992752	0.042612506	0.049924759	0.055473974
C3H8	0.212263766	0.240154114	0.240639902	0.23599846	0.209121541	0.216599225	0.214741324	0.202806678	0.173427974	0.18061526	0.177164519	0.1715693
C3H6	0.011815249	0.014272949	0.01547654	0.016281812	0.011528852	0.0128468	0.013790587	0.014234708	0.009583546	0.011166914	0.011963078	0.012587425
C4H10	0.034393529	0.035861667	0.033467059	0.030840153	0.033564476	0.031616131	0.029234154	0.025864816	0.026352357	0.025181263	0.023078741	0.020914073
C5H12	0.036200579	0.039745689	0.038914287	0.037392456	0.035572266	0.035208844	0.034343435	0.032070403	0.029268435	0.029514884	0.028547324	0.027184657
C	0.542074668	0.506547446	0.492546047	0.477427834	0.464846652	0.466839962	0.453229434	0.422939455	0.410303573	0.397038499	0.36818232	0.348363156
