Num,Type,Reaction,ELoss,Species,Formula,Energy(eV),Cross_section(m2)
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,15.4,0.0
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,16.0,3.61374e-21
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,16.5,5.62857e-21
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,17.0,7.18606e-21
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,17.5,8.518149999999999e-21
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,18.0,9.75092e-21
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,18.5,1.0947699999999999e-20
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,19.0,1.21355e-20
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,19.5,1.33211e-20
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,19.8,1.40303e-20
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,20.0,1.4501199999999998e-20
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,30.0,2.95132e-20
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,40.0,3.3029399999999997e-20
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,50.0,3.4309899999999996e-20
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,60.0,3.50797e-20
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,70.0,3.5508199999999996e-20
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,80.0,3.56378e-20
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,90.0,3.55238e-20
102,IONIZATION,C2H2(v13) -> C2H2^+,15.4,e / C2H2(v13),E + C2H2(v13) -> E + E + C2H2^+,100.0,3.5225299999999996e-20
