Num,Reaction,Rate
0,e + CH4^+ => CH3 + H,1.18d-08 * (300./Tgas)**0.5
1,e + CH4^+ => CH2 + H + H,2.42d-08 * (300./Tgas)**0.5
2,e + CH4^+ => CH + H2 + H,1.41d-08 * (300./Tgas)**0.5
3,e + CH3^+ => CH2 + H,2.25d-08 * (300./Tgas)**0.5
4,e + CH3^+ => CH + H2,7.88d-09 * (300./Tgas)**0.5
5,e + CH3^+ => CH + H + H,9.00d-09 * (300./Tgas)**0.5
6,e + CH3^+ => C + H2 + H,1.69d-08 * (300./Tgas)**0.5
7,e + CH2^+ => CH + H,1.00d-08 * (300./Tgas)**0.5
8,e + CH2^+ => C + H2,4.82d-09 * (300./Tgas)**0.5
9,e + CH2^+ => C + H + H,2.53d-08 * (300./Tgas)**0.5
10,e + CH^+ => C + H,3.23d-08 * (300./Tgas)**0.42
11,e + C2H6^+ => C2H5 + H,2.19d-08 * (300./Tgas)**0.71
12,e + C2H6^+ => C2H4 + H + H,3.36d-08 * (300./Tgas)**0.71
13,e + C2H5^+ => C2H4 + H,7.70d-09 * (300./Tgas)**0.71
14,e + C2H5^+ => C2H3 + H + H,"1,92d-08 * (300./Tgas)**0.71"
15,e + C2H5^+ => C2H2 + H2 + H,1.60d-08 * (300./Tgas)**0.71
16,e + C2H5^+ => C2H2 + H + H + H,8.98d-09 * (300./Tgas)**0.71
17,e + C2H5^+ => CH3 + CH2,9.62d-09 * (300./Tgas)**0.71
18,e + C2H4^+ => C2H3 + H,8.29d-09 * (300./Tgas)**0.71
19,e + C2H4^+ => C2H2 + H + H,3.43d-08 * (300./Tgas)**0.71
20,e + C2H3^+ => C2H2 + H,1.34d-08 * (300./Tgas)**0.71
21,e + C2H2^+ => CH + CH,4.87d-09 * (300./Tgas)**0.71
22,e + H2^+ => H + H,3.17d21/(6.022d23 * Te**4.5)
23,e + H3^+ => H + H2,3.17d21/(6.022d23 * Te**4.5)
24,H2 + H2^+ => H + H3^+,2.11d-09
25,C2H6 + CH4^+ => CH4 + H2 + C2H4^+,1.91d-9
26,C2H6(v24) + CH4^+ => CH4 + H2 + C2H4^+,1.91d-9
27,C2H6(v13) + CH4^+ => CH4 + H2 + C2H4^+,1.91d-9
28,C2H4 + CH4^+ => CH3 + C2H5^+,4.23d-10
29,C2H4(v1) + CH4^+ => CH3 + C2H5^+,4.23d-10
30,C2H4(v2) + CH4^+ => CH3 + C2H5^+,4.23d-10
31,C2H4 + CH4^+ => CH4 + C2H4^+,1.38d-9
32,C2H4(v1) + CH4^+ => CH4 + C2H4^+,1.38d-9
33,C2H4(v2) + CH4^+ => CH4 + C2H4^+,1.38d-9
34,C2H2 + CH4^+ => CH3 + C2H3^+,1.23d-9
35,C2H2(v5) + CH4^+ => CH3 + C2H3^+,1.23d-9
36,C2H2(v2) + CH4^+ => CH3 + C2H3^+,1.23d-9
37,C2H2(v13) + CH4^+ => CH3 + C2H3^+,1.23d-9
38,C2H2 + CH4^+ => CH4 + C2H2^+,1.13d-9
39,C2H2(v5) + CH4^+ => CH4 + C2H2^+,1.13d-9
40,C2H2(v2) + CH4^+ => CH4 + C2H2^+,1.13d-9
41,C2H2(v13) + CH4^+ => CH4 + C2H2^+,1.13d-9
42,H + CH4^+ => H2 + CH3^+,1.00d-11
43,CH4 + CH3^+ => CH3 + CH4^+,1.36d-10
44,CH4(v24) + CH3^+ => CH3 + CH4^+,1.36d-10
45,CH4(v13) + CH3^+ => CH3 + CH4^+,1.36d-10
46,CH4 + CH3^+ => H2 + C2H5^+,1.20d-9
47,CH4(v24) + CH3^+ => H2 + C2H5^+,1.20d-9
48,CH4(v13) + CH3^+ => H2 + C2H5^+,1.20d-9
49,CH2 + CH3^+ => H2 + C2H3^+,9.90d-10
50,CH + CH3^+ => H2 + C2H2^+,7.10d-10
51,C2H6 + CH3^+ => CH4 + C2H5^+,1.48d-9
52,C2H6(v24) + CH3^+ => CH4 + C2H5^+,1.48d-9
53,C2H6(v13) + CH3^+ => CH4 + C2H5^+,1.48d-9
54,C2H4 + CH3^+ => CH4 + C2H3^+,3.50d-10
55,C2H4(v1) + CH3^+ => CH4 + C2H3^+,3.50d-10
56,C2H4(v2) + CH3^+ => CH4 + C2H3^+,3.50d-10
57,C2H3 + CH3^+ => CH3 + C2H3^+,3.00d-10
58,CH4 + CH2^+ => CH3 + CH3^+,1.38d-10
59,CH4(v24) + CH2^+ => CH3 + CH3^+,1.38d-10
60,CH4(v13) + CH2^+ => CH3 + CH3^+,1.38d-10
61,CH4 + CH2^+ => H + C2H5^+,3.60d-10
62,CH4(v24) + CH2^+ => H + C2H5^+,3.60d-10
63,CH4(v13) + CH2^+ => H + C2H5^+,3.60d-10
64,CH4 + CH2^+ => H2 + C2H4^+,8.40d-10
65,CH4(v24) + CH2^+ => H2 + C2H4^+,8.40d-10
66,CH4(v13) + CH2^+ => H2 + C2H4^+,8.40d-10
67,CH4 + CH2^+ => H + H2 + C2H3^+,2.31d-10
68,CH4(v24) + CH2^+ => H + H2 + C2H3^+,2.31d-10
69,CH4(v13) + CH2^+ => H + H2 + C2H3^+,2.31d-10
70,CH4 + CH2^+ => H2 + H2 + C2H2^+,3.97d-10
71,CH4(v24) + CH2^+ => H2 + H2 + C2H2^+,3.97d-10
72,CH4(v13) + CH2^+ => H2 + H2 + C2H2^+,3.97d-10
73,H2 + CH2^+ => H + CH3^+,1.60d-9
74,CH4 + CH^+ => H + C2H4^+,6.50d-11
75,CH4(v24) + CH^+ => H + C2H4^+,6.50d-11
76,CH4(v13) + CH^+ => H + C2H4^+,6.50d-11
77,CH4 + CH^+ => H2 + C2H3^+,1.09d-9
78,CH4(v24) + CH^+ => H2 + C2H3^+,1.09d-9
79,CH4(v13) + CH^+ => H2 + C2H3^+,1.09d-9
80,CH4 + CH^+ => H2 + H + C2H2^+,1.43d-10
81,CH4(v24) + CH^+ => H2 + H + C2H2^+,1.43d-10
82,CH4(v13) + CH^+ => H2 + H + C2H2^+,1.43d-10
83,H2 + CH^+ => H + CH2^+,1.20d-9
84,C2H4 + C2H6^+ => C2H6 + C2H4^+,1.15d-9
85,C2H4(v1) + C2H6^+ => C2H6 + C2H4^+,1.15d-9
86,C2H4(v2) + C2H6^+ => C2H6 + C2H4^+,1.15d-9
87,C2H2 + C2H6^+ => C2H3 + C2H5^+,2.47d-10
88,C2H2(v5) + C2H6^+ => C2H3 + C2H5^+,2.47d-10
89,C2H2(v2) + C2H6^+ => C2H3 + C2H5^+,2.47d-10
90,C2H2(v13) + C2H6^+ => C2H3 + C2H5^+,2.47d-10
91,H + C2H6^+ => H2 + C2H5^+,1.00d-10
92,H + C2H5^+ => H2 + C2H4^+,1.00d-11
93,C2H3 + C2H4^+ => C2H2 + C2H5^+,5.00d-10
