       Time_s           01           02           03           04           05
   0.0000E+00   2.8374E+02   2.9800E+02   0.0000E+00   0.0000E+00   0.0000E+00
   1.0000E-04   2.8374E+02   2.9800E+02   5.3363E+04   1.7863E-07   1.2489E-02
   2.0000E-04   8.5349E+03   2.9800E+02   6.7930E+05   3.3958E-05   7.1413E+01
   3.0000E-04   3.3950E+03   2.9800E+02   2.0513E+05   1.1555E-05   9.6657E+00
   4.0000E-04   3.6706E+03   2.9800E+02   2.2126E+05   1.2680E-05   1.1469E+01
   5.0000E-04   3.6434E+03   2.9800E+02   2.1965E+05   1.2572E-05   1.1287E+01
   6.0000E-04   3.6434E+03   2.9800E+02   2.1965E+05   1.2572E-05   1.1287E+01
   7.0000E-04   3.6434E+03   2.9800E+02   2.1965E+05   1.2572E-05   1.1287E+01
   8.0000E-04   3.6434E+03   2.9800E+02   2.1965E+05   1.2572E-05   1.1287E+01
   9.0000E-04   3.6434E+03   2.9800E+02   2.1965E+05   1.2572E-05   1.1287E+01
   1.0000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2572E-05   1.1287E+01
   1.1000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2572E-05   1.1287E+01
   1.2000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2572E-05   1.1287E+01
   1.3000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2572E-05   1.1287E+01
   1.4000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2572E-05   1.1287E+01
   1.5000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1288E+01
   1.6000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1288E+01
   1.7000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1288E+01
   1.8000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1288E+01
   1.9000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1288E+01
   2.0000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1288E+01
   2.1000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1288E+01
   2.2000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1288E+01
   2.3000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1288E+01
   2.4000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1288E+01
   2.5000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1288E+01
   2.6000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1288E+01
   2.7000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1288E+01
   2.8000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1288E+01
   2.9000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1288E+01
   3.0000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1289E+01
   3.1000E-03   3.6451E+03   2.9800E+02   2.1965E+05   1.2577E-05   1.1299E+01
   3.2000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1289E+01
   3.3000E-03   3.6451E+03   2.9800E+02   2.1965E+05   1.2577E-05   1.1299E+01
   3.4000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1289E+01
   3.5000E-03   3.6451E+03   2.9800E+02   2.1965E+05   1.2576E-05   1.1299E+01
   3.6000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1289E+01
   3.7000E-03   3.6451E+03   2.9800E+02   2.1965E+05   1.2576E-05   1.1299E+01
   3.8000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2571E-05   1.1289E+01
   3.9000E-03   3.6450E+03   2.9800E+02   2.1965E+05   1.2576E-05   1.1299E+01
   4.0000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2570E-05   1.1289E+01
   4.1000E-03   3.6450E+03   2.9800E+02   2.1965E+05   1.2576E-05   1.1299E+01
   4.2000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2570E-05   1.1289E+01
   4.3000E-03   3.6450E+03   2.9800E+02   2.1965E+05   1.2576E-05   1.1299E+01
   4.4000E-03   3.6450E+03   2.9800E+02   2.1965E+05   1.2576E-05   1.1299E+01
   4.5000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2570E-05   1.1290E+01
   4.6000E-03   3.6450E+03   2.9800E+02   2.1965E+05   1.2576E-05   1.1299E+01
   4.7000E-03   3.6449E+03   2.9800E+02   2.1965E+05   1.2576E-05   1.1299E+01
   4.8000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2570E-05   1.1290E+01
   4.9000E-03   3.6449E+03   2.9800E+02   2.1965E+05   1.2575E-05   1.1299E+01
   5.0000E-03   3.6449E+03   2.9800E+02   2.1965E+05   1.2575E-05   1.1299E+01
   5.1000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2570E-05   1.1290E+01
   5.2000E-03   3.6449E+03   2.9800E+02   2.1965E+05   1.2575E-05   1.1299E+01
   5.3000E-03   3.6449E+03   2.9800E+02   2.1965E+05   1.2575E-05   1.1299E+01
   5.4000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2570E-05   1.1290E+01
   5.5000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2570E-05   1.1290E+01
   5.6000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2570E-05   1.1290E+01
   5.7000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2570E-05   1.1290E+01
   5.8000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2570E-05   1.1290E+01
   5.9000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2570E-05   1.1290E+01
   6.0000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2570E-05   1.1290E+01
   6.1000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2570E-05   1.1291E+01
   6.2000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2570E-05   1.1291E+01
   6.3000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2570E-05   1.1291E+01
   6.4000E-03   3.6434E+03   2.9800E+02   2.1965E+05   1.2569E-05   1.1291E+01
