         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38                                                                                                               39                                                                                                               40                                                                                                               41                                                                                                               42                                                                                                               43                                                                                                               44                                                                                                               45                                                                                                               46                                                                                                               47                                                                                                               48
   0.000000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   2.4639E+19   0.0000E+00   0.0000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-04   5.7056E+04   1.1191E+11   6.8693E+08   2.5122E-19   2.3923E+10   3.0043E-16   1.6605E+11   3.5142E+03   2.4639E+19   7.1691E+11   7.4380E+11   3.0035E-16   1.2592E-09   1.7503E-18   2.8555E-18   7.8559E-18   1.0906E-25   1.2895E+10   7.9932E-25   6.5685E-03   5.2529E-11   1.5267E-11   2.4524E-25   1.7430E+10   5.3542E+04   2.0716E+04   2.1344E-04   2.2534E-04   1.3885E-31   1.0549E-30   2.7835E+03   5.3540E-05   6.1017E-32   4.0127E-23   6.8333E-33   2.6268E+03   6.2238E-05   4.7468E-05   1.4643E-32   2.7763E-33   9.3507E+03   1.8786E-49   2.1778E-03   4.4667E+11   1.6685E+11   0.0000E+00   0.0000E+00   1.3210E-22
   2.000000E-04   8.6077E+05   2.9722E+14   7.9675E+09   1.5088E-16   1.5159E+13   2.4628E-15   1.3789E+14   7.7476E+05   2.4638E+19   3.3354E+12   7.8951E+12   1.7418E-15   7.9681E+00   2.9252E-08   3.5192E-08   1.2074E-07   1.9653E-22   3.2537E+11   5.3212E-22   2.9968E+05   1.5903E-02   4.3399E-03   2.9324E-22   6.3871E+12   8.6013E+04   1.4305E+10   7.7550E+02   9.7401E+02   2.8265E-25   1.9014E-23   5.9528E+07   7.8272E+00   7.9788E-27   1.4349E-15   1.3887E-26   8.0116E+08   8.5171E+01   7.9537E+01   1.8050E-26   3.1135E-25   1.2595E+09   9.9760E-37   1.8636E+05   7.3338E+14   3.2227E+14   0.0000E+00   0.0000E+00   4.5071E-16
   3.000000E-04   5.7305E+05   3.8365E+14   5.5711E+09   7.4950E-17   2.0492E+13   1.8991E-15   1.8235E+14   4.6037E+05   2.4638E+19   7.4289E+12   1.4845E+13   1.2487E-15   6.7409E+01   8.2847E-07   1.1600E-06   4.0683E-06   1.8101E-22   5.9764E+11   5.7215E-22   2.0936E+06   2.7745E-01   7.6690E-02   6.6192E-18   1.0071E+13   1.1267E+05   7.2468E+10   1.2388E+04   1.4808E+04   1.1011E-24   3.6874E-22   3.5167E+08   1.0163E+02   3.2971E-26   2.7050E-14   5.5353E-26   4.4266E+09   1.5984E+03   1.3651E+03   7.4146E-26   6.2059E-24   7.6149E+09   3.1172E-35   3.7689E+06   9.3085E+14   4.3026E+14   0.0000E+00   0.0000E+00   7.0728E-16
   4.000000E-04   5.9936E+05   4.8235E+14   5.7878E+09   8.1291E-17   2.6460E+13   1.9600E-15   2.3250E+14   4.8952E+05   2.4638E+19   1.1490E+13   2.1976E+13   1.2935E-15   3.6329E+02   5.9288E-06   8.2634E-06   2.9101E-05   2.6980E-22   8.7481E+11   8.3019E-22   7.6508E+06   1.4926E+00   4.1208E-01   2.3490E-22   1.3976E+13   1.0985E+05   1.6985E+11   4.5905E+04   5.4946E+04   2.6504E-24   1.8658E-21   9.5151E+08   4.2283E+02   9.0015E-26   1.3289E-13   1.4577E-25   1.1259E+10   6.3387E+03   5.4185E+03   1.9445E-25   3.1951E-23   2.1062E+10   2.7871E-34   1.9649E+07   1.1453E+15   5.5817E+14   0.0000E+00   0.0000E+00   1.1933E-15
   5.000000E-04   5.9688E+05   5.8022E+14   5.7675E+09   8.0689E-17   3.2385E+13   1.9544E-15   2.8216E+14   4.8677E+05   2.4638E+19   1.5552E+13   2.9095E+13   1.2893E-15   1.1967E+03   2.5777E-05   3.5931E-05   1.2657E-04   3.4547E-22   1.1512E+12   1.0606E-21   1.8959E+07   4.9336E+00   1.3620E+00   5.9906E-22   1.7841E+13   1.1011E+05   3.1956E+11   1.1448E+05   1.3703E+05   4.9741E-24   6.0893E-21   1.9725E+09   1.1577E+03   1.8301E-25   4.2133E-13   2.8973E-25   2.2450E+10   1.6707E+04   1.4280E+04   3.8663E-25   1.0607E-22   4.4504E+10   1.4580E-33   6.5810E+07   1.3412E+15   6.9344E+14   0.0000E+00   0.0000E+00   1.8544E-15
   6.000000E-04   5.9688E+05   6.7805E+14   5.7674E+09   8.0689E-17   3.8309E+13   1.9544E-15   3.3166E+14   4.8677E+05   2.4638E+19   1.9616E+13   3.6214E+13   1.2893E-15   3.0329E+03   8.1216E-05   1.1321E-04   3.9883E-04   4.2329E-22   1.4271E+12   1.2947E-21   3.8763E+07   1.2516E+01   3.4551E+00   0.0000E+00   2.1675E+13   1.1011E+05   5.3233E+11   2.3461E+05   2.8084E+05   8.2860E-24   1.5608E-20   3.5200E+09   2.5516E+03   3.2304E-25   1.0485E-12   5.0342E-25   3.9007E+10   3.5771E+04   3.0574E+04   6.7179E-25   2.7582E-22   8.0568E+10   5.3621E-33   1.7228E+08   1.5195E+15   8.3745E+14   0.0000E+00   0.0000E+00   2.6951E-15
   7.000000E-04   5.9688E+05   7.7587E+14   5.7674E+09   8.0689E-17   4.4232E+13   1.9544E-15   3.8100E+14   4.8677E+05   2.4638E+19   2.3680E+13   4.3333E+13   1.2893E-15   6.5314E+03   2.0856E-04   2.9074E-04   1.0242E-03   5.0186E-22   1.7023E+12   1.5294E-21   7.0287E+07   2.6961E+01   7.4427E+00   0.0000E+00   2.5472E+13   1.1011E+05   8.1898E+11   4.2587E+05   5.0979E+05   1.2748E-23   3.4216E-20   5.6989E+09   4.9036E+03   5.1888E-25   2.2296E-12   7.9921E-25   6.1925E+10   6.7227E+04   5.7459E+04   1.0665E-24   6.1163E-22   1.3180E+11   1.5738E-32   3.8408E+08   1.6797E+15   9.9046E+14   0.0000E+00   0.0000E+00   3.7155E-15
   8.000000E-04   5.9687E+05   8.7369E+14   5.7674E+09   8.0689E-17   5.0155E+13   1.9544E-15   4.3017E+14   4.8676E+05   2.4637E+19   2.7743E+13   5.0452E+13   1.2893E-15   1.2580E+04   4.6546E-04   6.4886E-04   2.2858E-03   5.8126E-22   1.9768E+12   1.7648E-21   1.1726E+08   5.1931E+01   1.4336E+01   0.0000E+00   2.9226E+13   1.1011E+05   1.1902E+12   7.1090E+05   8.5100E+05   1.8526E-23   6.7159E-20   8.6133E+09   8.5668E+03   7.7946E-25   4.2404E-12   1.1896E-24   9.2175E+10   1.1539E+05   9.8624E+04   1.5875E-24   1.2112E-21   2.0061E+11   3.9516E-32   7.6397E+08   1.8221E+15   1.1524E+15   0.0000E+00   0.0000E+00   4.9152E-15
   9.000000E-04   5.9687E+05   9.7151E+14   5.7673E+09   8.0689E-17   5.6077E+13   1.9543E-15   4.7914E+14   4.8676E+05   2.4637E+19   3.1807E+13   5.7571E+13   1.2893E-15   2.2326E+04   9.3754E-04   1.3069E-03   4.6041E-03   6.6160E-22   2.2505E+12   2.0011E-21   1.8391E+08   9.2162E+01   2.5442E+01   1.6644E-16   3.2932E+13   1.1011E+05   1.6566E+12   1.1154E+06   1.3352E+06   2.5786E-23   1.2136E-19   1.2366E+10   1.3948E+04   1.1136E-24   7.4171E-12   1.6868E-24   1.3070E+11   1.8519E+05   1.5828E+05   2.2509E-24   2.2031E-21   2.8930E+11   8.8424E-32   1.3949E+09   1.9474E+15   1.3228E+15   0.0000E+00   0.0000E+00   6.2936E-15
