       Time_s           01           02           03           04           05
   0.0000E+00   1.8538E+02   2.9800E+02   0.0000E+00   0.0000E+00   0.0000E+00
   1.0000E-05   1.8538E+02   2.9800E+02   4.7995E+04   6.8633E-08   3.1349E-03
   2.0000E-05   7.2716E+03   2.9800E+02   5.2229E+05   2.8091E-05   5.0330E+01
   3.0000E-05   2.2511E+03   2.9800E+02   1.4483E+05   6.9374E-06   3.8477E+00
   4.0000E-05   2.5203E+03   2.9800E+02   1.5824E+05   8.0245E-06   4.9830E+00
   5.0000E-05   2.4796E+03   2.9800E+02   1.5616E+05   7.8564E-06   4.7998E+00
   6.0000E-05   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   7.0000E-05   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   8.0000E-05   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   9.0000E-05   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   1.0000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   1.1000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   1.2000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   1.3000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   1.4000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   1.5000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   1.6000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   1.7000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8787E-06   4.8233E+00
   1.8000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   1.9000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   2.0000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8787E-06   4.8233E+00
   2.1000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   2.2000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   2.3000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8787E-06   4.8233E+00
   2.4000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   2.5000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8787E-06   4.8233E+00
   2.6000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8787E-06   4.8233E+00
   2.7000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   2.8000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   2.9000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   3.0000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   3.1000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   3.2000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   3.3000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   3.4000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   3.5000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   3.6000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   3.7000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   3.8000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   3.9000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   4.0000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   4.1000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   4.2000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   4.3000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   4.4000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   4.5000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   4.6000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   4.7000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   4.8000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   4.9000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   5.0000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   5.1000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   5.2000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   5.3000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   5.4000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   5.5000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   5.6000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   5.7000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   5.8000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   5.9000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   6.0000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   6.1000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   6.2000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   6.3000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   6.4000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
   6.5000E-04   2.4856E+03   2.9800E+02   1.5647E+05   7.8818E-06   4.8271E+00
   6.6000E-04   2.4846E+03   2.9800E+02   1.5647E+05   7.8786E-06   4.8233E+00
