       Time_s           01           02           03           04           05
   0.0000E+00   1.8538E+02   2.9800E+02   0.0000E+00   0.0000E+00   0.0000E+00
   5.0000E-06   1.8538E+02   2.9800E+02   4.7995E+04   8.8311E-08   4.0337E-03
   1.0000E-05   6.4104E+03   2.9800E+02   4.3164E+05   3.0383E-05   4.7989E+01
   1.5000E-05   2.0323E+03   2.9800E+02   1.3425E+05   7.5969E-06   3.8040E+00
   2.0000E-05   2.2884E+03   2.9800E+02   1.4667E+05   8.8865E-06   5.0106E+00
   2.5000E-05   2.2452E+03   2.9800E+02   1.4455E+05   8.6691E-06   4.7958E+00
   3.0000E-05   2.2517E+03   2.9800E+02   1.4486E+05   8.7000E-06   4.8266E+00
   3.5000E-05   2.2517E+03   2.9800E+02   1.4486E+05   8.7000E-06   4.8266E+00
   4.0000E-05   2.2517E+03   2.9800E+02   1.4486E+05   8.7000E-06   4.8266E+00
   4.5000E-05   2.2517E+03   2.9800E+02   1.4486E+05   8.7000E-06   4.8266E+00
   5.0000E-05   2.2517E+03   2.9800E+02   1.4486E+05   8.7000E-06   4.8266E+00
   5.5000E-05   2.2517E+03   2.9800E+02   1.4486E+05   8.7000E-06   4.8266E+00
   6.0000E-05   2.2517E+03   2.9800E+02   1.4486E+05   8.7000E-06   4.8266E+00
   6.5000E-05   2.2517E+03   2.9800E+02   1.4486E+05   8.7000E-06   4.8266E+00
   7.0000E-05   2.2517E+03   2.9800E+02   1.4486E+05   8.7000E-06   4.8266E+00
   7.5000E-05   2.2517E+03   2.9800E+02   1.4486E+05   8.7000E-06   4.8266E+00
   8.0000E-05   2.2517E+03   2.9800E+02   1.4486E+05   8.7000E-06   4.8266E+00
   8.5000E-05   2.2517E+03   2.9800E+02   1.4486E+05   8.7000E-06   4.8266E+00
   9.0000E-05   2.2517E+03   2.9800E+02   1.4486E+05   8.7000E-06   4.8266E+00
   9.5000E-05   2.2509E+03   2.9800E+02   1.4486E+05   8.6969E-06   4.8233E+00
   1.0000E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.7000E-06   4.8266E+00
   1.0500E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6969E-06   4.8233E+00
   1.1000E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.7000E-06   4.8266E+00
   1.1500E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6969E-06   4.8233E+00
   1.2000E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6969E-06   4.8233E+00
   1.2500E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.7000E-06   4.8267E+00
   1.3000E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6969E-06   4.8233E+00
   1.3500E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6969E-06   4.8233E+00
   1.4000E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6999E-06   4.8267E+00
   1.4500E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6969E-06   4.8233E+00
   1.5000E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6969E-06   4.8233E+00
   1.5500E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6999E-06   4.8267E+00
   1.6000E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6969E-06   4.8233E+00
   1.6500E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6969E-06   4.8233E+00
   1.7000E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6969E-06   4.8233E+00
   1.7500E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6999E-06   4.8267E+00
   1.8000E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6969E-06   4.8233E+00
   1.8500E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6969E-06   4.8233E+00
   1.9000E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6999E-06   4.8267E+00
   1.9500E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   2.0000E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   2.0500E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   2.1000E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   2.1500E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   2.2000E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6999E-06   4.8267E+00
   2.2500E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   2.3000E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   2.3500E-04   2.2509E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   2.4000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   2.4500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   2.5000E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6999E-06   4.8267E+00
   2.5500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   2.6000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   2.6500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   2.7000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   2.7500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   2.8000E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6999E-06   4.8267E+00
   2.8500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   2.9000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   2.9500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   3.0000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   3.0500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   3.1000E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6999E-06   4.8267E+00
   3.1500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   3.2000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   3.2500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   3.3000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   3.3500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   3.4000E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6999E-06   4.8267E+00
   3.4500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   3.5000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   3.5500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   3.6000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   3.6500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6968E-06   4.8233E+00
   3.7000E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6999E-06   4.8267E+00
   3.7500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   3.8000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   3.8500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   3.9000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   3.9500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   4.0000E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6999E-06   4.8268E+00
   4.0500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   4.1000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   4.1500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   4.2000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   4.2500E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6999E-06   4.8268E+00
   4.3000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   4.3500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   4.4000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   4.4500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   4.5000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   4.5500E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6999E-06   4.8268E+00
   4.6000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   4.6500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   4.7000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   4.7500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   4.8000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   4.8500E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6999E-06   4.8268E+00
   4.9000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   4.9500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   5.0000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   5.0500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   5.1000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   5.1500E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6999E-06   4.8268E+00
   5.2000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   5.2500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   5.3000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   5.3500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   5.4000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6967E-06   4.8233E+00
   5.4500E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6999E-06   4.8268E+00
   5.5000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   5.5500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   5.6000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   5.6500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   5.7000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   5.7500E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6999E-06   4.8268E+00
   5.8000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   5.8500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   5.9000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   5.9500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   6.0000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   6.0500E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6998E-06   4.8268E+00
   6.1000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   6.1500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   6.2000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   6.2500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   6.3000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   6.3500E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6998E-06   4.8268E+00
   6.4000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   6.4500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   6.5000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   6.5500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   6.6000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   6.6500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   6.7000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   6.7500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   6.8000E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6998E-06   4.8269E+00
   6.8500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   6.9000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   6.9500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   7.0000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   7.0500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   7.1000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   7.1500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   7.2000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   7.2500E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6998E-06   4.8269E+00
   7.3000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   7.3500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6966E-06   4.8233E+00
   7.4000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6965E-06   4.8233E+00
   7.4500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6965E-06   4.8233E+00
   7.5000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6965E-06   4.8233E+00
   7.5500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6965E-06   4.8233E+00
   7.6000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6965E-06   4.8233E+00
   7.6500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6965E-06   4.8233E+00
   7.7000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6965E-06   4.8233E+00
   7.7500E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6998E-06   4.8269E+00
   7.8000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6965E-06   4.8233E+00
   7.8500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6965E-06   4.8233E+00
   7.9000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6965E-06   4.8233E+00
   7.9500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6965E-06   4.8233E+00
   8.0000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6965E-06   4.8233E+00
   8.0500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6965E-06   4.8233E+00
   8.1000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6965E-06   4.8233E+00
   8.1500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6965E-06   4.8233E+00
   8.2000E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6998E-06   4.8269E+00
   8.2500E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6998E-06   4.8269E+00
   8.3000E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6998E-06   4.8269E+00
   8.3500E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6998E-06   4.8269E+00
   8.4000E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6998E-06   4.8269E+00
   8.4500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6965E-06   4.8233E+00
   8.5000E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6998E-06   4.8269E+00
   8.5500E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6965E-06   4.8233E+00
   8.6000E-04   2.2508E+03   2.9800E+02   1.4486E+05   8.6965E-06   4.8233E+00
   8.6500E-04   2.2517E+03   2.9800E+02   1.4486E+05   8.6998E-06   4.8269E+00
