         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38                                                                                                               39                                                                                                               40                                                                                                               41                                                                                                               42                                                                                                               43                                                                                                               44                                                                                                               45                                                                                                               46                                                                                                               47                                                                                                               48
   0.000000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   2.4639E+19   0.0000E+00   0.0000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   5.000000E-06   4.1799E+04   1.7574E+09   5.7633E+08   2.4497E-20   5.4877E+08   1.2830E-16   3.1430E+09   1.5118E+03   2.4639E+19   2.6163E+10   2.6556E+10   1.6554E-16   8.4822E-17   7.0772E-27   1.1612E-26   3.1213E-26   1.9830E-27   3.3041E+08   1.4330E-26   9.8699E-09   4.7007E-18   1.3714E-18   4.2639E-27   3.5197E+08   4.0288E+04   3.2809E-01   1.2088E-10   1.2687E-10   1.5005E-36   2.3828E-38   6.6430E-02   4.8067E-11   1.0261E-36   9.1337E-31   6.5036E-38   5.0350E-02   4.2826E-11   3.2501E-11   1.6860E-37   5.5817E-41   1.9863E-01   1.6699E-59   5.2809E-11   8.5773E+09   3.5649E+09   0.0000E+00   0.0000E+00   9.4935E-27
   1.000000E-05   9.8146E+05   2.1269E+13   1.1102E+10   1.0285E-16   8.7098E+11   1.8633E-15   7.9874E+12   9.0033E+05   2.4639E+19   2.3227E+11   5.0669E+11   1.2831E-15   5.1092E-06   1.3129E-15   1.6699E-15   5.8827E-15   8.2879E-24   1.5954E+10   2.3168E-23   3.4623E+00   1.2251E-08   3.3390E-09   1.2911E-23   3.9109E+11   8.1129E+04   2.1195E+06   8.4495E-03   1.0474E-02   3.1304E-29   7.5635E-30   8.2371E+03   7.0670E-05   9.2755E-31   6.9009E-22   1.8193E-30   1.4226E+05   1.1821E-03   1.0676E-03   2.3779E-30   1.7541E-31   2.4545E+05   1.8300E-45   1.0365E-01   5.0973E+13   2.2559E+13   0.0000E+00   0.0000E+00   9.4688E-19
   1.500000E-05   5.1641E+05   2.4270E+13   6.3703E+09   3.1266E-17   1.0369E+12   1.1750E-15   9.2507E+12   3.9284E+05   2.4639E+19   4.7530E+11   8.4693E+11   7.6989E-16   2.2613E-05   2.1399E-14   3.1628E-14   1.0630E-13   4.9036E-24   2.8476E+10   1.8825E-23   1.6256E+01   1.2908E-07   3.6143E-08   1.0553E-23   5.5587E+11   1.2358E+05   9.5340E+06   9.8598E-02   1.1409E-01   9.5650E-29   1.3050E-28   4.5232E+04   7.1936E-04   2.8298E-30   1.1736E-20   5.4075E-30   7.0182E+05   1.5506E-02   1.2782E-02   7.5215E-30   3.0295E-30   1.3346E+06   3.3880E-44   1.8210E+00   5.8432E+13   2.5902E+13   0.0000E+00   0.0000E+00   1.1504E-18
   2.000000E-05   5.6084E+05   2.8035E+13   6.8459E+09   3.6973E-17   1.2378E+12   1.2538E-15   1.0817E+13   4.4223E+05   2.4639E+19   7.2481E+11   1.2087E+12   8.1939E-16   1.0071E-04   1.1519E-13   1.6998E-13   5.7570E-13   7.3957E-24   4.1472E+10   2.6709E-23   5.3049E+01   5.9855E-07   1.6755E-07   1.4867E-23   7.4010E+11   1.1861E+05   1.9553E+07   3.3557E-01   3.8852E-01   2.0510E-28   5.6995E-28   1.1275E+05   2.8287E-03   7.2318E-30   5.0867E-20   1.3049E-29   1.5901E+06   5.6941E-02   4.6919E-02   1.7962E-29   1.3234E-29   3.3616E+06   2.0612E-43   8.0982E+00   6.7743E+13   3.0068E+13   0.0000E+00   0.0000E+00   1.5879E-18
   2.500000E-05   5.5360E+05   3.1763E+13   6.7684E+09   3.6010E-17   1.4371E+12   1.2412E-15   1.2369E+13   4.3417E+05   2.4639E+19   9.7420E+11   1.5697E+12   8.1137E-16   2.9931E-04   4.4077E-13   6.5079E-13   2.2051E-12   9.1102E-24   5.4455E+10   3.2993E-23   1.1931E+02   1.8046E-06   5.0521E-07   1.8345E-23   9.2360E+11   1.1942E+05   3.2972E+07   7.6545E-01   8.8606E-01   3.4342E-28   1.6540E-27   2.1982E+05   7.3263E-03   1.3585E-29   1.4667E-19   2.3652E-29   2.9107E+06   1.3908E-01   1.1455E-01   3.2608E-29   3.8888E-29   6.7051E+06   8.9370E-43   2.4149E+01   7.6963E+13   3.4197E+13   0.0000E+00   0.0000E+00   2.1763E-18
   3.000000E-05   5.5465E+05   3.5487E+13   6.7796E+09   3.6149E-17   1.6363E+12   1.2430E-15   1.3920E+13   4.3535E+05   2.4639E+19   1.2236E+12   1.9307E+12   8.1254E-16   7.0038E-04   1.2740E-12   1.8812E-12   6.3749E-12   1.0987E-23   6.7437E+10   3.9608E-23   2.2462E+02   4.2388E-06   1.1867E-06   2.1997E-23   1.1070E+12   1.1930E+05   5.0204E+07   1.4485E+00   1.6766E+00   5.2345E-28   3.8595E-27   3.7386E+05   1.5417E-02   2.2723E-29   3.4044E-19   3.8540E-29   4.7360E+06   2.7941E-01   2.3010E-01   5.3121E-29   9.2311E-29   1.1677E+07   2.8811E-42   5.8010E+01   8.6172E+13   3.8323E+13   0.0000E+00   0.0000E+00   2.9236E-18
   3.500000E-05   5.5465E+05   3.9214E+13   6.7796E+09   3.6149E-17   1.8356E+12   1.2430E-15   1.5472E+13   4.3535E+05   2.4639E+19   1.4730E+12   2.2918E+12   8.1254E-16   1.4094E-03   3.0558E-12   4.5123E-12   1.5292E-11   1.2841E-23   8.0420E+10   4.6176E-23   3.7937E+02   8.5411E-06   2.3913E-06   2.5624E-23   1.2905E+12   1.1930E+05   7.1741E+07   2.4519E+00   2.8381E+00   7.4801E-28   7.8437E-27   5.8267E+05   2.8508E-02   3.4954E-29   6.8885E-19   5.8140E-29   7.1446E+06   4.9815E-01   4.1021E-01   8.0137E-29   1.9102E-28   1.8602E+07   7.6233E-42   1.2121E+02   9.5386E+13   4.2455E+13   0.0000E+00   0.0000E+00   3.8310E-18
   4.000000E-05   5.5465E+05   4.2942E+13   6.7796E+09   3.6149E-17   2.0350E+12   1.2430E-15   1.7024E+13   4.3535E+05   2.4639E+19   1.7224E+12   2.6528E+12   8.1254E-16   2.5578E-03   6.4324E-12   9.4984E-12   3.2191E-11   1.4695E-23   9.3403E+10   5.2744E-23   5.9514E+02   1.5509E-05   4.3420E-06   2.9251E-23   1.4740E+12   1.1930E+05   9.8063E+07   3.8509E+00   4.4574E+00   1.0225E-27   1.4471E-26   8.5398E+05   4.8220E-02   5.0729E-29   1.2662E-18   8.3119E-29   1.0214E+07   8.1840E-01   6.7391E-01   1.1457E-28   3.5863E-28   2.7805E+07   1.7546E-41   2.2942E+02   1.0460E+14   4.6588E+13   0.0000E+00   0.0000E+00   4.8979E-18
   4.500000E-05   5.5465E+05   4.6670E+13   6.7796E+09   3.6149E-17   2.2343E+12   1.2430E-15   1.8576E+13   4.3535E+05   2.4639E+19   1.9718E+12   3.0139E+12   8.1254E-16   4.3057E-03   1.2301E-11   1.8165E-11   6.1563E-11   1.6548E-23   1.0639E+11   5.9312E-23   8.8474E+02   2.6114E-05   7.3112E-06   3.2878E-23   1.6575E+12   1.1930E+05   1.2965E+08   5.7287E+00   6.6309E+00   1.3518E-27   2.4839E-26   1.1955E+06   7.6386E-02   7.0479E-29   2.1664E-18   1.1411E-28   1.4023E+07   1.2661E+00   1.0426E+00   1.5728E-28   6.2568E-28   3.9610E+07   3.6420E-41   4.0298E+02   1.1380E+14   5.0723E+13   0.0000E+00   0.0000E+00   6.1241E-18
