       Time_s           01           02           03           04           05
   0.0000E+00   2.1987E+02   2.9800E+02   0.0000E+00   0.0000E+00   0.0000E+00
   1.0000E-05   2.1987E+02   2.9800E+02   5.0015E+04   1.0617E-07   5.7516E-03
   2.0000E-05   7.5512E+03   2.9800E+02   5.5242E+05   3.1338E-05   5.8306E+01
   3.0000E-05   2.5758E+03   2.9800E+02   1.6106E+05   8.8120E-06   5.5926E+00
   4.0000E-05   2.8370E+03   2.9800E+02   1.7457E+05   9.9468E-06   6.9530E+00
   5.0000E-05   2.8024E+03   2.9800E+02   1.7279E+05   9.8003E-06   6.7670E+00
   6.0000E-05   2.8060E+03   2.9800E+02   1.7298E+05   9.8160E-06   6.7865E+00
   7.0000E-05   2.8060E+03   2.9800E+02   1.7298E+05   9.8160E-06   6.7865E+00
   8.0000E-05   2.8060E+03   2.9800E+02   1.7298E+05   9.8160E-06   6.7866E+00
   9.0000E-05   2.8060E+03   2.9800E+02   1.7298E+05   9.8160E-06   6.7866E+00
   1.0000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8160E-06   6.7866E+00
   1.1000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8160E-06   6.7866E+00
   1.2000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8160E-06   6.7866E+00
   1.3000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8160E-06   6.7866E+00
   1.4000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8160E-06   6.7866E+00
   1.5000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8160E-06   6.7866E+00
   1.6000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8143E-06   6.7844E+00
   1.7000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8160E-06   6.7866E+00
   1.8000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8160E-06   6.7866E+00
   1.9000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8160E-06   6.7866E+00
   2.0000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8143E-06   6.7844E+00
   2.1000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8160E-06   6.7867E+00
   2.2000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8143E-06   6.7844E+00
   2.3000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8159E-06   6.7867E+00
   2.4000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8143E-06   6.7844E+00
   2.5000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8143E-06   6.7844E+00
   2.6000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8159E-06   6.7867E+00
   2.7000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8142E-06   6.7844E+00
   2.8000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8159E-06   6.7867E+00
   2.9000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8142E-06   6.7844E+00
   3.0000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8159E-06   6.7867E+00
   3.1000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8142E-06   6.7844E+00
   3.2000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8142E-06   6.7844E+00
   3.3000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8159E-06   6.7868E+00
   3.4000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8142E-06   6.7844E+00
   3.5000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8159E-06   6.7868E+00
   3.6000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8142E-06   6.7844E+00
   3.7000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8159E-06   6.7868E+00
   3.8000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8141E-06   6.7844E+00
   3.9000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8141E-06   6.7844E+00
   4.0000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8159E-06   6.7868E+00
   4.1000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8141E-06   6.7844E+00
   4.2000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8159E-06   6.7868E+00
   4.3000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8141E-06   6.7844E+00
   4.4000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8159E-06   6.7868E+00
   4.5000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8141E-06   6.7844E+00
   4.6000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8141E-06   6.7844E+00
   4.7000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8159E-06   6.7869E+00
   4.8000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8141E-06   6.7844E+00
   4.9000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8140E-06   6.7844E+00
   5.0000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8159E-06   6.7869E+00
   5.1000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8140E-06   6.7844E+00
   5.2000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8140E-06   6.7844E+00
   5.3000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8140E-06   6.7844E+00
   5.4000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8158E-06   6.7869E+00
   5.5000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8140E-06   6.7844E+00
   5.6000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8140E-06   6.7844E+00
   5.7000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8158E-06   6.7869E+00
   5.8000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8140E-06   6.7844E+00
   5.9000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8140E-06   6.7844E+00
   6.0000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8139E-06   6.7844E+00
   6.1000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8158E-06   6.7870E+00
   6.2000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8139E-06   6.7844E+00
   6.3000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8139E-06   6.7844E+00
   6.4000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8158E-06   6.7870E+00
   6.5000E-04   2.8055E+03   2.9800E+02   1.7298E+05   9.8139E-06   6.7844E+00
   6.6000E-04   2.8054E+03   2.9800E+02   1.7298E+05   9.8139E-06   6.7844E+00
   6.7000E-04   2.8054E+03   2.9800E+02   1.7298E+05   9.8139E-06   6.7844E+00
   6.8000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8158E-06   6.7870E+00
   6.9000E-04   2.8054E+03   2.9800E+02   1.7298E+05   9.8139E-06   6.7844E+00
   7.0000E-04   2.8054E+03   2.9800E+02   1.7298E+05   9.8139E-06   6.7844E+00
   7.1000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8158E-06   6.7870E+00
   7.2000E-04   2.8054E+03   2.9800E+02   1.7298E+05   9.8139E-06   6.7844E+00
   7.3000E-04   2.8054E+03   2.9800E+02   1.7298E+05   9.8138E-06   6.7844E+00
   7.4000E-04   2.8054E+03   2.9800E+02   1.7298E+05   9.8138E-06   6.7844E+00
   7.5000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8158E-06   6.7871E+00
   7.6000E-04   2.8054E+03   2.9800E+02   1.7298E+05   9.8138E-06   6.7844E+00
   7.7000E-04   2.8054E+03   2.9800E+02   1.7298E+05   9.8138E-06   6.7844E+00
   7.8000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8158E-06   6.7871E+00
   7.9000E-04   2.8054E+03   2.9800E+02   1.7298E+05   9.8138E-06   6.7844E+00
   8.0000E-04   2.8054E+03   2.9800E+02   1.7298E+05   9.8138E-06   6.7844E+00
   8.1000E-04   2.8054E+03   2.9800E+02   1.7298E+05   9.8138E-06   6.7844E+00
   8.2000E-04   2.8054E+03   2.9800E+02   1.7298E+05   9.8138E-06   6.7844E+00
   8.3000E-04   2.8054E+03   2.9800E+02   1.7298E+05   9.8138E-06   6.7844E+00
   8.4000E-04   2.8060E+03   2.9800E+02   1.7298E+05   9.8157E-06   6.7871E+00
   8.5000E-04   2.8054E+03   2.9800E+02   1.7298E+05   9.8137E-06   6.7844E+00
   8.6000E-04   2.8054E+03   2.9800E+02   1.7298E+05   9.8137E-06   6.7844E+00
   8.7000E-04   2.8054E+03   2.9800E+02   1.7298E+05   9.8137E-06   6.7844E+00
