         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38                                                                                                               39                                                                                                               40                                                                                                               41                                                                                                               42                                                                                                               43                                                                                                               44                                                                                                               45                                                                                                               46                                                                                                               47                                                                                                               48
   0.000000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   2.4639E+19   0.0000E+00   0.0000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-05   1.9670E+05   9.9055E+09   2.1457E+05   3.3121E+01   3.1331E+07   3.5599E+04   1.4631E+10   1.3558E+04   2.4639E+19   2.4715E+11   2.5595E+11   8.1663E+04   9.6485E+08   1.3954E+00   2.2775E+00   6.2537E+00   2.4933E+03   7.0624E+09   1.1769E+04   1.2639E+10   8.7302E+01   2.5381E+01   1.9044E+04   1.2590E+10   3.2540E+04   1.4636E+10   1.0359E+02   1.0931E+02   2.7022E-05   1.0112E-06   1.3588E+01   9.1847E-08   8.2429E-14   1.5661E-03   1.2374E-14   1.7611E+01   1.4450E-07   1.1015E-07   2.6819E-14   1.3693E-15   5.1415E+02   2.9457E-12   1.9426E-08   4.2409E+10   8.5304E+10   0.0000E+00   0.0000E+00   4.4477E-08
   2.000000E-05   1.7640E+06   3.8297E+12   2.1027E+08   3.6260E+04   5.2236E+10   7.7886E+05   1.3570E+13   3.9923E+05   2.4639E+19   1.2829E+12   2.2484E+12   5.2701E+05   7.7316E+10   2.7909E+02   3.7826E+02   1.3400E+03   2.4113E+03   7.1252E+10   1.8163E+03   5.3328E+12   1.9938E+05   5.4736E+04   5.2000E+03   4.1995E+11   1.3227E+04   2.4433E+13   9.1489E+05   1.1098E+06   1.5276E-01   7.5178E-02   8.9999E+05   4.1342E-02   2.0498E-08   7.0558E+02   2.9494E-09   5.5526E+05   2.3047E-02   2.0052E-02   3.8765E-09   1.4828E-09   5.9478E+05   2.1898E-07   3.8641E-02   2.6769E+13   3.7251E+13   0.0000E+00   0.0000E+00   1.9922E-02
   3.000000E-05   1.1734E+06   4.8191E+12   5.9700E+07   1.4812E+04   1.5701E+10   5.2871E+05   1.7311E+13   2.4087E+05   2.4639E+19   2.3661E+12   3.7868E+12   3.5655E+05   1.3130E+11   1.0713E+03   1.5548E+03   5.3031E+03   3.5349E+03   1.1116E+11   2.7342E+03   6.8857E+12   5.7870E+05   1.6111E+05   7.9657E+03   6.5041E+11   1.8207E+04   3.1855E+13   2.9280E+06   3.4307E+06   1.4766E-01   4.2396E-01   1.9473E+06   2.0538E-01   3.3729E-08   3.7551E+03   1.0667E-08   2.9520E+06   2.8328E-01   2.3350E-01   1.4663E-08   2.7361E-08   3.4398E+06   1.2349E-06   1.7570E-01   3.3920E+13   4.8623E+13   0.0000E+00   0.0000E+00   5.4549E-03
   4.000000E-05   1.2219E+06   5.9388E+12   6.7916E+07   1.6281E+04   1.7731E+10   5.5080E+05   2.1568E+13   2.5334E+05   2.4639E+19   3.4614E+12   5.3754E+12   3.7010E+05   1.9166E+11   2.3008E+03   3.3693E+03   1.1456E+04   3.4162E+03   1.4793E+11   2.6242E+03   8.6267E+12   1.0720E+06   2.9919E+05   7.6541E+03   8.7399E+11   1.7653E+04   4.0199E+13   5.5489E+06   6.4654E+06   1.9155E-01   1.1014E+00   3.6457E+06   5.3853E-01   6.6724E-08   9.1331E+03   2.7126E-08   7.2328E+06   1.0849E+00   8.9385E-01   3.7092E-08   1.3386E-07   9.1591E+06   3.2081E-06   6.8721E-01   4.2017E+13   6.1379E+13   0.0000E+00   0.0000E+00   8.6626E-03
   5.000000E-05   1.2155E+06   7.0437E+12   6.6808E+07   1.6082E+04   1.7452E+10   5.4793E+05   2.5789E+13   2.5170E+05   2.4639E+19   4.5556E+12   6.9587E+12   3.6832E+05   2.5668E+11   4.0083E+03   5.8911E+03   2.0002E+04   3.4315E+03   1.7884E+11   2.6382E+03   1.0326E+13   1.6733E+06   4.6755E+05   7.6941E+03   1.0729E+12   1.7723E+04   4.8472E+13   8.7693E+06   1.0193E+07   2.3015E-01   2.2451E+00   6.0145E+06   1.1167E+00   1.1136E-07   1.7998E+04   5.1810E-08   1.3878E+07   2.7706E+00   2.2817E+00   7.0878E-08   4.2241E-07   1.8451E+07   6.5393E-06   1.8171E+00   4.9971E+13   7.3965E+13   0.0000E+00   0.0000E+00   1.0236E-02
   6.000000E-05   1.2155E+06   8.1477E+12   6.6818E+07   1.6082E+04   1.7448E+10   5.4793E+05   3.0029E+13   2.5170E+05   2.4639E+19   5.6497E+12   8.5415E+12   3.6832E+05   3.2698E+11   6.2318E+03   9.1750E+03   3.1129E+04   3.4315E+03   2.0362E+11   2.6383E+03   1.2002E+13   2.3815E+06   6.6585E+05   7.6944E+03   1.2468E+12   1.7723E+04   5.6774E+13   1.2591E+07   1.4615E+07   2.6957E-01   3.9983E+00   9.1051E+06   2.0246E+00   1.7056E-07   3.1587E+04   8.6631E-08   2.3197E+07   5.7528E+00   4.7370E+00   1.1847E-07   1.0430E-06   3.1613E+07   1.1646E-05   3.8846E+00   5.7882E+13   8.6524E+13   0.0000E+00   0.0000E+00   1.1653E-02
   7.000000E-05   1.2155E+06   9.2517E+12   6.6828E+07   1.6082E+04   1.7444E+10   5.4793E+05   3.4292E+13   2.5170E+05   2.4639E+19   6.7437E+12   1.0124E+13   3.6832E+05   4.0266E+11   9.0121E+03   1.3281E+04   4.5044E+04   3.4315E+03   2.2215E+11   2.6384E+03   1.3651E+13   3.1952E+06   8.9366E+05   7.6946E+03   1.3959E+12   1.7723E+04   6.5116E+13   1.7017E+07   1.9738E+07   3.0918E-01   6.5229E+00   1.2933E+07   3.3507E+00   2.4450E-07   5.1328E+04   1.3235E-07   3.5419E+07   1.0487E+01   8.6348E+00   1.8089E-07   2.1933E-06   4.8674E+07   1.8998E-05   7.2164E+00   6.5757E+13   9.9063E+13   0.0000E+00   0.0000E+00   1.2714E-02
   8.000000E-05   1.2155E+06   1.0356E+13   6.6838E+07   1.6082E+04   1.7441E+10   5.4793E+05   3.8581E+13   2.5170E+05   2.4639E+19   7.8378E+12   1.1707E+13   3.6832E+05   4.8357E+11   1.2390E+04   1.8270E+04   6.1947E+04   3.4316E+03   2.3466E+11   2.6385E+03   1.5270E+13   4.1125E+06   1.1505E+06   7.6948E+03   1.5216E+12   1.7723E+04   7.3498E+13   2.2050E+07   2.5563E+07   3.4898E-01   9.9963E+00   1.7485E+07   5.1832E+00   3.3312E-07   7.8756E+04   1.8955E-07   5.0698E+07   1.7460E+01   1.4376E+01   2.5893E-07   4.1140E-06   6.9447E+07   2.9114E-05   1.2132E+01   7.3598E+13   1.1158E+14   0.0000E+00   0.0000E+00   1.3430E-02
   9.000000E-05   1.2155E+06   1.1460E+13   6.6849E+07   1.6082E+04   1.7437E+10   5.4793E+05   4.2895E+13   2.5170E+05   2.4639E+19   8.9319E+12   1.3290E+13   3.6832E+05   5.6928E+11   1.6403E+04   2.4197E+04   8.2031E+04   3.4316E+03   2.4160E+11   2.6386E+03   1.6856E+13   5.1315E+06   1.4358E+06   7.6950E+03   1.6263E+12   1.7723E+04   8.1921E+13   2.7694E+07   3.2094E+07   3.8897E-01   1.4609E+01   2.2723E+07   7.6064E+00   4.3586E-07   1.1545E+05   2.5862E-07   6.9122E+07   2.7178E+01   2.2377E+01   3.5302E-07   7.0813E-06   9.3614E+07   4.2549E-05   1.8928E+01   8.1407E+13   1.2407E+14   0.0000E+00   0.0000E+00   1.3828E-02
