       Time_s           01           02           03           04           05
   0.0000E+00   1.8538E+02   2.9800E+02   0.0000E+00   0.0000E+00   0.0000E+00
   1.0000E-05   1.8538E+02   2.9800E+02   4.7995E+04   6.3500E-08   2.9005E-03
   2.0000E-05   7.5598E+03   2.9800E+02   5.5343E+05   2.8837E-05   5.3712E+01
   3.0000E-05   2.2654E+03   2.9800E+02   1.4554E+05   6.8762E-06   3.8381E+00
   4.0000E-05   2.5395E+03   2.9800E+02   1.5921E+05   7.9661E-06   4.9846E+00
   5.0000E-05   2.4981E+03   2.9800E+02   1.5711E+05   7.8014E-06   4.8019E+00
   6.0000E-05   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8264E+00
   7.0000E-05   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8264E+00
   8.0000E-05   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8264E+00
   9.0000E-05   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8264E+00
   1.0000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8264E+00
   1.1000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8264E+00
   1.2000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8264E+00
   1.3000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8264E+00
   1.4000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8264E+00
   1.5000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8264E+00
   1.6000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8264E+00
   1.7000E-04   2.5029E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   1.8000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8264E+00
   1.9000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8264E+00
   2.0000E-04   2.5029E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   2.1000E-04   2.5029E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   2.2000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8264E+00
   2.3000E-04   2.5029E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   2.4000E-04   2.5029E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   2.5000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8264E+00
   2.6000E-04   2.5029E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   2.7000E-04   2.5029E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   2.8000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8264E+00
   2.9000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   3.0000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   3.1000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8264E+00
   3.2000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   3.3000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   3.4000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8265E+00
   3.5000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   3.6000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   3.7000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8265E+00
   3.8000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   3.9000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   4.0000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8265E+00
   4.1000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   4.2000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8265E+00
   4.3000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   4.4000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   4.5000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   4.6000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   4.7000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8265E+00
   4.8000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   4.9000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   5.0000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   5.1000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8265E+00
   5.2000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   5.3000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   5.4000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   5.5000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   5.6000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8265E+00
   5.7000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   5.8000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   5.9000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   6.0000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8265E+00
   6.1000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   6.2000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   6.3000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   6.4000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
   6.5000E-04   2.5037E+03   2.9800E+02   1.5739E+05   7.8239E-06   4.8265E+00
   6.6000E-04   2.5028E+03   2.9800E+02   1.5739E+05   7.8213E-06   4.8233E+00
