Reaction,index
e + CH4 => e + CH3 + H,12
e + CH4 => e + CH2 + H2,13
e + CH4 => e + CH + H2 + H,14
e + CH2 => e + CH + H,19
e + CH => e + C + H,22
e + CH4 => e + e + H + CH3^+,24
e + C2H6 => e + C2H4 + H2,34
e + C2H4 => e + C2H3 + H,45
e + C2H4 => e + C2H2 + H2,46
e + C3H8 => e + C3H6 + H2,80
e + C3H6 => e + C2H2 + CH4,88
e + C2H5^+ => C2H3 + H + H,116
e + C2H5^+ => C2H2 + H2 + H,117
e + C2H5^+ => C2H2 + H + H + H,118
CH4 + CH3^+ => H2 + C2H5^+,134
CH4 + CH => C2H4 + H,211
CH3 + CH3 => C2H6,220
CH3 + CH2 => C2H4 + H,221
CH3 + C2H5 => C3H8,223
CH3 + C2H3 => C3H6,226
CH3 + H => CH4,233
C2H5 + H2 => C2H6 + H,268
C2H5 + H => CH3 + CH3,269
C2H5 + C2H5 => C4H9H,273
C2H4 + H => C2H5,276
C2H3 + H => C2H2 + H2,291
C2H2 + H2 => C2H4,295
C3H8 => C2H5 + CH3,299
C3H8 + CH2 => C4H9H,300
C3H7 + H2 => C3H8 + H,302
C3H7 + H => C3H8,304
C3H6 + H => C3H7,308
C4H9H + CH2 => C5H12,313
H + H => H2,315
