         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38                                                                                                               39                                                                                                               40                                                                                                               41                                                                                                               42                                                                                                               43                                                                                                               44                                                                                                               45                                                                                                               46                                                                                                               47                                                                                                               48
   0.000000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   2.4639E+19   0.0000E+00   0.0000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-05   2.9413E+04   1.5621E+05   2.7804E+04   3.4814E-20   4.6663E+08   1.8234E-16   3.7468E+09   1.4114E+03   2.4639E+19   3.6820E+10   3.7374E+10   2.3660E-16   1.1433E+03   1.3365E-07   2.1928E-07   5.8945E-07   2.3135E-27   3.3413E+08   2.3075E-26   6.9091E+08   7.3073E-01   2.1319E-01   1.9739E-26   2.4227E+08   2.8002E+04   1.0145E+00   5.2602E-10   5.5209E-10   6.5934E-36   1.8521E-34   1.4557E-01   1.4823E-10   3.1949E-36   3.0186E-09   1.9184E-37   1.0451E-01   1.2510E-10   9.4940E-11   4.9734E-37   1.1255E-40   1.6733E-01   5.3914E-40   4.5076E-11   6.3736E+09   1.7341E+09   0.0000E+00   0.0000E+00   1.3511E-26
   2.000000E-05   8.0937E+05   1.0081E+12   2.9634E+08   1.4700E-16   9.5217E+11   2.4911E-15   1.0585E+13   7.6401E+05   2.4639E+19   3.1781E+11   7.5859E+11   1.7437E-15   2.4635E+08   1.4344E-01   1.7644E-01   6.1304E-01   8.9601E-24   1.5000E+10   4.2128E-22   7.3657E+12   9.7960E+04   2.6689E+04   7.4717E-22   2.9571E+11   4.5354E+04   8.0974E+06   4.5760E-02   5.7207E-02   1.6095E-28   1.1563E-25   1.8775E+04   2.4475E-04   3.0530E-30   1.6980E+00   6.2720E-30   3.6129E+05   4.1183E-03   3.7945E-03   8.1670E-30   4.7544E-31   2.5055E+05   3.3668E-31   1.3765E-01   2.7670E+13   9.6394E+12   0.0000E+00   0.0000E+00   1.7624E-18
   3.000000E-05   4.3316E+05   1.0502E+12   4.8370E+07   4.7342E-17   1.1338E+12   1.6128E-15   1.2448E+13   3.6126E+05   2.4639E+19   7.0538E+11   1.3217E+12   1.0544E-15   1.2675E+09   2.0267E+00   2.9543E+00   1.0038E+01   5.6129E-24   2.6626E+10   1.2173E-24   8.5765E+12   2.7755E+05   7.6953E+04   4.8424E-22   4.2422E+11   7.1894E+04   3.6908E+07   6.0554E-01   7.0561E-01   4.9842E-28   1.8775E-24   1.0322E+05   2.6553E-03   9.3893E-30   2.9146E+01   1.9013E-29   1.8008E+06   6.3004E-02   5.2317E-02   2.6181E-29   8.3057E-30   1.3721E+06   5.4667E-30   2.4222E+00   3.2189E+13   1.1223E+13   0.0000E+00   0.0000E+00   2.1719E-18
   4.000000E-05   4.6768E+05   1.1118E+12   6.0760E+07   5.5095E-17   1.3515E+12   1.7109E-15   1.4738E+13   3.9911E+05   2.4639E+19   1.1003E+12   1.9184E+12   1.1179E-15   3.1020E+09   7.7542E+00   1.1303E+01   3.8679E+01   8.4780E-24   3.7801E+10   0.0000E+00   1.0085E+13   4.9723E+05   1.3825E+05   6.0828E-22   5.6332E+11   6.8566E+04   7.6999E+07   2.0895E+00   2.4378E+00   1.0848E-27   8.1104E-24   2.5682E+05   1.0466E-02   2.3929E-29   1.2707E+02   4.6212E-29   4.1266E+06   2.3401E-01   1.9435E-01   6.3052E-29   3.6886E-29   3.4717E+06   2.3615E-29   1.0831E+01   3.7772E+13   1.3177E+13   0.0000E+00   0.0000E+00   3.0278E-18
   5.000000E-05   4.6265E+05   1.1710E+12   5.8840E+07   5.3932E-17   1.5604E+12   1.6969E-15   1.6986E+13   3.9361E+05   2.4639E+19   1.4947E+12   2.5117E+12   1.1087E-15   5.9185E+09   1.9767E+01   2.8840E+01   9.8764E+01   1.0542E-23   4.7964E+10   3.3042E-18   1.1564E+13   7.5114E+05   2.0911E+05   6.9255E-22   6.9604E+11   6.9039E+04   1.3163E+08   4.8195E+00   5.6219E+00   1.8434E-27   2.3312E-23   4.9497E+05   2.6969E-02   4.4719E-29   3.6494E+02   8.4268E-29   7.5866E+06   5.7517E-01   4.7743E-01   1.1511E-28   1.0917E-28   6.8802E+06   6.7877E-29   3.2176E+01   4.3230E+13   1.5090E+13   0.0000E+00   0.0000E+00   4.1292E-18
   6.000000E-05   4.6333E+05   1.2306E+12   5.9094E+07   5.4085E-17   1.7648E+12   1.6988E-15   1.9247E+13   3.9435E+05   2.4639E+19   1.8891E+12   3.1056E+12   1.1100E-15   9.8221E+09   4.0883E+01   5.9658E+01   2.0437E+02   1.2760E-23   5.7046E+10   0.0000E+00   1.3054E+13   1.0400E+06   2.8974E+05   7.8374E-22   8.2347E+11   6.8976E+04   2.0285E+08   9.2136E+00   1.0747E+01   2.8431E-27   5.3757E-23   8.2740E+05   5.6229E-02   7.3944E-29   8.3767E+02   1.3735E-28   1.2350E+07   1.1594E+00   9.6227E-01   1.8756E-28   2.5932E-28   1.1835E+07   1.5652E-28   7.6497E+01   4.8705E+13   1.7012E+13   0.0000E+00   0.0000E+00   5.4847E-18
   7.000000E-05   4.6333E+05   1.2902E+12   5.9094E+07   5.4085E-17   1.9636E+12   1.6988E-15   2.1516E+13   3.9435E+05   2.4639E+19   2.2836E+12   3.6995E+12   1.1100E-15   1.4891E+10   7.4171E+01   1.0824E+02   3.7086E+02   1.4956E-23   6.4969E+10   2.6744E-19   1.4550E+13   1.3640E+06   3.8016E+05   8.7427E-22   9.4471E+11   6.8976E+04   2.9299E+08   1.5742E+01   1.8363E+01   4.1065E-27   1.0768E-22   1.2615E+06   1.0263E-01   1.1208E-28   1.6664E+03   2.0670E-28   1.8584E+07   2.0689E+00   1.7171E+00   2.8223E-28   5.3440E-28   1.8539E+07   3.1353E-28   1.5742E+02   5.4179E+13   1.8936E+13   0.0000E+00   0.0000E+00   7.0597E-18
   8.000000E-05   4.6332E+05   1.3498E+12   5.9094E+07   5.4085E-17   2.1562E+12   1.6988E-15   2.3792E+13   3.9435E+05   2.4639E+19   2.6781E+12   4.2934E+12   1.1100E-15   2.1165E+10   1.2286E+02   1.7929E+02   6.1434E+02   1.7144E-23   7.1687E+10   5.6449E-20   1.6051E+13   1.7232E+06   4.8039E+05   9.6498E-22   1.0591E+12   6.8976E+04   4.0431E+08   2.4936E+01   2.9087E+01   5.6668E-27   1.9526E-22   1.8012E+06   1.7080E-01   1.5976E-28   2.9961E+03   2.9403E-28   2.6432E+07   3.3953E+00   2.8178E+00   4.0141E-28   9.9519E-28   2.7144E+07   5.6852E-28   2.9217E+02   5.9648E+13   2.0862E+13   0.0000E+00   0.0000E+00   8.8232E-18
   9.000000E-05   4.6332E+05   1.4093E+12   5.9094E+07   5.4085E-17   2.3416E+12   1.6988E-15   2.6072E+13   3.9435E+05   2.4639E+19   3.0721E+12   4.8866E+12   1.1100E-15   2.8641E+10   1.9013E+02   2.7749E+02   9.5083E+02   1.9316E-23   7.7190E+10   1.1421E-20   1.7558E+13   2.1171E+06   5.9034E+05   1.0558E-21   1.1661E+12   6.8976E+04   5.3897E+08   3.7371E+01   4.3592E+01   7.5542E-27   3.2837E-22   2.4467E+06   2.6535E-01   2.1733E-28   4.9887E+03   4.0062E-28   3.6009E+07   5.2354E+00   4.3450E+00   5.4686E-28   1.7155E-27   3.7740E+07   9.5611E-28   5.0113E+02   6.5107E+13   2.2788E+13   0.0000E+00   0.0000E+00   1.0742E-17
