       Time_s           01           02           03           04           05
   0.0000E+00   9.4281E+06   2.7315E+02   0.0000E+00   0.0000E+00   0.0000E+00
   1.0000E-04   9.4281E+06   2.7315E+02   4.6413E+07   5.1281E-04   1.3052E+06
   2.0000E-04   9.2607E+01   2.7315E+02   3.9542E+04   8.6153E-09   2.1522E-04
   3.0000E-04   9.2677E+01   2.7315E+02   3.9548E+04   8.6346E-09   2.1582E-04
   4.0000E-04   9.2677E+01   2.7315E+02   3.9548E+04   8.6346E-09   2.1579E-04
   5.0000E-04   9.2677E+01   2.7315E+02   3.9548E+04   8.6346E-09   2.1577E-04
   6.0000E-04   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1576E-04
   7.0000E-04   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1575E-04
   8.0000E-04   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1575E-04
   9.0000E-04   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1574E-04
   1.0000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1573E-04
   1.1000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1573E-04
   1.2000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1572E-04
   1.3000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1572E-04
   1.4000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1572E-04
   1.5000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1571E-04
   1.6000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1571E-04
   1.7000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1571E-04
   1.8000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1571E-04
   1.9000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1571E-04
   2.0000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1570E-04
   2.1000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1570E-04
   2.2000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1570E-04
   2.3000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1570E-04
   2.4000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1570E-04
   2.5000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1570E-04
   2.6000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1570E-04
   2.7000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1569E-04
   2.8000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1569E-04
   2.9000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1569E-04
   3.0000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1569E-04
   3.1000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1569E-04
   3.2000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1569E-04
   3.3000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1569E-04
   3.4000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1569E-04
   3.5000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1569E-04
   3.6000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1569E-04
   3.7000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1569E-04
   3.8000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1569E-04
   3.9000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1569E-04
   4.0000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1569E-04
   4.1000E-03   9.2717E+01   2.7315E+02   3.9544E+04   8.6311E-09   2.1568E-04
   4.2000E-03   9.2757E+01   2.7315E+02   3.9544E+04   8.6348E-09   2.1587E-04
