         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38                                                                                                               39                                                                                                               40                                                                                                               41                                                                                                               42                                                                                                               43                                                                                                               44                                                                                                               45                                                                                                               46                                                                                                               47                                                                                                               48
   0.000000E+00   1.0000E+09   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   2.6880E+19   0.0000E+00   0.0000E+00   1.0000E+09   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-04   5.7483E+08   3.1666E+16   3.1481E+09   1.2798E-13   3.2932E+15   1.6523E-12   3.3922E+16   5.7373E+08   2.6804E+19   1.0761E+14   4.5777E+14   1.2843E-12   1.4747E+10   5.7156E+03   5.4493E+03   1.3683E+04   9.7169E-17   2.2207E+15   2.3761E-16   4.9178E+12   2.2122E+07   8.0975E+06   7.3637E-15   3.5394E+13   1.0979E+06   1.0224E+15   3.8798E+09   4.8397E+09   1.3342E-17   2.2288E-15   9.0339E+13   1.3771E+09   3.8599E-18   1.5329E-07   1.0547E-20   9.0193E+11   2.1069E+06   2.5507E+06   1.3609E-20   3.2631E-22   4.1994E+10   3.2144E-26   8.4346E+08   5.6420E+16   6.2286E+16   0.0000E+00   0.0000E+00   1.0909E-09
   2.000000E-04   7.7540E+03   3.1666E+16   4.2890E+07   4.1789E-14   3.2932E+15   8.3109E-13   2.8725E+16   5.3443E+01   2.6804E+19   1.0771E+14   4.5787E+14   1.1956E-12   1.4747E+10   5.7371E+03   5.4850E+03   1.3774E+04   9.2253E-17   1.9940E+15   8.1466E-16   4.8949E+12   2.2047E+07   8.0679E+06   2.7263E-15   3.2871E+13   7.7005E+03   3.5062E+15   3.8915E+09   4.8518E+09   7.8203E-17   2.4744E-14   3.1702E+14   1.3794E+09   2.7181E-17   9.5847E-07   1.2025E-20   3.2144E+12   2.1314E+06   2.5693E+06   3.7832E-20   3.6517E-21   1.4889E+11   2.3425E-25   1.0505E+10   2.1043E+16   7.9974E+16   0.0000E+00   0.0000E+00   1.0909E-09
   3.000000E-04   7.7677E+03   3.1666E+16   3.8004E+07   4.1549E-14   3.2932E+15   1.1171E-12   2.4901E+16   5.3631E+01   2.6804E+19   1.0781E+14   4.5796E+14   1.9459E-12   1.4747E+10   5.7585E+03   5.5206E+03   1.3864E+04   1.4851E-16   1.8183E+15   1.4659E-15   4.8840E+12   2.2024E+07   8.0576E+06   2.9643E-15   3.0830E+13   7.7140E+03   5.3294E+15   3.9138E+09   4.8750E+09   2.1891E-16   6.2852E-14   4.9278E+14   1.3840E+09   7.7679E-17   1.7959E-06   2.8972E-20   5.0639E+12   2.1797E+06   2.6062E+06   1.0380E-19   9.3045E-21   2.3146E+11   4.0747E-25   2.9474E+10   1.2934E+16   8.4029E+16   0.0000E+00   0.0000E+00   1.0909E-09
   4.000000E-04   7.7677E+03   3.1666E+16   3.7997E+07   4.1311E-14   3.2932E+15   1.4015E-12   2.1970E+16   5.3631E+01   2.6804E+19   1.0791E+14   4.5806E+14   2.6917E-12   1.4747E+10   5.7799E+03   5.5561E+03   1.3955E+04   2.0158E-16   1.6773E+15   2.0656E-15   4.8770E+12   2.2019E+07   8.0534E+06   3.2048E-15   2.9135E+13   7.7140E+03   6.7239E+15   3.9442E+09   4.9064E+09   4.0922E-16   1.0915E-13   6.3378E+14   1.3904E+09   1.4740E-16   2.5813E-06   5.2664E-20   6.5868E+12   2.2474E+06   2.6578E+06   1.9599E-19   1.6143E-20   2.9531E+11   5.5899E-25   5.5639E+10   9.3353E+15   8.5828E+16   0.0000E+00   0.0000E+00   1.0909E-09
   5.000000E-04   7.7677E+03   3.1666E+16   3.7997E+07   4.1073E-14   3.2931E+15   1.6842E-12   1.9652E+16   5.3631E+01   2.6804E+19   1.0801E+14   4.5816E+14   3.4331E-12   1.4747E+10   5.8013E+03   5.5916E+03   1.4045E+04   2.5196E-16   1.5612E+15   2.6229E-15   4.8719E+12   2.2021E+07   8.0523E+06   3.4582E-15   2.7696E+13   7.7140E+03   7.8243E+15   3.9807E+09   4.9442E+09   6.3759E-16   1.5963E-13   7.4985E+14   1.3982E+09   2.3256E-16   3.3087E-06   8.1912E-20   7.8693E+12   2.3314E+06   2.7219E+06   3.0980E-19   2.3517E-20   3.4447E+11   6.9360E-25   8.7361E+10   7.3036E+15   8.6844E+16   0.0000E+00   0.0000E+00   1.0909E-09
   6.000000E-04   7.7642E+03   3.1666E+16   3.7998E+07   4.0837E-14   3.2931E+15   1.9650E-12   1.7772E+16   5.3583E+01   2.6804E+19   1.0811E+14   4.5826E+14   4.1695E-12   1.4747E+10   5.8226E+03   5.6271E+03   1.4136E+04   3.0000E-16   1.4637E+15   3.1440E-15   4.8681E+12   2.2029E+07   8.0531E+06   3.7254E-15   2.6454E+13   7.7106E+03   8.7147E+15   4.0221E+09   4.9872E+09   8.9571E-16   2.1203E-13   8.4739E+14   1.4072E+09   3.3033E-16   3.9828E-06   1.1580E-19   8.9686E+12   2.4290E+06   2.7964E+06   4.4166E-19   3.1044E-20   3.8194E+11   8.1470E-25   1.2334E+11   5.9976E+15   8.7497E+16   0.0000E+00   0.0000E+00   1.0909E-09
   7.000000E-04   7.7642E+03   3.1666E+16   3.7998E+07   4.0601E-14   3.2930E+15   2.2440E-12   1.6219E+16   5.3583E+01   2.6804E+19   1.0821E+14   4.5836E+14   4.9013E-12   1.4747E+10   5.8440E+03   5.6626E+03   1.4226E+04   3.4601E-16   1.3803E+15   3.6344E-15   4.8652E+12   2.2040E+07   8.0551E+06   4.0056E-15   2.5368E+13   7.7106E+03   9.4493E+15   4.0676E+09   5.0343E+09   1.1778E-15   2.6502E-13   9.3070E+14   1.4172E+09   4.3865E-16   4.6096E-06   1.5366E-19   9.9243E+12   2.5386E+06   2.8799E+06   5.8895E-19   3.8498E-20   4.1001E+11   9.2471E-25   1.6254E+11   5.0884E+15   8.7951E+16   0.0000E+00   0.0000E+00   1.0909E-09
   8.000000E-04   7.7642E+03   3.1666E+16   3.7998E+07   4.0367E-14   3.2930E+15   2.5213E-12   1.4913E+16   5.3583E+01   2.6804E+19   1.0831E+14   4.5845E+14   5.6287E-12   1.4748E+10   5.8654E+03   5.6981E+03   1.4317E+04   3.9023E-16   1.3082E+15   4.0980E-15   4.8628E+12   2.2054E+07   8.0581E+06   4.2972E-15   2.4406E+13   7.7106E+03   1.0066E+16   4.1165E+09   5.0850E+09   1.4794E-15   3.1780E-13   1.0028E+15   1.4281E+09   5.5594E-16   5.1948E-06   1.9495E-19   1.0765E+13   2.6584E+06   2.9714E+06   7.4956E-19   4.5743E-20   4.3049E+11   1.0255E-24   2.0413E+11   4.4186E+15   8.8286E+16   0.0000E+00   0.0000E+00   1.0909E-09
   9.000000E-04   7.7642E+03   3.1666E+16   3.7998E+07   4.0134E-14   3.2930E+15   2.7970E-12   1.3800E+16   5.3583E+01   2.6804E+19   1.0841E+14   4.5855E+14   6.3517E-12   1.4748E+10   5.8867E+03   5.7336E+03   1.4407E+04   4.3286E-16   1.2450E+15   4.5381E-15   4.8609E+12   2.2069E+07   8.0616E+06   4.5987E-15   2.3546E+13   7.7106E+03   1.0590E+16   4.1682E+09   5.1386E+09   1.7972E-15   3.6989E-13   1.0661E+15   1.4398E+09   6.8088E-16   5.7434E-06   2.3922E-19   1.1513E+13   2.7875E+06   3.0699E+06   9.2177E-19   5.2702E-20   4.4481E+11   1.1185E-24   2.4742E+11   3.9044E+15   8.8543E+16   0.0000E+00   0.0000E+00   1.0909E-09
   1.000000E-03   7.7642E+03   3.1666E+16   3.7998E+07   3.9902E-14   3.2929E+15   3.0710E-12   1.2840E+16   5.3583E+01   2.6804E+19   1.0851E+14   4.5865E+14   7.0704E-12   1.4748E+10   5.9081E+03   5.7691E+03   1.4498E+04   4.7404E-16   1.1891E+15   4.9574E-15   4.8593E+12   2.2086E+07   8.0657E+06   4.9086E-15   2.2772E+13   7.7106E+03   1.1042E+16   4.2223E+09   5.1947E+09   2.1285E-15   4.2101E-13   1.1220E+15   1.4521E+09   8.1245E-16   6.2597E-06   2.8611E-19   1.2183E+13   2.9248E+06   3.1746E+06   1.1042E-18   5.9332E-20   4.5411E+11   1.2047E-24   2.9187E+11   3.4971E+15   8.8747E+16   0.0000E+00   0.0000E+00   1.0909E-09
   1.100000E-03   7.7642E+03   3.1666E+16   3.7998E+07   3.9672E-14   3.2929E+15   3.3434E-12   1.2004E+16   5.3583E+01   2.6804E+19   1.0861E+14   4.5875E+14   7.7848E-12   1.4748E+10   5.9294E+03   5.8046E+03   1.4588E+04   5.1391E-16   1.1392E+15   5.3578E-15   4.8581E+12   2.2104E+07   8.0702E+06   5.2258E-15   2.2068E+13   7.7106E+03   1.1435E+16   4.2786E+09   5.2530E+09   2.4711E-15   4.7098E-13   1.1719E+15   1.4650E+09   9.4976E-16   6.7472E-06   3.3531E-19   1.2787E+13   3.0694E+06   3.2849E+06   1.2955E-18   6.5616E-20   4.5933E+11   1.2852E-24   3.3704E+11   3.1670E+15   8.8912E+16   0.0000E+00   0.0000E+00   1.0909E-09
   1.200000E-03   7.7642E+03   3.1666E+16   3.7998E+07   3.9443E-14   3.2928E+15   3.6141E-12   1.1269E+16   5.3583E+01   2.6804E+19   1.0871E+14   4.5885E+14   8.4949E-12   1.4748E+10   5.9508E+03   5.8401E+03   1.4679E+04   5.5259E-16   1.0943E+15   5.7412E-15   4.8571E+12   2.2123E+07   8.0751E+06   5.5492E-15   2.1426E+13   7.7106E+03   1.1780E+16   4.3367E+09   5.3132E+09   2.8233E-15   5.1974E-13   1.2167E+15   1.4784E+09   1.0921E-15   7.2091E-06   3.8656E-19   1.3337E+13   3.2207E+06   3.4004E+06   1.4949E-18   7.1548E-20   4.6123E+11   1.3606E-24   3.8255E+11   2.8939E+15   8.9048E+16   0.0000E+00   0.0000E+00   1.0909E-09
   1.300000E-03   7.7642E+03   3.1666E+16   3.7998E+07   3.9214E-14   3.2928E+15   3.8832E-12   1.0618E+16   5.3583E+01   2.6804E+19   1.0881E+14   4.5894E+14   9.2007E-12   1.4748E+10   5.9722E+03   5.8756E+03   1.4769E+04   5.9016E-16   1.0538E+15   6.1092E-15   4.8563E+12   2.2142E+07   8.0802E+06   5.8779E-15   2.0836E+13   7.7106E+03   1.2085E+16   4.3964E+09   5.3751E+09   3.1836E-15   5.6723E-13   1.2573E+15   1.4923E+09   1.2389E-15   7.6478E-06   4.3965E-19   1.3839E+13   3.3781E+06   3.5204E+06   1.7014E-18   7.7134E-20   4.6043E+11   1.4315E-24   4.2810E+11   2.6641E+15   8.9163E+16   0.0000E+00   0.0000E+00   1.0909E-09
   1.400000E-03   7.7642E+03   3.1666E+16   3.7998E+07   3.8988E-14   3.2927E+15   4.1507E-12   1.0037E+16   5.3583E+01   2.6804E+19   1.0891E+14   4.5904E+14   9.9022E-12   1.4748E+10   5.9935E+03   5.9111E+03   1.4860E+04   6.2670E-16   1.0169E+15   6.4629E-15   4.8556E+12   2.2162E+07   8.0856E+06   6.2112E-15   2.0292E+13   7.7106E+03   1.2356E+16   4.4576E+09   5.4385E+09   3.5509E-15   6.1346E-13   1.2942E+15   1.5067E+09   1.3896E-15   8.0657E-06   4.9438E-19   1.4301E+13   3.5411E+06   3.6448E+06   1.9143E-18   8.2383E-20   4.5746E+11   1.4984E-24   4.7347E+11   2.4680E+15   8.9261E+16   0.0000E+00   0.0000E+00   1.0909E-09
