         Time_s                                                                                                                         1                                                                                                                         2                                                                                                                         3                                                                                                                         4                                                                                                                         5                                                                                                                         6                                                                                                                         7                                                                                                                         8
   0.000000E+00   1.0000E+06   0.0000E+00   2.6880E+19   0.0000E+00   0.0000E+00   1.0000E+06   0.0000E+00   0.0000E+00
   1.000000E-03   9.4568E+07   5.0876E+16   2.6782E+19   2.3357E+16   2.3933E+16   9.4568E+07   5.0530E+16   1.7313E+14
   2.000000E-03   9.4567E+07   5.1534E+16   2.6757E+19   3.5589E+16   3.5877E+16   9.4567E+07   5.0163E+16   6.8535E+14
   3.000000E-03   9.4566E+07   5.2192E+16   2.6733E+19   4.7805E+16   4.7808E+16   9.4566E+07   4.9812E+16   1.1903E+15
   4.000000E-03   9.4565E+07   5.2851E+16   2.6708E+19   6.0007E+16   5.9724E+16   9.4565E+07   4.9474E+16   1.6883E+15
   5.000000E-03   9.4564E+07   5.3510E+16   2.6683E+19   7.2193E+16   7.1626E+16   9.4564E+07   4.9151E+16   2.1797E+15
   6.000000E-03   9.4563E+07   5.4170E+16   2.6658E+19   8.4365E+16   8.3515E+16   9.4563E+07   4.8841E+16   2.6648E+15
   7.000000E-03   9.4561E+07   5.4831E+16   2.6634E+19   9.6521E+16   9.5390E+16   9.4561E+07   4.8543E+16   3.1439E+15
   8.000000E-03   9.4560E+07   5.5492E+16   2.6609E+19   1.0866E+17   1.0725E+17   9.4560E+07   4.8257E+16   3.6173E+15
   9.000000E-03   9.4559E+07   5.6153E+16   2.6584E+19   1.2079E+17   1.1910E+17   9.4559E+07   4.7982E+16   4.0852E+15
   1.000000E-02   9.4558E+07   5.6815E+16   2.6560E+19   1.3290E+17   1.3093E+17   9.4558E+07   4.7719E+16   4.5479E+15
   1.100000E-02   9.4557E+07   5.7477E+16   2.6535E+19   1.4499E+17   1.4275E+17   9.4557E+07   4.7465E+16   5.0056E+15
   1.200000E-02   9.4556E+07   5.8139E+16   2.6511E+19   1.5708E+17   1.5455E+17   9.4556E+07   4.7222E+16   5.4586E+15
   1.300000E-02   9.4554E+07   5.8802E+16   2.6486E+19   1.6914E+17   1.6634E+17   9.4554E+07   4.6989E+16   5.9070E+15
   1.400000E-02   9.4553E+07   5.9466E+16   2.6462E+19   1.8119E+17   1.7812E+17   9.4553E+07   4.6764E+16   6.3510E+15
   1.500000E-02   9.4552E+07   6.0130E+16   2.6437E+19   1.9323E+17   1.8988E+17   9.4552E+07   4.6548E+16   6.7909E+15
   1.600000E-02   9.4551E+07   6.0795E+16   2.6413E+19   2.0525E+17   2.0163E+17   9.4551E+07   4.6341E+16   7.2268E+15
   1.700000E-02   9.4550E+07   6.1460E+16   2.6388E+19   2.1725E+17   2.1336E+17   9.4550E+07   4.6142E+16   7.6589E+15
   1.800000E-02   9.4549E+07   6.2125E+16   2.6364E+19   2.2925E+17   2.2508E+17   9.4549E+07   4.5951E+16   8.0874E+15
   1.900000E-02   9.4547E+07   6.2791E+16   2.6340E+19   2.4122E+17   2.3679E+17   9.4547E+07   4.5767E+16   8.5124E+15
   2.000000E-02   9.4546E+07   6.3458E+16   2.6315E+19   2.5318E+17   2.4848E+17   9.4546E+07   4.5590E+16   8.9340E+15
   2.100000E-02   9.4545E+07   6.4125E+16   2.6291E+19   2.6513E+17   2.6016E+17   9.4545E+07   4.5420E+16   9.3524E+15
   2.200000E-02   9.4544E+07   6.4792E+16   2.6267E+19   2.7706E+17   2.7183E+17   9.4544E+07   4.5256E+16   9.7678E+15
   2.300000E-02   9.4543E+07   6.5460E+16   2.6243E+19   2.8898E+17   2.8348E+17   9.4543E+07   4.5099E+16   1.0180E+16
   2.400000E-02   9.4542E+07   6.6128E+16   2.6218E+19   3.0088E+17   2.9512E+17   9.4542E+07   4.4948E+16   1.0590E+16
   2.500000E-02   9.4540E+07   6.6797E+16   2.6194E+19   3.1276E+17   3.0674E+17   9.4540E+07   4.4803E+16   1.0997E+16
   2.600000E-02   9.4539E+07   6.7466E+16   2.6170E+19   3.2464E+17   3.1835E+17   9.4539E+07   4.4664E+16   1.1401E+16
   2.700000E-02   9.4538E+07   6.8136E+16   2.6146E+19   3.3649E+17   3.2994E+17   9.4538E+07   4.4529E+16   1.1803E+16
   2.800000E-02   9.4537E+07   6.8806E+16   2.6122E+19   3.4833E+17   3.4153E+17   9.4537E+07   4.4400E+16   1.2203E+16
   2.900000E-02   9.4536E+07   6.9476E+16   2.6098E+19   3.6016E+17   3.5309E+17   9.4536E+07   4.4276E+16   1.2600E+16
   3.000000E-02   9.4534E+07   7.0147E+16   2.6074E+19   3.7197E+17   3.6465E+17   9.4534E+07   4.4157E+16   1.2995E+16
   3.100000E-02   9.4533E+07   7.0819E+16   2.6050E+19   3.8377E+17   3.7619E+17   9.4533E+07   4.4042E+16   1.3388E+16
   3.200000E-02   9.4532E+07   7.1491E+16   2.6026E+19   3.9555E+17   3.8771E+17   9.4532E+07   4.3932E+16   1.3779E+16
   3.300000E-02   9.4531E+07   7.2163E+16   2.6002E+19   4.0732E+17   3.9923E+17   9.4531E+07   4.3826E+16   1.4168E+16
   3.400000E-02   9.4530E+07   7.2836E+16   2.5978E+19   4.1907E+17   4.1072E+17   9.4530E+07   4.3725E+16   1.4555E+16
