       Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12
   0.0000E+00   7.9815E+15   1.8762E+15   0.0000E+00   0.0000E+00   7.3666E+17   0.0000E+00   0.0000E+00   2.7405E+13   2.7405E+13   2.7405E+13   5.3871E+17   0.0000E+00
   1.0000E-03   7.5204E+17   1.7678E+17   6.7205E+14   6.5588E+14   6.9411E+19   6.2027E+16   6.0534E+16   2.3178E+19   2.3178E+19   2.3178E+19   5.0759E+19   5.1598E+17
   2.0000E-03   1.1926E+19   1.2212E+19   1.6704E+16   1.6569E+16   9.1098E+16   1.2215E+14   1.2116E+14   3.0447E+16   3.0447E+16   3.0447E+16   6.5893E+17   5.0852E+17
   3.0000E-03   1.1915E+19   1.2200E+19   2.2258E+16   2.2257E+16   9.1012E+16   1.6276E+14   1.6275E+14   3.0446E+16   3.0446E+16   3.0446E+16   6.5831E+17   5.0142E+17
   4.0000E-03   1.1907E+19   1.2192E+19   2.7814E+16   2.7945E+16   9.1233E+16   2.0402E+14   2.0498E+14   3.0547E+16   3.0547E+16   3.0547E+16   6.5923E+17   4.9465E+17
   5.0000E-03   1.1901E+19   1.2184E+19   3.3370E+16   3.3634E+16   9.1586E+16   2.4585E+14   2.4779E+14   3.0693E+16   3.0693E+16   3.0693E+16   6.6081E+17   4.8820E+17
   6.0000E-03   1.1890E+19   1.2173E+19   3.8909E+16   3.9304E+16   9.1500E+16   2.8665E+14   2.8956E+14   3.0692E+16   3.0692E+16   3.0692E+16   6.6019E+17   4.8206E+17
   7.0000E-03   1.1884E+19   1.2165E+19   4.4458E+16   4.4985E+16   9.1847E+16   3.2895E+14   3.3285E+14   3.0836E+16   3.0836E+16   3.0836E+16   6.6174E+17   4.7620E+17
   8.0000E-03   1.1873E+19   1.2154E+19   4.9985E+16   5.0643E+16   9.1761E+16   3.6985E+14   3.7472E+14   3.0835E+16   3.0835E+16   3.0835E+16   6.6111E+17   4.7061E+17
   9.0000E-03   1.1867E+19   1.2146E+19   5.5528E+16   5.6317E+16   9.2109E+16   4.1264E+14   4.1850E+14   3.0980E+16   3.0980E+16   3.0980E+16   6.6267E+17   4.6526E+17
