f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,err,index
0.00018863,1.4459e-10,9004500.0,0.44123,1.5267,46356000000.0,3.2384,9.9262,9.5705,2.6577,0.89291,0.098414,1.0103,1.1757,1.0108,0.92269,85470000000.0,2.4429,171110000.0,0.86315,144.47,0.90325,1.0715,1.0978,1.1157,1.0306,0.75034,1.203,3.6265,1.2886,1.0624,156.19,0.68359,1.3866,171.37,121980000000.0,1.0249,17.306427641586136,initialization
0.00018879,1.7119e-10,7230100.0,0.37421,1.7779,52001000000.0,3.9405,10.201,10.517,3.1382,0.78252,0.091474,0.92912,1.199,1.2484,0.96956,87099000000.0,2.4349,166520000.0,1.0067,124.04,0.9812,0.93937,0.87989,1.1989,1.0057,0.76183,1.0689,3.312,1.2624,0.85334,167.71,0.80365,1.3949,212.63,109010000000.0,0.81421,28.15396889561455,LH pre-train 0
0.00019165,1.2965e-10,7960300.0,0.40644,1.836,47885000000.0,2.8804,9.0034,8.6616,2.883,0.72888,0.088484,0.85523,1.3954,0.80983,0.93638,100130000000.0,2.327,162470000.0,0.88263,172.89,0.84526,1.0248,1.2635,1.2868,1.1223,0.7217,1.2919,3.8712,1.2633,0.90145,158.79,0.61219,1.4788,171.25,103560000000.0,1.085,14.933897486619763,LH pre-train 1
0.00020247,1.7849e-10,9741400.0,0.46086,1.4736,54314000000.0,3.9789,10.467,9.7115,2.8026,1.0709,0.1071,0.81937,1.3419,1.149,0.96102,82105000000.0,1.9721,173070000.0,0.87603,119.01,0.83175,1.3074,1.2278,1.3575,1.0561,0.85829,1.2336,4.1045,1.4866,1.2892,131.7,0.75297,1.3103,177.26,128070000000.0,1.188,19.161620917111897,LH pre-train 2
0.00023385,1.5963e-10,8665400.0,0.35664,1.3703,41514000000.0,2.584,11.83,9.568,2.723,0.84732,0.090293,1.2561,1.1987,1.1871,1.0738,68516000000.0,2.5404,149690000.0,0.96486,144.56,0.80967,0.89857,1.1731,0.89497,1.2384,0.71606,1.3751,3.9464,1.365,1.0749,127.08,0.71804,1.6012,155.32,144880000000.0,1.2547,11.066021537608712,LH pre-train 3
0.0002363,1.4878e-10,7711500.0,0.42781,1.4881,43494000000.0,3.136,12.072,8.1128,3.3393,1.0354,0.1002,1.2707,0.93414,0.94133,1.1612,77682000000.0,2.068,195550000.0,0.78009,142.12,0.95818,1.0567,1.2062,0.95344,0.81905,0.93156,1.174,3.9912,1.084,1.3365,170.68,0.65682,1.1503,164.62,129450000000.0,0.95967,12.140993792163744,LH pre-train 4
0.00015244,1.3907e-10,9933100.0,0.54232,1.5483,43303000000.0,3.1673,10.202,8.5942,2.637,0.97757,0.087119,1.0202,1.0161,1.0579,0.99688,101550000000.0,2.4944,161060000.0,0.86813,159.29,0.80439,0.87908,1.1052,1.2124,0.91773,0.78096,0.97978,3.9374,1.2666,1.069,132.74,0.76946,1.4292,202.13,124710000000.0,0.97845,29.225929338146194,LH pre-train 5
0.00017572,1.8073e-10,9075300.0,0.41704,1.2128,42819000000.0,2.8562,9.4535,7.6339,3.3197,1.0145,0.094843,0.84939,1.3041,1.04,0.95044,69449000000.0,3.064,146130000.0,1.0813,152.81,1.1261,0.98404,0.9557,0.97049,0.91489,0.59938,1.4301,3.8459,1.5562,0.96011,153.55,0.59689,1.391,189.51,147570000000.0,0.90113,19.99133183970285,LH pre-train 6
0.00018,1.4955e-10,10974000.0,0.40904,1.4536,57528000000.0,3.739,11.084,9.0759,2.7352,1.0247,0.11137,0.85239,1.2602,1.0023,0.74901,68639000000.0,2.6215,198960000.0,0.8948,154.63,0.89317,1.1995,1.1897,1.0364,0.96808,0.81359,1.4533,3.0994,1.3228,1.2632,196.58,0.76681,1.3974,156.38,104030000000.0,1.1148,11.328691989901646,LH pre-train 7
0.00018829,1.588e-10,7878500.0,0.38939,1.2791,55210000000.0,2.5982,8.3811,8.7013,2.7971,0.74607,0.082796,0.95502,1.2141,0.83798,0.92627,93083000000.0,2.0717,215110000.0,0.75151,161.47,1.0486,1.2804,1.0882,0.9847,0.86947,0.79678,1.1274,3.743,1.1528,1.2304,192.86,0.73873,1.7336,200.83,136620000000.0,1.1261,27.62796583303135,LH pre-train 8
0.00016825,1.254e-10,7660600.0,0.41269,1.7413,52878000000.0,3.3357,12.358,11.824,2.8117,0.78975,0.07877,0.83822,1.1463,0.84907,0.87198,82572000000.0,2.8514,176600000.0,0.87307,121.96,0.88485,0.99347,1.0754,1.0452,1.0469,0.94162,1.0985,4.1552,1.1031,1.043,126.84,0.72769,1.7075,139.41,147230000000.0,1.2298,11.269857369452868,LH pre-train 9
0.00023539,1.3824e-10,8511700.0,0.36162,1.9195,50551000000.0,3.8051,11.322,10.447,2.7073,0.82003,0.087279,1.0754,1.4477,0.80374,0.99563,105180000000.0,2.2865,136860000.0,1.0777,116.43,0.94209,1.1522,0.95653,0.88644,0.82708,0.64284,1.1733,4.0749,1.2261,1.1498,135.0,0.56074,1.6803,144.4,101690000000.0,0.87295,11.429116860733211,LH pre-train 10
