         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38                                                                                                               39
   0.000000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   2.1586E+19   0.0000E+00   0.0000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-06   1.0000E+06   1.0937E+09   4.9581E+06   2.2528E+10   7.9988E+09   6.4966E-14   2.1586E+19   1.8890E+07   1.9182E+07   3.0581E-05   1.0000E+06   2.3335E+01   2.1218E-12   3.4809E-12   9.3615E-12   4.7717E-19   1.1217E+03   2.7176E+10   1.6818E-02   4.9062E-03   1.3466E-09   1.1060E+03   5.6021E-10   6.3525E-02   1.8798E-14   1.9732E-14   4.4616E-22   1.8206E-14   8.5343E-27   3.4721E-34   4.1800E-22   2.0144E-07   9.4291E-20   7.1563E-20   7.1211E-28   1.6749E-13   4.6352E-20   6.4542E+10   5.0802E+10
   2.000000E-06   1.0000E+06   3.0628E+11   2.1286E+08   3.5019E+11   1.0198E+11   9.6091E-12   2.1586E+19   3.5337E+07   3.9696E+07   9.8367E-04   1.0000E+06   4.9335E+03   2.4556E-10   3.7934E-10   1.2065E-09   4.4428E-15   3.1857E+05   1.1938E+12   6.3245E-01   1.7969E-01   1.0745E-06   2.3880E+06   1.0806E-07   5.3702E+02   1.0988E-10   1.2287E-10   4.3492E-17   1.2568E-10   4.3743E-23   3.5816E-29   1.2858E-16   5.7546E-03   2.6726E-15   2.1319E-15   4.8284E-22   7.8343E-07   3.4175E-12   3.1023E+12   1.8506E+12
   3.000000E-06   1.0001E+06   7.4411E+11   2.6547E+08   7.4549E+11   2.1409E+11   2.4252E-11   2.1586E+19   5.1062E+07   6.0050E+07   1.2183E-03   1.0001E+06   2.4738E+04   2.0240E-09   3.0947E-09   1.0021E-08   4.8394E-14   1.4635E+06   2.6478E+12   2.5117E+00   7.1121E-01   5.2237E-06   2.1600E+07   1.7290E-06   1.9687E+04   7.1753E-09   8.0984E-09   3.5147E-15   5.2560E-09   2.9763E-21   3.0403E-27   2.0445E-14   1.9959E-01   1.6646E-13   1.3387E-13   3.7765E-20   1.1734E-04   2.0039E-09   6.9974E+12   4.1380E+12
   4.000000E-06   1.0001E+06   1.2068E+12   2.7452E+08   1.1517E+12   3.2927E+11   3.8368E-11   2.1586E+19   6.6666E+07   8.0372E+07   1.2585E-03   1.0001E+06   7.0159E+04   7.9432E-09   1.2116E-08   3.9388E-08   2.0165E-13   3.5242E+06   4.1513E+12   5.8220E+00   1.6469E+00   1.2805E-05   8.0386E+07   1.8432E-05   1.7316E+05   9.3402E-08   1.0558E-07   4.7321E-14   5.9078E-08   4.7292E-20   5.0028E-26   5.2154E-13   1.7080E+00   2.1018E-12   1.6926E-12   4.9435E-19   2.4380E-03   9.6112E-08   1.1043E+13   6.5116E+12
   5.000000E-06   1.0001E+06   1.6742E+12   2.7620E+08   1.5589E+12   4.4498E+11   5.2096E-11   2.1586E+19   8.2249E+07   1.0069E+08   1.2653E-03   1.0001E+06   1.5820E+05   2.2434E-08   3.4192E-08   1.1129E-07   5.7983E-13   6.4883E+06   5.6645E+12   1.0597E+01   2.9966E+00   2.3812E-05   2.0209E+08   1.1027E-04   8.0172E+05   5.7874E-07   6.5440E-07   2.9529E-13   3.4356E-07   3.6012E-19   3.8362E-25   5.4742E-12   7.7924E+00   1.2804E-11   1.0314E-11   3.0345E-18   2.0728E-02   1.4844E-06   1.5116E+13   8.9016E+12
   6.000000E-06   1.0002E+06   2.1422E+12   2.7644E+08   1.9647E+12   5.6070E+11   6.5646E-11   2.1586E+19   9.7831E+07   1.2101E+08   1.2653E-03   1.0002E+06   3.1301E+05   5.2655E-08   8.0233E-08   2.6126E-07   1.3687E-12   1.0328E+07   7.1791E+12   1.6846E+01   4.7626E+00   3.8218E-05   4.0944E+08   4.4608E-04   2.6016E+06   2.3630E-06   2.6721E-06   1.2070E-12   1.3569E-06   1.7687E-18   1.8859E-24   3.4242E-11   2.5061E+01   5.1734E-11   4.1676E-11   1.2275E-17   1.0735E-01   1.2209E-05   1.9190E+13   1.1294E+13
   7.000000E-06   1.0002E+06   2.6107E+12   2.7674E+08   2.3686E+12   6.7638E+11   7.9193E-11   2.1586E+19   1.1341E+08   1.4133E+08   1.2654E-03   1.0002E+06   5.6571E+05   1.0940E-07   1.6669E-07   5.4286E-07   2.8500E-12   1.5012E+07   8.6952E+12   2.4569E+01   6.9453E+00   5.6024E-05   7.2449E+08   1.3930E-03   6.7497E+06   7.4031E-06   8.3715E-06   3.7823E-12   4.1688E-06   6.5153E-18   6.9480E-24   1.5312E-10   6.4634E+01   1.6094E-10   1.2965E-10   3.8199E-17   4.0660E-01   6.7371E-05   2.3264E+13   1.3688E+13
   8.000000E-06   1.0003E+06   3.0797E+12   2.7709E+08   2.7702E+12   7.9203E+11   9.2737E-11   2.1586E+19   1.2900E+08   1.6165E+08   1.2654E-03   1.0003E+06   9.5394E+05   2.0803E-07   3.1694E-07   1.0323E-06   5.4244E-12   2.0505E+07   1.0213E+13   3.3768E+01   9.5452E+00   7.7233E-05   1.1687E+09   3.6328E-03   1.5025E+07   1.9332E-05   2.1861E-05   9.8776E-12   1.0750E-05   1.9619E-17   2.0923E-23   5.4212E-10   1.4327E+02   4.1817E-10   3.3687E-10   9.9257E-17   1.2430E+00   2.8279E-04   2.7338E+13   1.6085E+13
   9.000000E-06   1.0003E+06   3.5494E+12   2.7749E+08   3.1692E+12   9.0764E+11   1.0628E-10   2.1586E+19   1.4458E+08   1.8197E+08   1.2655E-03   1.0003E+06   1.5214E+06   3.6925E-07   5.6257E-07   1.8323E-06   9.6328E-12   2.6764E+07   1.1732E+13   4.4445E+01   1.2563E+01   1.0185E-04   1.7627E+09   8.3030E-03   2.9925E+07   4.4213E-05   4.9996E-05   2.2591E-11   2.4375E-05   5.0916E-17   5.4302E-23   1.6167E-09   2.8443E+02   9.5274E-10   7.6752E-10   2.2615E-16   3.2514E+00   9.7259E-04   3.1412E+13   1.8484E+13
