         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38                                                                                                               39
   0.000000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   2.1586E+19   0.0000E+00   0.0000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-06   1.0000E+06   9.6041E+04   4.9822E+04   8.9326E+08   1.1321E+07   4.9365E-20   2.1586E+19   1.1825E+05   1.2009E+05   3.6169E-08   1.0000E+06   2.4653E-03   1.4031E-18   2.3018E-18   6.1911E-18   3.3905E-28   3.5644E+00   6.7816E+08   2.6271E-06   7.6636E-07   2.2555E-16   1.2429E-02   3.4678E-03   5.5845E-12   7.6706E-27   8.0519E-27   1.9519E-37   5.7272E-22   1.8249E-36   7.9596E-47   7.9691E-35   4.1795E-17   1.3470E-31   1.0223E-31   1.0914E-42   1.6570E-25   4.8840E-36   1.3669E+09   1.5716E+09
   2.000000E-06   1.0000E+06   3.2517E+07   2.5879E+06   1.3881E+10   1.3255E+08   6.7032E-18   2.1586E+19   2.2115E+05   2.4849E+05   1.1615E-06   1.0000E+06   6.0390E-01   1.8941E-16   2.9254E-16   9.3085E-16   3.6812E-24   1.2152E+03   3.5904E+10   1.1805E-04   3.3534E-05   2.1589E-13   3.5345E+01   1.9055E-01   8.2626E-07   1.0509E-21   1.1752E-21   4.4578E-31   2.2972E-18   5.8385E-33   5.1229E-42   1.6277E-29   1.3707E-12   4.0105E-27   3.1995E-27   7.7658E-37   1.2586E-18   5.4483E-28   7.2007E+10   4.9820E+10
   3.000000E-06   1.0000E+06   8.0500E+07   3.3284E+06   2.9565E+10   2.7721E+08   1.6888E-17   2.1586E+19   3.1950E+05   3.7587E+05   1.4388E-06   1.0000E+06   2.7688E+00   1.4856E-15   2.2712E-15   7.3556E-15   3.8065E-23   5.6708E+03   8.1180E+10   4.7641E-04   1.3488E-04   1.0644E-12   3.2547E+02   7.8919E-01   3.1204E-05   7.0718E-20   7.9827E-20   3.7136E-29   4.0460E-17   1.8269E-31   1.9935E-40   1.1703E-27   4.7895E-11   2.4930E-25   2.0051E-25   6.0641E-35   1.9280E-16   3.2365E-25   1.6280E+11   1.1083E+11
   4.000000E-06   1.0000E+06   1.3142E+08   3.4583E+06   4.5706E+10   4.2582E+08   2.6710E-17   2.1586E+19   4.1710E+05   5.0305E+05   1.4865E-06   1.0000E+06   6.7142E+00   5.2852E-15   8.0607E-15   2.6208E-14   1.4365E-22   1.3810E+04   1.2821E+11   1.1142E-03   3.1514E-04   2.6306E-12   1.2242E+03   1.8598E+00   2.7832E-04   9.3424E-19   1.0562E-18   5.0748E-28   2.2671E-16   1.5142E-30   1.7128E-39   1.5491E-26   4.1362E-10   3.1729E-24   2.5555E-24   8.0028E-34   4.0866E-15   1.5750E-23   2.5711E+11   1.7405E+11
   5.000000E-06   1.0000E+06   1.8291E+08   3.4800E+06   6.1934E+10   5.7518E+08   3.6263E-17   2.1586E+19   5.1455E+05   6.3020E+05   1.4944E-06   1.0000E+06   1.2467E+01   1.3077E-14   1.9930E-14   6.4878E-14   3.6200E-22   2.5667E+04   1.7557E+11   2.0388E-03   5.7645E-04   4.9165E-12   3.1003E+03   3.4134E+00   1.3000E-03   5.8432E-18   6.6082E-18   3.1968E-27   7.6490E-16   6.8248E-30   7.7854E-39   9.6132E-26   1.8999E-09   1.9459E-23   1.5677E-23   4.9460E-33   3.5270E-14   2.4721E-22   3.5209E+11   2.3770E+11
   6.000000E-06   1.0000E+06   2.3441E+08   3.4800E+06   7.8165E+10   7.2455E+08   4.5692E-17   2.1586E+19   6.1199E+05   7.5734E+05   1.4944E-06   9.9999E+05   2.0031E+01   2.6364E-14   4.0168E-14   1.3082E-13   7.3435E-22   4.1222E+04   2.2295E+11   3.2518E-03   9.1924E-04   7.9156E-12   6.3183E+03   5.4516E+00   4.2456E-03   2.4024E-17   2.7170E-17   1.3157E-26   1.9494E-15   2.1846E-29   2.4963E-38   3.9192E-25   6.1435E-09   7.9063E-23   6.3700E-23   2.0119E-32   1.8502E-13   2.0722E-21   4.4709E+11   3.0135E+11
   7.000000E-06   1.0000E+06   2.8591E+08   3.4800E+06   9.4395E+10   8.7392E+08   5.5121E-17   2.1586E+19   7.0944E+05   8.8449E+05   1.4944E-06   9.9999E+05   2.9419E+01   4.6646E-14   7.1062E-14   2.3147E-13   1.3027E-21   6.0476E+04   2.7032E+11   4.7531E-03   1.3435E-03   1.1628E-11   1.1240E+04   7.9743E+00   1.1073E-02   7.5663E-17   8.5574E-17   4.1448E-26   4.1645E-15   5.6266E-29   6.4323E-38   1.2257E-24   1.5920E-08   2.4708E-22   1.9907E-22   6.2890E-32   7.0783E-13   1.1546E-20   5.4209E+11   3.6500E+11
   8.000000E-06   1.0000E+06   3.3741E+08   3.4800E+06   1.1062E+11   1.0233E+09   6.4550E-17   2.1586E+19   8.0688E+05   1.0116E+06   1.4944E-06   9.9999E+05   4.0646E+01   7.5434E-14   1.1491E-13   3.7434E-13   2.1095E-21   8.3428E+04   3.1769E+11   6.5428E-03   1.8493E-03   1.6053E-11   1.8228E+04   1.0982E+01   2.4768E-02   1.9844E-16   2.2443E-16   1.0871E-25   7.8850E-15   1.2477E-28   1.4266E-37   3.1964E-24   3.5444E-08   6.4443E-22   5.1922E-22   1.6404E-31   2.1832E-12   4.8860E-20   6.3708E+11   4.2866E+11
   9.000000E-06   1.0000E+06   3.8892E+08   3.4800E+06   1.2685E+11   1.1727E+09   7.3979E-17   2.1586E+19   9.0433E+05   1.1388E+06   1.4944E-06   9.9999E+05   5.3733E+01   1.1426E-13   1.7405E-13   5.6700E-13   3.1975E-21   1.1008E+05   3.6506E+11   8.6209E-03   2.4366E-03   2.1191E-11   2.7644E+04   1.4473E+01   4.9563E-02   4.5583E-16   5.1553E-16   2.4972E-25   1.3676E-14   2.4813E-28   2.8372E-37   7.3097E-24   7.0685E-08   1.4743E-21   1.1878E-21   3.7529E-31   5.7691E-12   1.7041E-19   7.3208E+11   4.9231E+11
