f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,err,index
9.1749e-07,6.2633e-16,361890.0,0.00025581,0.011684,0.0014397,0.028668,0.68153,1.1609,5.2776,0.0046417,0.0017993,0.013207,0.0025614,0.009072,0.0049832,1803600000.0,0.012639,126070000000000.0,0.00012325,0.19654,0.072362,0.0033765,0.0093531,0.0030437,0.01127,0.0029399,0.021978,0.020413,0.0090425,0.0037625,9.7801,0.0076575,4.3591e-14,4.2984,1596600000.0,0.65543,0.0052858492617414,initialization
1.0009e-06,5.2201e-16,307220.0,0.00028396,0.012586,0.0013003,0.029791,0.55398,1.0091,6.6239,0.0037221,0.0019813,0.01195,0.0030258,0.0093934,0.005253,2093000000.0,0.01156,143920000000000.0,0.00015405,0.22946,0.07743,0.00321,0.011531,0.0025305,0.010609,0.0025918,0.025781,0.02494,0.008407,0.0047081,12.086,0.0068364,4.77e-14,3.5268,1367000000.0,0.5376,0.5952409738527743,LH pre-train 0
1.0179e-06,7.3366e-16,379330.0,0.00027589,0.011695,0.0014168,0.032447,0.77553,1.3023,5.0441,0.0046677,0.0016123,0.011955,0.0029768,0.0092007,0.0049409,2232300000.0,0.010233,154260000000000.0,0.0001268,0.23673,0.0587,0.0035291,0.0095296,0.002545,0.013233,0.0024406,0.022952,0.021326,0.010599,0.003287,8.5863,0.0088254,4.5953e-14,3.7008,2003300000.0,0.58083,1.0125429326950146,LH pre-train 1
1.0192e-06,7.6539e-16,426860.0,0.00024557,0.014391,0.0014104,0.033223,0.69632,1.411,4.3215,0.0053056,0.0016703,0.011779,0.002158,0.01054,0.0045251,1606400000.0,0.01524,120250000000000.0,0.00011252,0.18044,0.082392,0.0027289,0.010556,0.0026014,0.011673,0.0030758,0.027524,0.018169,0.009224,0.0033293,9.3855,0.0072705,4.8131e-14,5.0425,1913900000.0,0.57515,0.5779558989997463,LH pre-train 2
7.6287e-07,5.5294e-16,314130.0,0.00029814,0.013986,0.0015689,0.0304,0.71482,1.0475,6.5848,0.0052761,0.0022159,0.011999,0.0028762,0.0097387,0.0054589,1775600000.0,0.01224,144470000000000.0,9.9441e-05,0.21823,0.087445,0.0035731,0.008853,0.002458,0.010379,0.0032137,0.027474,0.021857,0.0081357,0.0035304,8.9325,0.0074121,4.576e-14,4.8584,1949500000.0,0.60491,0.0596346855243469,LH pre-train 3
7.4574e-07,6.2192e-16,288190.0,0.0002705,0.013852,0.0017614,0.029263,0.85303,1.0116,5.3421,0.0039302,0.0014359,0.011487,0.0026295,0.010446,0.0044203,2136400000.0,0.013174,132630000000000.0,0.00010042,0.20599,0.088962,0.0029384,0.0087292,0.0032148,0.014013,0.0028632,0.024132,0.022884,0.0079478,0.0034966,10.933,0.00642,4.7431e-14,5.401,1335800000.0,0.54263,1.3046487824357784,LH pre-train 4
7.3439e-07,5.2855e-16,340660.0,0.00025064,0.014228,0.0017391,0.024659,0.66351,0.93173,6.3871,0.0046718,0.0022454,0.012192,0.002868,0.0081178,0.0054313,1931500000.0,0.010317,103820000000000.0,0.00013814,0.21099,0.064246,0.0027068,0.0106,0.0038253,0.0095183,0.0025207,0.018061,0.018918,0.0083792,0.0044532,8.3577,0.0085789,4.8394e-14,3.8529,1876500000.0,0.6876,0.467208410091238,LH pre-train 5
8.3016e-07,6.4513e-16,399100.0,0.00024071,0.01205,0.0017024,0.026784,0.79949,1.3678,4.7132,0.0054294,0.0019535,0.013414,0.0026691,0.0078732,0.0057687,1833100000.0,0.012301,115030000000000.0,0.00010969,0.16675,0.078884,0.0032851,0.010457,0.0032675,0.010449,0.0029033,0.023125,0.020874,0.0087608,0.0032346,9.6044,0.0066296,3.7867e-14,3.7402,1838200000.0,0.71123,4.666371454837864,LH pre-train 6
8.7717e-07,5.311e-16,337000.0,0.00025631,0.013923,0.0013539,0.027532,0.61735,1.027,6.2677,0.0040312,0.0016181,0.013974,0.0022313,0.0097113,0.0046309,2232900000.0,0.012535,112380000000000.0,0.00011164,0.23607,0.068658,0.002833,0.0082825,0.0031731,0.010326,0.0026502,0.024913,0.025284,0.0077963,0.0034309,9.0452,0.0085836,5.152e-14,5.0424,1890100000.0,0.66906,2.152884336616854,LH pre-train 7
7.7693e-07,5.4275e-16,400120.0,0.00031982,0.012172,0.0015054,0.025004,0.82517,1.0862,6.2146,0.0038772,0.0020864,0.013265,0.0022018,0.011243,0.0048772,1585100000.0,0.015387,141040000000000.0,0.00011654,0.1699,0.062833,0.0033326,0.0096684,0.0038302,0.009181,0.0035518,0.024443,0.019161,0.010101,0.0031728,10.849,0.0062449,4.9043e-14,3.9191,1388900000.0,0.58801,0.3910501777845735,LH pre-train 8
8.4792e-07,5.2293e-16,302710.0,0.00027256,0.010358,0.0016368,0.025519,0.57247,1.4161,5.0041,0.0052659,0.0014396,0.014665,0.0022037,0.0088626,0.0050056,2061000000.0,0.011874,114580000000000.0,0.0001267,0.17688,0.073072,0.0037208,0.0091334,0.0034379,0.011119,0.0026289,0.019481,0.017386,0.0091452,0.0031865,10.199,0.006583,4.9032e-14,4.4577,1494000000.0,0.58327,0.2108457886380803,LH pre-train 9
