f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,err,index
9.9629e-07,7.5554e-16,359580.0,0.00028123,0.011405,0.0012755,0.043416,0.88038,1.4267,6.3917,0.0040857,0.0014514,0.011635,0.0032038,0.0078536,0.0049585,1843200000.0,0.013746,131900000000000.0,0.00012455,0.21017,0.059168,0.0033399,0.010135,0.0026703,0.012898,0.0036036,0.017096,0.016783,0.0092961,0.0030599,10.363,0.0087309,4.4482e-14,5.2547,1461300000.0,0.63938,0.0962093189247066,initialization
8.3369e-07,7.6567e-16,344080.0,0.00026343,0.010747,0.0013892,0.036163,0.84963,1.6149,6.0255,0.0050434,0.0011738,0.010381,0.0034428,0.0069842,0.0045074,1540500000.0,0.013538,111470000000000.0,0.00015389,0.21108,0.069854,0.0031107,0.0090645,0.0022263,0.014334,0.0035233,0.015751,0.014424,0.010512,0.0034971,8.7019,0.0097619,4.9825e-14,6.2076,1313000000.0,0.6389,1.0877425945454833,LH pre-train 0
9.0638e-07,7.7636e-16,380040.0,0.00023955,0.013796,0.0015773,0.052717,0.88466,1.7273,5.8492,0.0040964,0.0018139,0.010364,0.0035425,0.0096482,0.0053185,2146500000.0,0.014608,123750000000000.0,0.0001287,0.22617,0.056819,0.0037964,0.012317,0.0026775,0.014148,0.0029044,0.019398,0.020055,0.0080605,0.0034431,10.865,0.0081944,5.5882e-14,6.5495,1280400000.0,0.68127,3.600488141568272,LH pre-train 1
1.1836e-06,7.2677e-16,288620.0,0.00024908,0.010907,0.0011126,0.047716,1.0576,1.7824,6.4969,0.0041068,0.001423,0.0099592,0.0039189,0.0091703,0.0060989,1710300000.0,0.011687,150730000000000.0,0.00014212,0.24368,0.072806,0.0028989,0.011999,0.0030368,0.015896,0.0032949,0.021145,0.014161,0.0082584,0.0025711,9.1266,0.0093183,4.4794e-14,4.4121,1440100000.0,0.6908,1.4101350720110195,LH pre-train 2
1.0187e-06,8.5486e-16,362760.0,0.00034844,0.013896,0.0014944,0.036104,1.079,1.3254,5.0919,0.003428,0.0013103,0.012104,0.0033706,0.0072464,0.0049607,1966200000.0,0.01154,156620000000000.0,0.0001395,0.22624,0.066707,0.0028268,0.010672,0.003189,0.014098,0.0038669,0.020261,0.01556,0.010733,0.0029886,10.858,0.0095279,5.3144e-14,4.4091,1737900000.0,0.74086,1.9677017017507576,LH pre-train 3
1.2336e-06,8.3393e-16,325200.0,0.00022531,0.010204,0.0014343,0.047248,0.95659,1.5295,5.1384,0.0037825,0.0014436,0.012835,0.0035194,0.0075922,0.0041458,2196600000.0,0.011448,107830000000000.0,0.00015511,0.18988,0.057024,0.002983,0.0096115,0.0026827,0.015099,0.0031051,0.017653,0.014639,0.0082641,0.0036131,8.6052,0.0102,4.036e-14,4.2214,1678400000.0,0.66086,1.205279127665314,LH pre-train 4
1.0229e-06,8.5732e-16,349930.0,0.00028216,0.013857,0.0014705,0.036697,1.047,1.2325,5.5729,0.0037902,0.0013696,0.01076,0.0037196,0.0084109,0.0053221,2026400000.0,0.017257,143570000000000.0,0.0001341,0.19541,0.049155,0.0036473,0.010451,0.0032749,0.014414,0.0029891,0.016637,0.019511,0.009434,0.0026534,10.916,0.0093632,5.4696e-14,6.5769,1703100000.0,0.51476,1.316115298110131,LH pre-train 5
9.542e-07,8.3165e-16,410640.0,0.00023683,0.012068,0.0015151,0.053529,0.71208,1.3983,5.1977,0.0033619,0.001473,0.014484,0.0032793,0.0087257,0.0051919,1533900000.0,0.014355,152270000000000.0,0.00012279,0.20652,0.059383,0.0031411,0.011256,0.003007,0.012824,0.003434,0.018541,0.020503,0.0081805,0.0036041,10.605,0.0090905,4.7677e-14,4.597,1195800000.0,0.55262,1.2266797889573011,LH pre-train 6
8.3321e-07,8.5176e-16,285870.0,0.00033649,0.014287,0.0015887,0.04337,1.0003,1.476,5.4244,0.0042495,0.0017213,0.011819,0.0037742,0.0078698,0.0054707,2273900000.0,0.011979,152330000000000.0,0.00012088,0.22259,0.072168,0.0033211,0.0088167,0.0032431,0.011034,0.0037933,0.01555,0.01539,0.0084765,0.0030357,10.583,0.0097946,3.7894e-14,4.4015,1368000000.0,0.58131,1.810894469901788,LH pre-train 7
1.0935e-06,6.5832e-16,408320.0,0.0002335,0.010637,0.0014821,0.05127,1.0918,1.3372,5.3007,0.0051428,0.001343,0.010296,0.0034578,0.0080886,0.006216,1949000000.0,0.014663,142210000000000.0,0.00011316,0.18408,0.048714,0.0040609,0.009077,0.0031447,0.010311,0.0041592,0.018397,0.015191,0.0099952,0.0030064,8.7978,0.010577,4.8314e-14,6.1112,1775200000.0,0.60597,0.7887063144860165,LH pre-train 8
1.1362e-06,6.2709e-16,418830.0,0.00024085,0.013841,0.0011524,0.043621,0.80794,1.4655,5.5504,0.0035722,0.0016561,0.010947,0.0035552,0.0074398,0.0040372,1650900000.0,0.011994,158420000000000.0,0.00011363,0.18603,0.055244,0.0037243,0.0089168,0.0022871,0.015409,0.0043089,0.01996,0.017053,0.01099,0.0030052,9.5081,0.009516,3.894e-14,5.99,1265400000.0,0.62344,2.041647300351716,LH pre-train 9
8.5629e-07,9.3861e-16,391670.0,0.00027468,0.011793,0.0014401,0.045128,1.0074,1.7293,7.2786,0.0036305,0.001561,0.0093227,0.0035628,0.0062896,0.0057151,2313700000.0,0.014715,142950000000000.0,0.00012862,0.23476,0.061735,0.0037272,0.009089,0.0026414,0.010641,0.0039146,0.018873,0.01605,0.0085487,0.003176,12.042,0.0079655,3.9351e-14,6.3785,1336600000.0,0.524,0.4206548782871273,LH pre-train 10
1.0411e-06,6.8864e-16,293980.0,0.00028859,0.010903,0.0013757,0.046043,0.83853,1.5464,5.2416,0.0037434,0.0012057,0.012242,0.0033762,0.0090269,0.0040889,1464500000.0,0.011044,129080000000000.0,0.0001018,0.23158,0.050175,0.0037699,0.010715,0.0025261,0.011934,0.0043592,0.015622,0.015495,0.010582,0.0030728,12.588,0.0088757,4.4464e-14,4.7539,1589200000.0,0.75644,0.5206265119825074,LH pre-train 11
1.0403e-06,8.4461e-16,411120.0,0.00031541,0.012129,0.0014993,0.041764,0.71408,1.4874,6.7523,0.0041734,0.0016825,0.012073,0.0027942,0.0082134,0.0044299,2147200000.0,0.01282,133670000000000.0,0.00010665,0.16913,0.057641,0.0026946,0.012494,0.0033613,0.014237,0.0035497,0.014092,0.014747,0.0076036,0.0035087,11.946,0.0088087,5.0626e-14,5.6072,1352500000.0,0.72192,1.657142889900336,LH pre-train 12
8.8659e-07,6.1448e-16,308570.0,0.00026516,0.010266,0.0014417,0.039735,0.76783,1.346,6.1274,0.0039907,0.0015417,0.012252,0.0027053,0.0079692,0.0044841,1630700000.0,0.015803,146840000000000.0,0.00010128,0.19854,0.061103,0.0035415,0.0094726,0.0027015,0.010924,0.0042889,0.014225,0.020429,0.0075821,0.0026765,11.805,0.0074088,4.6456e-14,5.1088,1236700000.0,0.61027,0.2251031201941855,LH pre-train 13
1.0359e-06,8.2885e-16,324560.0,0.00024858,0.011407,0.0016043,0.047321,0.72025,1.2984,7.8296,0.0033548,0.0013029,0.013721,0.0026062,0.0075626,0.0049072,2253100000.0,0.013515,142610000000000.0,0.00013128,0.21327,0.049039,0.0029792,0.011468,0.002175,0.01352,0.0045161,0.016117,0.019827,0.011246,0.0027816,12.305,0.0088387,5.4734e-14,4.9282,1721000000.0,0.61997,0.9232717396159216,LH pre-train 14
1.0757e-06,7.6457e-16,416320.0,0.00024933,0.013247,0.001174,0.047873,0.92154,1.1593,7.905,0.0044122,0.0015845,0.013852,0.0030768,0.0074622,0.0061443,2252100000.0,0.014158,137640000000000.0,0.00015614,0.23384,0.074168,0.0032069,0.011584,0.0026967,0.012072,0.003018,0.01864,0.018549,0.0080236,0.002941,12.331,0.0070643,4.7573e-14,6.1255,1167200000.0,0.8045,0.4386841165609575,LH pre-train 15
8.2915e-07,6.2608e-16,338580.0,0.0002247,0.009882,0.0010755,0.041153,1.0066,1.1828,7.1182,0.0038303,0.0016416,0.010006,0.0038347,0.0089753,0.0041426,1800800000.0,0.012296,140900000000000.0,0.00013376,0.24203,0.050787,0.0031667,0.011273,0.0022645,0.010481,0.0033242,0.01754,0.018191,0.010899,0.0030482,8.7797,0.008396,3.7363e-14,5.3203,1544500000.0,0.65726,0.1934706685130049,LH pre-train 16
