         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38                                                                                                               39
   0.000000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   2.1586E+19   0.0000E+00   0.0000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-06   1.0000E+06   1.2558E+05   4.6073E+04   1.3803E+09   4.9985E+06   1.1907E-20   2.1586E+19   1.0026E+05   1.0113E+05   1.6973E-08   1.0000E+06   1.1741E-03   5.8400E-19   9.5996E-19   2.5613E-18   6.9706E-29   2.3665E+00   5.2325E+08   1.7389E-06   5.0794E-07   8.5763E-17   8.9252E-03   1.1943E-03   2.3553E-12   2.7099E-27   2.8397E-27   4.0197E-38   1.5233E-14   4.2610E-29   1.0845E-39   8.1862E-28   2.7362E-17   7.5365E-32   5.7150E-32   3.3682E-43   2.2694E-25   6.9524E-36   1.0508E+09   1.9037E+09
   2.000000E-06   1.0000E+06   4.8056E+07   2.6726E+06   2.2270E+10   5.3477E+07   1.5151E-18   2.1586E+19   1.9090E+05   2.1087E+05   6.2045E-07   1.0000E+06   3.2092E-01   9.1665E-17   1.4286E-16   4.4676E-16   9.9390E-25   9.0756E+02   3.0876E+10   8.8218E-05   2.5140E-05   9.6249E-14   3.1570E+01   7.2865E-02   4.8124E-07   5.3056E-22   5.8850E-22   1.3678E-31   6.0838E-11   1.3491E-25   7.1116E-35   1.8074E-22   9.9223E-13   2.5273E-27   2.0024E-27   2.9311E-37   2.5170E-18   1.2227E-27   6.1903E+10   5.3197E+10
   3.000000E-06   1.0000E+06   1.1569E+08   3.3791E+06   4.6891E+10   1.1000E+08   3.6953E-18   2.1586E+19   2.7874E+05   3.2018E+05   7.5734E-07   1.0000E+06   1.4411E+00   7.1826E-16   1.1107E-15   3.5272E-15   9.9550E-24   4.1394E+03   6.8729E+10   3.5481E-04   1.0084E-04   4.6028E-13   2.8330E+02   2.9912E-01   1.7582E-05   3.5218E-20   3.9370E-20   1.0972E-29   1.0351E-09   4.1320E-24   2.6512E-33   1.2435E-20   3.3476E-11   1.5456E-25   1.2326E-25   2.1960E-35   3.6873E-16   6.8966E-25   1.3780E+11   1.1574E+11
   4.000000E-06   1.0000E+06   1.8796E+08   3.4907E+06   7.2328E+10   1.6829E+08   5.7934E-18   2.1586E+19   3.6597E+05   4.2938E+05   7.7859E-07   1.0000E+06   3.4795E+00   2.5488E-15   3.9337E-15   1.2538E-14   3.7307E-23   1.0033E+04   1.0825E+11   8.2845E-04   2.3526E-04   1.1309E-12   1.0598E+03   7.0288E-01   1.5543E-04   4.6125E-19   5.1625E-19   1.4781E-28   5.7454E-09   3.3901E-23   2.2449E-32   1.6257E-19   2.8591E-10   1.9452E-24   1.5530E-24   2.8491E-34   7.7322E-15   3.3236E-23   2.1706E+11   1.8077E+11
   5.000000E-06   1.0000E+06   2.6112E+08   3.5083E+06   9.7917E+10   2.2690E+08   7.8432E-18   2.1586E+19   4.5308E+05   5.3857E+05   7.8193E-07   1.0000E+06   6.4500E+00   6.2954E-15   9.7098E-15   3.0984E-14   9.3750E-23   1.8609E+04   1.4809E+11   1.5143E-03   4.2988E-04   2.1086E-12   2.6769E+03   1.2881E+00   7.2273E-04   2.8698E-18   3.2129E-18   9.2526E-28   1.9292E-08   1.5193E-22   1.0138E-31   1.0018E-18   1.3060E-09   1.1852E-23   9.4646E-24   1.7475E-33   6.6283E-14   5.1656E-22   2.9694E+11   2.4628E+11
   6.000000E-06   1.0000E+06   3.3430E+08   3.5083E+06   1.2351E+11   2.8551E+08   9.8720E-18   2.1586E+19   5.4019E+05   6.4775E+05   7.8193E-07   1.0000E+06   1.0355E+01   1.2677E-14   1.9548E-14   6.2402E-14   1.8990E-22   2.9853E+04   1.8794E+11   2.4134E-03   6.8501E-04   3.3904E-12   5.4465E+03   2.0551E+00   2.3537E-03   1.1756E-17   1.3162E-17   3.7937E-27   4.9024E-08   4.8458E-22   3.2383E-31   4.0655E-18   4.2086E-09   4.7945E-23   3.8287E-23   7.0761E-33   3.4590E-13   4.2843E-21   3.7684E+11   3.1179E+11
   7.000000E-06   1.0000E+06   4.0748E+08   3.5083E+06   1.4910E+11   3.4413E+08   1.1901E-17   2.1586E+19   6.2730E+05   7.5693E+05   7.8193E-07   1.0000E+06   1.5204E+01   2.2412E-14   3.4558E-14   1.1034E-13   3.3660E-22   4.3763E+04   2.2779E+11   3.5257E-03   1.0006E-03   4.9763E-12   9.6787E+03   3.0042E+00   6.1267E-03   3.6942E-17   4.1360E-17   1.1924E-26   1.0452E-07   1.2448E-21   8.3222E-31   1.2679E-17   1.0879E-08   1.4942E-22   1.1932E-22   2.2058E-32   1.3211E-12   2.3922E-20   4.5674E+11   3.7730E+11
   8.000000E-06   1.0000E+06   4.8066E+08   3.5083E+06   1.7470E+11   4.0275E+08   1.3930E-17   2.1586E+19   7.1442E+05   8.6611E+05   7.8193E-07   1.0000E+06   2.1006E+01   3.6230E-14   5.5860E-14   1.7837E-13   5.4480E-22   6.0339E+04   2.6764E+11   4.8512E-03   1.3768E-03   6.8661E-12   1.5684E+04   4.1351E+00   1.3687E-02   9.6740E-17   1.0831E-16   3.1227E-26   1.9763E-07   2.7559E-21   1.8427E-30   3.3003E-17   2.4187E-08   3.8900E-22   3.1064E-22   5.7428E-32   4.0670E-12   1.0084E-19   5.3664E+11   4.4282E+11
   9.000000E-06   1.0000E+06   5.5385E+08   3.5083E+06   2.0029E+11   4.6136E+08   1.5959E-17   2.1586E+19   8.0153E+05   9.7529E+05   7.8193E-07   9.9999E+05   2.7776E+01   5.4865E-14   8.4590E-14   2.7012E-13   8.2559E-22   7.9582E+04   3.0748E+11   6.3900E-03   1.8134E-03   9.0600E-12   2.3771E+04   5.4480E+00   2.7364E-02   2.2192E-16   2.4846E-16   7.1636E-26   3.4242E-07   5.4736E-21   3.6602E-30   7.5344E-17   4.8178E-08   8.8846E-22   7.0950E-22   1.3117E-31   1.0723E-11   3.4953E-19   6.1654E+11   5.0833E+11
   1.000000E-05   1.0000E+06   6.2703E+08   3.5084E+06   2.2588E+11   5.1998E+08   1.7987E-17   2.1586E+19   8.8864E+05   1.0845E+06   7.8193E-07   9.9999E+05   3.5528E+01   7.9065E-14   1.2190E-13   3.8927E-13   1.1902E-21   1.0149E+05   3.4733E+11   8.1420E-03   2.3106E-03   1.1558E-11   3.4252E+04   6.9428E+00   5.0288E-02   4.6035E-16   5.1541E-16   1.4860E-25   5.5523E-07   1.0010E-20   6.6935E-30   1.5570E-16   8.8290E-08   1.8368E-21   1.4669E-21   2.7118E-31   2.5137E-11   1.0431E-18   6.9644E+11   5.7384E+11
