f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,err,index
9.0966e-07,6.3202e-16,355500.0,0.00025963,0.01177,0.0014555,0.028931,0.60118,1.1567,5.2037,0.0050106,0.0017444,0.013533,0.0026457,0.0086917,0.0048731,1782600000.0,0.012402,127140000000000.0,0.00012377,0.20295,0.071279,0.0033706,0.0095297,0.0030665,0.011447,0.0029669,0.022061,0.020465,0.0091032,0.0036242,9.7012,0.0077498,4.4366e-14,4.3164,1574400000.0,0.67277,0.9643258485385924,initialization
7.7579e-07,6.7522e-16,293070.0,0.00024396,0.012026,0.0015097,0.03564,0.61101,0.93987,4.1697,0.005076,0.0016206,0.013928,0.0023509,0.0096836,0.005554,2069800000.0,0.010601,135750000000000.0,0.00010583,0.23728,0.058876,0.0034015,0.0093656,0.0026771,0.013657,0.0025392,0.024503,0.024631,0.0095983,0.0044807,10.775,0.008512,4.3049e-14,4.0448,1333600000.0,0.78318,0.6341231964233011,LH pre-train 0
7.3243e-07,7.4646e-16,440940.0,0.00025718,0.010782,0.0016544,0.025074,0.60327,1.2615,6.3085,0.0040436,0.0016534,0.016283,0.002211,0.010158,0.0041401,1718800000.0,0.015265,124530000000000.0,0.00013386,0.24139,0.08272,0.0039441,0.0091776,0.003136,0.013029,0.0029485,0.021272,0.023243,0.0099397,0.0032658,8.9513,0.0067915,4.2905e-14,4.348,1856100000.0,0.75821,3.318419712000775,LH pre-train 1
9.4266e-07,6.7345e-16,413380.0,0.0002938,0.011745,0.001266,0.024565,0.74771,1.0661,5.2203,0.0046832,0.0015651,0.014522,0.0021747,0.010083,0.0053704,1610000000.0,0.01116,124430000000000.0,0.00011376,0.21474,0.073253,0.0031178,0.0077775,0.0033575,0.010698,0.0030211,0.019074,0.021322,0.0078458,0.0037293,10.301,0.0092916,4.2868e-14,3.4593,1487800000.0,0.66365,1.279667178966367,LH pre-train 2
8.4384e-07,7.1728e-16,296110.0,0.00029672,0.013673,0.0013807,0.034477,0.54921,1.2624,4.9485,0.0060759,0.0021686,0.016591,0.0023766,0.0098299,0.0045306,1776300000.0,0.0099199,121570000000000.0,0.00014749,0.1873,0.057583,0.0039004,0.0084859,0.0024425,0.010669,0.0024492,0.021633,0.016306,0.0099289,0.0035465,10.748,0.0083975,3.9202e-14,3.5778,1424800000.0,0.70307,0.3543945236409956,LH pre-train 3
7.2505e-07,5.3486e-16,396180.0,0.00027481,0.010171,0.001186,0.030577,0.49481,1.1429,4.3711,0.0061675,0.0014947,0.014139,0.002575,0.0073236,0.0048528,1622600000.0,0.0136,117270000000000.0,0.00010913,0.1697,0.077926,0.00296,0.0098229,0.0024396,0.01343,0.0034145,0.025083,0.016337,0.0097768,0.0038126,12.001,0.0085696,4.7022e-14,3.7495,1388000000.0,0.66626,0.8018231830287758,LH pre-train 4
9.5769e-07,5.6626e-16,346750.0,0.00020725,0.012853,0.001551,0.029218,0.64572,1.3503,5.5415,0.0046327,0.0014141,0.015428,0.0022679,0.0083447,0.0039331,1971500000.0,0.010054,119520000000000.0,0.00011426,0.23808,0.089017,0.0039193,0.0094403,0.0030321,0.010009,0.0027158,0.019096,0.024905,0.0079162,0.0032362,11.875,0.0062408,5.501e-14,3.8471,1920500000.0,0.62625,0.3788587118637807,LH pre-train 5
9.6617e-07,6.9785e-16,283830.0,0.00024375,0.013928,0.0014781,0.032257,0.62489,1.2006,4.7353,0.0051811,0.0015933,0.014914,0.0033299,0.0079584,0.0050205,1915500000.0,0.014817,145630000000000.0,0.00010043,0.17027,0.075875,0.0032007,0.0080503,0.0032906,0.010815,0.0034022,0.021641,0.019857,0.010712,0.0029949,10.129,0.0065802,4.978e-14,4.7473,1740100000.0,0.61109,1.65021870456017,LH pre-train 6
1.0727e-06,6.7301e-16,398670.0,0.00030588,0.012318,0.0013367,0.023888,0.6226,1.0895,4.9265,0.0052,0.0015016,0.015974,0.0028869,0.0077146,0.0048934,2045400000.0,0.015035,133040000000000.0,0.00013665,0.16828,0.063909,0.0029197,0.0082053,0.0028289,0.013173,0.0031361,0.019015,0.017415,0.010046,0.0033039,9.0506,0.0089165,3.9017e-14,5.4252,1817500000.0,0.82056,3.899559070041698,LH pre-train 7
8.0086e-07,5.1574e-16,325020.0,0.00021749,0.0095529,0.0013324,0.027249,0.65044,1.3082,5.7418,0.0045865,0.0019719,0.011464,0.0022437,0.0082837,0.0043936,1474800000.0,0.010965,130080000000000.0,0.00011034,0.22844,0.083688,0.0038472,0.0099733,0.0035689,0.0098838,0.0036112,0.017571,0.016278,0.0093128,0.0038921,11.24,0.0075175,5.235e-14,4.4265,1771000000.0,0.80369,1.4755544464450678,LH pre-train 8
7.6386e-07,5.5143e-16,311530.0,0.00025145,0.0099719,0.0012866,0.024632,0.51804,1.2126,5.8702,0.0045076,0.0017766,0.013301,0.0033113,0.0083792,0.0041917,1713700000.0,0.011962,105690000000000.0,0.00011069,0.18988,0.062486,0.0029477,0.011054,0.0026376,0.0099213,0.0030434,0.025036,0.024639,0.0088315,0.0029202,11.454,0.0065148,4.4842e-14,3.7121,1913600000.0,0.56184,0.5746383779447373,LH pre-train 9
1.0313e-06,5.346e-16,444950.0,0.00022271,0.0096718,0.0014397,0.036108,0.50143,1.1119,6.4686,0.00459,0.0016705,0.015509,0.003232,0.0070968,0.0049694,2016400000.0,0.013798,122040000000000.0,0.00012656,0.21702,0.080325,0.0036042,0.0089775,0.0025946,0.0095084,0.0029121,0.019435,0.017118,0.0085573,0.0036629,10.419,0.0092734,3.7139e-14,3.7693,1260000000.0,0.83312,0.4424423165947205,LH pre-train 10
1.09e-06,5.0535e-16,325310.0,0.00030479,0.01336,0.0012016,0.027345,0.55239,1.3554,5.12,0.004657,0.0019763,0.014513,0.0032214,0.007228,0.0055322,1992000000.0,0.013647,116230000000000.0,0.00010091,0.24951,0.075757,0.0030884,0.011967,0.0031706,0.014076,0.0026287,0.024403,0.020407,0.009393,0.0040804,8.7999,0.0061647,4.7186e-14,4.0933,1558700000.0,0.743,0.5683356244759274,LH pre-train 11
8.7052e-07,6.0741e-16,318010.0,0.00029993,0.0098362,0.0013398,0.028978,0.6644,1.0879,6.5138,0.00476,0.0015816,0.014528,0.0023926,0.0094116,0.0057922,1964200000.0,0.015137,130030000000000.0,0.00014729,0.19424,0.078655,0.0028948,0.011113,0.0034969,0.0096691,0.0026658,0.020838,0.018911,0.0086179,0.0044464,9.9189,0.0074664,3.5777e-14,4.5931,1260000000.0,0.55523,2.338381662919054,LH pre-train 12
