         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38                                                                                                               39
   0.000000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   2.1586E+19   0.0000E+00   0.0000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-06   1.0000E+06   5.5174E+04   2.3682E+04   7.1834E+08   4.6843E+06   8.9209E-21   2.1586E+19   9.2651E+04   9.2944E+04   1.4487E-08   1.0000E+06   5.0807E-04   2.3967E-19   3.9464E-19   1.0457E-18   2.1032E-29   1.2023E+00   2.7357E+08   8.4913E-07   2.4830E-07   3.5011E-17   2.6815E-03   7.2322E-04   3.9453E-13   4.1771E-28   4.3711E-28   5.2444E-39   5.5769E-15   1.4652E-29   3.1627E-40   1.3694E-28   7.0067E-18   1.7820E-32   1.3509E-32   6.4210E-44   1.3782E-26   1.8978E-37   5.5096E+08   9.9199E+08
   2.000000E-06   1.0000E+06   2.3600E+07   1.5123E+06   1.2015E+10   5.0786E+07   1.1841E-18   2.1586E+19   1.7867E+05   1.9495E+05   5.9363E-07   1.0000E+06   1.5354E-01   4.2774E-17   6.7087E-17   2.0703E-16   3.8280E-25   5.1345E+02   1.7743E+10   4.7748E-05   1.3639E-05   4.5409E-14   1.1411E+01   4.8357E-02   1.0818E-07   1.1704E-22   1.2905E-22   2.6703E-32   2.5146E-11   5.3813E-26   2.4826E-35   3.8325E-23   3.1394E-13   7.8400E-28   6.1813E-28   7.9529E-38   2.3586E-19   5.3444E-29   3.5584E+10   2.9783E+10
   3.000000E-06   1.0000E+06   5.6502E+07   1.8874E+06   2.5267E+10   1.0429E+08   2.8488E-18   2.1586E+19   2.6253E+05   2.9676E+05   7.1661E-07   1.0000E+06   6.8859E-01   3.3878E-16   5.2781E-16   1.6520E-15   3.8222E-24   2.3377E+03   3.9425E+10   1.9321E-04   5.5057E-05   2.1618E-13   1.0274E+02   1.9920E-01   3.9054E-06   7.4453E-21   8.2652E-21   2.0217E-30   4.2628E-10   1.6218E-24   8.9896E-34   2.5750E-21   1.0473E-11   4.6066E-26   3.6523E-26   5.6352E-36   3.3355E-17   2.8871E-26   7.9069E+10   6.4750E+10
   4.000000E-06   1.0000E+06   9.1124E+07   1.9423E+06   3.8850E+10   1.5905E+08   4.4381E-18   2.1586E+19   3.4602E+05   3.9852E+05   7.3427E-07   1.0000E+06   1.6527E+00   1.2003E-15   1.8673E-15   5.8624E-15   1.4196E-23   5.6310E+03   6.1838E+10   4.5051E-04   1.2829E-04   5.2692E-13   3.8152E+02   4.6689E-01   3.4128E-05   9.6374E-20   1.0709E-19   2.6808E-29   2.3448E-09   1.3195E-23   7.5158E-33   3.3164E-20   8.8532E-11   5.7388E-25   4.5537E-25   7.2051E-35   6.8742E-16   1.3568E-24   1.2402E+11   1.0078E+11
   5.000000E-06   1.0000E+06   1.2600E+08   1.9499E+06   5.2481E+10   2.1399E+08   5.9905E-18   2.1586E+19   4.2945E+05   5.0028E+05   7.3674E-07   1.0000E+06   3.0495E+00   2.9557E-15   4.5960E-15   1.4442E-14   3.5442E-23   1.0398E+04   8.4357E+10   8.2189E-04   2.3399E-04   9.7726E-13   9.5796E+02   8.5343E-01   1.5732E-04   5.9490E-19   6.6119E-19   1.6622E-28   7.8195E-09   5.8760E-23   3.3661E-32   2.0243E-19   4.0124E-10   3.4722E-24   2.7556E-24   4.3807E-34   5.8304E-15   2.0861E-23   1.6918E+11   1.3697E+11
   6.000000E-06   1.0000E+06   1.6090E+08   1.9499E+06   6.6116E+10   2.6895E+08   7.5309E-18   2.1586E+19   5.1288E+05   6.0204E+05   7.3674E-07   1.0000E+06   4.8804E+00   5.9344E-15   9.2265E-15   2.9002E-14   7.1508E-23   1.6636E+04   1.0688E+11   1.3077E-03   3.7225E-04   1.5666E-12   1.9412E+03   1.3591E+00   5.0915E-04   2.4212E-18   2.6910E-18   6.7701E-28   1.9778E-08   1.8648E-22   1.0696E-31   8.1581E-19   1.2855E-09   1.3963E-23   1.1081E-23   1.7631E-33   3.0157E-14   1.7096E-22   2.1436E+11   1.7316E+11
   7.000000E-06   1.0000E+06   1.9579E+08   1.9499E+06   7.9751E+10   3.2390E+08   9.0712E-18   2.1586E+19   5.9631E+05   7.0380E+05   7.3674E-07   1.0000E+06   7.1477E+00   1.0467E-14   1.6272E-14   5.1155E-14   1.2638E-22   2.4342E+04   1.2941E+11   1.9080E-03   5.4309E-04   2.2947E-12   3.4400E+03   1.9839E+00   1.3197E-03   7.5758E-18   8.4202E-18   2.1187E-27   4.2032E-08   4.7740E-22   2.7392E-31   2.5330E-18   3.3101E-09   4.3342E-23   3.4398E-23   5.4738E-33   1.1457E-13   9.5072E-22   2.5954E+11   2.0936E+11
   8.000000E-06   1.0000E+06   2.3069E+08   1.9499E+06   9.3385E+10   3.7886E+08   1.0612E-17   2.1586E+19   6.7974E+05   8.0556E+05   7.3674E-07   1.0000E+06   9.8547E+00   1.6884E-14   2.6248E-14   8.2524E-14   2.0409E-22   3.3519E+04   1.5194E+11   2.6227E-03   7.4650E-04   3.1616E-12   5.5629E+03   2.7278E+00   2.9383E-03   1.9759E-17   2.1962E-17   5.5262E-27   7.9283E-08   1.0539E-21   6.0476E-31   6.5673E-18   7.3351E-09   1.1241E-22   8.9214E-23   1.4198E-32   3.5081E-13   3.9763E-21   3.0472E+11   2.4556E+11
   9.000000E-06   1.0000E+06   2.6558E+08   1.9499E+06   1.0702E+11   4.3381E+08   1.2152E-17   2.1586E+19   7.6318E+05   9.0731E+05   7.3674E-07   1.0000E+06   1.3005E+01   2.5523E-14   3.9676E-14   1.2475E-13   3.0867E-22   4.4165E+04   1.7447E+11   3.4519E-03   9.8248E-04   4.1674E-12   8.4186E+03   3.5909E+00   5.8591E-03   4.5193E-17   5.0230E-17   1.2640E-26   1.3712E-07   2.0885E-21   1.1986E-30   1.4951E-17   1.4576E-08   2.5603E-22   2.0320E-22   3.2338E-32   9.2176E-13   1.3723E-20   3.4990E+11   2.8175E+11
