para,10 kV,12.5 kV,15 kV
f0,8.5149d-07,9.1749d-07,1.4087d-06
f1,5.9961d-16,6.2633d-16,8.3743d-16
f2,3.6655d+05,3.6189d+05,4.3023d+05
f3,2.7775d-04,2.5581d-04,2.9036d-04
f4,1.3716d-02,1.1684d-02,9.9301d-03
f5,1.5840d-03,1.4397d-03,9.3957d-04
f6,3.1419d-02,2.8668d-02,4.8756d-02
f7,4.2479d-01,6.8153d-01,7.8149d-01
f8,1.2186d+00,1.1609d+00,1.7526d+00
f9,5.3682d+00,5.2776d+00,8.6907d+00
f10,4.9277d-03,4.6417d-03,4.5034d-03
f11,1.2288d-03,1.7993d-03,1.3322d-03
f12,1.2162d-02,1.3207d-02,1.3792d-02
f13,2.4985d-03,2.5614d-03,3.9688d-03
f14,8.7943d-03,9.0720d-03,9.0170d-03
f15,4.2352d-03,4.9832d-03,4.6542d-03
f16,1.6332d+09,1.8036d+09,2.9146d+08
f17,1.1798d-02,1.2639d-02,1.3521d-02
f18,9.6443d+13,1.2607d+14,1.2118d+14
f19,1.0727d-04,1.2325d-04,7.4023d-03
f20,1.6742d-01,1.9654d-01,4.7662d-01
f21,6.6963d-02,7.2362d-02,4.6130d-02
f22,3.0723d-03,3.3765d-03,4.1269d-03
f23,6.0901d-03,9.3531d-03,1.1468d-02
f24,3.5255d-03,3.0437d-03,2.7189d-03
f25,8.6322d-03,1.1270d-02,1.0713d-02
f26,2.5137d-03,2.9399d-03,4.8485d-03
f27,2.1762d-02,2.1978d-02,1.7038d-02
f28,1.9361d-02,2.0413d-02,1.3224d-02
f29,1.1302d-02,9.0425d-03,8.3859d-03
f30,2.1310d-03,3.7625d-03,4.3857d-03
f31,1.0697d+01,9.7801d+00,2.6232d+01
f32,7.7804d-03,7.6575d-03,9.1133d-03
f33,4.5618d-14,4.3591d-14,4.4862d-14
f34,2.9978d+00,4.2984d+00,5.1822d+00
f35,1.5395d+09,1.5966d+09,1.4626d+09
f36,6.0734d-01,6.5543d-01,8.2669d-01
