f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,err,index
1.302e-06,8.3895e-16,345750.0,0.0003307,0.010688,0.00093602,0.0012907,0.23699,1.3269,7.8614,0.0047488,0.0014957,0.014347,3.9726e-07,0.046898,0.0045161,2056400000.0,0.013382,112990000000000.0,1.2558e-05,0.091081,0.088086,0.0043105,0.010979,0.0023534,0.020608,0.005145,0.010556,0.013193,0.0083897,0.0043764,10.786,0.0092249,3.7464e-14,5.1983,1185900000.0,2.5678,43.20493038441761,initialization
1.2974e-06,8.5676e-16,342160.0,0.00032959,0.010864,0.00092153,0.0013049,0.24199,1.302,8.0408,0.0048077,0.0015007,0.014409,3.9068e-07,0.046071,0.0045599,2077100000.0,0.013317,115540000000000.0,1.2377e-05,0.089361,0.088995,0.0042798,0.010877,0.0023513,0.020766,0.0051067,0.010383,0.013239,0.0085172,0.0042878,10.749,0.0094233,3.7766e-14,5.127,1187000000.0,2.5333,43.21661025894276,LH pre-train 0
1.2773e-06,8.2822e-16,347740.0,0.00032777,0.01075,0.00094407,0.0012847,0.24076,1.3468,8.0221,0.0047566,0.001478,0.014072,3.919e-07,0.045904,0.0045007,2024100000.0,0.013215,110520000000000.0,1.2623e-05,0.091569,0.089841,0.0043498,0.010865,0.00235,0.02086,0.0052138,0.010351,0.013234,0.0084981,0.0044591,10.817,0.0093266,3.7196e-14,5.2603,1171200000.0,2.5918,43.21106697268162,LH pre-train 1
1.279e-06,8.2919e-16,352170.0,0.00033245,0.010547,0.00094132,0.0013177,0.24146,1.354,7.9448,0.0046648,0.0014677,0.014454,4.0005e-07,0.046308,0.0044545,2040800000.0,0.013611,113100000000000.0,1.2528e-05,0.09316,0.090041,0.0043683,0.011129,0.0023008,0.020977,0.0052281,0.010377,0.013357,0.0084523,0.0044321,10.953,0.0092225,3.7864e-14,5.1016,1208500000.0,2.607,43.20735431776413,LH pre-train 2
1.2856e-06,8.3588e-16,339670.0,0.00033618,0.010668,0.00092336,0.0012946,0.23352,1.3002,8.0116,0.0046473,0.001482,0.014195,3.9942e-07,0.046581,0.0045022,2094800000.0,0.013476,114000000000000.0,1.2363e-05,0.089033,0.088207,0.0042506,0.010948,0.0023769,0.020301,0.0051619,0.010532,0.01322,0.0082301,0.0043305,10.625,0.0092887,3.7699e-14,5.2221,1181200000.0,2.5811,43.33694173846486,LH pre-train 3
1.3185e-06,8.5599e-16,349890.0,0.00032966,0.010764,0.00095114,0.0012777,0.23474,1.3232,8.0095,0.0047863,0.0015211,0.014569,4.011e-07,0.046493,0.0045201,2021700000.0,0.013628,113980000000000.0,1.2748e-05,0.092171,0.089084,0.004337,0.010945,0.0023685,0.020961,0.0051563,0.010391,0.013265,0.0082063,0.0043214,10.774,0.0093344,3.6699e-14,5.1856,1179900000.0,2.5213,43.32213694182451,LH pre-train 4
1.3272e-06,8.3587e-16,339960.0,0.00033079,0.010605,0.00094504,0.0012835,0.24177,1.35,7.8392,0.0047813,0.0014875,0.014105,3.8941e-07,0.047185,0.0044486,2016600000.0,0.013179,112920000000000.0,1.2488e-05,0.089515,0.088312,0.0042393,0.011033,0.0023485,0.020291,0.0051424,0.010319,0.013224,0.0084885,0.0043721,10.618,0.0092264,3.7093e-14,5.3027,1188200000.0,2.5668,43.4608811141305,LH pre-train 5
1.3182e-06,8.5221e-16,347840.0,0.00033218,0.010567,0.000921,0.0013204,0.23645,1.3313,7.7941,0.0047953,0.0014951,0.014489,3.9315e-07,0.047339,0.0045565,2022100000.0,0.013147,113340000000000.0,1.2591e-05,0.091902,0.087806,0.0042571,0.01098,0.0023858,0.020307,0.0052485,0.010747,0.013147,0.0082346,0.004442,10.933,0.0093349,3.731e-14,5.1849,1200600000.0,2.5453,43.1994456224966,LH pre-train 6
1.2758e-06,8.3614e-16,347040.0,0.00032642,0.010719,0.00093443,0.0013172,0.24175,1.3369,7.8299,0.0047756,0.0014805,0.014216,4.0076e-07,0.046868,0.0044626,2013500000.0,0.013326,111750000000000.0,1.2277e-05,0.090319,0.08872,0.004381,0.011013,0.0023146,0.020844,0.0050794,0.010346,0.013387,0.008414,0.0043669,10.709,0.0093735,3.6879e-14,5.3033,1176700000.0,2.5546,43.30063762582869,LH pre-train 7
1.322e-06,8.2128e-16,348930.0,0.00032322,0.010724,0.00093889,0.0012628,0.24235,1.3087,8.0018,0.0047175,0.0014691,0.014403,3.971e-07,0.047647,0.0045945,2040600000.0,0.013479,115130000000000.0,1.2425e-05,0.091984,0.087795,0.0043993,0.010986,0.0023276,0.020808,0.0051144,0.010713,0.013332,0.0082126,0.0043485,10.692,0.0093087,3.6839e-14,5.2983,1200000000.0,2.5825,43.3594229497552,LH pre-train 8
