       Time_s           01           02           03           04           05
   0.0000E+00   1.5403E+02   3.0315E+02   0.0000E+00   0.0000E+00   0.0000E+00
   1.0000E-06   1.5403E+02   3.0315E+02   4.5877E+04   1.7743E-06   6.6193E-02
   2.0000E-06   1.0831E+03   3.0315E+02   9.0204E+04   9.5629E-06   2.5086E+00
   3.0000E-06   1.2371E+03   3.0315E+02   9.7226E+04   1.0537E-05   3.1572E+00
   4.0000E-06   1.2596E+03   3.0315E+02   9.8249E+04   1.0672E-05   3.2558E+00
   5.0000E-06   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   6.0000E-06   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   7.0000E-06   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   8.0000E-06   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   9.0000E-06   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   1.0000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   1.1000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   1.2000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   1.3000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2704E+00
   1.4000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2704E+00
   1.5000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2704E+00
   1.6000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2704E+00
   1.7000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2704E+00
   1.8000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2704E+00
   1.9000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2704E+00
   2.0000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2704E+00
   2.1000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2704E+00
   2.2000E-05   1.2634E+03   3.0315E+02   9.8400E+04   1.0696E-05   3.2730E+00
   2.3000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2704E+00
   2.4000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2704E+00
   2.5000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2704E+00
   2.6000E-05   1.2634E+03   3.0315E+02   9.8400E+04   1.0696E-05   3.2730E+00
   2.7000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2704E+00
   2.8000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2704E+00
   2.9000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2704E+00
   3.0000E-05   1.2634E+03   3.0315E+02   9.8400E+04   1.0696E-05   3.2730E+00
   3.1000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2704E+00
   3.2000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   3.3000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   3.4000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   3.5000E-05   1.2634E+03   3.0315E+02   9.8400E+04   1.0696E-05   3.2730E+00
   3.6000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   3.7000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   3.8000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   3.9000E-05   1.2634E+03   3.0315E+02   9.8400E+04   1.0696E-05   3.2730E+00
   4.0000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   4.1000E-05   1.2634E+03   3.0315E+02   9.8400E+04   1.0696E-05   3.2730E+00
   4.2000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   4.3000E-05   1.2634E+03   3.0315E+02   9.8400E+04   1.0696E-05   3.2730E+00
   4.4000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   4.5000E-05   1.2634E+03   3.0315E+02   9.8400E+04   1.0696E-05   3.2730E+00
   4.6000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   4.7000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   4.8000E-05   1.2634E+03   3.0315E+02   9.8400E+04   1.0696E-05   3.2730E+00
   4.9000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   5.0000E-05   1.2634E+03   3.0315E+02   9.8400E+04   1.0696E-05   3.2730E+00
   5.1000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   5.2000E-05   1.2634E+03   3.0315E+02   9.8400E+04   1.0696E-05   3.2730E+00
   5.3000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   5.4000E-05   1.2634E+03   3.0315E+02   9.8400E+04   1.0696E-05   3.2730E+00
   5.5000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   5.6000E-05   1.2634E+03   3.0315E+02   9.8400E+04   1.0696E-05   3.2730E+00
   5.7000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   5.8000E-05   1.2634E+03   3.0315E+02   9.8400E+04   1.0696E-05   3.2730E+00
   5.9000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
   6.0000E-05   1.2634E+03   3.0315E+02   9.8400E+04   1.0696E-05   3.2730E+00
   6.1000E-05   1.2629E+03   3.0315E+02   9.8400E+04   1.0691E-05   3.2703E+00
