         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38
   0.000000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   2.4220E+19   0.0000E+00   0.0000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-06   1.0000E+06   2.3947E+09   8.6804E+09   9.9322E+09   1.5923E-18   2.4220E+19   1.1975E+01   1.2044E+01   1.6829E-08   1.0000E+06   3.6088E-04   1.1632E-23   1.9137E-23   5.0877E-23   1.8352E-27   5.4951E-05   4.1353E+04   7.3556E-15   2.1498E-15   5.1303E-19   3.2157E-06   9.5333E-04   6.0640E-08   1.0306E-26   1.0792E-26   2.1759E-31   3.6844E-25   5.8280E-44   2.1133E-48   5.7262E-33   2.0938E-20   4.1727E-39   3.1636E-39   2.5878E-44   9.3727E-33   9.7457E-39   9.9313E+09   1.3470E+10
   2.000000E-06   1.0000E+06   3.9349E+10   1.4262E+11   1.3226E+11   2.5593E-16   2.4220E+19   2.2960E+01   2.5192E+01   6.5281E-07   1.0000E+06   4.2024E-01   8.4266E-21   1.3175E-20   4.0937E-20   1.2872E-22   9.0196E-02   9.7452E+06   1.5753E-12   4.4934E-13   2.5150E-15   1.0908E-02   2.4455E-01   1.1681E-05   2.2308E-24   2.4658E-24   8.3339E-28   3.5209E-20   4.9979E-39   3.8134E-42   7.9500E-27   1.0253E-15   2.2248E-34   1.7580E-34   3.7323E-38   1.0689E-26   1.9367E-31   1.3228E+11   2.2133E+11
   3.000000E-06   1.0000E+06   8.2929E+10   3.0052E+11   2.7490E+11   6.2564E-16   2.4220E+19   3.3634E+01   3.8303E+01   7.9238E-07   1.0000E+06   6.7293E+00   2.3067E-19   3.5785E-19   1.1297E-18   4.5666E-21   1.4714E+00   7.7185E+07   2.2349E-11   6.3566E-12   4.3343E-14   3.2677E-01   3.5459E+00   9.1045E-05   3.1136E-23   3.4660E-23   1.3861E-26   7.4991E-18   1.8736E-36   1.7396E-39   6.3197E-24   1.1592E-13   4.4759E-32   3.5584E-32   9.1480E-36   7.5245E-24   4.9289E-28   2.7505E+11   4.6646E+11
   4.000000E-06   1.0000E+06   1.2765E+11   4.6243E+11   4.2091E+11   9.7896E-16   2.4220E+19   4.4254E+01   5.1406E+01   8.1296E-07   9.9998E+05   3.5444E+01   1.7749E-18   2.7500E-18   8.7029E-18   3.6544E-20   7.7742E+00   2.7092E+08   1.1523E-10   3.2758E-11   2.3117E-13   2.6069E+00   1.8357E+01   3.1748E-04   1.5930E-22   1.7756E-22   7.3133E-26   2.0059E-16   7.3262E-35   6.9823E-38   3.8043E-22   2.0959E-12   1.1886E-30   9.4583E-31   2.4950E-34   5.2509E-22   7.5692E-26   4.2145E+11   7.1800E+11
   5.000000E-06   1.0000E+06   1.7254E+11   6.2478E+11   5.6726E+11   1.3235E-15   2.4220E+19   5.4867E+01   6.4508E+01   8.1599E-07   9.9994E+05   1.1543E+02   7.6702E-18   1.1880E-17   3.7618E-17   1.5929E-19   2.5336E+01   6.6021E+08   3.7326E-10   1.0609E-10   7.5518E-13   1.1438E+01   5.9519E+01   7.7120E-04   5.1385E-22   5.7293E-22   2.3774E-25   2.1005E-15   1.0166E-33   9.7300E-37   7.1151E-21   1.6511E-11   1.2436E-29   9.8972E-30   2.6223E-33   1.1795E-20   2.9931E-24   5.6858E+11   9.7053E+11
   6.000000E-06   1.0000E+06   2.1746E+11   7.8693E+11   7.1340E+11   1.6645E-15   2.4220E+19   6.5478E+01   7.7610E+01   8.1599E-07   9.9985E+05   2.8781E+02   2.3913E-17   3.7036E-17   1.1729E-16   4.9762E-19   6.3188E+01   1.3134E+09   9.2926E-10   2.6412E-10   1.8847E-12   3.5923E+01   1.4822E+02   1.5320E-03   1.2762E-21   1.4231E-21   5.9180E-25   1.3004E-14   7.8669E-33   7.5324E-36   6.9245E-20   8.1709E-11   7.7002E-29   6.1283E-29   1.6246E-32   1.3674E-19   5.4360E-23   7.1603E+11   1.2232E+12
   7.000000E-06   1.0000E+06   2.6237E+11   9.4875E+11   8.5921E+11   2.0047E-15   2.4220E+19   7.6089E+01   9.0712E+01   8.1599E-07   9.9969E+05   6.0595E+02   6.0500E-17   9.3699E-17   2.9674E-16   1.2597E-18   1.3304E+02   2.2982E+09   1.9554E-09   5.5576E-10   3.9693E-12   9.1260E+01   3.1188E+02   2.6801E-03   2.6821E-21   2.9909E-21   1.2447E-24   5.7590E-14   4.1896E-32   4.0116E-35   4.4374E-19   3.0087E-10   3.4106E-28   2.7144E-28   7.1965E-32   1.0261E-18   5.9009E-22   8.6381E+11   1.4758E+12
   8.000000E-06   1.0000E+06   3.0729E+11   1.1102E+12   1.0046E+12   2.3440E-15   2.4220E+19   8.6701E+01   1.0381E+02   8.1599E-07   9.9942E+05   1.1353E+03   1.3245E-16   2.0514E-16   6.4967E-16   2.7584E-18   2.4924E+02   3.6815E+09   3.6626E-09   1.0410E-09   7.4375E-12   2.0031E+02   5.8413E+02   4.2977E-03   5.0224E-21   5.6007E-21   2.3316E-24   2.0215E-13   1.7196E-31   1.6465E-34   2.1257E-18   9.0319E-10   1.1973E-27   9.5290E-28   2.5265E-31   5.6614E-18   4.4420E-21   1.0120E+12   1.7284E+12
   9.000000E-06   1.0000E+06   3.5220E+11   1.2711E+12   1.1496E+12   2.6822E-15   2.4220E+19   9.7312E+01   1.1691E+02   8.1599E-07   9.9900E+05   1.9532E+03   2.6084E-16   4.0397E-16   1.2794E-15   5.4325E-18   4.2878E+02   5.5296E+09   6.3005E-09   1.7907E-09   1.2796E-11   3.9516E+02   1.0046E+03   6.4709E-03   8.6447E-21   9.6402E-21   4.0138E-24   5.9783E-13   5.8161E-31   5.5692E-34   8.1985E-18   2.3342E-09   3.5409E-27   2.8181E-27   7.4720E-31   2.4758E-17   2.5260E-20   1.1606E+12   1.9811E+12
