         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38                                                                                                               39
   0.000000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   2.4220E+19   0.0000E+00   0.0000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-06   1.0000E+06   2.9993E+09   0.0000E+00   1.0872E+10   1.2188E+10   2.3961E-18   2.4220E+19   1.2029E+01   1.2182E+01   2.3745E-08   1.0000E+06   6.2390E-04   1.9565E-23   3.2122E-23   8.6118E-23   4.6936E-27   9.7846E-05   6.3560E+04   1.1215E-14   3.2733E-15   1.0160E-18   6.0642E-06   1.4655E-03   9.1315E-08   1.5700E-26   1.6469E-26   4.2408E-31   8.8150E-25   1.3718E-43   6.3525E-48   1.6900E-32   4.8383E-20   9.6975E-39   7.3569E-39   8.1586E-44   2.7304E-32   3.6065E-38   1.2187E+10   1.6871E+10
   2.000000E-06   1.0000E+06   4.7294E+10   0.0000E+00   1.7142E+11   1.5708E+11   3.6153E-16   2.4220E+19   2.2670E+01   2.5289E+01   8.0300E-07   1.0000E+06   6.7502E-01   1.2676E-20   1.9648E-20   6.2125E-20   2.5783E-22   1.4796E-01   1.3954E+07   2.2095E-12   6.2824E-13   4.3910E-15   1.8613E-02   3.5152E-01   1.6528E-05   3.1046E-24   3.4589E-24   1.4128E-27   7.4402E-20   1.0162E-38   9.5716E-42   1.9689E-26   2.0758E-15   4.3787E-34   3.4829E-34   9.0851E-38   2.6727E-26   5.7060E-31   1.5710E+11   2.6602E+11
   3.000000E-06   1.0000E+06   1.0009E+11   0.0000E+00   3.6269E+11   3.2774E+11   9.0105E-16   2.4220E+19   3.2912E+01   3.8317E+01   9.8873E-07   9.9999E+05   1.0851E+01   3.4249E-19   5.2567E-19   1.6917E-18   9.2431E-21   2.4265E+00   1.1060E+08   3.1063E-11   8.8023E-12   7.6508E-14   5.5663E-01   5.0739E+00   1.2890E-04   4.2795E-23   4.8079E-23   2.3667E-26   1.6001E-17   3.8737E-36   4.5255E-39   1.6042E-23   2.3483E-13   8.7740E-32   7.0320E-32   2.2683E-35   2.0205E-23   1.5816E-27   3.2796E+11   5.6297E+11
   4.000000E-06   1.0000E+06   1.5463E+11   0.0000E+00   5.6012E+11   5.0353E+11   1.4210E-15   2.4220E+19   4.3073E+01   5.1327E+01   1.0191E-06   9.9997E+05   5.7568E+01   2.6423E-18   4.0483E-18   1.3068E-17   7.4728E-20   1.2920E+01   3.9056E+08   1.6062E-10   4.5485E-11   4.1197E-13   4.4765E+00   2.6377E+01   4.5213E-04   2.1940E-22   2.4690E-22   1.2593E-25   4.3155E-16   1.5218E-34   1.8346E-37   9.7393E-22   4.2853E-12   2.3420E-30   1.8793E-30   6.2556E-34   1.4709E-21   2.5363E-25   5.0431E+11   8.6977E+11
   5.000000E-06   1.0000E+06   2.0946E+11   0.0000E+00   7.5830E+11   6.7990E+11   1.9269E-15   2.4220E+19   5.3220E+01   6.4334E+01   1.0241E-06   9.9991E+05   1.8844E+02   1.1469E-17   1.7564E-17   5.6735E-17   3.2786E-19   4.2330E+01   9.5599E+08   5.2227E-10   1.4787E-10   1.3538E-12   1.9775E+01   8.5882E+01   1.1032E-03   7.1020E-22   7.9958E-22   4.1163E-25   4.5680E-15   2.1365E-33   2.5897E-36   1.8492E-20   3.4085E-11   2.4752E-29   1.9866E-29   6.6506E-33   3.4209E-20   1.0488E-23   6.8181E+11   1.1782E+12
   6.000000E-06   1.0000E+06   2.6435E+11   0.0000E+00   9.5632E+11   8.5607E+11   2.4262E-15   2.4220E+19   6.3365E+01   7.7340E+01   1.0241E-06   9.9979E+05   4.7162E+02   3.5886E-17   5.4953E-17   1.7754E-16   1.0289E-18   1.0597E+02   1.9077E+09   1.3043E-09   3.6926E-10   3.3923E-12   6.2414E+01   2.1456E+02   2.1986E-03   1.7693E-21   1.9923E-21   1.0287E-24   2.8461E-14   1.6634E-32   2.0178E-35   1.8112E-19   1.6974E-10   1.5421E-28   1.2377E-28   4.1475E-32   4.0360E-19   1.9348E-22   8.5988E+11   1.4869E+12
   7.000000E-06   1.0000E+06   3.1925E+11   0.0000E+00   1.1539E+12   1.0318E+12   2.9241E-15   2.4220E+19   7.3509E+01   9.0346E+01   1.0241E-06   9.9955E+05   9.9553E+02   9.1049E-17   1.3942E-16   4.5046E-16   2.6127E-18   2.2369E+02   3.3451E+09   2.7511E-09   7.7885E-10   7.1638E-12   1.5913E+02   4.5258E+02   3.8564E-03   3.7281E-21   4.1981E-21   2.1700E-24   1.2663E-13   8.8989E-32   1.0796E-34   1.1658E-18   6.2790E-10   6.8620E-28   5.5076E-28   1.8459E-31   3.0651E-18   2.1233E-21   1.0384E+12   1.7957E+12
   8.000000E-06   1.0000E+06   3.7414E+11   0.0000E+00   1.3508E+12   1.2069E+12   3.4203E-15   2.4220E+19   8.3654E+01   1.0335E+02   1.0241E-06   9.9915E+05   1.8687E+03   1.9978E-16   3.0591E-16   9.8839E-16   5.7343E-18   4.1989E+02   5.3666E+09   5.1625E-09   1.4615E-09   1.3450E-11   3.5023E+02   8.4916E+02   6.1988E-03   6.9966E-21   7.8788E-21   4.0743E-24   4.4638E-13   3.6698E-31   4.4521E-34   5.6202E-18   1.8919E-09   2.4190E-27   1.9415E-27   6.5075E-31   1.7097E-17   1.6338E-20   1.2176E+12   2.1044E+12
   9.000000E-06   1.0000E+06   4.2903E+11   0.0000E+00   1.5471E+12   1.3813E+12   3.9146E-15   2.4220E+19   9.3798E+01   1.1636E+02   1.0241E-06   9.9854E+05   3.2197E+03   3.9409E-16   6.0344E-16   1.9497E-15   1.1313E-17   7.2338E+02   8.0691E+09   8.8929E-09   2.5176E-09   2.3174E-11   6.9236E+02   1.4624E+03   9.3566E-03   1.2068E-20   1.3590E-20   7.0291E-24   1.3243E-12   1.2457E-30   1.5113E-33   2.1754E-17   4.9026E-09   7.1766E-27   5.7601E-27   1.9307E-30   7.5284E-17   9.3723E-20   1.3974E+12   2.4132E+12
