         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38
   0.000000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   2.4220E+19   0.0000E+00   0.0000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-06   1.0000E+06   2.9993E+09   1.0872E+10   1.2188E+10   2.3961E-18   2.4220E+19   1.2029E+01   1.2182E+01   2.3745E-08   1.0000E+06   6.2390E-04   1.9557E-23   3.2108E-23   8.6082E-23   4.6916E-27   9.7846E-05   6.3560E+04   1.1215E-14   3.2733E-15   1.0160E-18   6.0616E-06   1.4655E-03   9.1315E-08   1.5700E-26   1.6469E-26   4.2408E-31   8.8116E-25   1.3771E-43   6.3770E-48   1.7203E-32   4.8334E-20   9.6940E-39   7.3543E-39   8.1558E-44   2.7533E-32   3.7679E-38   1.2187E+10   1.6871E+10
   2.000000E-06   1.0000E+06   4.7294E+10   1.7142E+11   1.5708E+11   3.6153E-16   2.4220E+19   2.2670E+01   2.5289E+01   8.0300E-07   1.0000E+06   6.7502E-01   1.2676E-20   1.9648E-20   6.2126E-20   2.5783E-22   1.4796E-01   1.3954E+07   2.2095E-12   6.2824E-13   4.3910E-15   1.8613E-02   3.5152E-01   1.6528E-05   3.1046E-24   3.4589E-24   1.4128E-27   7.4949E-20   1.0333E-38   9.7330E-42   1.9846E-26   2.0804E-15   4.4112E-34   3.5088E-34   9.1526E-38   2.7015E-26   5.6992E-31   1.5710E+11   2.6602E+11
   3.000000E-06   1.0000E+06   9.9704E+10   3.6130E+11   3.2658E+11   8.9785E-16   2.4220E+19   3.2930E+01   3.8320E+01   9.8873E-07   1.0000E+06   1.0763E+01   3.3991E-19   5.2177E-19   1.6788E-18   9.1508E-21   2.4060E+00   1.0972E+08   3.0867E-11   8.7472E-12   7.5804E-14   5.5037E-01   5.0400E+00   1.2791E-04   4.2539E-23   4.7785E-23   2.3462E-26   1.5794E-17   3.8306E-36   4.4736E-39   1.5790E-23   2.3149E-13   8.6626E-32   6.9426E-32   2.2384E-35   1.9785E-23   1.5432E-27   3.2680E+11   5.6081E+11
   4.000000E-06   1.0000E+06   1.5436E+11   5.5912E+11   5.0269E+11   1.4187E-15   2.4220E+19   4.3086E+01   5.1329E+01   1.0191E-06   9.9997E+05   5.7218E+01   2.6244E-18   4.0208E-18   1.2979E-17   7.4282E-20   1.2842E+01   3.8851E+08   1.5960E-10   4.5195E-11   4.0955E-13   4.4386E+00   2.6210E+01   4.4984E-04   2.1805E-22   2.4539E-22   1.2521E-25   4.2665E-16   1.5055E-34   1.8155E-37   9.6330E-22   4.2379E-12   2.3151E-30   1.8577E-30   6.1861E-34   1.4529E-21   2.5177E-25   5.0347E+11   8.6822E+11
   5.000000E-06   1.0000E+06   2.0922E+11   7.5741E+11   6.7915E+11   1.9248E-15   2.4220E+19   5.3232E+01   6.4336E+01   1.0241E-06   9.9991E+05   1.8756E+02   1.1405E-17   1.7465E-17   5.6418E-17   3.2623E-19   4.2134E+01   9.5244E+08   5.1967E-10   1.4713E-10   1.3477E-12   1.9653E+01   8.5460E+01   1.0992E-03   7.0678E-22   7.9574E-22   4.0984E-25   4.5242E-15   2.1140E-33   2.5631E-36   1.8279E-20   3.3795E-11   2.4512E-29   1.9673E-29   6.5881E-33   3.3761E-20   1.0329E-23   6.8106E+11   1.1768E+12
   6.000000E-06   1.0000E+06   2.6411E+11   9.5544E+11   8.5532E+11   2.4241E-15   2.4220E+19   6.3376E+01   7.7342E+01   1.0241E-06   9.9979E+05   4.6983E+02   3.5720E-17   5.4698E-17   1.7672E-16   1.0244E-18   1.0557E+02   1.9023E+09   1.2992E-09   3.6781E-10   3.3797E-12   6.2115E+01   2.1372E+02   2.1925E-03   1.7626E-21   1.9848E-21   1.0250E-24   2.8249E-14   1.6501E-32   2.0017E-35   1.7960E-19   1.6862E-10   1.5306E-28   1.2285E-28   4.1168E-32   4.0015E-19   1.9197E-22   8.5913E+11   1.4856E+12
   7.000000E-06   1.0000E+06   3.1900E+11   1.1530E+12   1.0310E+12   2.9220E-15   2.4220E+19   7.3521E+01   9.0348E+01   1.0241E-06   9.9955E+05   9.9241E+02   9.0696E-17   1.3888E-16   4.4871E-16   2.6028E-18   2.2299E+02   3.3374E+09   2.7423E-09   7.7636E-10   7.1416E-12   1.5851E+02   4.5114E+02   3.8476E-03   3.7165E-21   4.1851E-21   2.1635E-24   1.2589E-13   8.8432E-32   1.0728E-34   1.1586E-18   6.2456E-10   6.8215E-28   5.4750E-28   1.8350E-31   3.0465E-18   2.1169E-21   1.0377E+12   1.7943E+12
   8.000000E-06   1.0000E+06   3.7389E+11   1.3499E+12   1.2061E+12   3.4182E-15   2.4220E+19   8.3665E+01   1.0335E+02   1.0241E-06   9.9915E+05   1.8638E+03   1.9911E-16   3.0489E-16   9.8510E-16   5.7155E-18   4.1877E+02   5.3561E+09   5.1485E-09   1.4576E-09   1.3414E-11   3.4908E+02   8.4688E+02   6.1869E-03   6.9783E-21   7.8582E-21   4.0639E-24   4.4404E-13   3.6483E-31   4.4260E-34   5.5822E-18   1.8832E-09   2.4063E-27   1.9313E-27   6.4733E-31   1.6973E-17   1.6163E-20   1.2168E+12   2.1031E+12
   9.000000E-06   1.0000E+06   4.2878E+11   1.5462E+12   1.3805E+12   3.9125E-15   2.4220E+19   9.3810E+01   1.1636E+02   1.0241E-06   9.9854E+05   3.2123E+03   3.9294E-16   6.0168E-16   1.9441E-15   1.1280E-17   7.2171E+02   8.0554E+09   8.8723E-09   2.5118E-09   2.3121E-11   6.9038E+02   1.4590E+03   9.3409E-03   1.2040E-20   1.3559E-20   7.0134E-24   1.3176E-12   1.2382E-30   1.5022E-33   2.1582E-17   4.8821E-09   7.1405E-27   5.7311E-27   1.9210E-30   7.4716E-17   9.2138E-20   1.3966E+12   2.4118E+12
