       Time_s           01           02           03           04           05
   0.0000E+00   1.7689E+02   3.0315E+02   0.0000E+00   0.0000E+00   0.0000E+00
   1.0000E-06   1.7689E+02   3.0315E+02   4.7456E+04   2.0229E-06   8.6670E-02
   2.0000E-06   1.2484E+03   3.0315E+02   9.7742E+04   1.0828E-05   3.2742E+00
   3.0000E-06   1.4335E+03   3.0315E+02   1.0622E+05   1.2228E-05   4.2456E+00
   4.0000E-06   1.4455E+03   3.0315E+02   1.0677E+05   1.2607E-05   4.4136E+00
   5.0000E-06   1.4296E+03   3.0315E+02   1.0604E+05   1.2821E-05   4.4393E+00
   6.0000E-06   1.4097E+03   3.0315E+02   1.0512E+05   1.3004E-05   4.4401E+00
   7.0000E-06   1.3900E+03   3.0315E+02   1.0422E+05   1.3186E-05   4.4393E+00
   8.0000E-06   1.3707E+03   3.0315E+02   1.0334E+05   1.3366E-05   4.4377E+00
   9.0000E-06   1.3520E+03   3.0315E+02   1.0247E+05   1.3538E-05   4.4331E+00
   1.0000E-05   1.3341E+03   3.0315E+02   1.0166E+05   1.3716E-05   4.4319E+00
   1.1000E-05   1.3167E+03   3.0315E+02   1.0086E+05   1.3889E-05   4.4295E+00
   1.2000E-05   1.2999E+03   3.0315E+02   1.0009E+05   1.4062E-05   4.4273E+00
   1.3000E-05   1.2836E+03   3.0315E+02   9.9345E+04   1.4235E-05   4.4254E+00
   1.4000E-05   1.2677E+03   3.0315E+02   9.8621E+04   1.4402E-05   4.4222E+00
   1.5000E-05   1.2526E+03   3.0315E+02   9.7930E+04   1.4574E-05   4.4215E+00
   1.6000E-05   1.2377E+03   3.0315E+02   9.7251E+04   1.4742E-05   4.4193E+00
   1.7000E-05   1.2232E+03   3.0315E+02   9.6593E+04   1.4910E-05   4.4174E+00
   1.8000E-05   1.2093E+03   3.0315E+02   9.5956E+04   1.5077E-05   4.4159E+00
   1.9000E-05   1.1956E+03   3.0315E+02   9.5335E+04   1.5242E-05   4.4138E+00
   2.0000E-05   1.1824E+03   3.0315E+02   9.4733E+04   1.5405E-05   4.4119E+00
   2.1000E-05   1.1696E+03   3.0315E+02   9.4150E+04   1.5569E-05   4.4106E+00
   2.2000E-05   1.1572E+03   3.0315E+02   9.3581E+04   1.5731E-05   4.4088E+00
   2.3000E-05   1.1450E+03   3.0315E+02   9.3029E+04   1.5892E-05   4.4072E+00
   2.4000E-05   1.1332E+03   3.0315E+02   9.2493E+04   1.6052E-05   4.4060E+00
   2.5000E-05   1.1217E+03   3.0315E+02   9.1960E+04   1.6203E-05   4.4020E+00
   2.6000E-05   1.1108E+03   3.0315E+02   9.1462E+04   1.6364E-05   4.4028E+00
   2.7000E-05   1.1000E+03   3.0315E+02   9.0969E+04   1.6525E-05   4.4024E+00
   2.8000E-05   1.0892E+03   3.0315E+02   9.0484E+04   1.6683E-05   4.4012E+00
   2.9000E-05   1.0787E+03   3.0315E+02   9.0006E+04   1.6838E-05   4.3993E+00
   3.0000E-05   1.0686E+03   3.0315E+02   8.9543E+04   1.6990E-05   4.3973E+00
   3.1000E-05   1.0588E+03   3.0315E+02   8.9113E+04   1.7156E-05   4.3996E+00
   3.2000E-05   1.0488E+03   3.0315E+02   8.8657E+04   1.7304E-05   4.3956E+00
   3.3000E-05   1.0394E+03   3.0315E+02   8.8227E+04   1.7457E-05   4.3945E+00
   3.4000E-05   1.0302E+03   3.0315E+02   8.7806E+04   1.7607E-05   4.3931E+00
   3.5000E-05   1.0212E+03   3.0315E+02   8.7396E+04   1.7757E-05   4.3920E+00
   3.6000E-05   1.0124E+03   3.0315E+02   8.6999E+04   1.7912E-05   4.3922E+00
   3.7000E-05   1.0037E+03   3.0315E+02   8.6606E+04   1.8062E-05   4.3909E+00
   3.8000E-05   9.9522E+02   3.0315E+02   8.6220E+04   1.8209E-05   4.3892E+00
   3.9000E-05   9.8700E+02   3.0315E+02   8.5837E+04   1.8345E-05   4.3855E+00
   4.0000E-05   9.7925E+02   3.0315E+02   8.5484E+04   1.8494E-05   4.3864E+00
   4.1000E-05   9.7146E+02   3.0315E+02   8.5129E+04   1.8640E-05   4.3858E+00
   4.2000E-05   9.6380E+02   3.0315E+02   8.4781E+04   1.8787E-05   4.3855E+00
   4.3000E-05   9.5623E+02   3.0315E+02   8.4440E+04   1.8933E-05   4.3850E+00
   4.4000E-05   9.4878E+02   3.0315E+02   8.4102E+04   1.9078E-05   4.3841E+00
   4.5000E-05   9.4149E+02   3.0315E+02   8.3772E+04   1.9222E-05   4.3833E+00
   4.6000E-05   9.3433E+02   3.0315E+02   8.3447E+04   1.9366E-05   4.3825E+00
   4.7000E-05   9.2732E+02   3.0315E+02   8.3129E+04   1.9507E-05   4.3813E+00
   4.8000E-05   9.2048E+02   3.0315E+02   8.2818E+04   1.9647E-05   4.3801E+00
   4.9000E-05   9.1382E+02   3.0315E+02   8.2516E+04   1.9786E-05   4.3793E+00
   5.0000E-05   9.0730E+02   3.0315E+02   8.2224E+04   1.9933E-05   4.3803E+00
   5.1000E-05   9.0071E+02   3.0315E+02   8.1924E+04   2.0069E-05   4.3781E+00
   5.2000E-05   8.9440E+02   3.0315E+02   8.1637E+04   2.0206E-05   4.3772E+00
   5.3000E-05   8.8823E+02   3.0315E+02   8.1355E+04   2.0343E-05   4.3765E+00
   5.4000E-05   8.8216E+02   3.0315E+02   8.1079E+04   2.0479E-05   4.3757E+00
   5.5000E-05   8.7622E+02   3.0315E+02   8.0807E+04   2.0616E-05   4.3752E+00
   5.6000E-05   8.7037E+02   3.0315E+02   8.0540E+04   2.0752E-05   4.3747E+00
