         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38
   0.000000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   2.4220E+19   0.0000E+00   0.0000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-06   1.0006E+06   2.5877E+08   2.5877E+09   1.9746E+09   5.7902E-12   2.4220E+19   1.2295E+04   1.2451E+04   1.6469E-02   1.0006E+06   4.2922E-08   1.4037E-24   2.3046E-24   6.1786E-24   3.1216E-25   3.0381E-08   1.2094E+02   2.1765E-14   6.3528E-15   1.8279E-15   5.6642E-08   1.2943E-07   8.8652E-06   1.5550E-21   1.6312E-21   3.8935E-23   4.0010E-34   8.8202E-50   3.7861E-51   1.8626E-43   1.7822E-29   4.1814E-45   3.1722E-45   3.2610E-47   3.6943E-33   7.3093E-43   1.9736E+09   3.1053E+09
   2.000000E-06   1.0210E+06   4.1190E+09   4.1190E+10   2.5679E+10   8.9918E-10   2.4220E+19   2.3285E+04   2.5987E+04   5.6808E-01   1.0210E+06   4.7734E-05   9.2691E-22   1.4367E-21   4.5426E-21   1.7466E-20   4.7220E-05   2.6898E+04   4.4086E-12   1.2535E-12   8.1187E-12   1.7326E-04   2.5179E-05   1.6242E-03   3.1580E-19   3.5183E-19   1.3318E-19   8.3596E-30   1.5142E-45   1.3215E-45   4.9511E-38   7.0866E-25   1.5510E-40   1.2337E-40   2.9817E-41   2.8564E-26   9.3291E-35   2.5678E+10   4.9428E+10
   3.000000E-06   1.0464E+06   8.7993E+09   8.7993E+10   5.4107E+10   2.2917E-09   2.4220E+19   3.4117E+04   3.9750E+04   7.0694E-01   1.0464E+06   7.9038E-04   2.6358E-20   4.0482E-20   1.3013E-19   6.4802E-19   7.9677E-04   2.1709E+05   6.4301E-11   1.8225E-11   1.4505E-10   5.3172E-03   2.2944E-04   1.2898E-02   4.5158E-18   5.0710E-18   2.2899E-18   5.3412E-28   1.7287E-43   1.8424E-43   1.1930E-35   8.2923E-23   3.2848E-38   2.6312E-38   7.7543E-39   4.8600E-23   6.2843E-31   5.4106E+10   1.0559E+11
   4.000000E-06   1.0726E+06   1.3643E+10   1.3643E+11   8.3509E+10   3.6617E-09   2.4220E+19   4.5193E+04   5.3851E+04   7.3302E-01   1.0726E+06   4.2714E-03   2.1265E-19   3.2634E-19   1.0505E-18   5.3401E-18   4.3140E-03   7.7251E+05   3.4291E-10   9.7157E-11   7.8982E-10   4.3256E-02   1.0418E-03   4.5602E-02   2.3885E-17   2.6844E-17   1.2346E-17   6.6117E-27   3.2241E-42   3.4797E-42   3.3727E-34   1.5383E-21   9.1489E-37   7.3318E-37   2.1869E-37   4.7362E-21   1.3972E-28   8.3509E+10   1.6372E+11
   5.000000E-06   1.0992E+06   1.8550E+10   1.8550E+11   1.1332E+11   5.0255E-09   2.4220E+19   5.6577E+04   6.8311E+04   7.3984E-01   1.0992E+06   1.4225E-02   9.6320E-19   1.4789E-18   4.7566E-18   2.3863E-17   1.4356E-02   1.9047E+06   1.1473E-09   3.2511E-10   2.6225E-09   1.9291E-01   3.2586E-03   1.1208E-01   7.9579E-17   8.9415E-17   4.0855E-17   3.9890E-26   2.6445E-41   2.8177E-41   3.6724E-33   1.2392E-20   1.0025E-35   8.0299E-36   2.3629E-36   1.2510E-19   6.6583E-27   1.1332E+11   2.2260E+11
   6.000000E-06   1.1260E+06   2.3499E+10   2.3498E+11   1.4341E+11   6.4064E-09   2.4220E+19   6.8285E+04   8.3136E+04   7.4318E-01   1.1260E+06   3.6208E-02   3.1416E-18   4.8272E-18   1.5506E-17   7.6240E-17   3.6494E-02   3.8286E+06   2.9465E-09   8.3510E-10   6.6395E-09   6.1458E-01   8.0893E-03   2.2489E-01   2.0388E-16   2.2895E-16   1.0332E-16   1.6122E-25   1.3661E-40   1.4308E-40   2.3468E-32   6.2524E-20   6.4770E-35   5.1847E-35   1.4990E-35   1.5880E-18   1.3379E-25   1.4341E+11   2.8199E+11
   7.000000E-06   1.1528E+06   2.8486E+10   2.8485E+11   1.7376E+11   7.8158E-09   2.4220E+19   8.0320E+04   9.8328E+04   7.4624E-01   1.1528E+06   7.7734E-02   8.3019E-18   1.2766E-17   4.0954E-17   1.9712E-16   7.8233E-02   6.7633E+06   6.3881E-09   1.8110E-09   1.4169E-08   1.5813E+00   1.7197E-02   3.9689E-01   4.4139E-16   4.9534E-16   2.2047E-16   5.0546E-25   5.2553E-40   5.4098E-40   1.0692E-31   2.3423E-19   2.9848E-34   2.3877E-34   6.7827E-35   1.2630E-17   1.5495E-24   1.7377E+11   3.4183E+11
   8.000000E-06   1.1798E+06   3.3499E+10   3.3498E+11   2.0431E+11   9.2505E-09   2.4220E+19   9.2690E+04   1.1389E+05   7.4911E-01   1.1798E+06   1.4831E-01   1.8961E-17   2.9182E-17   9.3479E-17   4.3980E-16   1.4902E-01   1.0931E+07   1.2318E-08   3.4932E-09   2.6859E-08   3.5112E+00   3.2741E-02   6.4110E-01   8.5034E-16   9.5365E-16   4.1817E-16   1.3299E-24   1.6491E-39   1.6668E-39   3.8560E-31   7.1438E-19   1.0885E-33   8.7015E-34   2.4267E-34   7.2736E-17   1.2256E-23   2.0433E+11   4.0199E+11
   9.000000E-06   1.2068E+06   3.8532E+10   3.8530E+11   2.3501E+11   1.0705E-08   2.4220E+19   1.0540E+05   1.2982E+05   7.5148E-01   1.2068E+06   2.5952E-01   3.8906E-17   5.9930E-17   1.9168E-16   8.8073E-16   2.6032E-01   1.6554E+07   2.1798E-08   6.1831E-09   4.6682E-08   6.9996E+00   5.7413E-02   9.7073E-01   1.5039E-15   1.6854E-15   7.2756E-16   3.0781E-24   4.4573E-39   4.4209E-39   1.1722E-30   1.8743E-18   3.3435E-33   2.6710E-33   7.3093E-34   3.3073E-16   7.3326E-23   2.3504E+11   4.6238E+11
