f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,err,index
1.5702e-06,9.0885e-16,381830.0,0.00040458,0.011691,0.00092209,0.036707,0.87219,0.77141,7.6561,0.0047236,0.00073528,0.014673,0.0038013,0.0098675,0.0040357,2233400000.0,0.010874,123390000000000.0,0.00010769,0.17496,0.04475,0.0047353,0.0099563,0.003027,0.0372,0.0047195,0.014808,0.018243,0.0070354,0.0046848,10.441,0.01016,3.9466e-14,5.1643,1130000000.0,0.5279,2.045240056335274,initialization
1.7566e-06,7.5356e-16,380710.0,0.00036566,0.011585,0.00077527,0.040783,0.70864,0.80413,6.8173,0.0047447,0.00092194,0.016051,0.0033779,0.0094537,0.0037182,1806800000.0,0.0088106,136330000000000.0,0.00011468,0.14076,0.038269,0.0039138,0.011905,0.0024413,0.04367,0.0059193,0.018147,0.014686,0.0073484,0.0045712,11.864,0.008325,4.1707e-14,5.8323,963500000.0,0.51486,9.904679790520012,LH pre-train 0
1.904e-06,7.8192e-16,346880.0,0.00048482,0.010545,0.0010418,0.036737,0.82745,0.83906,9.013,0.0038598,0.00076866,0.013646,0.0034534,0.010976,0.0032267,2023100000.0,0.012157,140790000000000.0,8.9561e-05,0.20874,0.04215,0.0050584,0.010678,0.0027707,0.037471,0.00568,0.015161,0.021784,0.0085152,0.0044226,13.103,0.010324,4.2925e-14,4.6235,1026900000.0,0.59761,6.423739159112538,LH pre-train 1
1.5979e-06,9.6499e-16,354170.0,0.00037111,0.012952,0.00079932,0.042323,0.90809,0.9635,7.8767,0.005692,0.00071949,0.01628,0.0041449,0.0080104,0.0039849,2754100000.0,0.012915,146140000000000.0,0.0001186,0.20886,0.04353,0.0050781,0.012188,0.002597,0.043778,0.0054848,0.015457,0.022611,0.0075676,0.0042837,11.692,0.0097469,3.9369e-14,6.0208,899460000.0,0.61884,5.847102905048889,LH pre-train 2
1.4453e-06,8.6932e-16,395590.0,0.00033832,0.011422,0.0010064,0.03492,0.71266,0.9062,7.482,0.0047045,0.00059922,0.014229,0.0031507,0.008199,0.004566,1892500000.0,0.010861,125070000000000.0,0.00011346,0.18488,0.04356,0.0040339,0.011753,0.0033377,0.037812,0.0052641,0.015417,0.015361,0.0060132,0.0041229,12.883,0.011455,4.3865e-14,5.632,1271200000.0,0.60378,1.791607720920921,LH pre-train 3
1.5997e-06,9.772e-16,311630.0,0.00044004,0.01151,0.0010098,0.045067,1.0976,0.62308,6.6716,0.0047076,0.00066311,0.017549,0.0043349,0.0087898,0.0041017,1838200000.0,0.0095127,131720000000000.0,0.0001175,0.14346,0.047982,0.0058398,0.0086497,0.0028002,0.039492,0.0056705,0.012384,0.016117,0.0087881,0.005278,12.006,0.012718,4.7006e-14,4.5326,992380000.0,0.56734,20.88347932106772,LH pre-train 4
1.5403e-06,8.9431e-16,368720.0,0.0004695,0.010321,0.0010258,0.042996,0.94245,0.93606,9.0737,0.0054896,0.00082201,0.015293,0.0047758,0.010418,0.0044533,2724800000.0,0.010463,109880000000000.0,0.00011091,0.13988,0.038612,0.0054445,0.011996,0.0030457,0.046627,0.0045809,0.014169,0.019973,0.0062783,0.004511,9.7787,0.010052,4.7682e-14,6.3375,1360100000.0,0.47975,3.6052094297660826,LH pre-train 5
1.2527e-06,9.3359e-16,448360.0,0.00035252,0.011956,0.00087694,0.030039,0.91331,0.63654,7.4114,0.0047267,0.00086951,0.012157,0.0030394,0.011504,0.0049018,1979300000.0,0.012046,119080000000000.0,0.00011446,0.16073,0.04937,0.0045563,0.0079182,0.0031423,0.035199,0.0040808,0.012555,0.020155,0.0062394,0.0049449,12.929,0.012717,3.9571e-14,4.9775,1267000000.0,0.58144,2.2827971789690324,LH pre-train 6
1.4661e-06,8.8199e-16,309080.0,0.000461,0.011762,0.0010604,0.039843,0.87915,0.72472,7.1882,0.005497,0.0006384,0.01237,0.0031822,0.011392,0.0032217,2035100000.0,0.01208,152710000000000.0,0.00011447,0.1932,0.042885,0.0044925,0.009373,0.0025021,0.038901,0.0045235,0.014361,0.016822,0.0065742,0.0047205,9.0132,0.0081855,4.6542e-14,4.1563,999910000.0,0.43119,8.106708809038947,LH pre-train 7
1.77e-06,9.3468e-16,315710.0,0.00049427,0.013662,0.00074032,0.042189,0.829,0.90051,9.1761,0.005279,0.0006268,0.018353,0.0043191,0.0088708,0.003324,2508600000.0,0.011595,125830000000000.0,0.00012217,0.20169,0.036633,0.0042715,0.010799,0.0025148,0.043955,0.0050533,0.01485,0.02022,0.0059215,0.0040337,9.2401,0.008959,3.2096e-14,4.7176,1251300000.0,0.42817,6.852485757329348,LH pre-train 8
1.9033e-06,8.8582e-16,476750.0,0.00035364,0.012619,0.00097052,0.032451,0.87214,0.82229,6.097,0.0046551,0.00079275,0.016677,0.0032541,0.012159,0.0040456,1782100000.0,0.013639,100920000000000.0,9.0299e-05,0.17808,0.055384,0.0046218,0.0095864,0.0027987,0.036061,0.0058887,0.013999,0.017367,0.008102,0.005537,9.5068,0.010702,3.5923e-14,4.4846,913050000.0,0.51306,2.4066287647404607,LH pre-train 9
1.2906e-06,8.0151e-16,318820.0,0.00041778,0.010358,0.00076715,0.037592,0.89082,0.82053,7.7661,0.0050395,0.00060525,0.012775,0.0036203,0.010826,0.0038883,2267600000.0,0.011647,154330000000000.0,9.8922e-05,0.14902,0.053863,0.0042011,0.0081794,0.0026563,0.04254,0.0045234,0.018512,0.019367,0.0058256,0.0041966,9.6024,0.0094983,4.0089e-14,4.6009,954120000.0,0.53057,4.400338559538575,LH pre-train 10
1.3228e-06,9.3484e-16,327620.0,0.00047578,0.014343,0.00073714,0.035224,0.98873,0.90088,7.4708,0.0051732,0.00063824,0.014173,0.0044628,0.011158,0.0035445,2088100000.0,0.0088232,101750000000000.0,0.00010242,0.15808,0.050538,0.0042436,0.011879,0.0029779,0.042782,0.0044655,0.012872,0.021444,0.0072981,0.0054188,10.204,0.011275,4.0065e-14,4.8078,1320300000.0,0.64129,12.634119671001551,LH pre-train 11
1.8436e-06,9.6131e-16,350800.0,0.00040767,0.0096395,0.0010436,0.03236,0.78735,0.66285,8.6449,0.0041428,0.00083447,0.016629,0.004079,0.0082581,0.0046689,2172600000.0,0.011806,119140000000000.0,0.00010052,0.14292,0.037516,0.0037866,0.011244,0.0028956,0.032218,0.0048899,0.012925,0.022394,0.0061528,0.0054231,12.85,0.010478,4.5719e-14,5.2487,902970000.0,0.42134,5.654711543452017,LH pre-train 12
1.3498e-06,9.0932e-16,315780.0,0.00039958,0.01015,0.00081434,0.032327,1.0661,0.72681,6.8204,0.0044157,0.00070088,0.012249,0.003069,0.010959,0.0037487,2135300000.0,0.011232,115800000000000.0,8.8065e-05,0.17519,0.053949,0.0041676,0.0083547,0.0024963,0.038964,0.0058334,0.011763,0.019524,0.0058857,0.0050015,9.7946,0.0081787,4.879e-14,5.9359,1193400000.0,0.61639,3.549278890333764,LH pre-train 13
1.687e-06,1.1404e-15,456820.0,0.00036868,0.0096188,0.00085442,0.033001,0.99409,0.7161,7.1217,0.0046969,0.00060269,0.013953,0.0039307,0.012301,0.0038697,1955800000.0,0.013119,114550000000000.0,0.0001171,0.16315,0.0452,0.0043854,0.012233,0.0024122,0.032542,0.0039124,0.013042,0.016593,0.008124,0.0052897,10.748,0.012362,3.1622e-14,5.7758,1005500000.0,0.46756,4.159007117232286,LH pre-train 14
1.809e-06,8.7025e-16,467630.0,0.00046726,0.0093207,0.00092017,0.031569,0.88739,0.7414,6.8672,0.0058575,0.00086098,0.012278,0.0031742,0.010213,0.0035129,2639600000.0,0.010179,115250000000000.0,0.0001259,0.14108,0.038054,0.0046922,0.010346,0.002895,0.045289,0.0042151,0.013885,0.019919,0.0080539,0.0042836,10.04,0.010469,4.0064e-14,5.1667,1350300000.0,0.64589,6.196321906694126,LH pre-train 15
1.526e-06,8.1209e-16,304340.0,0.00041589,0.012405,0.0010766,0.031233,0.96621,0.96604,7.0192,0.0052055,0.00082058,0.016556,0.0031779,0.010388,0.0050255,2252000000.0,0.010739,111020000000000.0,0.00010141,0.20754,0.037211,0.0057149,0.011182,0.0034834,0.031516,0.0057865,0.014849,0.019021,0.0075942,0.0041002,9.6213,0.01025,4.766e-14,5.5699,1409800000.0,0.54547,6.602333194720691,LH pre-train 16
1.3762e-06,8.2374e-16,453970.0,0.00033599,0.010393,0.00099926,0.037463,0.95056,0.83127,6.725,0.0049816,0.00069516,0.018261,0.0034821,0.010738,0.0033364,2203000000.0,0.0094201,102000000000000.0,0.00012853,0.15182,0.043441,0.003942,0.010027,0.0036957,0.04612,0.0047385,0.016118,0.01508,0.0080685,0.0045421,10.254,0.0081782,3.5175e-14,4.5,954850000.0,0.53883,6.504938698558576,LH pre-train 17
1.7848e-06,8.8425e-16,402570.0,0.00047404,0.010176,0.0009371,0.032262,1.0869,0.88896,8.1865,0.0045125,0.00065282,0.01842,0.0041127,0.011531,0.00398,1876600000.0,0.010379,154310000000000.0,0.00010925,0.17297,0.052016,0.0054182,0.0090187,0.0024523,0.044992,0.0044184,0.017823,0.020555,0.0076777,0.00513,11.501,0.011043,4.5059e-14,5.1182,1261000000.0,0.43603,8.254345897147356,LH pre-train 18
1.4944e-06,8.8311e-16,405580.0,0.00033427,0.0097804,0.0011106,0.036527,0.98029,0.8579,7.1426,0.0051262,0.00075833,0.013603,0.0046339,0.011283,0.0041856,1854000000.0,0.012267,119080000000000.0,0.00013125,0.20151,0.054415,0.0040957,0.010163,0.0035739,0.029989,0.0041411,0.013184,0.022147,0.0077477,0.0037513,12.308,0.012339,3.6846e-14,5.8947,902500000.0,0.45855,4.135177734561852,LH pre-train 19
1.550857972232076e-06,1.1044265897508177e-15,361837.2638941969,0.0003215277432688,0.0121002469355103,0.0008771656768892,0.0295598251035975,1.078625713363356,0.702811115986444,8.59647831352632,0.0040482346151146,0.000811165181689,0.0136631410502013,0.004175725572801,0.0111573454038088,0.0050381669694936,2364722684.749956,0.0131087848624629,100735828963565.66,9.038379081137288e-05,0.1650330628775469,0.04683582958851,0.0041387497580961,0.009050345202345,0.0035039314983776,0.0336863710659642,0.004702338511929,0.0156124539970088,0.0149619064971205,0.0070494121253883,0.0039413789650143,9.679110456353827,0.009596089969373,4.4856573245586457e-14,6.13552924817792,921635621.4390268,0.5384027468890404,5.177699579151032,Bayesian_Opt 0
1.728715167291945e-06,9.098656597367892e-16,357573.33832847513,0.0004641784030302,0.0098154776987649,0.0010907353873448,0.0360465031488018,0.7934974445864732,0.9400091443894584,8.53698002114179,0.003974495116564,0.0006752698318291,0.0147718668900914,0.0034472970542846,0.0079078352359071,0.0043929690088571,2687148083.750941,0.0088833008574856,110173804710309.34,9.685380506021968e-05,0.1553900469234539,0.039925601064824,0.0043988478745321,0.0108994896081128,0.0030153965241976,0.034582524480455,0.0039866784418134,0.0123292062327849,0.0157134357944074,0.0062963733585441,0.0049381718457451,8.583494682828643,0.0090497001263051,3.814263684621777e-14,4.240825238525819,991305270.7188128,0.5193939126351617,3.9753577292708457,Bayesian_Opt 1
