f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,err,index
1.6016e-06,9.2091e-16,352670.0,0.00031181,0.010272,0.00095679,0.037776,0.8386,1.3241,8.6483,0.0047873,0.0015123,0.014086,0.0039198,0.009533,0.0046263,2046300000.0,0.013326,122030000000000.0,0.00011271,0.21945,0.048594,0.0041046,0.010421,0.0029003,0.014056,0.0045297,0.013485,0.012995,0.008419,0.0044724,10.386,0.0092714,4.3193e-14,5.1904,1197200000.0,0.64912,582.331243421206,initialization
2.0076e-06,7.5378e-16,290910.0,0.00030227,0.012803,0.0010482,0.046435,0.97835,1.6309,8.5556,0.0054359,0.0015778,0.015399,0.0038982,0.011355,0.0046317,2232400000.0,0.0111,148100000000000.0,0.00010768,0.21282,0.061054,0.0032654,0.0089786,0.0024952,0.014643,0.0045696,0.012544,0.012958,0.0077797,0.0055758,8.5146,0.011124,3.4935e-14,5.372,1448900000.0,0.68696,908.0754944096528,LH pre-train 0
1.5679e-06,1.1333e-15,347940.0,0.0003468,0.012319,0.00082693,0.040617,0.68804,1.3856,7.0961,0.004179,0.0017086,0.013429,0.0042605,0.010294,0.004656,2246400000.0,0.013786,123310000000000.0,0.00012636,0.26726,0.050505,0.004578,0.0097043,0.0025343,0.013176,0.0056122,0.012554,0.011168,0.0083586,0.004086,11.394,0.0089477,4.6064e-14,4.6251,1022300000.0,0.65481,313.77443230967924,LH pre-train 1
1.7382e-06,9.1228e-16,401160.0,0.00038686,0.012915,0.0010161,0.04363,0.70765,1.5205,8.5571,0.0044167,0.0014018,0.01191,0.0046642,0.0079326,0.0054815,2067700000.0,0.013755,137730000000000.0,0.00010416,0.22187,0.041537,0.0045934,0.012793,0.0026523,0.013635,0.004564,0.011158,0.012853,0.008554,0.0046737,10.334,0.0084329,4.0977e-14,4.5566,1123500000.0,0.79433,497.7782079991679,LH pre-train 2
1.8609e-06,1.1369e-15,335730.0,0.00029151,0.010054,0.00085477,0.046595,0.9157,1.5338,9.3449,0.0058784,0.0018334,0.012727,0.0032295,0.0077808,0.0046536,2144700000.0,0.012662,144940000000000.0,9.0742e-05,0.198,0.048866,0.0038824,0.011509,0.0030891,0.011906,0.0042241,0.016967,0.01548,0.0067473,0.005381,13.017,0.0085595,3.7163e-14,5.1248,976050000.0,0.79849,1107.8442866320163,LH pre-train 3
1.9886e-06,8.1126e-16,431660.0,0.00032606,0.011827,0.00079031,0.041487,1.0106,1.4043,10.269,0.0058632,0.0018412,0.012299,0.0032808,0.0092565,0.0036941,2001900000.0,0.011313,119840000000000.0,9.9327e-05,0.27552,0.048127,0.0033224,0.009581,0.0033648,0.015205,0.0042524,0.011806,0.014551,0.0069469,0.0047324,12.715,0.0085595,4.2564e-14,4.5013,1321200000.0,0.54075,1164.3430241121955,LH pre-train 4
1.8962e-06,9.8072e-16,351850.0,0.00032034,0.0086334,0.00085093,0.04176,0.79536,1.4922,10.107,0.0041121,0.001266,0.012732,0.0043057,0.007993,0.0049519,2051900000.0,0.010698,120200000000000.0,0.00012742,0.24703,0.060091,0.0035115,0.011748,0.0031682,0.013591,0.0046333,0.012274,0.011694,0.0076461,0.0045865,12.048,0.010819,4.8859e-14,6.1183,1356100000.0,0.76048,531.0418732801176,LH pre-train 5
1.2839e-06,8.3398e-16,361570.0,0.00032208,0.011792,0.00094136,0.037396,0.71376,1.3867,9.1845,0.0058426,0.0014212,0.012385,0.0036048,0.011294,0.0044438,2424500000.0,0.012085,99982000000000.0,0.00013376,0.21927,0.055904,0.0046085,0.0099976,0.0035631,0.017627,0.0044525,0.016387,0.013223,0.010028,0.0038181,12.679,0.011549,3.8367e-14,5.006,1060600000.0,0.56356,421.4498540524869,LH pre-train 6
1.3362e-06,9.3172e-16,332840.0,0.00036501,0.010927,0.0009846,0.034942,0.83531,1.5246,8.5954,0.0051072,0.0013197,0.011529,0.0031265,0.0078658,0.005536,2034700000.0,0.016105,112930000000000.0,0.00011006,0.19396,0.039062,0.0035591,0.010293,0.0025999,0.01429,0.0045529,0.011292,0.01048,0.0072489,0.0049453,9.5243,0.0086346,3.4408e-14,5.0393,1159700000.0,0.56863,793.5088138884663,LH pre-train 7
1.9008e-06,1.0553e-15,307540.0,0.00025543,0.0083073,0.00089001,0.040478,0.68019,1.1605,9.8563,0.0041948,0.0017344,0.014093,0.0032368,0.0093045,0.0041221,1969300000.0,0.011238,144420000000000.0,8.9579e-05,0.23942,0.047321,0.0036744,0.012176,0.0029076,0.015137,0.0048847,0.011428,0.011235,0.0070291,0.0037996,13.052,0.0089694,3.9294e-14,5.7822,995390000.0,0.8154,284.45150689856905,LH pre-train 8
1.671e-06,7.881e-16,299130.0,0.00025927,0.010553,0.00085245,0.040399,0.79059,1.3436,10.081,0.0043252,0.0014899,0.012342,0.0037433,0.011101,0.0056672,2158400000.0,0.012313,135570000000000.0,0.00010622,0.25296,0.040894,0.0043131,0.0083548,0.0033254,0.016063,0.0038403,0.012927,0.01518,0.0087738,0.0043275,9.4724,0.0099581,3.978e-14,4.2444,1324600000.0,0.71238,449.0964527398789,LH pre-train 9
1.3785e-06,7.6561e-16,319420.0,0.00025556,0.010883,0.00089408,0.03572,0.83043,1.1252,10.661,0.0047865,0.0018009,0.011785,0.0032107,0.0087704,0.0048305,1656900000.0,0.013935,143170000000000.0,0.00010795,0.18623,0.042419,0.0050244,0.0087574,0.0024129,0.011512,0.0042213,0.014909,0.011677,0.0098052,0.0047242,13.032,0.0083097,4.9061e-14,4.3288,1024900000.0,0.7741,635.8250507004775,LH pre-train 10
1.3798e-06,8.353e-16,393400.0,0.00031157,0.011698,0.0011694,0.03162,0.81181,1.2857,7.1224,0.0052142,0.0013255,0.012861,0.0031913,0.0077169,0.0046764,1695600000.0,0.011451,102670000000000.0,0.00010776,0.2083,0.055761,0.0050484,0.010091,0.002472,0.015579,0.0047137,0.015625,0.015311,0.0096344,0.0049912,9.1603,0.0085438,3.7944e-14,6.1382,1074000000.0,0.70552,641.0944825878623,LH pre-train 11
