f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,err,index
1.2831e-06,8.2763e-16,347260.0,0.00033816,0.010884,0.00095419,0.0012876,0.23694,1.1364,7.7563,0.0047243,0.0015127,0.014495,3.9006e-07,0.047468,0.0045913,2004600000.0,0.013331,111160000000000.0,1.2684e-05,0.089338,0.086881,0.0043682,0.010932,0.0023372,0.020721,0.0051973,0.010478,0.013146,0.0083709,0.0045424,10.82,0.0090788,3.7681e-14,5.0673,1172700000.0,2.5966,19.813204237440107,initialization
2.7335e-06,7.1881e-16,318600.0,0.00066414,0.029521,0.00074424,0.0010782,0.37233,0.86675,3.6053,0.0043623,0.0011738,0.0080533,2.4026e-07,0.036261,0.006438,2478500000.0,0.014889,59055000000000.0,5.6867e-06,0.037284,0.032662,0.0095794,0.009745,0.0066945,0.018215,0.010309,0.028552,0.0043648,0.012187,0.0021349,11.583,0.023483,4.5728e-14,2.5134,3226800000.0,2.4565,42.772607333990535,LH pre-train 0
2.8111e-06,1.2197e-15,799590.0,0.00031042,0.0047073,0.0016298,0.0010393,0.12038,3.4424,6.7286,0.0017334,0.00056385,0.018539,2.2111e-07,0.031816,0.0025038,2359700000.0,0.014284,80684000000000.0,1.0097e-05,0.053835,0.062516,0.0062005,0.010049,0.0030582,0.026846,0.0022963,0.0038929,0.021055,0.020093,0.0032778,5.3425,0.011686,2.4332e-14,5.3492,2669300000.0,6.8515,31.114421738741665,LH pre-train 1
1.1273e-06,1.6131e-15,176860.0,0.00062779,0.0088988,0.00085419,0.0010517,0.47189,0.43561,5.3279,0.011302,0.0007543,0.028635,1.8327e-07,0.032557,0.004694,1454900000.0,0.020002,319770000000000.0,1.6102e-05,0.045415,0.034491,0.0096797,0.0040314,0.007214,0.01303,0.0064095,0.010241,0.009549,0.011244,0.010844,12.927,0.0034325,8.2263e-14,3.4836,1138500000.0,1.7857,161.97596404404516,LH pre-train 2
7.4383e-07,6.1507e-16,324800.0,0.00013105,0.03271,0.002866,0.0020123,0.23307,0.67521,7.3733,0.0034009,0.0012207,0.0083742,1.3684e-07,0.016748,0.0025499,1269200000.0,0.014298,42780000000000.0,2.9365e-05,0.074382,0.11817,0.0097969,0.0048317,0.001647,0.017174,0.0096546,0.017805,0.0080476,0.014811,0.0037992,3.9198,0.0054933,9.303e-14,4.733,1097900000.0,2.4866,21.91471335068618,LH pre-train 3
6.947e-07,9.1964e-16,350150.0,0.00031429,0.0063405,0.00032647,0.00078419,0.091187,0.57178,13.905,0.0032663,0.00080947,0.0087602,2.3643e-07,0.12242,0.0024869,2196200000.0,0.016124,170440000000000.0,2.3163e-05,0.20635,0.033626,0.006166,0.026838,0.0066288,0.0084912,0.0042001,0.0076409,0.006185,0.0046205,0.0078991,5.2429,0.022359,1.1845e-13,6.3804,1777700000.0,5.7352,32.21585862547103,LH pre-train 4
3.1187e-06,2.1243e-15,952010.0,0.00014987,0.029967,0.0005396,0.0031325,0.74857,0.57652,10.489,0.0078959,0.00057174,0.022355,1.3156e-07,0.020891,0.0024057,5401200000.0,0.015535,94577000000000.0,2.707e-05,0.18052,0.19916,0.0020278,0.010538,0.0012236,0.013029,0.0034244,0.016307,0.010589,0.025345,0.0068558,7.4487,0.006401,4.561e-14,9.8521,435270000.0,1.1301,87.63455256867266,LH pre-train 5
3.7851e-06,1.8353e-15,436690.0,0.0004585,0.01532,0.00060872,0.001927,0.66354,0.76518,4.4225,0.011527,0.00048909,0.018887,2.5372e-07,0.015034,0.0072629,4918700000.0,0.0055409,97185000000000.0,1.5522e-05,0.10443,0.066447,0.0047478,0.0085935,0.0014236,0.0087122,0.0041617,0.0071837,0.0047128,0.003466,0.0018171,27.816,0.015144,5.2889e-14,11.978,1647800000.0,2.4362,532.1893073585823,LH pre-train 6
1.2377e-06,1.6286e-15,309100.0,0.00026048,0.0082686,0.0010871,0.0021083,0.14822,1.6355,22.756,0.0015537,0.0016613,0.0052289,4.6128e-07,0.05747,0.011381,2324000000.0,0.039839,42759000000000.0,7.6859e-06,0.041884,0.037659,0.0023863,0.0044034,0.00084217,0.043367,0.0043156,0.006378,0.0052623,0.0039093,0.0023649,32.753,0.0036864,2.5653e-14,4.1214,389880000.0,1.2646,25.127583114496343,LH pre-train 7
9.525e-07,1.3645e-15,697840.0,0.00024356,0.012167,0.00049771,0.0006573,0.17768,0.80412,17.517,0.013331,0.0037038,0.017545,4.7776e-07,0.12504,0.010708,5011200000.0,0.016513,98084000000000.0,2.5666e-05,0.28163,0.033678,0.0037986,0.020412,0.0027578,0.014994,0.0024351,0.026815,0.0098906,0.0096247,0.0046472,21.726,0.0038799,1.1449e-13,5.7591,1174800000.0,4.6161,23.442071445246537,LH pre-train 8
