       Time_s           01           02           03           04           05
   0.0000E+00   1.7689E+02   3.0315E+02   0.0000E+00   0.0000E+00   0.0000E+00
   1.0000E-06   1.7689E+02   3.0315E+02   4.7456E+04   2.0217E-06   8.6620E-02
   2.0000E-06   1.2488E+03   3.0315E+02   9.7759E+04   1.0613E-05   3.2101E+00
   3.0000E-06   1.4482E+03   3.0315E+02   1.0689E+05   1.1781E-05   4.1323E+00
   4.0000E-06   1.4802E+03   3.0315E+02   1.0836E+05   1.1964E-05   4.2892E+00
   5.0000E-06   1.4849E+03   3.0315E+02   1.0857E+05   1.1998E-05   4.3152E+00
   6.0000E-06   1.4849E+03   3.0315E+02   1.0857E+05   1.2006E-05   4.3180E+00
   7.0000E-06   1.4849E+03   3.0315E+02   1.0857E+05   1.2014E-05   4.3208E+00
   8.0000E-06   1.4849E+03   3.0315E+02   1.0857E+05   1.2022E-05   4.3237E+00
   9.0000E-06   1.4849E+03   3.0315E+02   1.0857E+05   1.2030E-05   4.3265E+00
   1.0000E-05   1.4833E+03   3.0315E+02   1.0850E+05   1.2029E-05   4.3214E+00
   1.1000E-05   1.4833E+03   3.0315E+02   1.0850E+05   1.2037E-05   4.3242E+00
   1.2000E-05   1.4833E+03   3.0315E+02   1.0850E+05   1.2044E-05   4.3270E+00
   1.3000E-05   1.4816E+03   3.0315E+02   1.0842E+05   1.2043E-05   4.3214E+00
   1.4000E-05   1.4816E+03   3.0315E+02   1.0842E+05   1.2051E-05   4.3243E+00
   1.5000E-05   1.4816E+03   3.0315E+02   1.0842E+05   1.2059E-05   4.3271E+00
   1.6000E-05   1.4798E+03   3.0315E+02   1.0834E+05   1.2057E-05   4.3215E+00
   1.7000E-05   1.4798E+03   3.0315E+02   1.0834E+05   1.2065E-05   4.3243E+00
   1.8000E-05   1.4798E+03   3.0315E+02   1.0834E+05   1.2073E-05   4.3271E+00
   1.9000E-05   1.4781E+03   3.0315E+02   1.0826E+05   1.2071E-05   4.3215E+00
   2.0000E-05   1.4781E+03   3.0315E+02   1.0826E+05   1.2079E-05   4.3243E+00
   2.1000E-05   1.4781E+03   3.0315E+02   1.0826E+05   1.2087E-05   4.3271E+00
   2.2000E-05   1.4763E+03   3.0315E+02   1.0818E+05   1.2086E-05   4.3215E+00
   2.3000E-05   1.4763E+03   3.0315E+02   1.0818E+05   1.2093E-05   4.3243E+00
   2.4000E-05   1.4763E+03   3.0315E+02   1.0818E+05   1.2101E-05   4.3271E+00
   2.5000E-05   1.4746E+03   3.0315E+02   1.0810E+05   1.2100E-05   4.3214E+00
   2.6000E-05   1.4746E+03   3.0315E+02   1.0810E+05   1.2108E-05   4.3243E+00
   2.7000E-05   1.4746E+03   3.0315E+02   1.0810E+05   1.2116E-05   4.3271E+00
   2.8000E-05   1.4729E+03   3.0315E+02   1.0802E+05   1.2114E-05   4.3214E+00
   2.9000E-05   1.4729E+03   3.0315E+02   1.0802E+05   1.2122E-05   4.3242E+00
   3.0000E-05   1.4729E+03   3.0315E+02   1.0802E+05   1.2130E-05   4.3271E+00
   3.1000E-05   1.4711E+03   3.0315E+02   1.0794E+05   1.2128E-05   4.3214E+00
   3.2000E-05   1.4711E+03   3.0315E+02   1.0794E+05   1.2136E-05   4.3242E+00
   3.3000E-05   1.4711E+03   3.0315E+02   1.0794E+05   1.2144E-05   4.3270E+00
   3.4000E-05   1.4694E+03   3.0315E+02   1.0786E+05   1.2142E-05   4.3214E+00
   3.5000E-05   1.4694E+03   3.0315E+02   1.0786E+05   1.2150E-05   4.3242E+00
   3.6000E-05   1.4694E+03   3.0315E+02   1.0786E+05   1.2158E-05   4.3270E+00
   3.7000E-05   1.4677E+03   3.0315E+02   1.0779E+05   1.2156E-05   4.3214E+00
   3.8000E-05   1.4677E+03   3.0315E+02   1.0779E+05   1.2164E-05   4.3242E+00
   3.9000E-05   1.4677E+03   3.0315E+02   1.0779E+05   1.2172E-05   4.3270E+00
   4.0000E-05   1.4660E+03   3.0315E+02   1.0771E+05   1.2170E-05   4.3214E+00
   4.1000E-05   1.4660E+03   3.0315E+02   1.0771E+05   1.2178E-05   4.3242E+00
   4.2000E-05   1.4660E+03   3.0315E+02   1.0771E+05   1.2186E-05   4.3270E+00
   4.3000E-05   1.4643E+03   3.0315E+02   1.0763E+05   1.2184E-05   4.3214E+00
   4.4000E-05   1.4643E+03   3.0315E+02   1.0763E+05   1.2192E-05   4.3241E+00
   4.5000E-05   1.4643E+03   3.0315E+02   1.0763E+05   1.2200E-05   4.3269E+00
   4.6000E-05   1.4626E+03   3.0315E+02   1.0755E+05   1.2199E-05   4.3214E+00
   4.7000E-05   1.4626E+03   3.0315E+02   1.0755E+05   1.2206E-05   4.3241E+00
   4.8000E-05   1.4626E+03   3.0315E+02   1.0755E+05   1.2214E-05   4.3269E+00
   4.9000E-05   1.4609E+03   3.0315E+02   1.0748E+05   1.2213E-05   4.3213E+00
   5.0000E-05   1.4609E+03   3.0315E+02   1.0748E+05   1.2221E-05   4.3241E+00
   5.1000E-05   1.4609E+03   3.0315E+02   1.0748E+05   1.2228E-05   4.3269E+00
   5.2000E-05   1.4592E+03   3.0315E+02   1.0740E+05   1.2227E-05   4.3213E+00
   5.3000E-05   1.4592E+03   3.0315E+02   1.0740E+05   1.2235E-05   4.3241E+00
   5.4000E-05   1.4592E+03   3.0315E+02   1.0740E+05   1.2242E-05   4.3269E+00
   5.5000E-05   1.4576E+03   3.0315E+02   1.0732E+05   1.2241E-05   4.3213E+00
   5.6000E-05   1.4576E+03   3.0315E+02   1.0732E+05   1.2249E-05   4.3241E+00
   5.7000E-05   1.4576E+03   3.0315E+02   1.0732E+05   1.2257E-05   4.3269E+00
   5.8000E-05   1.4559E+03   3.0315E+02   1.0724E+05   1.2255E-05   4.3213E+00
   5.9000E-05   1.4559E+03   3.0315E+02   1.0724E+05   1.2263E-05   4.3240E+00
   6.0000E-05   1.4559E+03   3.0315E+02   1.0724E+05   1.2270E-05   4.3268E+00
   6.1000E-05   1.4542E+03   3.0315E+02   1.0717E+05   1.2269E-05   4.3212E+00
   6.2000E-05   1.4542E+03   3.0315E+02   1.0717E+05   1.2277E-05   4.3240E+00
   6.3000E-05   1.4542E+03   3.0315E+02   1.0717E+05   1.2284E-05   4.3268E+00
   6.4000E-05   1.4526E+03   3.0315E+02   1.0709E+05   1.2283E-05   4.3212E+00
   6.5000E-05   1.4526E+03   3.0315E+02   1.0709E+05   1.2290E-05   4.3240E+00
   6.6000E-05   1.4526E+03   3.0315E+02   1.0709E+05   1.2298E-05   4.3267E+00
   6.7000E-05   1.4509E+03   3.0315E+02   1.0702E+05   1.2297E-05   4.3212E+00
   6.8000E-05   1.4509E+03   3.0315E+02   1.0702E+05   1.2304E-05   4.3240E+00
   6.9000E-05   1.4509E+03   3.0315E+02   1.0702E+05   1.2312E-05   4.3267E+00
   7.0000E-05   1.4493E+03   3.0315E+02   1.0694E+05   1.2311E-05   4.3212E+00
   7.1000E-05   1.4493E+03   3.0315E+02   1.0694E+05   1.2318E-05   4.3240E+00
   7.2000E-05   1.4493E+03   3.0315E+02   1.0694E+05   1.2326E-05   4.3267E+00
   7.3000E-05   1.4476E+03   3.0315E+02   1.0686E+05   1.2324E-05   4.3212E+00
   7.4000E-05   1.4476E+03   3.0315E+02   1.0686E+05   1.2332E-05   4.3240E+00
   7.5000E-05   1.4476E+03   3.0315E+02   1.0686E+05   1.2340E-05   4.3267E+00
   7.6000E-05   1.4460E+03   3.0315E+02   1.0679E+05   1.2338E-05   4.3212E+00
   7.7000E-05   1.4460E+03   3.0315E+02   1.0679E+05   1.2346E-05   4.3240E+00
   7.8000E-05   1.4460E+03   3.0315E+02   1.0679E+05   1.2354E-05   4.3267E+00
   7.9000E-05   1.4444E+03   3.0315E+02   1.0671E+05   1.2352E-05   4.3212E+00
   8.0000E-05   1.4444E+03   3.0315E+02   1.0671E+05   1.2360E-05   4.3240E+00
   8.1000E-05   1.4444E+03   3.0315E+02   1.0671E+05   1.2368E-05   4.3267E+00
   8.2000E-05   1.4427E+03   3.0315E+02   1.0664E+05   1.2366E-05   4.3212E+00
   8.3000E-05   1.4427E+03   3.0315E+02   1.0664E+05   1.2374E-05   4.3240E+00
   8.4000E-05   1.4427E+03   3.0315E+02   1.0664E+05   1.2382E-05   4.3267E+00
   8.5000E-05   1.4411E+03   3.0315E+02   1.0656E+05   1.2380E-05   4.3212E+00
   8.6000E-05   1.4411E+03   3.0315E+02   1.0656E+05   1.2388E-05   4.3239E+00
   8.7000E-05   1.4411E+03   3.0315E+02   1.0656E+05   1.2396E-05   4.3267E+00
   8.8000E-05   1.4395E+03   3.0315E+02   1.0649E+05   1.2394E-05   4.3212E+00
   8.9000E-05   1.4395E+03   3.0315E+02   1.0649E+05   1.2402E-05   4.3239E+00
   9.0000E-05   1.4395E+03   3.0315E+02   1.0649E+05   1.2410E-05   4.3266E+00
   9.1000E-05   1.4379E+03   3.0315E+02   1.0642E+05   1.2408E-05   4.3212E+00
   9.2000E-05   1.4379E+03   3.0315E+02   1.0642E+05   1.2416E-05   4.3239E+00
   9.3000E-05   1.4379E+03   3.0315E+02   1.0642E+05   1.2424E-05   4.3266E+00
   9.4000E-05   1.4363E+03   3.0315E+02   1.0634E+05   1.2422E-05   4.3212E+00
   9.5000E-05   1.4363E+03   3.0315E+02   1.0634E+05   1.2430E-05   4.3239E+00
   9.6000E-05   1.4363E+03   3.0315E+02   1.0634E+05   1.2438E-05   4.3266E+00
   9.7000E-05   1.4346E+03   3.0315E+02   1.0627E+05   1.2436E-05   4.3212E+00
   9.8000E-05   1.4346E+03   3.0315E+02   1.0627E+05   1.2444E-05   4.3239E+00
   9.9000E-05   1.4346E+03   3.0315E+02   1.0627E+05   1.2452E-05   4.3266E+00
