         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38
   0.000000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   2.4220E+19   0.0000E+00   0.0000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-06   1.0000E+06   6.2685E+08   5.2659E+08   2.4934E+09   5.4742E-15   2.4220E+19   3.6790E+08   3.7257E+08   6.8007E-05   1.0000E+06   4.0638E-06   2.1647E-22   3.5540E-22   9.5281E-22   7.4343E-25   2.4005E-07   1.5045E+04   1.9806E-12   5.7809E-13   5.8746E-15   1.7504E-08   1.4022E-02   6.1250E+07   3.1182E-08   3.2709E-08   7.0161E-12   2.5629E-20   1.2610E-35   4.4130E-39   4.2246E-29   3.3458E-13   7.0092E-28   5.3174E-28   1.3727E-32   7.3117E-26   1.6130E-37   2.6149E+09   1.7803E+09
   2.000000E-06   1.0005E+06   9.8868E+09   8.3032E+09   2.0883E+10   5.3701E-13   2.4220E+19   6.9342E+08   7.7351E+08   2.3009E-03   1.0005E+06   3.5967E-03   1.2076E-19   1.8719E-19   5.9184E-19   3.5154E-20   2.9693E-04   2.4909E+06   3.1953E-10   9.0855E-11   2.0767E-11   4.3376E-05   1.9167E+00   6.4151E+09   4.2029E-06   4.6818E-06   1.5897E-08   1.4589E-15   6.8384E-31   4.8681E-33   3.5907E-23   8.4983E-09   2.0544E-23   1.6341E-23   9.9223E-27   3.4287E-20   1.3709E-30   3.3717E+10   2.8079E+10
   3.000000E-06   1.0012E+06   2.0901E+10   1.7545E+10   2.5177E+10   7.7360E-13   2.4220E+19   1.0071E+09   1.1723E+09   2.8339E-03   1.0011E+06   4.1205E-02   2.4738E-18   3.7977E-18   1.2217E-17   9.5105E-19   3.4679E-03   1.2932E+07   3.2153E-09   9.1127E-10   2.5716E-10   9.0862E-04   1.4621E+01   2.2554E+10   3.1203E-05   3.5030E-05   1.4158E-07   1.5608E-13   1.4052E-28   1.2392E-30   1.5587E-20   4.3284E-07   2.0311E-21   1.6277E-21   1.2199E-24   7.2396E-18   1.1772E-27   7.0309E+10   5.9360E+10
   4.000000E-06   1.0018E+06   3.2319E+10   2.7118E+10   2.5765E+10   8.1283E-13   2.4220E+19   1.3183E+09   1.5708E+09   2.9215E-03   1.0018E+06   1.6177E-01   1.4692E-17   2.2513E-17   7.2651E-17   5.9275E-18   1.3668E-02   3.2209E+07   1.2285E-08   3.4792E-09   1.0256E-09   5.3406E-03   4.3614E+01   4.1170E+10   9.2141E-05   1.0363E-04   4.3534E-07   2.2511E-12   3.0871E-27   2.8085E-29   5.2811E-19   4.0277E-06   2.8936E-20   2.3217E-20   1.7954E-23   1.5979E-16   6.1334E-26   1.0817E+11   9.1787E+10
   5.000000E-06   1.0025E+06   4.3800E+10   3.6735E+10   2.5848E+10   8.1909E-13   2.4220E+19   1.6293E+09   1.9695E+09   2.9362E-03   1.0024E+06   4.1320E-01   5.0887E-17   7.7941E-17   2.5172E-16   2.0773E-17   3.4947E-02   6.0011E+07   3.1132E-08   8.8150E-09   2.6314E-09   1.8264E-02   9.0122E+01   6.0132E+10   1.8919E-04   2.1291E-04   9.0562E-07   1.4293E-11   2.6557E-26   2.4295E-28   6.1364E-18   1.8799E-05   1.8328E-19   1.4709E-19   1.1444E-22   1.3704E-15   9.6387E-25   1.4623E+11   1.2439E+11
   6.000000E-06   1.0031E+06   5.5290E+10   4.6352E+10   2.5858E+10   8.1995E-13   2.4220E+19   1.9406E+09   2.3684E+09   2.9382E-03   1.0030E+06   8.4221E-01   1.3145E-16   2.0131E-16   6.5030E-16   5.3823E-17   7.1254E-02   9.6232E+07   6.3288E-08   1.7919E-08   5.3715E-09   4.6712E-02   1.5453E+02   7.9143E+10   3.2271E-04   3.6327E-04   1.5528E-06   5.8629E-11   1.3783E-25   1.2617E-27   4.0108E-17   6.0894E-05   7.5153E-19   6.0315E-19   4.6970E-22   7.0847E-15   7.9481E-24   1.8434E+11   1.5703E+11
   7.000000E-06   1.0038E+06   6.6788E+10   5.5966E+10   2.5864E+10   8.2068E-13   2.4220E+19   2.2520E+09   2.7675E+09   2.9401E-03   1.0036E+06   1.4956E+00   2.8297E-16   4.3333E-16   1.3999E-15   1.1598E-16   1.2655E-01   1.4085E+08   1.1226E-07   3.1784E-08   9.5449E-09   9.9814E-02   2.3712E+02   9.8164E+10   4.9282E-04   5.5481E-04   2.3772E-06   1.8357E-10   5.2236E-25   4.7822E-27   1.8334E-16   1.5749E-04   2.3529E-18   1.8884E-18   1.4709E-21   2.6763E-14   4.3877E-23   2.2247E+11   1.8968E+11
   8.000000E-06   1.0045E+06   7.8293E+10   6.5579E+10   2.5870E+10   8.2140E-13   2.4220E+19   2.5636E+09   3.1670E+09   2.9420E-03   1.0041E+06   2.4203E+00   5.3824E-16   8.2425E-16   2.6628E-15   2.2069E-16   2.0478E-01   1.9386E+08   1.8157E-07   5.1405E-08   1.5451E-08   1.8882E-01   3.3816E+02   1.1719E+11   6.9956E-04   7.8762E-04   3.3793E-06   4.7864E-10   1.5991E-24   1.4640E-26   6.5682E-16   3.4971E-04   6.1348E-18   4.9236E-18   3.8352E-21   8.1701E-14   1.8404E-22   2.6064E+11   2.2236E+11
   9.000000E-06   1.0051E+06   8.9807E+10   7.5189E+10   2.5876E+10   8.2212E-13   2.4220E+19   2.8754E+09   3.5667E+09   2.9440E-03   1.0047E+06   3.6633E+00   9.3637E-16   1.4339E-15   4.6324E-15   3.8401E-16   3.0993E-01   2.5527E+08   2.7473E-07   7.7780E-08   2.3390E-08   3.2708E-01   4.5791E+02   1.3623E+11   9.4301E-04   1.0618E-03   4.5592E-06   1.0932E-09   4.1936E-24   3.8394E-26   1.9726E-15   6.9548E-04   1.4011E-17   1.1245E-17   8.7595E-21   2.1375E-13   6.3300E-22   2.9885E+11   2.5506E+11
