,Time [s],bolsig:CH4->CH4(V24),bolsig:CH4->CH4(V13),bolsig:CH4(V24)->CH4,bolsig:CH4(V13)->CH4,bolsig:C2H6->C2H6(V24),bolsig:C2H6->C2H6(V13),bolsig:C2H6(V24)->C2H6,bolsig:C2H6(V13)->C2H6,bolsig:C2H4->C2H4(V2),bolsig:C2H4->C2H4(V1),bolsig:C2H4(V2)->C2H4,bolsig:C2H4(V1)->C2H4,bolsig:C2H2->C2H2(V2),bolsig:C2H2->C2H2(V5),bolsig:C2H2->C2H2(V13),bolsig:C2H2(V2)->C2H2,bolsig:C2H2(V5)->C2H2,bolsig:C2H2(V13)->C2H2,bolsig:C3H8->C3H8(V2),bolsig:C3H8->C3H8(V1),bolsig:C3H8(V2)->C3H8,bolsig:C3H8(V1)->C3H8,bolsig:C3H6->C3H6(V),bolsig:C3H6(V)->C3H6,bolsig:CH3->CH3^+,bolsig:CH4->CH4^+,bolsig:CH4(V24)->CH4^+,bolsig:CH4(V13)->CH4^+,bolsig:C2H6->C2H6^+,bolsig:C2H6(V24)->C2H6^+,bolsig:C2H6(V13)->C2H6^+,bolsig:C2H4->C2H4^+,bolsig:C2H4(V2)->C2H4^+,bolsig:C2H4(V1)->C2H4^+,bolsig:C2H2->C2H2^+,bolsig:C2H2(V2)->C2H2^+,bolsig:C2H2(V5)->C2H2^+,bolsig:C2H2(V13)->C2H2^+,bolsig:C3H8->C3H8^+,bolsig:C3H8(V2)->C3H8^+,bolsig:C3H8(V1)->C3H8^+,bolsig:C3H6->C3H6^+,bolsig:C3H6(V)->C3H6^+,bolsig:CH3^+->CH3,bolsig:CH4^+->CH4,bolsig:C2H6^+->C2H6,bolsig:C2H4^+->C2H4,bolsig:C2H2^+->C2H2,bolsig:C3H8^+->C3H8,bolsig:C3H6^+->C3H6,bolsig:CH4->CH3H,bolsig:CH4(V24)->CH3H,bolsig:CH4(V13)->CH3H,bolsig:CH4->CH2H2,bolsig:CH4(V24)->CH2H2,bolsig:CH4(V13)->CH2H2,bolsig:C2H6->C2H4H2,bolsig:C2H6(V24)->C2H4H2,bolsig:C2H6(V13)->C2H4H2,E+C2H5^+=>C2H3+H+H,bolsig:C2H4->C2H2H2,bolsig:C2H4(V1)->C2H2H2,bolsig:C2H4(V2)->C2H2H2,E+C2H5^+=>C2H2+H2+H,bolsig:C3H6->C2H2CH4,bolsig:C3H6(V)->C2H2CH4,E+C2H5^+=>C2H2+H+H+H,bolsig:C2H4->C2H3H,bolsig:C2H4(V1)->C2H3H,bolsig:C2H4(V2)->C2H3H,bolsig:C3H8->C3H6H2,bolsig:C3H8(V1)->C3H6H2,bolsig:C3H8(V2)->C3H6H2,bolsig:CH4->CHH2H,bolsig:CH4(V24)->CHH2H,bolsig:CH4(V13)->CHH2H,bolsig:CH->CH,CH3+H=>CH4,CH3+CH3=>C2H6,C2H4+H=>C2H5,C2H4(V1)+H=>C2H5,C2H4(V2)+H=>C2H5,CH+CH4=>C2H4+H,CH+CH4(V24)=>C2H4+H,CH+CH4(V13)=>C2H4+H,C2H5+H=>C2H6,C2H5+C2H5=>C4H9H,CH2+H=>CH+H2,CH2+CH3=>C2H4+H,C2H5+H=>CH3+CH3,CH4+CH4^+=>CH3+CH5^+,CH4(V24)+CH4^+=>CH3+CH5^+,CH4(V13)+CH4^+=>CH3+CH5^+,CH3+C2H5=>C3H8,CH3+C2H3=>C3H6,C3H6+H=>C3H7,C3H6(V)+H=>C3H7,C4H9H+CH2=>C5H12,C3H7+H2=>C3H8+H,C2H6+CH5^+=>CH4+H2+C2H5^+,C2H6(V24)+CH5^+=>CH4+H2+C2H5^+,C2H6(V13)+CH5^+=>CH4+H2+C2H5^+,C2H4+CH5^+=>CH4+C2H5^+,C2H4(V1)+CH5^+=>CH4+C2H5^+,C2H4(V2)+CH5^+=>CH4+C2H5^+,C3H7+H=>C3H8,C2H3+H=>C2H2+H2,C3H8+CH2=>C4H9H,C3H8(V1)+CH2=>C4H9H,C3H8(V2)+CH2=>C4H9H,CH4+CH3^+=>H2+C2H5^+,CH4(V24)+CH3^+=>H2+C2H5^+,CH4(V13)+CH3^+=>H2+C2H5^+,H+H=>H2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1e-06,156920.0,154510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1127e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019e-07,0.0,0.0,0.0,0.0,0.0,5538600.0,0.0,0.0,1970700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896760000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2e-06,313840.0,309020.0,1.1802e-09,1.1919999999999998e-09,1.9726e-25,1.8792e-25,3.6026e-40,3.4149e-40,2.6478999999999997e-06,9.077e-06,4.1493e-21,4.6807e-20,1.0086e-17,2.7128999999999998e-17,6.1483999999999996e-18,1.2691e-32,9.009899999999999e-32,4.7936e-33,4.8404e-31,6.3776e-31,1.5859999999999996e-45,2.6116e-45,1.9373999999999998e-27,8.055299999999998e-42,5.0566999999999994e-18,1.02254e-05,3.7166999999999994e-20,3.6597e-20,3.0845e-36,5.4416e-51,5.1839e-51,5.0271e-16,7.4231e-31,2.5446e-30,9.5836e-28,1.1692e-42,3.1448e-42,7.127199999999999e-43,3.3334e-42,1.0156999999999999e-56,1.3383e-56,5.450899999999999e-38,2.2398e-52,7.101800000000001e-33,1.0190000000000346e-07,3.6607999999999995e-50,6.063199999999999e-29,4.7795e-41,3.0094999999999998e-56,2.7111000000000005e-51,11077200.0,4.0263e-08,3.9644999999999995e-08,3941400000.0,1.4326e-05,1.4105999999999998e-05,3.0456999999999996e-19,5.3730999999999995e-34,5.1187e-34,4.3407e-13,0.0055116,2.7898999999999996e-17,8.138599999999999e-18,2.8659999999999996e-13,4.2394e-24,1.7418999999999999e-38,1.2591e-13,25.092,1.2700999999999998e-13,3.7052e-14,2.8205999999999997e-38,1.1324999999999998e-52,8.595e-53,1793520000.0,6.519e-06,6.418999999999999e-06,138460.0,4.0479e-20,2.0077e-21,0.13359,6.762299999999999e-16,1.9727e-16,896620000.0,6.517999999999999e-06,6.418e-06,9.3893e-11,2.5226999999999998e-23,6.8861,0.0036309,4.3268e-11,150700000.00000513,3.7162000000000003e-20,3.6592e-20,1.3307999999999999e-16,3.7773999999999996e-13,2.9558999999999996e-24,1.2145999999999999e-38,3.3616e-33,4.1154e-33,4.8783e-23,8.606099999999999e-38,8.198699999999999e-38,0.0036565,1.8509e-17,5.3993e-18,9.5364e-34,4.7754e-08,1.0617999999999998e-27,4.2630999999999996e-42,3.2355000000000004e-42,5.0385999999999995e-18,3.6628e-32,3.6066e-32,4.3419e-20
3,3e-06,481610.0,443470.0,3.7445e-09,3.0551000000000003e-09,3.136619726e-20,2.8048187920000006e-20,5.903336026e-35,4.815334149000001e-35,0.00011375790000000001,0.00040045700000000006,1.439893e-19,1.744407e-18,1.2490860000000003e-15,3.9745290000000005e-15,8.087384000000002e-16,8.074810000000002e-31,8.087899000000003e-30,3.4122360000000013e-31,1.5144484040000005e-26,1.8983637760000005e-26,4.769458600000001e-41,7.310761160000003e-41,5.839737400000001e-24,1.9525055300000001e-38,6.472167000000001e-16,0.00017439540000000001,2.5065670000000005e-18,2.2342970000000004e-18,7.675003084500003e-30,1.42160054416e-44,1.2712005183900002e-44,4.7223271e-13,5.764523100000001e-28,2.0292446000000006e-27,1.0136958360000003e-23,6.416369200000001e-39,2.0416144800000002e-38,4.1543127200000014e-39,2.3711033334000007e-36,7.219910157000001e-51,9.050013383000002e-51,3.305154509e-33,1.0983223980000003e-47,1.0463101800000002e-29,1.0190000000356807e-07,1.4966000366080002e-42,1.0286606320000001e-24,2.2404047795000008e-35,4.8633003009500005e-49,2.6743027111000006e-45,76137200.0,1.0188730000000002e-06,9.105750000000001e-07,32593400000.000004,0.0004453060000000001,0.0003976660000000001,1.2670030457e-13,2.346805373100001e-28,2.0985051187000004e-28,2.4284070000000003e-11,1.3249116,5.696399e-15,1.6184386000000002e-15,1.6033600000000002e-11,3.58982394e-20,1.19287419e-34,7.044210000000001e-12,8395.592000000002,3.608801e-11,1.0253052000000003e-11,1.659528206e-33,6.334213250000001e-48,5.053285950000001e-48,48410520000.00001,0.0007077190000000001,0.0006304590000000001,46875460.00000001,2.3470479000000004e-17,2.427377e-19,373.9835900000001,1.6067762300000002e-12,4.564472700000001e-13,47466620000.00001,0.0007070080000000001,0.000629828,1.4161093893000002e-05,2.0538002522700002e-16,5663.186100000001,0.6214609000000001,6.525943268000001e-06,150700000.0001693,2.5065620000000007e-18,2.234292e-18,4.15803308e-12,1.4103777400000003e-09,5.809229559000001e-19,1.9304121460000007e-33,4.222300033616001e-25,2.1901004115400004e-26,7.466648783000001e-18,1.3830086061000004e-32,1.2367081987000003e-32,0.19722650000000003,8.501490000000001e-16,2.416393e-16,9.844600953640001e-27,0.0008605377540000001,5.136410618e-22,1.9604042631000004e-36,1.5640032355000002e-36,6.447186000000001e-16,9.658628000000001e-30,8.599266000000002e-30,1.2136341900000002e-16
4,4e-06,648050.0,571970.0,7.586999999999999e-09,5.6193e-09,1.1914661972599998e-18,1.0556481879199997e-18,3.9915333602599995e-33,3.190253341489999e-33,0.00035656789999999994,0.0012590069999999997,6.862592999999998e-19,8.386306999999998e-18,6.427285999999999e-15,2.0788528999999996e-14,4.200838399999999e-15,6.423880999999998e-30,6.675489899999999e-29,2.7686235999999994e-30,5.2945448404e-25,6.583436377599998e-25,2.949694585999999e-39,4.458607611599999e-39,1.0512973739999997e-22,6.091550552999998e-37,2.2565166999999996e-15,0.00037775539999999994,7.133567e-18,6.167396999999999e-18,3.5678500308449987e-28,1.1806160054415996e-42,1.0460120051838998e-42,1.7840327099999996e-12,3.424452309999999e-27,1.2088244599999997e-26,6.819995835999999e-23,6.862936919999998e-38,2.2189614479999995e-37,4.4846312719999985e-38,1.0303110333339999e-34,5.580599101569998e-49,6.939100133829998e-49,7.365315450899999e-32,4.2640322397999984e-46,4.202410179999999e-29,1.0190000000903786e-07,1.5208660003660798e-40,7.265560631999998e-24,3.117640477949999e-34,4.6718330030095e-47,1.2847430271109997e-43,153808200.0,2.7860729999999998e-06,2.4127749999999995e-06,67214400000.0,0.001233016,0.001067246,5.321900304569998e-12,1.7592680537309995e-26,1.5586850511869997e-26,1.2305906999999998e-10,4.679811599999999,3.1422399e-14,8.902238599999998e-15,8.125159999999998e-11,7.093782393999997e-19,4.096387418999999e-33,3.5696209999999993e-11,30150.591999999997,2.0290800999999998e-10,5.748605199999999e-11,6.259152820599997e-32,4.208942132499999e-46,3.384932859499999e-46,108373520000.0,0.0020720189999999996,0.001790159,116109460.0,1.3389047899999999e-16,1.2885377e-18,2285.1835899999996,1.6261776229999997e-11,4.605747269999999e-12,107360620000.0,0.002069708,0.0017882279999999998,0.0003090110938929999,1.7621380025226995e-14,32903.18609999999,3.3641608999999995,0.00014240594326799997,150700000.00037268,7.133562e-18,6.167391999999999e-18,8.396103307999997e-11,1.5124377739999996e-08,2.3621922955899996e-17,1.3799041214599998e-31,1.3879223000336155e-22,3.4929010041153995e-24,2.898466487829999e-16,9.572900860609998e-31,8.481570819869999e-31,0.6348965,4.2062489999999995e-15,1.1918593e-15,1.6063446009536396e-24,0.009939637753999997,3.863464106179999e-20,2.6132040426309992e-34,2.1017400323549992e-34,2.2505185999999996e-15,4.6194627999999993e-29,3.965626599999999e-29,7.415834189999998e-16
5,5e-06,814230.0000000001,699470.0000000001,1.2720700000000002e-08,8.939400000000002e-09,1.1478466197260006e-17,1.0153348187920005e-17,5.576753336026002e-32,4.442225334149002e-32,0.0007375579000000001,0.0026070070000000006,1.9451593000000007e-18,2.3833307000000005e-17,1.8797286000000005e-14,6.107252900000002e-14,1.2319438400000003e-14,2.606188100000001e-29,2.7330489900000014e-28,1.1291323600000005e-29,4.937754484040002e-24,6.130943637760003e-24,3.9669694586000023e-38,5.981960761160003e-38,6.569597374000004e-22,5.457955055300003e-36,4.795416700000001e-15,0.0005878554000000001,1.3531667000000004e-17,1.1472697000000002e-17,3.553985003084502e-27,1.704561600544161e-41,1.5079012005183907e-41,3.921032710000001e-12,1.0291152310000003e-26,3.636524460000001e-26,2.1383995836000006e-22,2.9706936920000013e-37,9.645861448000004e-37,1.9461631272000007e-37,9.963511033334005e-34,7.778359910157003e-48,9.658810013383006e-48,4.784031545090002e-31,3.963203223980002e-45,9.328810180000002e-29,1.0190000001487637e-07,2.266286600036609e-39,2.315356063200001e-23,1.4399640477950005e-33,6.738183300300953e-46,1.2378743027111004e-42,233614200.00000006,5.216373000000001e-06,4.427975000000001e-06,102851400000.00003,0.0023182160000000005,0.0019671160000000005,5.215590030457003e-11,2.4999268053731014e-25,2.2115685051187013e-25,3.556990700000001e-10,10.069811600000001,9.265439900000004e-14,2.6222238600000008e-14,2.3485160000000007e-10,4.510578239400002e-18,3.731238741900002e-32,1.0317921000000005e-10,65219.59200000002,6.013080100000002e-10,1.7017605200000005e-10,5.915015282060004e-31,5.728794213250003e-45,4.613493285950003e-45,170678520000.00003,0.003969319000000001,0.003363459000000001,189620460.00000006,4.0106047900000014e-16,3.747737700000001e-18,7043.583590000002,7.031877623000003e-11,1.989574727000001e-11,169591620000.00003,0.003964808000000001,0.003359628000000001,0.002056411093893001,2.6328138002522713e-13,99308.18610000004,9.862060900000003,0.0009476459432680004,150700000.00058278,1.3531762000000004e-17,1.1472792000000003e-17,5.435710330800002e-10,6.627437774000003e-08,2.267119229559001e-16,1.912590412146001e-30,4.6675922300033635e-21,7.518190100411545e-23,2.804046648783001e-15,1.3433290086061006e-29,1.1883157081987007e-29,1.3254965000000003,1.2051649000000006e-14,3.4109593000000014e-15,3.484234460095365e-23,0.044783637754000016,5.457846410618003e-19,5.350820404263103e-33,4.309274003235503e-33,4.785718600000001e-15,1.2339662800000005e-28,1.0367326600000004e-28,2.2857834190000005e-15
6,6e-06,980360.0000000001,826800.0000000001,1.91499e-08,1.3029600000000001e-08,5.945746619726e-17,5.257534818791999e-17,3.7919753336026e-31,3.0182225334148997e-31,0.0012587378999999999,0.004451207,4.2449593e-18,5.206930699999999e-17,4.1745286e-14,1.35837529e-13,2.7384438400000002e-14,7.452888099999999e-29,7.83944899e-28,3.2348323599999996e-29,2.5143754484039994e-23,3.1208943637759993e-23,2.6438969458599998e-37,3.984596076115999e-37,2.5149597373999998e-21,2.72609550553e-35,8.238716699999999e-15,0.0007990854000000001,2.1589867000000005e-17,1.8052897e-17,1.8545985003084498e-26,1.166826160054416e-40,1.031840120051839e-40,6.86233271e-12,2.291415231e-26,8.10102446e-26,4.8617995836e-22,8.654093691999999e-37,2.8145861448000003e-36,5.6752631272e-37,5.114451103333399e-33,5.2222359910157e-47,6.4825810013383e-47,1.848903154509e-30,1.9957203223979995e-44,1.6316210180000001e-28,1.0190000002077747e-07,1.5634286600036605e-38,5.2995560632e-23,4.300664047795e-33,4.562318330030094e-45,6.297074302711099e-42,313775200.00000006,8.274473e-06,6.925174999999999e-06,138657400000.00003,0.003684216,0.0030825160000000004,2.7119590030456996e-10,1.7056926805373096e-24,1.5084568505118698e-24,7.8255907e-10,17.4716116,2.05004399e-13,5.79882386e-14,5.166916e-10,1.73415782394e-17,1.8704238741899997e-31,2.2699921000000001e-10,113404.592,1.33269801e-09,3.76976052e-10,3.0209015282060002e-30,3.827279421325e-44,3.083249328594999e-44,233375520000.0,0.006361119,0.005316559,263856460.00000006,8.94880479e-16,8.2288377e-18,15964.58359,2.0572877623e-10,5.818174727e-11,232214620000.0,0.006353808000000001,0.005310428000000001,0.008112811093892999,1.8374813800252268e-12,222498.1861,21.7460609,0.003738645943268,150700000.00079402,2.1589962000000003e-17,1.8052992000000002e-17,2.11407103308e-09,1.9456437774e-07,1.1637619229559e-15,1.2847590412145998e-29,5.755559223000335e-20,6.809419010041154e-22,1.4539046648783e-14,9.142229008606098e-29,8.0846157081987e-29,2.2710765,2.6404649000000002e-14,7.469059300000001e-15,3.1677234460095354e-22,0.133428637754,3.697784641061799e-18,4.757582040426309e-32,3.8327274003235494e-32,8.2252186e-15,2.54606628e-28,2.10823266e-28,5.180883419e-15
7,7e-06,1146490.0,954130.0000000001,2.68762e-08,1.78943e-08,2.1614746619725995e-16,1.9111534818791995e-16,1.7081975333602596e-30,1.3594222533414899e-30,0.0019206878999999998,0.006793507,7.9120593e-18,9.709930699999998e-17,7.871028599999999e-14,2.5626752899999994e-13,5.1652438399999996e-14,1.7232588099999998e-28,1.8148448989999995e-27,7.484932359999998e-29,9.044975448403997e-23,1.1226394363775997e-22,1.1764996945859996e-36,1.7728596076115995e-36,7.248759737399998e-21,9.69999550553e-35,1.2575516699999998e-14,0.0010103154,3.1273767e-17,2.5878997e-17,6.750598500308449e-26,5.2609261600544145e-40,4.651840120051838e-40,1.0598032709999999e-11,4.3042152309999997e-26,1.5221024459999998e-25,9.248699583599999e-22,2.0122093691999996e-36,6.5492861448e-36,1.3201963127199998e-36,1.8424451103333397e-32,2.326123599101569e-46,2.8872581001338294e-46,5.3407031545089994e-30,7.1116203223979975e-44,2.511881018e-28,1.0190000002667858e-07,7.064628660003659e-38,1.0105856063199999e-22,1.0114864047795e-32,2.037131833003009e-44,2.2516074302711095e-41,393936200.00000006,1.1949472999999997e-05,9.895174999999998e-06,174463400000.00003,0.005325816,0.004409116,9.865259003045698e-10,7.687392680537308e-24,6.797556850511869e-24,1.4642690699999997e-09,26.872711599999995,3.8418439899999993e-13,1.0864023859999998e-13,9.668016e-10,5.003157823939999e-17,6.659923874189999e-31,4.2474921e-10,174604.592,2.4990980099999994e-09,7.067160519999999e-10,1.0872901528205998e-29,1.7035279421324995e-43,1.3725249328594998e-43,296072520000.0,0.009235519,0.007639559,338092460.00000006,1.684840479e-15,1.53373377e-17,30355.583589999995,4.800087762299999e-10,1.3571774726999997e-10,294837620000.0,0.009224808000000001,0.007630628,0.023790811093892996,8.376381380025226e-12,419998.18609999993,40.640060899999995,0.010963345943267998,150700000.00100526,3.1273862e-17,2.5879092e-17,6.14557103308e-09,4.5413437773999996e-07,4.196061922955899e-15,5.727359041214599e-29,4.072255922300033e-19,3.808141901004115e-21,5.286204664878299e-14,4.118822900860609e-28,3.641961570819869e-28,3.4720764999999996,4.9293648999999997e-14,1.39397593e-14,1.7755723446009532e-21,0.3142986377539999,1.6556784641061796e-17,2.6388582040426305e-31,2.1260727400323547e-31,1.2558218599999998e-14,4.53256628e-28,3.7136326599999993e-28,9.851183418999999e-15
8,8e-06,1312620.0,1081460.0,3.58996e-08,2.35335e-08,6.248774661972598e-16,5.525053481879199e-16,5.893597533360259e-30,4.6901222533414886e-30,0.0027233978999999997,0.009633906999999999,1.3271759299999997e-17,1.6292030699999998e-16,1.3316628599999998e-13,4.336875289999999e-13,8.740343839999999e-14,3.456358809999999e-28,3.6420448989999986e-27,1.5017532359999997e-28,2.5964975448403993e-22,3.2226394363775995e-22,4.025699694585999e-36,6.0660596076116e-36,1.7360759737399994e-20,2.7653995505529995e-34,1.7805816699999998e-14,0.0012215454,4.2583766999999996e-17,3.4951096999999996e-17,1.9521598500308444e-25,1.815492616005441e-39,1.6051840120051834e-39,1.5128232709999998e-11,7.246015230999999e-26,2.5628024459999997e-25,1.5711499583599998e-21,4.0445093691999995e-36,1.3168886144799997e-35,2.6541963127199997e-36,5.29084511033334e-32,7.961023599101567e-46,9.881058100133826e-46,1.2799703154508998e-29,2.0282620322397993e-43,3.5736810179999996e-28,1.0190000003257969e-07,2.4395628660003655e-37,1.7167856063199998e-22,2.0449864047794996e-32,6.977231833003007e-44,6.429807430271109e-41,474097200.00000006,1.6241472999999996e-05,1.3338074999999997e-05,210269400000.00003,0.007242915999999999,0.005947015999999999,2.8525259003045694e-09,2.6525392680537303e-23,2.3453556850511864e-23,2.4614790699999994e-09,38.272711599999994,6.460843989999999e-13,1.8267123859999994e-13,1.6252315999999999e-09,1.1986257823939999e-16,1.8990923874189996e-30,7.1401921e-10,248819.592,4.204098009999999e-09,1.1886560519999998e-09,3.121590152820599e-29,5.829427942132498e-43,4.696724932859499e-43,358769520000.0,0.012592418999999999,0.010332359,412328460.00000006,2.8401404789999996e-15,2.5676337699999997e-17,51517.583589999995,9.661787762299999e-10,2.7313774726999994e-10,357460620000.0,0.012577708,0.010320227999999999,0.05761881109389298,2.907838138002522e-11,709258.1860999998,68.1610609,0.026552345943267993,150700000.0012165,4.258386199999999e-17,3.4951192e-17,1.4796971033079997e-08,9.134743777399999e-07,1.2050861922955897e-14,1.9597359041214596e-28,2.0239255922300028e-18,1.5648141901004113e-20,1.5282904664878296e-13,1.4210822900860605e-27,1.2565461570819865e-27,4.9284764999999995,8.275164899999999e-14,2.3397159299999997e-14,7.307172344600952e-21,0.6361286377539999,5.679478464106179e-17,1.0799758204042628e-30,8.701272740032352e-31,1.7784818599999998e-14,7.330966279999999e-28,5.958432659999998e-28,1.6718983418999996e-14
9,9e-06,1478750.0,1208790.0,4.6219600000000004e-08,2.99472e-08,1.5393574661972604e-15,1.3610753481879203e-15,1.6875597533360264e-29,1.3429822253341495e-29,0.0036668779,0.012972407000000002,2.0649459300000004e-17,2.53529307e-16,2.0867728600000002e-13,6.79707529e-13,1.3697743840000002e-13,6.264858810000001e-28,6.603344899e-27,2.7225532360000004e-28,6.363897544840402e-22,7.898539436377602e-22,1.1458899694586003e-35,1.7266059607611605e-35,3.6506759737400006e-20,6.746599550553001e-34,2.3929716700000002e-14,0.0014327754000000002,5.5518767e-17,4.5269097e-17,4.809659850030846e-25,5.198792616005443e-39,4.5965840120051854e-39,2.045283271e-11,1.1295415231e-25,3.9955024460000008e-25,2.46730995836e-21,7.337909369200002e-36,2.3896886144800005e-35,4.816096312720001e-36,1.2969045110333343e-31,2.2662023599101576e-45,2.812705810013384e-45,2.6922703154509007e-29,4.948762032239801e-43,4.816981018e-28,1.0190000003848079e-07,6.987562866000369e-37,2.6919256063200005e-22,3.7223864047795003e-32,1.9867231833003014e-43,1.5696507430271115e-40,554258200.0000001,2.1150373e-05,1.7253775e-05,246075400000.00006,0.009435616,0.007696116,7.027425900304572e-09,7.595639268053733e-23,6.715955685051189e-23,3.83487907e-09,51.6717116,1.006614399e-12,2.845712386e-13,2.5320116000000003e-09,2.520825782394001e-16,4.633292387419001e-30,1.1123992100000002e-09,336048.59200000006,6.55109801e-09,1.8520460520000003e-09,7.651190152820601e-29,1.6593427942132504e-42,1.3369224932859505e-42,421466520000.00006,0.016431819,0.013394959000000001,486565460.0000001,4.430040479000001e-15,3.98503377e-17,80752.58359000001,1.7527987762300004e-09,4.9547774727e-10,420083620000.00006,0.016412608000000002,0.013379228,0.12210981109389302,8.354338138002525e-11,1107728.1861,105.92706090000001,0.056271345943268006,150700000.00142774,5.5518862e-17,4.5269192000000006e-17,3.1226971033080005e-08,1.6555043777400003e-06,2.9530861922955904e-14,5.574535904121461e-28,7.876425592230007e-18,5.191914190100413e-20,3.7648904664878307e-13,4.0692822900860614e-27,3.5980461570819876e-27,6.640276500000001,1.2880864900000002e-13,3.641515930000001e-14,2.427017234460096e-20,1.1580286377540001,1.6180478464106184e-16,3.575275820404264e-30,2.8806272740032364e-30,2.3904918600000002e-14,1.1078766280000001e-27,8.947932659999999e-28,2.6206783419e-14
