f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,err,index
9.7871e-11,1.0558e-13,11973000.0,0.61766,745.31,27046.0,0.033693,4.2026,1.8694,1.6283e+21,0.000442,2.2027e-05,60.803,20.268,0.0016623,0.73185,4439400.0,21.099,5778.5,9.0427,1360.5,241.97,27.61,3.9013,61.481,4.7711,67.798,0.0023623,1.1059,14.194,0.00010161,6.1175,15.738,6173.0,1.7757,1.1594,7.3791,20.0602393854432,initialization
2.3861e-10,9.4303e-14,13041000.0,0.20319,582.73,64933.0,0.057227,7.664,3.1285,2.5303e+21,0.00079927,7.5207e-06,53.368,27.274,0.0034936,0.56316,4492800.0,39.36,2029.9,10.691,717.86,270.36,63.281,9.2643,23.222,1.6126,77.155,0.0030872,0.9002,15.431,3.8044e-05,7.1233,8.8685,4794.3,2.1808,2.6574,6.0456,332.16408379214903,LH pre-train 0
1.9092e-10,2.6563e-13,15683000.0,0.24457,1717.2,38519.0,0.011376,5.2786,5.0806,1.0024e+21,0.0001845,2.8948e-05,159.47,7.8057,0.0030632,0.34802,1784500.0,13.308,9244.5,11.025,3717.8,80.675,41.717,10.022,163.01,6.2378,41.113,0.0010524,1.5138,5.5072,6.5212e-05,5.08,7.3487,3239.4,2.1212,0.46392,14.176,494.64688806357645,LH pre-train 1
5.0593e-11,1.1866e-13,4015600.0,0.39021,275.94,31735.0,0.062226,10.983,1.5835,4.9439e+21,0.00016258,1.3156e-05,46.088,30.879,0.00074913,0.72034,2513600.0,49.38,14593.0,21.635,3453.3,439.87,16.231,2.1045,25.919,5.1097,97.399,0.0048222,1.1283,8.2823,8.7365e-05,4.4123,8.7318,3182.3,4.4482,1.413,3.6875,227.1042647848029,LH pre-train 2
3.082e-10,2.205e-13,15693000.0,0.26461,1320.7,11071.0,0.011595,2.9687,0.81473,4.186e+21,0.00072668,2.5862e-05,20.01,12.023,0.00053733,1.2122,1985400.0,31.239,5004.5,20.641,998.71,92.621,68.811,11.474,61.531,4.878,192.28,0.0031653,1.6686,22.992,7.626e-05,6.6682,8.3641,3591.6,2.1101,0.61462,2.335,31.62608025828471,LH pre-train 3
2.4888e-10,6.5417e-14,11668000.0,1.0905,2001.4,34706.0,0.055434,12.383,5.8478,3.7263e+21,0.0010772,2.8518e-05,142.53,42.95,0.0037232,0.58981,7016900.0,66.033,3759.6,3.0312,2494.6,126.0,30.284,11.772,98.029,3.1296,43.951,0.0010649,2.1195,16.771,0.00020098,13.459,15.427,3139.9,2.4065,0.80076,9.4507,514.5133134244852,LH pre-train 4
1.3781e-10,6.6864e-14,22278000.0,0.62643,797.37,84167.0,0.027071,3.5421,0.88682,7.3047e+20,0.00044625,7.1307e-06,85.514,41.597,0.0021586,1.1324,12971000.0,32.661,5295.2,4.9671,3900.5,259.91,23.055,5.1476,24.854,4.9446,141.11,0.007349,0.65722,26.35,0.00028855,13.887,23.893,2677.3,3.7604,0.39989,3.2234,63.301519415504174,LH pre-train 5
4.1435e-11,7.4503e-14,11430000.0,1.7557,1654.4,51540.0,0.095397,1.41,4.2811,2.3657e+21,0.00041508,3.1943e-05,32.911,33.27,0.0043552,0.57525,1986100.0,28.668,9503.7,15.012,522.64,81.262,24.67,2.565,43.795,3.4916,174.71,0.0047655,0.40063,10.267,4.1691e-05,7.0692,17.977,5710.0,0.60521,2.3256,6.0872,265.18878429674453,LH pre-train 6
5.0814e-11,7.8453e-14,6277300.0,1.8273,2105.8,29669.0,0.027694,2.776,3.3155,1.999e+21,0.0012631,2.2519e-05,109.71,23.967,0.0030429,0.40068,6444600.0,17.109,8978.1,7.3576,766.85,517.37,22.963,2.2931,128.16,10.129,46.355,0.0013451,0.6579,27.312,7.7388e-05,2.5905,5.3485,13153.0,1.2034,0.56255,3.5339,82.87308943632341,LH pre-train 7
7.8417e-11,1.0384e-13,34364000.0,1.7217,2243.8,10894.0,0.014929,10.799,1.228,1.6344e+21,0.00017579,1.393e-05,167.81,16.363,0.0041287,0.27297,12823000.0,31.73,9544.7,11.907,561.41,207.91,12.399,1.3836,45.402,4.6008,47.192,0.0009843,0.42605,32.7,7.8401e-05,11.735,49.684,2226.1,0.88847,0.39448,8.0355,75.47443207711129,LH pre-train 8
9.9119e-11,4.2649e-14,8649900.0,1.5636,1340.6,27817.0,0.09343,6.3086,3.286,3.2816e+21,0.0008412,3.8898e-05,37.492,56.691,0.0015355,0.56581,4235500.0,14.166,5508.2,6.7128,475.94,178.8,16.75,6.3983,55.383,5.0085,30.954,0.00079823,0.94938,25.104,4.2045e-05,6.4937,6.623,3225.2,0.92108,2.5287,16.505,698.2788705921138,LH pre-train 9
6.4996e-11,5.9328e-14,9208100.0,0.62291,2323.6,25329.0,0.012087,5.2124,3.8109,2.5198e+21,0.00053572,1.8318e-05,80.84,26.127,0.0046925,0.40156,3830000.0,21.524,10243.0,15.085,667.04,96.573,16.645,1.2534,22.161,4.4954,65.753,0.0023618,2.1015,17.361,0.00013799,2.6176,17.205,12865.0,0.85561,0.75185,9.5476,186.88244090366928,LH pre-train 10
