       Time_s           01           02           03           04           05
   0.0000E+00   1.7689E+02   3.0315E+02   0.0000E+00   0.0000E+00   0.0000E+00
   1.0000E-06   1.7689E+02   3.0315E+02   4.7456E+04   2.0217E-06   8.6619E-02
   2.0000E-06   1.2488E+03   3.0315E+02   9.7759E+04   1.0611E-05   3.2093E+00
   3.0000E-06   1.4484E+03   3.0315E+02   1.0690E+05   1.1776E-05   4.1309E+00
   4.0000E-06   1.4806E+03   3.0315E+02   1.0838E+05   1.1956E-05   4.2876E+00
   5.0000E-06   1.4857E+03   3.0315E+02   1.0861E+05   1.1988E-05   4.3135E+00
   6.0000E-06   1.4857E+03   3.0315E+02   1.0861E+05   1.1992E-05   4.3150E+00
   7.0000E-06   1.4857E+03   3.0315E+02   1.0861E+05   1.1996E-05   4.3165E+00
   8.0000E-06   1.4857E+03   3.0315E+02   1.0861E+05   1.2000E-05   4.3179E+00
   9.0000E-06   1.4857E+03   3.0315E+02   1.0861E+05   1.2004E-05   4.3194E+00
   1.0000E-05   1.4857E+03   3.0315E+02   1.0861E+05   1.2008E-05   4.3209E+00
   1.1000E-05   1.4857E+03   3.0315E+02   1.0861E+05   1.2012E-05   4.3224E+00
   1.2000E-05   1.4857E+03   3.0315E+02   1.0861E+05   1.2016E-05   4.3238E+00
   1.3000E-05   1.4857E+03   3.0315E+02   1.0861E+05   1.2020E-05   4.3253E+00
   1.4000E-05   1.4857E+03   3.0315E+02   1.0861E+05   1.2025E-05   4.3268E+00
   1.5000E-05   1.4840E+03   3.0315E+02   1.0853E+05   1.2019E-05   4.3200E+00
   1.6000E-05   1.4840E+03   3.0315E+02   1.0853E+05   1.2024E-05   4.3215E+00
   1.7000E-05   1.4840E+03   3.0315E+02   1.0853E+05   1.2028E-05   4.3230E+00
   1.8000E-05   1.4840E+03   3.0315E+02   1.0853E+05   1.2032E-05   4.3244E+00
   1.9000E-05   1.4840E+03   3.0315E+02   1.0853E+05   1.2036E-05   4.3259E+00
   2.0000E-05   1.4824E+03   3.0315E+02   1.0846E+05   1.2032E-05   4.3199E+00
   2.1000E-05   1.4824E+03   3.0315E+02   1.0846E+05   1.2036E-05   4.3214E+00
   2.2000E-05   1.4824E+03   3.0315E+02   1.0846E+05   1.2040E-05   4.3228E+00
   2.3000E-05   1.4824E+03   3.0315E+02   1.0846E+05   1.2044E-05   4.3243E+00
   2.4000E-05   1.4824E+03   3.0315E+02   1.0846E+05   1.2048E-05   4.3258E+00
   2.5000E-05   1.4809E+03   3.0315E+02   1.0839E+05   1.2044E-05   4.3199E+00
   2.6000E-05   1.4809E+03   3.0315E+02   1.0839E+05   1.2048E-05   4.3213E+00
   2.7000E-05   1.4809E+03   3.0315E+02   1.0839E+05   1.2052E-05   4.3228E+00
   2.8000E-05   1.4809E+03   3.0315E+02   1.0839E+05   1.2056E-05   4.3243E+00
   2.9000E-05   1.4809E+03   3.0315E+02   1.0839E+05   1.2060E-05   4.3257E+00
   3.0000E-05   1.4794E+03   3.0315E+02   1.0832E+05   1.2056E-05   4.3199E+00
   3.1000E-05   1.4794E+03   3.0315E+02   1.0832E+05   1.2060E-05   4.3213E+00
   3.2000E-05   1.4794E+03   3.0315E+02   1.0832E+05   1.2064E-05   4.3228E+00
   3.3000E-05   1.4794E+03   3.0315E+02   1.0832E+05   1.2068E-05   4.3243E+00
   3.4000E-05   1.4794E+03   3.0315E+02   1.0832E+05   1.2072E-05   4.3257E+00
   3.5000E-05   1.4779E+03   3.0315E+02   1.0825E+05   1.2068E-05   4.3199E+00
   3.6000E-05   1.4779E+03   3.0315E+02   1.0825E+05   1.2072E-05   4.3213E+00
   3.7000E-05   1.4779E+03   3.0315E+02   1.0825E+05   1.2076E-05   4.3228E+00
   3.8000E-05   1.4779E+03   3.0315E+02   1.0825E+05   1.2081E-05   4.3242E+00
   3.9000E-05   1.4779E+03   3.0315E+02   1.0825E+05   1.2085E-05   4.3257E+00
   4.0000E-05   1.4764E+03   3.0315E+02   1.0818E+05   1.2081E-05   4.3199E+00
   4.1000E-05   1.4764E+03   3.0315E+02   1.0818E+05   1.2085E-05   4.3213E+00
   4.2000E-05   1.4764E+03   3.0315E+02   1.0818E+05   1.2089E-05   4.3228E+00
   4.3000E-05   1.4764E+03   3.0315E+02   1.0818E+05   1.2093E-05   4.3242E+00
   4.4000E-05   1.4764E+03   3.0315E+02   1.0818E+05   1.2097E-05   4.3257E+00
   4.5000E-05   1.4749E+03   3.0315E+02   1.0811E+05   1.2093E-05   4.3199E+00
