         Time_s                                                                                                               01                                                                                                               02                                                                                                               03                                                                                                               04                                                                                                               05                                                                                                               06                                                                                                               07                                                                                                               08                                                                                                               09                                                                                                               10                                                                                                               11                                                                                                               12                                                                                                               13                                                                                                               14                                                                                                               15                                                                                                               16                                                                                                               17                                                                                                               18                                                                                                               19                                                                                                               20                                                                                                               21                                                                                                               22                                                                                                               23                                                                                                               24                                                                                                               25                                                                                                               26                                                                                                               27                                                                                                               28                                                                                                               29                                                                                                               30                                                                                                               31                                                                                                               32                                                                                                               33                                                                                                               34                                                                                                               35                                                                                                               36                                                                                                               37                                                                                                               38
   0.000000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   2.4220E+19   0.0000E+00   0.0000E+00   1.0000E+06   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
   1.000000E-06   1.0000E+06   1.3867E+08   1.3454E+08   6.6877E+08   1.8714E-16   2.4220E+19   6.0892E+08   6.1666E+08   2.0977E-05   1.0000E+06   4.8188E-07   8.4327E-23   1.3845E-22   3.7118E-22   4.5497E-26   3.3547E-08   1.0872E+03   1.4887E-13   4.3452E-14   2.1842E-16   5.2605E-10   3.7949E-03   4.5088E+06   5.5006E-09   5.7700E-09   2.6406E-13   1.0335E-21   2.7825E-37   9.2245E-41   2.1769E-30   1.6329E-15   7.3516E-30   5.5772E-30   3.4540E-35   1.1073E-28   8.1180E-41   6.7679E+08   4.1188E+08
   2.000000E-06   1.0003E+06   2.1869E+09   2.1216E+09   7.3793E+09   2.4179E-14   2.4220E+19   1.1476E+09   1.2802E+09   7.0957E-04   1.0003E+06   4.8714E-04   5.1965E-20   8.0547E-20   2.5468E-19   2.3768E-21   4.7388E-05   2.1652E+05   2.7419E-11   7.7962E-12   8.8214E-13   1.5022E-06   6.6495E-01   6.7332E+08   9.5301E-07   1.0617E-06   7.7027E-10   7.8429E-17   1.9213E-32   1.2956E-34   2.3712E-24   5.8518E-11   2.8723E-25   2.2847E-25   3.3281E-29   6.9915E-23   8.9622E-34   8.7254E+09   6.4955E+09
   3.000000E-06   1.0006E+06   4.6341E+09   4.4948E+09   1.1243E+10   4.4011E-14   2.4220E+19   1.6661E+09   1.9399E+09   8.7382E-04   1.0006E+06   6.7340E-03   1.2527E-18   1.9228E-18   6.1873E-18   7.5966E-20   6.6817E-04   1.3924E+06   3.3180E-10   9.4027E-11   1.3208E-11   3.8305E-05   7.0328E+00   3.4945E+09   9.8297E-06   1.1041E-05   9.6170E-09   1.2282E-14   5.6100E-30   4.6905E-32   1.4688E-21   4.4840E-09   4.1544E-23   3.3295E-23   5.9944E-27   2.1737E-20   1.1054E-30   1.8234E+10   1.3764E+10
   4.000000E-06   1.0009E+06   7.1551E+09   6.9383E+09   1.2444E+10   5.0009E-14   2.4220E+19   2.1809E+09   2.5990E+09   9.0075E-04   1.0009E+06   2.9681E-02   8.3459E-18   1.2788E-17   4.1272E-17   5.2959E-19   2.9555E-03   3.8657E+06   1.4266E-09   4.0400E-10   5.9059E-11   2.5313E-04   2.5698E+01   7.7808E+09   3.5709E-05   4.0175E-05   3.6215E-08   2.2346E-13   1.5616E-28   1.3464E-30   6.2950E-20   5.1983E-08   7.4688E-22   5.9927E-22   1.1124E-25   6.0404E-19   7.2745E-29   2.8012E+10   2.1252E+10
   5.000000E-06   1.0013E+06   9.6924E+09   9.3964E+09   1.2745E+10   5.1442E-14   2.4220E+19   2.6952E+09   3.2582E+09   9.0523E-04   1.0012E+06   8.1058E-02   3.1139E-17   4.7691E-17   1.5403E-16   1.9989E-18   8.0796E-03   7.5838E+06   3.8676E-09   1.0951E-09   1.6197E-10   9.2390E-04   5.9750E+01   1.2546E+10   8.2838E-05   9.3244E-05   8.4953E-08   1.6119E-12   1.5466E-27   1.3410E-29   8.4094E-19   2.7075E-07   5.3746E-21   4.3134E-21   8.0557E-25   5.8732E-18   1.3110E-27   3.7851E+10   2.8789E+10
   6.000000E-06   1.0016E+06   1.2232E+10   1.1856E+10   1.2814E+10   5.1737E-14   2.4220E+19   3.2095E+09   3.9175E+09   9.0554E-04   1.0015E+06   1.7187E-01   8.4398E-17   1.2925E-16   4.1752E-16   5.4343E-18   1.7137E-02   1.2480E+07   8.1807E-09   2.3161E-09   3.4391E-10   2.4523E-03   1.1011E+02   1.7432E+10   1.5247E-04   1.7165E-04   1.5700E-07   7.1094E-12   8.7350E-27   7.5797E-29   5.9735E-18   9.2985E-07   2.3695E-20   1.9018E-20   3.5553E-24   3.2594E-17   1.1717E-26   4.7701E+10   3.6333E+10
   7.000000E-06   1.0020E+06   1.4773E+10   1.4315E+10   1.2830E+10   5.1820E-14   2.4220E+19   3.7240E+09   4.5771E+09   9.0585E-04   1.0018E+06   3.1276E-01   1.8757E-16   2.8724E-16   9.2797E-16   1.2090E-17   3.1187E-02   1.8526E+07   1.4872E-08   4.2104E-09   6.2615E-10   5.3582E-03   1.7703E+02   2.2345E+10   2.4491E-04   2.7575E-04   2.5266E-07   2.3249E-11   3.4874E-26   3.0265E-28   2.8713E-17   2.4876E-06   7.7483E-20   6.2187E-20   1.1628E-23   1.2839E-16   6.7796E-26   5.7555E+10   4.3880E+10
   8.000000E-06   1.0023E+06   1.7315E+10   1.6774E+10   1.2834E+10   5.1857E-14   2.4220E+19   4.2387E+09   5.2369E+09   9.0616E-04   1.0020E+06   5.1422E-01   3.6473E-16   5.5851E-16   1.8044E-15   2.3517E-17   5.1276E-02   2.5713E+07   2.4439E-08   6.9190E-09   1.0297E-09   1.0281E-02   2.6060E+02   2.7265E+10   3.6024E-04   4.0563E-04   3.7201E-07   6.2353E-11   1.1056E-25   9.5952E-28   1.0649E-16   5.6425E-06   2.0780E-19   1.6678E-19   3.1187E-23   4.0287E-16   2.9418E-25   6.7414E+10   5.1429E+10
   9.000000E-06   1.0026E+06   1.9857E+10   1.9232E+10   1.2837E+10   5.1884E-14   2.4220E+19   4.7535E+09   5.8969E+09   9.0646E-04   1.0023E+06   7.8673E-01   6.4449E-16   9.8691E-16   3.1885E-15   4.1563E-17   7.8446E-02   3.4039E+07   3.7381E-08   1.0583E-08   1.5756E-09   1.7977E-02   3.6087E+02   3.2187E+10   4.9851E-04   5.6133E-04   5.1508E-07   1.4521E-10   2.9733E-25   2.5804E-27   3.2813E-16   1.1383E-05   4.8391E-19   3.8839E-19   7.2630E-23   1.0748E-15   1.0389E-24   7.7278E+10   5.8981E+10
   1.000000E-05   1.0030E+06   2.2401E+10   2.1691E+10   1.2838E+10   5.1907E-14   2.4220E+19   5.2686E+09   6.5572E+09   9.0677E-04   1.0025E+06   1.1408E+00   1.0601E-15   1.6233E-15   5.2446E-15   6.8370E-17   1.1374E-01   4.3503E+07   5.4193E-08   1.5342E-08   2.2848E-09   2.9327E-02   4.7789E+02   3.7111E+10   6.5973E-04   7.4287E-04   6.8191E-07   3.0410E-10   7.0572E-25   6.1248E-27   8.7687E-16   2.1035E-05   1.0134E-18   8.1339E-19   1.5211E-22   2.5354E-15   3.1243E-24   8.7145E+10   6.6536E+10
   1.100000E-05   1.0033E+06   2.4945E+10   2.4149E+10   1.2839E+10   5.1930E-14   2.4220E+19   5.7838E+09   7.2176E+09   9.0708E-04   1.0027E+06   1.5868E+00   1.6493E-15   2.5256E-15   8.1597E-15   1.0638E-16   1.5820E-01   5.4105E+07   7.5374E-08   2.1339E-08   3.1783E-09   4.5327E-02   6.1171E+02   4.2036E+10   8.4393E-04   9.5029E-04   8.7251E-07   5.8658E-10   1.5208E-24   1.3199E-26   2.1006E-15   3.6313E-05   1.9548E-18   1.5690E-18   2.9340E-22   5.4380E-15   8.3147E-24   9.7018E+10   7.4093E+10
