ELASTIC
C3H6
1.30E-05
SPECIES: e / C3H6
PROCESS: E + C3H6 -> E + C3H6, Elastic
PARAM.:  m/M = 0.000013, complete set
UPDATED: 2016-02-02 04:03:42
COLUMNS: Energy (eV) | Cross section (m2)
-----------------------------
 0.000000e+0    3.100000e-19
 1.035000e-4    3.100000e-19
 1.287000e-4    3.100000e-19
 1.562000e-4    3.100000e-19
 2.053000e-4    3.100000e-19
 2.545000e-4    3.100000e-19
 3.142000e-4    3.100000e-19
 3.956000e-4    3.100000e-19
 5.222000e-4    3.100000e-19
 6.795000e-4    3.100000e-19
 9.714000e-4    3.100000e-19
 1.204000e-3    3.100000e-19
 1.512000e-3    3.100000e-19
 1.996000e-3    3.100000e-19
 2.628000e-3    3.100000e-19
 3.381000e-3    3.100000e-19
 4.216000e-3    3.100000e-19
 5.613000e-3    3.100000e-19
 6.744000e-3    3.100000e-19
 8.279000e-3    3.100000e-19
 9.684000e-3    3.100000e-19
 1.174000e-2    3.000000e-19
 1.567000e-2    2.596000e-19
 2.000000e-2    2.352000e-19
 2.535000e-2    2.166000e-19
 3.000000e-2    2.000000e-19
 4.000000e-2    1.761000e-19
 5.012000e-2    1.625000e-19
 5.412000e-2    1.514000e-19
 5.843000e-2    1.422000e-19
 6.310000e-2    1.330000e-19
 6.813000e-2    1.257000e-19
 7.356000e-2    1.188000e-19
 7.943000e-2    1.122000e-19
 8.577000e-2    1.060000e-19
 9.261000e-2    1.011000e-19
 1.000000e-1    9.703000e-20
 1.080000e-1    9.337000e-20
 1.166000e-1    9.128000e-20
 1.259000e-1    8.994000e-20
 1.359000e-1    8.993000e-20
 1.468000e-1    8.943000e-20
 1.585000e-1    9.064999e-20
 1.711000e-1    9.217000e-20
 1.848000e-1    9.486000e-20
 1.995000e-1    9.863000e-20
 2.154000e-1    1.052000e-19
 2.326000e-1    1.102000e-19
 2.512000e-1    1.156000e-19
 2.712000e-1    1.212000e-19
 2.929000e-1    1.260000e-19
 3.162000e-1    1.321000e-19
 3.415000e-1    1.374000e-19
 3.687000e-1    1.440000e-19
 3.981000e-1    1.498000e-19
 4.299000e-1    1.571000e-19
 4.642000e-1    1.633000e-19
 5.012000e-1    1.698000e-19
 5.412000e-1    1.766000e-19
 5.843000e-1    1.820000e-19
 6.310000e-1    1.888000e-19
 6.813000e-1    1.952000e-19
 7.356000e-1    2.002000e-19
 7.943000e-1    2.075000e-19
 8.577000e-1    2.123000e-19
 9.261000e-1    2.170000e-19
 1.000000e+0    2.220000e-19
 1.080000e+0    2.251000e-19
 1.166000e+0    2.286000e-19
 1.259000e+0    2.325000e-19
 1.359000e+0    2.363000e-19
 1.468000e+0    2.363000e-19
 1.585000e+0    2.382000e-19
 1.711000e+0    2.402000e-19
 1.848000e+0    2.402000e-19
 1.995000e+0    2.401000e-19
 2.154000e+0    2.401000e-19
 2.326000e+0    2.400000e-19
 2.512000e+0    2.400000e-19
 2.712000e+0    2.400000e-19
 2.929000e+0    2.399000e-19
 3.162000e+0    2.399000e-19
 3.415000e+0    2.398000e-19
 3.687000e+0    2.378000e-19
 3.981000e+0    2.378000e-19
 4.299000e+0    2.357000e-19
 4.642000e+0    2.357000e-19
 5.012000e+0    2.337000e-19
 5.412000e+0    2.337000e-19
 5.843000e+0    2.336000e-19
 6.310000e+0    2.316000e-19
 6.813000e+0    2.297000e-19
 7.356000e+0    2.277000e-19
 7.943000e+0    2.252000e-19
 8.577000e+0    2.239000e-19
 9.261000e+0    2.201000e-19
 1.000000e+1    2.174000e-19
 1.080000e+1    2.143000e-19
 1.166000e+1    2.095000e-19
 1.259000e+1    2.064000e-19
 1.359000e+1    2.018000e-19
 1.468000e+1    1.956000e-19
 1.585000e+1    1.880000e-19
 1.711000e+1    1.776000e-19
 1.848000e+1    1.693000e-19
 1.995000e+1    1.600000e-19
 2.154000e+1    1.505000e-19
 2.326000e+1    1.425000e-19
 2.512000e+1    1.328000e-19
 2.712000e+1    1.255000e-19
 2.929000e+1    1.185000e-19
 3.162000e+1    1.118000e-19
 3.415000e+1    1.050000e-19
 3.687000e+1    9.866999e-20
 3.981000e+1    9.225000e-20
 4.299000e+1    8.705000e-20
 4.642000e+1    8.170999e-20
 5.012000e+1    7.657000e-20
 5.412000e+1    7.176000e-20
 5.843000e+1    6.774000e-20
 6.310000e+1    6.409000e-20
 6.813000e+1    6.006000e-20
 7.356000e+1    5.676000e-20
 7.943000e+1    5.362000e-20
 8.577000e+1    5.037000e-20
 9.261000e+1    4.731000e-20
 1.000000e+2    4.452000e-20
 1.080000e+2    4.242000e-20
 1.166000e+2    3.977000e-20
 1.259000e+2    3.727000e-20
 1.359000e+2    3.488000e-20
 1.468000e+2    3.248000e-20
 1.585000e+2    3.026000e-20
 1.711000e+2    2.850000e-20
 1.848000e+2    2.647000e-20
 1.995000e+2    2.464000e-20
 2.154000e+2    2.276000e-20
 2.326000e+2    2.090000e-20
 2.512000e+2    1.924000e-20
 2.712000e+2    1.748000e-20
 2.929000e+2    1.573000e-20
 3.162000e+2    1.414000e-20
 3.415000e+2    1.276000e-20
 3.687000e+2    1.159000e-20
 3.981000e+2    1.076000e-20
 4.299000e+2    9.872999e-21
 4.642000e+2    8.911999e-21
 5.012000e+2    7.874000e-21
 5.412000e+2    6.947000e-21
 5.843000e+2    6.485000e-21
 6.310000e+2    5.987000e-21
 6.813000e+2    5.450000e-21
 7.356000e+2    4.869000e-21
 7.943000e+2    4.242000e-21
 8.577000e+2    3.565000e-21
-----------------------------
