Reaction	Value
e + CH4^+ => CH3 + H	1.18d-08 * (300./Tgas)**0.5
e + CH4^+ => CH2 + H + H	2.42d-08 * (300./Tgas)**0.5
e + CH4^+ => CH + H2 + H	1.41d-08 * (300./Tgas)**0.5
e + CH3^+ => CH2 + H	2.25d-08 * (300./Tgas)**0.5
e + CH3^+ => CH + H2	7.88d-09 * (300./Tgas)**0.5
e + CH3^+ => CH + H + H	9.00d-09 * (300./Tgas)**0.5
e + CH3^+ => C + H2 + H	1.69d-08 * (300./Tgas)**0.5
e + CH2^+ => CH + H	1.00d-08 * (300./Tgas)**0.5
e + CH2^+ => C + H2	4.82d-09 * (300./Tgas)**0.5
e + CH2^+ => C + H + H	2.53d-08 * (300./Tgas)**0.5
e + CH^+ => C + H	3.23d-08 * (300./Tgas)**0.42
e + C2H6^+ => C2H5 + H	2.19d-08 * (300./Tgas)**0.71
e + C2H6^+ => C2H4 + H + H	3.36d-08 * (300./Tgas)**0.71
e + C2H5^+ => C2H4 + H	7.70d-09 * (300./Tgas)**0.71
e + C2H5^+ => C2H3 + H + H	1,92d-08 * (300./Tgas)**0.71
e + C2H5^+ => C2H2 + H2 + H	1.60d-08 * (300./Tgas)**0.71
e + C2H5^+ => C2H2 + H + H + H	8.98d-09 * (300./Tgas)**0.71
e + C2H5^+ => CH3 + CH2	9.62d-09 * (300./Tgas)**0.71
e + C2H4^+ => C2H3 + H	8.29d-09 * (300./Tgas)**0.71
e + C2H4^+ => C2H2 + H + H	3.43d-08 * (300./Tgas)**0.71
e + C2H3^+ => C2H2 + H	1.34d-08 * (300./Tgas)**0.71
e + C2H2^+ => CH + CH	4.87d-09 * (300./Tgas)**0.71
e + H2^+ => H + H	3.17d21/(6.022d23 * Te**4.5)
e + H3^+ => H + H2	3.17d21/(6.022d23 * Te**4.5)
H2 + H2^+ => H + H3^+	2.11d-09
C2H6 + CH4^+ => CH4 + H2 + C2H4^+	1.91d-9
C2H6(v24) + CH4^+ => CH4 + H2 + C2H4^+	1.91d-9
C2H6(v13) + CH4^+ => CH4 + H2 + C2H4^+	1.91d-9
C2H4 + CH4^+ => CH3 + C2H5^+	4.23d-10
C2H4(v1) + CH4^+ => CH3 + C2H5^+	4.23d-10
C2H4(v2) + CH4^+ => CH3 + C2H5^+	4.23d-10
C2H4 + CH4^+ => CH4 + C2H4^+	1.38d-9
C2H4(v1) + CH4^+ => CH4 + C2H4^+	1.38d-9
C2H4(v2) + CH4^+ => CH4 + C2H4^+	1.38d-9
C2H2 + CH4^+ => CH3 + C2H3^+	1.23d-9
C2H2(v5) + CH4^+ => CH3 + C2H3^+	1.23d-9
C2H2(v2) + CH4^+ => CH3 + C2H3^+	1.23d-9
C2H2(v13) + CH4^+ => CH3 + C2H3^+	1.23d-9
C2H2 + CH4^+ => CH4 + C2H2^+	1.13d-9
C2H2(v5) + CH4^+ => CH4 + C2H2^+	1.13d-9
C2H2(v2) + CH4^+ => CH4 + C2H2^+	1.13d-9
C2H2(v13) + CH4^+ => CH4 + C2H2^+	1.13d-9
